symbol,2021-01-15
ABBV,2021-01-15
ABEV,2021-01-15
AAPL,2021-01-15
ABT,2021-01-15
ACIA,2021-01-15
ADBE,2021-01-15
ADI,2021-01-15
ADSK,2021-01-15
AEIS,2021-01-15
AGCO,2021-01-15
ALRM,2021-01-15
AMAT,2021-01-15
AMD,2021-01-15
AMED,2021-01-15
AMKR,2021-01-15
APH,2021-01-15
ARES,2021-01-15
ASB,2021-01-15
ASML,2021-01-15
AVGO,2021-01-15
AVY,2021-01-15
AZN,2021-01-15
BA,2021-01-15
BABA,2021-01-15
BIDU,2021-01-15
BIG,2021-01-15
CAMT,2021-01-15
CAT,2021-01-15
CBOE,2021-01-15
CCMP,2021-01-15
CHCT,2021-01-15
CHKP,2021-01-15
CHL,2021-01-15
CHU,2021-01-15
CNMD,2021-01-15
COHR,2021-01-15
COST,2021-01-15
CRUS,2021-01-15
CTSH,2021-01-15
CY,2021-01-15
DG,2021-01-15
DGX,2021-01-15
DIOD,2021-01-15
DIS,2021-01-15
DLTR,2021-01-15
DOCU,2021-01-15
DPZ,2021-01-15
EFX,2021-01-15
ESE,2021-01-15
FAST,2021-01-15
FB,2021-01-15
FICO,2021-01-15
FISV,2021-01-15
FISV,2021-01-15
GIB,2021-01-15
HCKT,2021-01-15
HD,2021-01-15
HUBS,2021-01-15
IAA,2021-01-15
IBM,2021-01-15
INTC,2021-01-15
INTU,2021-01-15
IRBT,2021-01-15
ITRI,2021-01-15
JBL,2021-01-15
KEYS,2021-01-15
KLAC,2021-01-15
KO,2021-01-15
KRNT,2021-01-15
LEG,2021-01-15
LITE,2021-01-15
LOW,2021-01-15
LRCX,2021-01-15
LYFT,2021-01-15
MCD,2021-01-15
MCHP,2021-01-15
MLNX,2021-01-15
MRVL,2021-01-15
MSFT,2021-01-15
MU,2021-01-15
MXIM,2021-01-15
NFLX,2021-01-15
NKE,2021-01-15
NOVT,2021-01-15
NOW,2021-01-15
NVMI,2021-01-15
OLED,2021-01-15
OLLI,2021-01-15
ON,2021-01-15
ORA,2021-01-15
PAYC,2021-01-15
PCG,2021-01-15
PEP,2021-01-15
PFE,2021-01-15
PLXS,2021-01-15
PNR,2021-01-15
QCOM,2021-01-15
QQQ,2021-01-15
QRVO,2021-01-15
RDFN,2021-01-15
RDNT,2021-01-15
RH,2021-01-15
RMBS,2021-01-15
RMD,2021-01-15
RNG,2021-01-15
ROKU,2021-01-15
SAFE,2021-01-15
SAGE,2021-01-15
SBUX,2021-01-15
SIMO,2021-01-15
SLAB,2021-01-15
SPLK,2021-01-15
SPNS,2021-01-15
STX,2021-01-15
SWKS,2021-01-15
SYNA,2021-01-15
TEAM,2021-01-15
TECD,2021-01-15
TEL,2021-01-15
TER,2021-01-15
TGT,2021-01-15
TTEK,2021-01-15
TWTR,2021-01-15
UBER,2021-01-15
UEIC,2021-01-15
UI,2021-01-15
V,2021-01-15
VEEV,2021-01-15
WEN,2021-01-15
WIRE,2021-01-15
WMT,2021-01-15
Z,2021-01-15
ZEN,2021-01-15
