Symbol,20191023,20191024,20191025,20191028,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
AAPL_112219C220,209,204:243.58,210:246.58,214:249.05,215:243.29,228:243.26,245:247.8,249:255.82,243:257.5,235:257.1132,238:257.24,8:259.43:23692625:39.94:1,8:259.78:14321030:39.05:3,8:261.85:17977456:39.05:0,8:261.72:18707605:39.05:0,8:264.26:23003875:43.78:6,14:262.64:21334111:43.2:10,20:265.17:20776877:43.2:0,20:267.1:21677338:43.2:0,20:266.29:18678302:43.2:0,20:261.44:16973993:43.2:0,20:262.08:16676013:42.12:2,18:261.78:16115226:41.26:8
AAPL_112219C222.5,49,49:243.58,51:246.58,51:249.05,52:243.29,52:243.26,52:247.8,52:255.82,38:257.5,42:257.1132,53:257.24,4:259.43:23692625:36.25:4,4:259.78:14321030:36.25:0,4:261.85:17977456:36.25:0,4:261.72:18707605:36.25:0,4:264.26:23003875:36.25:0,4:262.64:21334111:40.45:5,9:265.17:20776877:42.05:1,9:267.1:21677338:43.4:1,9:266.29:18678302:43.4:0,9:261.44:16973993:43.4:0,9:262.08:16676013:43.4:0,9:261.78:16115226:43.4:0
AAPL_112219C225,361,378:243.58,373:246.58,376:249.05,375:243.29,377:243.26,377:247.8,870:255.82,863:257.5,869:257.1132,887:257.24,7:259.43:23692625:34.3:50,51:259.78:14321030:33.85:55,39:261.85:17977456:36.99:10,45:261.72:18707605:36.65:42,58:264.26:23003875:36.65:0,58:262.64:21334111:38.4:4,62:265.17:20776877:39.05:7,64:267.1:21677338:42.05:6,64:266.29:18678302:42.05:0,64:261.44:16973993:42.05:0,63:262.08:16676013:37.4:0,63:261.78:16115226:37.11:1
AAPL_112219C227.5,195,195:243.58,195:246.58,210:249.05,239:243.29,242:243.26,259:247.83,258:255.82,253:257.5,247:257.1132,244:257.24,6:259.43:23692625:29.12:0,4:259.78:14321030:29.12:0,4:261.85:17977456:29.12:0,4:261.72:18707605:29.12:0,4:264.26:23003875:35.55:1,4:262.64:21334111:35.22:1,3:265.17:20776877:35.22:0,3:267.1:21677338:35.22:0,3:266.29:18678302:35.22:0,3:261.44:16973993:35.22:0,3:262.08:16676013:35.22:0,3:261.78:16115226:33.15:2
AAPL_112219C230,271,273:243.58,282:246.58,291:249.05,320:243.29,318:243.26,421:247.83,518:255.82,577:257.5,581:257.1132,583:257.24,58:259.43:23692625:30.04:60,52:259.78:14321030:29.16:2,52:261.85:17977456:29.16:0,52:261.72:18707605:29.16:0,52:264.26:23003875:34.65:2,53:262.64:21334111:33.74:5,58:265.17:20776877:34.57:1,59:267.1:21677338:36.94:1,59:266.29:18678302:36.94:0,59:261.44:16973993:36.94:0,59:262.08:16676013:36.94:0,59:261.78:16115226:31.25:2
AAPL_112219C232.5,109,141:243.58,141:246.58,180:249.05,180:243.29,178:243.26,258:247.84,265:255.82,267:257.5,276:257.1132,276:257.24,5:259.43:23692625:27.58:5,5:259.78:14321030:27.58:0,5:261.85:17977456:27.58:0,5:261.72:18707605:27.58:0,5:264.26:23003875:30.54:4,6:262.64:21334111:30.54:0,6:265.17:20776877:32.6:4,10:267.1:21677338:32.6:0,10:266.29:18678302:32.6:0,10:261.44:16973993:32.95:4,10:262.08:16676013:32.95:0,10:261.78:16115226:32.95:0
AAPL_112219C235,684,698:243.58,754:246.58,787:249.05,778:243.29,784:243.26,827:247.84,843:255.82,866:257.5,850:257.1132,841:257.24,191:259.43:23692625:24.0:107,189:259.78:14321030:24.75:15,199:261.85:17977456:27.4:44,156:261.72:18707605:27.25:1,155:264.26:23003875:29.49:7,156:262.64:21334111:28.4:42,147:265.17:20776877:30.04:6,149:267.1:21677338:32.38:105,136:266.29:18678302:31.45:13,139:261.44:16973993:27.45:14,142:262.08:16676013:27.5:24,147:261.78:16115226:26.72:53
AAPL_112219C237.5,1471,1498:243.58,1533:246.58,1761:249.05,1755:243.29,1767:243.26,1788:247.85,1797:255.82,1746:257.5,1728:257.1132,1725:257.24,341:259.43:23692625:23.2:297,301:259.78:14321030:21.1:9,302:261.85:17977456:23.03:3,302:261.72:18707605:24.35:2,302:264.26:23003875:24.35:0,302:262.64:21334111:24.35:0,302:265.17:20776877:26.11:1,303:267.1:21677338:29.25:8,304:266.29:18678302:29.15:14,298:261.44:16973993:29.15:0,298:262.08:16676013:24.8:3,297:261.78:16115226:23.78:45
AAPL_112219C240,1027,933:243.58,945:246.58,964:249.05,1002:243.29,1070:243.26,1212:247.84,1236:255.82,1235:257.5,1251:257.1132,1238:257.24,297:259.43:23692625:19.13:214,239:259.78:14321030:20.32:46,252:261.85:17977456:22.35:19,267:261.72:18707605:22.28:24,285:264.26:23003875:23.35:29,308:262.64:21334111:22.85:65,340:265.17:20776877:25.41:90,U:267.1:21677338::,385:266.29:18678302:26.45:135,375:261.44:16973993:21.58:153,426:262.08:16676013:21.8:24,408:261.78:16115226:21.0:101
AAPL_112219C242.5,646,665:243.58,719:246.58,690:249.05,701:243.29,725:243.26,817:247.8401,856:255.82,816:257.5,809:257.1132,776:257.24,740:259.43:23692625:17.2:145,706:259.78:14321030:18.08:16,701:261.85:17977456:19.65:60,745:261.72:18707605:19.7:38,739:264.26:23003875:22.48:58,726:262.64:21334111:20.65:13,716:265.17:20776877:22.23:5,717:267.1:21677338:24.95:137,614:266.29:18678302:23.63:9,612:261.44:16973993:18.95:157,534:262.08:16676013:19.15:5,531:261.78:16115226:18.6:98
