Symbol,20191023,20191024,20191025,20191028,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
AAPL_112219P220,401,401:243.58,410:246.58,445:249.05,446:243.29,504:243.26,822:247.7022,852:255.82,857:257.5,841:257.1132,849:257.24,856:259.43:23692625:0.19:303,990:259.78:14321030:0.18:105,994:261.85:17977456:0.1:641,1444:261.72:18707605:0.07:455,1799:264.26:23003875:0.05:1155,2688:262.64:21334111:0.08:577,2707:265.17:20776877:0.04:800,U:267.1:21677338::,2898:266.29:18678304:0.01:32,2898:261.5199:16982676:0.01:443,2778:262.13:16683603:0.01:9,2789:261.78:16115496:0.01:7
AAPL_112219P222.5,106,106:243.58,153:246.58,162:249.05,182:243.29,261:243.26,365:247.7022,398:255.82,404:257.5,436:257.1132,427:257.24,428:259.43:23692625:0.2:55,427:259.78:14321030:0.18:13,426:261.85:17977456:0.12:191,446:261.72:18707605:0.1:92,462:264.26:23003875:0.06:97,474:262.64:21334111:0.08:30,491:265.17:20776877:0.04:246,U:267.1:21677338::,717:266.29:18678304:0.01:318,951:261.5199:16982676:0.03:2,1051:262.13:16683603:0.01:10,1056:261.78:16115496:0.01:10
AAPL_112219P225,385,385:243.58,399:246.58,462:249.05,455:243.29,657:243.26,586:247.7094,720:255.82,777:257.5,804:257.1132,800:257.24,911:259.43:23692625:0.18:158,883:259.78:14321030:0.21:211,966:261.85:17977456:0.13:250,1068:261.72:18707605:0.09:21,1067:264.26:23003875:0.08:67,1066:262.64:21334111:0.09:261,1208:265.17:20776877:0.06:419,U:267.1:21677338:.1:,1459:266.29:18678304:0.01:691,1896:261.5199:16982676:0.01:259,2044:262.13:16683603:0.01:444,2113:261.78:16115496:0.01:30
AAPL_112219P227.5,405,405:243.58,408:246.58,414:249.05,407:243.29,444:243.26,597:247.74,547:255.82,553:257.5,536:257.1132,533:257.24,456:259.43:23692625:0.19:50,456:259.78:14321030:0.22:4,454:261.85:17977456:0.15:64,504:261.72:18707605:0.15:0,504:264.26:23003875:0.08:3,503:262.64:21334111:0.11:48,503:265.17:20776877:0.06:248,U:267.1:21677338::,686:266.29:18678304:0.02:8,691:261.5199:16982676:0.04:307,927:262.13:16683603:0.01:96,1010:261.78:16115496:0.02:1
AAPL_112219P230,668,668:243.58,658:246.58,711:249.05,789:243.29,836:243.26,822:247.74,1054:255.82,1108:257.5,1146:257.1132,1203:257.24,1191:259.43:23692625:0.22:368,1091:259.78:14321030:0.24:81,1104:261.85:17977456:0.16:152,1128:261.72:18707605:0.13:210,1223:264.26:23003875:0.11:20,1219:262.64:21334111:0.12:41,1244:265.17:20776877:0.07:246,1405:267.1:21677338:0.01:2381,3173:266.29:18678304:0.03:68,3213:261.5199:16982676:0.04:517,3475:262.13:16683603:0.01:522,3599:261.78:16115496:0.01:2
AAPL_112219P232.5,382,382:243.58,385:246.58,408:249.05,530:243.29,523:243.26,509:247.74,643:255.82,619:257.5,628:257.1132,646:257.24,692:259.43:23692625:0.29:15,689:259.78:14321030:0.26:14,691:261.85:17977456:0.18:115,716:261.72:18707605:0.16:53,766:264.26:23003875:0.12:87,812:262.64:21334111:0.14:48,826:265.17:20776877:0.09:211,908:267.1:21677338:0.03:576,1321:266.29:18678304:0.03:69,1296:261.5199:16982676:0.04:95,1420:262.13:16683603:0.01:132,1476:261.78:16115496:0.01:27
AAPL_112219P235,2459,2459:243.58,2475:246.58,2573:249.05,2691:243.29,2595:243.26,2651:247.739,3402:255.82,3182:257.5,3226:257.1132,3238:257.24,3168:259.43:23692625:0.33:107,3167:259.78:14321030:0.29:85,3190:261.85:17977456:0.2:197,3132:261.72:18707605:0.17:191,3150:264.26:23003875:0.14:281,3232:262.64:21334111:0.16:145,3292:265.17:20776877:0.11:347,3455:267.1:21677338:0.02:543,3731:266.29:18678304:0.03:183,3815:261.5199:16982676:0.03:1814,4347:262.13:16683603:0.02:65,4459:261.78:16115496:0.01:45
AAPL_112219P237.5,266,266:243.58,292:246.58,330:249.05,482:243.29,574:243.26,658:247.739,746:255.82,784:257.5,770:257.1132,818:257.24,721:259.43:23692625:0.35:47,717:259.78:14321030:0.31:36,726:261.85:17977456:0.22:103,736:261.72:18707605:0.19:175,777:264.26:23003875:0.17:62,792:262.64:21334111:0.18:254,996:265.17:20776877:0.13:179,U:267.1:21677338::,1409:266.29:18678304:0.03:299,1658:261.5199:16982676:0.04:220,1730:262.13:16683603:0.01:63,1741:261.78:16115496:0.01:200
AAPL_112219P240,282,282:243.58,386:246.58,408:249.05,621:243.29,601:243.26,521:247.739,675:255.82,819:257.5,793:257.1132,843:257.24,869:259.43:23692625:0.43:239,894:259.78:14321030:0.37:322,1093:261.85:17977456:0.25:364,1303:261.72:18707605:0.21:196,1448:264.26:23003875:0.18:411,1486:262.64:21334111:0.2:209,1611:265.17:20776877:0.14:512,U:267.1:21677338::,3341:266.29:18678304:0.04:1211,3240:261.5199:16982676:0.05:1767,3052:262.13:16683603:0.03:694,3286:261.78:16115496:0.01:504
AAPL_112219P242.5,77,77:243.58,130:246.58,144:249.05,155:243.29,281:243.26,205:247.76,184:255.82,239:257.5,318:257.1132,340:257.24,388:259.43:23692625:0.53:70,358:259.78:14321030:0.44:58,387:261.85:17977456:0.27:158,403:261.72:18707605:0.24:43,424:264.26:23003875:0.22:145,449:262.64:21334111:0.24:147,460:265.17:20776877:0.16:420,774:267.1:21677338:0.06:613,1247:266.29:18678304:0.05:830,1565:261.5199:16982676:0.07:1186,1499:262.13:16683603:0.03:482,1826:261.78:16115496:0.01:239
