Symbol,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
ABBV_112219C76,54,54:82.99,54:81.93,54:82.08,54:82.01:6560104:6.0:0,54:85.17:9420181:6.0:0,54:85.54:6219193:6.0:0,54:86.54:9648955:6.0:0,54:86.57:4948264:6.0:0,54:87.64:4676686:6.0:0,54:88.59:6687424:6.0:0,54:267.1:21677338:6.0:0,54:89.02:7469818:6.0:0,U:87.17:5804948:U:U,54:86.39:4706929:11.33:0,54:86.05:7728326:11.33:0
ABBV_112219C76.5,143,143:82.99,143:81.93,143:82.08,143:82.01:6560104:3.87:0,143:85.17:9420181:8.3:102,145:85.54:6219193:8.3:0,145:86.54:9648955:8.3:0,145:86.57:4948264:10.7:1,144:87.64:4676686:10.7:0,144:88.59:6687424:10.7:0,144:267.1:21677338:12.6:3,144:89.02:7469818:12.6:0,144:87.17:5804948:12.6:0,144:86.39:4706929:12.6:0,144:86.05:7728326:9.55:1
ABBV_112219C77,378,364:82.99,364:81.93,364:82.08,364:82.01:6560104:5.79:0,364:85.17:9420181:5.79:0,364:85.54:6219193:5.79:0,364:86.54:9648955:5.79:0,364:86.57:4948264:5.79:0,364:87.64:4676686:5.79:0,364:88.59:6687424:5.79:0,364:267.1:21677338:5.79:0,364:89.02:7469818:5.79:0,364:87.17:5804948:5.79:0,355:86.39:4706929:10.28:0,355:86.05:7728326:9.2:10
ABBV_112219C77.5,129,128:82.99,129:81.93,128:82.08,128:82.01:6560104:4.71:3,127:85.17:9420181:7.84:2,125:85.54:6219193:6.9:20,125:86.54:9648955:6.9:0,125:86.57:4948264:6.9:0,125:87.64:4676686:8.87:2,123:88.59:6687424:11.45:1,123:267.1:21677338:11.68:18,111:89.02:7469818:11.81:14,103:87.17:5804948:11.22:10,93:86.39:4706929:9.35:1,93:86.05:7728326:8.79:10
ABBV_112219C78,69,68:82.99,80:81.93,80:82.08,80:82.01:6560104:3.99:4,80:85.17:9420181:7.38:2,79:85.54:6219193:7.45:21,70:86.54:9648955:7.45:0,70:86.57:4948264:7.45:0,70:87.64:4676686:7.45:0,70:88.59:6687424:10.95:1,U:267.1:21677338::,71:89.02:7469818:10.8:0,71:87.17:5804948:9.77:1,71:86.39:4706929:9.27:0,71:86.05:7728326:8.25:0
ABBV_112219C78.5,792,792:82.99,792:81.93,792:82.08,792:82.01:6560104:3.75:3,791:85.17:9420181:6.86:5,790:85.54:6219193:6.86:0,790:86.54:9648955:6.86:0,790:86.57:4948264:8.68:1,789:87.64:4676686:8.68:0,789:88.59:6687424:8.68:0,U:267.1:21677338::,789:89.02:7469818:8.68:0,789:87.17:5804948:9.5:5,789:86.39:4706929:9.5:0,789:86.05:7728326:7.79:134
ABBV_112219C79,583,575:82.99,573:81.93,572:82.08,577:82.01:6560104:3.3:51,620:85.17:9420181:6.43:37,602:85.54:6219193:6.43:0,602:86.54:9648955:9.29:4,598:86.57:4948264:7.91:14,590:87.64:4676686:7.91:0,590:88.59:6687424:7.91:0,590:267.1:21677338:10.31:9,588:89.02:7469818:10.05:465,123:87.17:5804948:10.05:0,123:86.39:4706929:10.05:0,123:86.05:7728326:6.5:7
ABBV_112219C80,233,231:82.99,209:81.93,212:82.08,212:82.01:6560104:2.4:62,182:85.17:9420181:5.65:27,199:85.54:6219193:5.65:0,199:86.54:9648955:8.32:11,196:86.57:4948264:6.81:7,195:87.64:4676686:6.4:1,196:88.59:6687424:8.6:2,195:267.1:21677338:8.6:0,195:89.02:7469818:9.19:1,U:87.17:5804948:U:U,194:86.39:4706929:6.2:2,193:86.05:7728326:6.13:5
ABBV_112219C80.5,66,60:82.99,71:81.93,72:82.08,72:82.01:6560104:1.86:3,72:85.17:9420181:4.3:3,73:85.54:6219193:5.15:7,71:86.54:9648955:7.0:1,70:86.57:4948264:7.0:0,70:87.64:4676686:7.05:1,70:88.59:6687424:8.3:3,U:267.1:21677338::,64:89.02:7469818:8.57:12,53:87.17:5804948:8.57:0,53:86.39:4706929:8.57:0,[53:86.05:7728326:8.57:0
ABBV_112219C81.5,217,233:82.99,231:81.93,240:82.08,241:82.01:6560104:1.41:51,250:85.17:9420181:4.01:41,240:85.54:6219193:3.95:4,242:86.54:9648955:5.0:4,242:86.57:4948264:4.25:12,237:87.64:4676686:4.25:0,237:88.59:6687424:7.12:11,U:267.1:21677338::,234:89.02:7469818:7.97:20,234:87.17:5804948:6.35:9,225:86.39:4706929:4.85:8,[234:86.05:7728326:4.77:28
ABBV_112219C82.5,24,122:82.99,419:81.93,456:82.08,454:82.01:6560104:1.05:191,442:85.17:9420181:3.25:237,431:85.54:6219193:3.52:19,428:86.54:9648955:4.9:24,418:86.57:4948264:4.36:319,142:87.64:4676686:4.1:5,147:88.59:6687424:6.35:7,146:267.1:21677338:6.5:1,147:89.02:7469818:7.04:4,144:87.17:5804948:4.2:10,143:86.39:4706929:3.75:38,[146:86.05:7728326:3.25:14
ABBV_112219C83,6,23:82.99,57:81.93,92:82.08,100:82.01:6560104:0.8:23,82:85.17:9420181:2.82:49,106:85.54:6219193:2.88:12,101:86.54:9648955:3.85:24,90:86.57:4948264:4.15:8,97:87.64:4676686:3.64:4,99:88.59:6687424:5.75:30,122:267.1:21677338:6.25:19,113:89.02:7469818:6.25:11,103:87.17:5804948:4.28:9,106:86.39:4706929:3.4:8,[103:86.05:7728326:3.05:79
ABBV_112219C83.5,8,17:82.99,35:81.93,37:82.08,36:82.01:6560104:0.6:10,30:85.17:9420181:2.49:31,29:85.54:6219193:2.38:503,162:86.54:9648955:4.05:15,162:86.57:4948264:3.7:6,165:87.64:4676686:3.95:2,165:88.59:6687424:5.7:7,165:267.1:21677338:5.38:30,136:89.02:7469818:5.95:78,73:87.17:5804948:3.75:13,81:86.39:4706929:2.83:3,[82:86.05:7728326:2.15:31
ABBV_112219C84,3,17:82.99,38:81.93,66:82.08,57:82.01:6560104:0.41:15,70:85.17:9420181:2.11:126,111:85.54:6219193:2.31:71,141:86.54:9648955:2.95:49,111:86.57:4948264:3.0:23,115:87.64:4676686:3.7:41,105:88.59:6687424:4.95:21,97:267.1:21677338:5.33:7,92:89.02:7469818:5.1:21,83:87.17:5804948:3.3:558,553:86.39:4706929:2.19:28,[554:86.05:7728326:1.88:77
ABBV_112219C85,21,212:82.99,220:81.93,228:82.08,338:82.01:6560104:0.25:106,388:85.17:9420181:1.5:259,383:85.54:6219193:1.6:769,478:86.54:9648955:2.21:158,460:86.57:4948264:2.4:101,381:87.64:4676686:2.88:39,378:88.59:6687424:3.75:118,451:267.1:21677338:3.82:14,437:89.02:7469818:4.1:38,421:87.17:5804948:2.39:58,421:86.39:4706929:1.68:52,[416:86.05:7728326:1.12:110
ABBV_112219C86,0,4:82.99,98:81.93,98:82.08,98:82.01:6560104:0.13:17,98:85.17:9420181:1.04:345,295:85.54:6219193:1.04:227,442:86.54:9648955:1.52:214,398:86.57:4948264:1.49:54,397:87.64:4676686:2.04:74,386:88.59:6687424:2.99:158,368:267.1:21677338:2.95:34,364:89.02:7469818:3.46:9,363:87.17:5804948:1.3:19,357:86.39:4706929:0.78:115,[363:86.05:7728326:0.06:1059
ABBV_112219C86.5,0,0:82.99,1:81.93,1:82.08,1:82.01:6560104:0.25:0,1:85.17:9420181:0.78:13,12:85.54:6219193:0.76:33,31:86.54:9648955:1.25:97,77:86.57:4948264:1.18:227,116:87.64:4676686:1.83:191,154:88.59:6687424:2.5:37,U:267.1:21677338::,152:89.02:7469818:3.0:25,152:87.17:5804948:1.26:55,152:86.39:4706929:0.45:143,[198:86.05:7728326:0.01:326
