Symbol,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
ABBV_112219P76,33,39:82.99,39:81.93,39:82.08,39:82.01:6560104:0.2:0,39:85.17:9420181:0.08:2,37:85.54:6219193:0.08:0,37:86.54:9648955:0.08:0,37:86.57:4948264:0.08:0,37:87.64:4676686:0.08:0,37:88.59:6687424:0.08:0,37:267.1:21677338:0.08:0,37:89.02:7469818:0.08:0,37:87.21:5829334:0.08:0,37:86.52:9181283:0.08:0,37:86.05:7728326:0.08:0
ABBV_112219P76.5,12,12:82.99,12:81.93,14:82.08,14:82.01:6560104:0.13:2,12:85.17:9420181:0.13:0,12:85.54:6219193:0.13:0,12:86.54:9648955:0.13:0,12:86.57:4948264:0.13:0,12:87.64:4676686:0.13:0,12:88.59:6687424:0.13:0,U:267.1:21677338::,12:89.02:7469818:0.13:0,12:87.21:5829334:0.13:0,12:86.52:9181283:0.13:0,12:86.05:7728326:0.13:0
ABBV_112219P77,44,40:82.99,51:81.93,75:82.08,74:82.01:6560104:0.22:2,76:85.17:9420181:0.22:0,76:85.54:6219193:0.22:0,76:86.54:9648955:0.22:0,76:86.57:4948264:0.22:0,76:87.64:4676686:0.22:0,76:88.59:6687424:0.22:0,U:267.1:21677338::,76:89.02:7469818:0.22:0,76:87.21:5829334:0.22:0,76:86.52:9181283:0.01:20,76:86.05:7728326:0.01:0
ABBV_112219P77.5,26,28:82.99,29:81.93,31:82.08,50:82.01:6560104:0.2:2,49:85.17:9420181:0.11:16,34:85.54:6219193:0.1:1,35:86.54:9648955:0.1:0,35:86.57:4948264:0.1:0,35:87.64:4676686:0.1:0,35:88.59:6687424:0.1:0,U:267.1:21677338::,35:89.02:7469818:0.01:3,33:87.21:5829334:0.01:0,33:86.52:9181283:0.01:0,33:86.05:7728326:0.01:0
ABBV_112219P78,2,35:82.99,38:81.93,38:82.08,41:82.01:6560104:0.24:1,41:85.17:9420181:0.12:5,36:85.54:6219193:0.12:6,34:86.54:9648955:0.04:2,32:86.57:4948264:0.04:0,32:87.64:4676686:0.04:0,32:88.59:6687424:0.04:0,32:267.1:21677338:0.04:0,32:89.02:7469818:0.01:1,31:87.21:5829334:0.01:0,31:86.52:9181283:0.01:0,31:86.05:7728326:0.01:0
ABBV_112219P78.5,16,16:82.99,16:81.93,16:82.08,39:82.01:6560104:0.3:101,104:85.17:9420181:0.3:0,104:85.54:6219193:0.09:2,104:86.54:9648955:0.04:100,102:86.57:4948264:0.04:0,102:87.64:4676686:0.04:0,102:88.59:6687424:0.04:0,U:267.1:21677338::,102:89.02:7469818:0.01:22,100:87.21:5829334:0.01:0,100:86.52:9181283:0.01:0,100:86.05:7728326:0.01:1
ABBV_112219P79,6,7:82.99,12:81.93,21:82.08,43:82.01:6560104:0.35:16,58:85.17:9420181:0.15:202,260:85.54:6219193:0.15:0,260:86.54:9648955:0.06:11,253:86.57:4948264:0.06:1,253:87.64:4676686:0.04:1,253:88.59:6687424:0.05:5,U:267.1:21677338::,:89.02:7469818:U:U,253:87.21:5829334:0.03:0,253:86.52:9181283:0.03:0,253:86.05:7728326:0.03:0
ABBV_112219P80,5,7:82.99,10:81.93,21:82.08,31:82.01:6560104:0.57:12,31:85.17:9420181:0.2:206,228:85.54:6219193:0.13:18,232:86.54:9648955:0.05:18,239:86.57:4948264:0.05:0,239:87.64:4676686:0.08:5,238:88.59:6687424:0.02:56,278:267.1:21677338:0.04:1,278:89.02:7469818:0.04:0,278:87.21:5829334:0.04:0,278:86.52:9181283:0.01:4,276:86.05:7728326:0.01:0
ABBV_112219P80.5,0,0:82.99,0:81.93,2:82.08,8:82.01:6560104:0.7:14,21:85.17:9420181:0.26:1,21:85.54:6219193:0.17:11,27:86.54:9648955:0.17:0,27:86.57:4948264:0.17:0,27:87.64:4676686:0.06:10,37:88.59:6687424:0.06:40,U:267.1:21677338::,77:89.02:7469818:0.04:10,67:87.21:5829334:0.04:0,67:86.52:9181283:0.04:0,[67:86.05:7728326:0.04:0
ABBV_112219P81.5,0,25:82.99,47:81.93,56:82.08,88:82.01:6560104:1.0:5,93:85.17:9420181:0.35:17,102:85.54:6219193:0.27:10,106:86.54:9648955:0.12:29,100:86.57:4948264:0.12:0,100:87.64:4676686:0.1:2,98:88.59:6687424:0.05:1,U:267.1:21677338::,97:89.02:7469818:0.02:20,97:87.21:5829334:0.02:0,97:86.52:9181283:0.02:0,[97:86.05:7728326:0.02:0
