Symbol,20191028,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
ABT_112219C78,12:82.66,12:83.45,12:84.01,12:83.37,12,12:82.22,12:82.38,15:83.12,15:83.39:6020361:5.55:0,15:83.65:2583115:5.55:0,15:83.69:2577500:5.55:0,15:84.36:2880952:5.55:0,15:84.11:3046169:5.55:0,15:84.13:3343459:5.55:0,15:85.55:3993052:5.55:0,15:84.26:5812284:5.55:0,15:84.29:4124454:5.55:0,U:84.03:2083329:.:U,15:83.68:5211549:5.55:0,15:83.74:3917575:5.55:0
ABT_112219C78.5,0:82.66,0:83.45,0:84.01,0:83.37,0,0:82.22,0:82.38,1:83.12,1:83.39:6020361:3.4:0,1:83.65:2583115:3.4:0,1:83.69:2577500:3.4:0,1:84.36:2880952:3.4:0,1:84.11:3046169:3.4:0,1:84.13:3343459:3.4:0,1:85.55:3993052:3.4:0,1:84.26:5812284:3.4:0,1:84.29:4124454:3.4:0,1:84.03:2083329:3.4:0,1:83.68:5211549:3.4:0,1:83.74:3917575:3.4:0
ABT_112219C79,4:82.66,4:83.45,4:84.01,4:83.37,4,4:82.22,4:82.38,4:83.12,4:83.39:6020361:3.31:0,4:83.65:2583115:3.31:0,4:83.69:2577500:3.31:0,4:84.36:2880952:3.31:0,4:84.11:3046169:3.31:0,4:84.13:3343459:3.31:0,4:85.55:3993052:3.31:0,4:84.26:5812284:3.31:0,4:84.29:4124454:3.31:0,4:84.03:2083329:3.31:0,4:83.68:5211549:3.31:0,[4:83.74:3917575:3.31:0
ABT_112219C79.5,4:82.66,5:83.45,5:84.01,6:83.37,6,6:82.22,6:82.38,15:83.12,15:83.39:6020361:2.63:0,15:83.65:2583115:2.63:0,15:83.69:2577500:2.63:0,15:84.36:2880952:2.63:0,15:84.11:3046169:2.63:0,15:84.13:3343459:4.55:7,10:85.55:3993052:4.55:0,10:84.26:5812284:4.55:0,10:84.29:4124454:4.55:0,10:84.03:2083329:4.55:0,10:83.68:5211549:4.55:0,[10:83.74:3917575:4.55:0
ABT_112219C80,23:82.66,24:83.45,24:84.01,24:83.37,32,32:82.22,32:82.38,37:83.12,31:83.39:6020361:3.65:0,31:83.65:2583115:3.65:0,31:83.69:2577500:3.65:0,31:84.36:2880952:4.38:7,24:84.11:3046169:4.38:0,24:84.13:3343459:4.38:0,24:85.55:3993052:4.94:15,39:84.26:5812284:5.35:3,39:84.29:4124454:5.35:0,39:84.03:2083329:5.35:0,39:83.68:5211549:5.35:0,[39:83.74:3917575:3.57:15
ABT_112219C80.5,23:82.66,23:83.45,24:84.01,39:83.37,39,39:82.22,39:82.38,43:83.12,43:83.39:6020361:3.05:30,60:83.65:2583115:3.05:0,60:83.69:2577500:3.42:1,60:84.36:2880952:4.17:7,60:84.11:3046169:4.17:0,60:84.13:3343459:3.85:2,60:85.55:3993052:3.85:0,60:84.26:5812284:5.0:2,59:84.29:4124454:5.0:0,59:84.03:2083329:5.0:0,59:83.68:5211549:3.53:2,[57:83.74:3917575:2.83:7
ABT_112219C81,1148:82.66,1250:83.45,1230:84.01,1203:83.37,1199,1158:82.22,1139:82.38,1100:83.12,1100:83.39:6020361:2.77:18,1087:83.65:2583115:2.79:46,1085:83.69:2577500:2.89:21,1068:84.36:2880952:3.6:21,1050:84.11:3046169:3.5:34,1018:84.13:3343459:3.22:69,977:85.55:3993052:4.51:100,907:84.26:5812284:3.29:63,849:84.29:4124454:3.46:34,821:84.03:2083329:2.77:31,803:83.68:5211549:2.59:195,[653:83.74:3917575:2.73:379
ABT_112219C81.5,90:82.66,100:83.45,100:84.01,100:83.37,100,100:82.22,99:82.38,99:83.12,99:83.39:6020361:2.4:22,91:83.65:2583115:2.38:4,88:83.69:2577500:2.38:0,88:84.36:2880952:3.09:4,88:84.11:3046169:3.09:0,88:84.13:3343459:2.68:2,88:85.55:3993052:2.68:0,88:84.26:5812284:4.05:2,86:84.29:4124454:2.77:10,81:84.03:2083329:2.77:0,81:83.68:5211549:1.41:2,[81:83.74:3917575:2.19:4
ABT_112219C82,42:82.66,56:83.45,56:84.01,56:83.36,56,56:82.22,58:82.38,101:83.12,103:83.39:6020361:1.99:1,103:83.65:2583115:2.15:2,104:83.69:2577500:2.04:393,196:84.36:2880952:2.67:69,162:84.11:3046169:2.62:21,149:84.13:3343459:2.33:1,149:85.55:3993052:3.45:5,148:84.26:5812284:3.45:0,148:84.29:4124454:2.35:3,148:84.03:2083329:2.18:7,146:83.68:5211549:1.4:5,[146:83.74:3917575:1.4:0
ABT_112219C82.5,45:82.66,57:83.45,57:84.01,57:83.36,57,56:82.22,56:82.38,45:83.12,45:83.39:6020361:1.51:6,51:83.65:2583115:1.59:16,54:83.69:2577500:1.7:13,47:84.36:2880952:2.33:9,48:84.11:3046169:2.33:0,48:84.13:3343459:1.92:7,55:85.55:3993052:2.91:1,55:84.26:5812284:3.3:1,54:84.29:4124454:1.75:1,54:84.03:2083329:1.75:0,54:83.68:5211549:0.85:7,[59:83.74:3917575:1.22:29
