Symbol,20191028,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
ABT_112219P78,96:82.66,98:83.45,98:84.01,98:83.25,98,98:82.22,98:82.38,98:83.12,98:83.39:6020361:0.16:0,98:83.65:2583115:0.11:1,98:83.69:2577500:0.07:3,98:84.36:2880952:0.07:0,98:84.11:3046169:0.07:0,98:84.13:3343459:0.07:0,98:85.55:3993052:0.07:0,U:84.26:5812284::,98:84.29:4124454:0.07:0,98:84.05:2084951:0.07:0,98:83.68:5211549:0.07:0,98:83.74:3917575:0.07:0
ABT_112219P78.5,0:82.66,36:83.45,36:84.01,36:83.25,36,39:82.22,39:82.38,37:83.12,37:83.39:6020361:0.39:0,37:83.65:2583115:0.14:11,27:83.69:2577500:0.14:0,27:84.36:2880952:0.14:0,27:84.11:3046169:0.14:0,27:84.13:3343459:0.14:0,27:85.55:3993052:0.14:0,U:84.26:5812284::,27:84.29:4124454:0.14:0,27:84.05:2084951:0.14:0,27:83.68:5211549:0.14:0,27:83.74:3917575:0.14:0
ABT_112219P79,46:82.66,50:83.45,50:84.01,50:83.25,50,50:82.22,50:82.38,74:83.12,74:83.39:6020361:0.24:0,74:83.65:2583115:0.24:0,74:83.69:2577500:0.11:11,68:84.36:2880952:0.06:1,67:84.11:3046169:0.06:0,67:84.13:3343459:0.06:0,67:85.55:3993052:0.06:0,67:84.26:5812284:0.06:0,67:84.29:4124454:0.06:0,67:84.05:2084951:0.06:0,67:83.68:5211549:0.06:0,[67:83.74:3917575:0.02:4
ABT_112219P79.5,31:82.66,59:83.45,59:84.01,59:83.26,59,59:82.22,59:82.38,73:83.12,139:83.39:6020361:0.26:1,138:83.65:2583115:0.17:2,140:83.69:2577500:0.13:14,144:84.36:2880952:0.08:5,144:84.11:3046169:0.08:0,144:84.13:3343459:0.08:0,144:85.55:3993052:0.08:0,U:84.26:5812284::,144:84.29:4124454:0.08:0,144:84.05:2084951:0.08:0,144:83.68:5211549:0.08:0,[144:83.74:3917575:0.08:0
ABT_112219P80,15:82.66,20:83.45,22:84.01,38:83.26,38,38:82.22,37:82.38,51:83.12,53:83.39:6020361:0.27:1,53:83.65:2583115:0.24:1,53:83.69:2577500:0.16:7,53:84.36:2880952:0.09:1,52:84.11:3046169:0.09:0,52:84.13:3343459:0.09:0,52:85.55:3993052:0.04:2,52:84.26:5812284:0.05:42,94:84.29:4124454:0.01:1,93:84.05:2084951:0.04:3,90:83.68:5211549:0.03:2,[89:83.74:3917575:0.03:0
ABT_112219P80.5,21:82.66,31:83.45,31:84.01,31:83.26,25,25:82.22,23:82.38,20:83.12,20:83.39:6020361:0.36:22,39:83.65:2583115:0.28:57,69:83.69:2577500:0.28:0,69:84.36:2880952:0.28:0,69:84.11:3046169:0.11:5,69:84.13:3343459:0.11:0,69:85.55:3993052:0.11:0,U:84.26:5812284::,69:84.29:4124454:0.11:0,69:84.05:2084951:0.11:0,69:83.68:5211549:0.11:0,[69:83.74:3917575:0.11:0
ABT_112219P81,25:82.66,25:83.45,23:84.01,23:83.26,25,25:82.22,24:82.38,19:83.12,19:83.39:6020361:0.44:54,49:83.65:2583115:0.34:56,105:83.69:2577500:0.34:0,105:84.36:2880952:0.15:1,105:84.11:3046169:0.15:0,105:84.13:3343459:0.13:20,121:85.55:3993052:0.05:27,U:84.26:5812284::,122:84.29:4124454:0.08:0,122:84.05:2084951:0.08:0,122:83.68:5211549:0.11:40,[153:83.74:3917575:0.02:2
ABT_112219P81.5,4:82.66,8:83.45,13:84.01,40:83.26,40,39:82.22,53:82.38,120:83.12,119:83.39:6020361:0.57:51,134:83.65:2583115:0.39:62,145:83.69:2577500:0.34:11,139:84.36:2880952:0.18:3,139:84.11:3046169:0.18:23,143:84.13:3343459:0.17:5,141:85.55:3993052:0.07:30,U:84.26:5812284::,111:84.29:4124454:0.07:9,116:84.05:2084951:0.07:0,117:83.68:5211549:0.07:0,[117:83.74:3917575:0.03:10
ABT_112219P82,32:82.66,32:83.45,32:84.01,45:83.26,49,40:82.22,56:82.38,44:83.12,57:83.39:6020361:0.68:16,61:83.65:2583115:0.5:48,47:83.69:2577500:0.5:0,47:84.36:2880952:0.25:2,47:84.11:3046169:0.26:34,46:84.13:3343459:0.25:3,49:85.55:3993052:0.07:1,48:84.26:5812284:0.16:15,56:84.29:4124454:0.16:0,56:84.05:2084951:0.16:0,56:83.68:5211549:0.05:34,[50:83.74:3917575:0.05:18
ABT_112219P82.5,7:82.66,39:83.45,45:84.01,48:83.26,59,28:82.22,66:82.38,66:83.12,63:83.39:6020361:0.82:95,44:83.65:2583115:0.67:114,110:83.69:2577500:0.54:3,113:84.36:2880952:0.33:2,114:84.11:3046169:0.32:39,148:84.13:3343459:0.32:11,141:85.55:3993052:0.1:46,U:84.26:5812284::,150:84.29:4124454:0.11:6,152:84.05:2084951:0.23:22,166:83.68:5211549:0.1:49,[170:83.74:3917575:0.02:51
ABT_112219P83,0:82.66,0:83.45,1:84.01,12:83.26,81,74:82.22,102:82.38,98:83.12,102:83.39:6020361:1.01:92,45:83.65:2583115:0.81:21,62:83.69:2577500:0.71:83,101:84.36:2880952:0.41:20,109:84.11:3046169:0.43:84,119:84.13:3343459:0.41:15,134:85.55:3993052:0.15:15,U:84.26:5812284::,137:84.29:4124454:0.24:6,138:84.05:2084951:0.28:58,168:83.68:5211549:0.19:8,[164:83.74:3917575:0.11:22
ABT_112219P83.5,0:82.66,0:83.45,30:84.01,32:83.26,59,59:82.22,59:82.38,59:83.12,67:83.39:6020361:1.24:0,67:83.65:2583115:1.02:313,340:83.69:2577500:0.89:212,507:84.36:2880952:0.57:25,482:84.11:3046169:0.89:33,470:84.13:3343459:0.55:29,464:85.55:3993052:0.23:52,459:84.26:5812284:0.35:31,466:84.29:4124454:0.38:51,465:84.05:2084951:0.38:102,424:83.68:5211549:0.32:14,[426:83.74:3917575:0.02:331
ABT_112219P84,7:82.66,7:83.45,7:84.01,25:83.26,25,25:82.22,100:82.38,129:83.12,129:83.39:6020361:1.46:1,130:83.65:2583115:1.21:5,133:83.69:2577500:1.15:40,140:84.36:2880952:0.68:114,164:84.11:3046169:0.72:150,252:84.13:3343459:0.75:206,367:85.55:3993052:0.26:52,376:84.26:5812284:0.64:115,387:84.29:4124454:0.42:119,443:84.05:2084951:0.94:60,429:83.68:5211549:0.73:14,[428:83.74:3917575:0.25:50
ABT_112219P84.5,20:82.66,20:83.45,20:84.01,28:83.26,28,28:82.22,28:82.38,34:83.12,35:83.39:6020361:1.89:0,35:83.65:2583115:1.57:10,44:83.69:2577500:1.57:0,44:84.36:2880952:0.94:27,64:84.11:3046169:0.95:134,175:84.13:3343459:1.02:12,176:85.55:3993052:0.36:84,215:84.26:5812284:0.88:155,275:84.29:4124454:0.7:66,242:84.05:2084951:1.13:63,243:83.68:5211549:1.45:41,[243:83.74:3917575:0.77:19
ABT_112219P85,14:82.66,37:83.45,39:84.01,39:83.26,39,39:82.22,43:82.38,53:83.12,57:83.39:6020361:2.72:0,57:83.65:2583115:1.91:13,57:83.69:2577500:1.91:0,57:84.36:2880952:1.09:2,58:84.11:3046169:1.09:0,58:84.13:3343459:1.09:0,58:85.55:3993052:0.55:82,119:84.26:5812284:1.16:362,177:84.29:4124454:1.05:4,177:84.05:2084951:0.9:7,182:83.68:5211549:1.48:8,[181:83.74:3917575:1.58:72
ABT_112219P85.5,0:82.66,0:83.45,0:84.01,0:83.26,0,0:82.22,6:82.38,6:83.12,6:83.39:6020361:2.64:72,100:83.65:2583115:2.24:12,99:83.69:2577500:1.96:20,99:84.36:2880952:1.52:1,100:84.11:3046169:1.52:0,100:84.13:3343459:1.62:10,100:85.55:3993052:0.74:77,131:84.26:5812284:1.52:160,141:84.29:4124454:1.25:8,141:84.05:2084951:1.57:7,141:83.68:5211549:2.01:9,[123:83.74:3917575:1.98:2
ABT_112219P86,2:82.66,2:83.45,2:84.01,24:83.26,24,24:82.22,24:82.38,24:83.12,24:83.39:6020361:2.94:1,24:83.65:2583115:2.6:11,29:83.69:2577500:2.42:18,43:84.36:2880952:1.67:23,61:84.11:3046169:1.88:9,70:84.13:3343459:1.88:0,70:85.55:3993052:1.05:33,98:84.26:5812284:1.9:27,105:84.29:4124454:1.79:1,105:84.05:2084951:2.04:1,105:83.68:5211549:2.04:0,[11:83.74:3917575:2.38:9
ABT_112219P87,0:82.66,0:83.45,0:84.01,0:83.26,0,0:82.22,0:82.38,0:83.12,0:83.39:6020361:0.0:0,0:83.65:2583115:0.0:0,0:83.69:2577500:0.0:0,0:84.36:2880952:0.0:0,0:84.11:3046169:0.0:0,0:84.13:3343459:2.85:2,2:85.55:3993052:1.91:19,U:84.26:5812284::,32:84.29:4124454:2.9:0,32:84.05:2084951:2.9:0,0:83.68:5211549:2.9:0,[0:83.74:3917575:2.9:0
ABT_112219P88,1:82.66,1:83.45,1:84.01,15:83.26,15,15:82.22,15:82.38,15:83.12,36:83.39:6020361:4.85:0,36:83.65:2583115:4.85:0,36:83.69:2577500:4.85:0,36:84.36:2880952:4.85:0,36:84.11:3046169:3.75:7,36:84.13:3343459:3.75:0,36:85.55:3993052:2.61:9,U:84.26:5812284::,37:84.29:4124454:2.61:0,19:84.05:2084951:3.5:3,0:83.68:5211549:3.5:0,[0:83.74:3917575:3.5:0
ABT_112219P89,0:82.66,0:83.45,0:84.01,0:83.26,0,0:82.22,0:82.38,0:83.12,0:83.39:6020361:0.0:0,0:83.65:2583115:0.0:0,0:83.69:2577500:0.0:0,0:84.36:2880952:0.0:0,0:84.11:3046169:0.0:0,0:84.13:3343459:0.0:0,0:85.55:3993052:3.8:2,1:84.26:5812284:3.8:0,0:84.29:4124454:3.8:0,0:84.05:2084951:3.8:0,0:83.68:5211549:3.8:0,0:83.74:3917575:3.8:0
ABT_112919P78,33:82.66,39:83.45,29:84.01,29:83.26,29,29:82.22,31:82.38,29:83.12,29:83.39:6020361:0.44:0,29:83.65:2583115:0.44:0,29:83.69:2577500:0.44:0,29:84.36:2880952:0.11:1,29:84.11:3046169:0.11:0,29:84.13:3343459:0.11:0,29:85.55:3993052:0.11:0,29:84.26:5812284:0.11:0,29:84.29:4124454:0.06:3,28:84.05:2084951:0.06:0,U:83.68:5211549:U:U,78:83.74:3917575:0.06:0
