Symbol,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
ACIA_122019C35,0:66.43:237184:0.0:0,0:66.8:541374:0.0:0,0:67.39:609424:0.0:0,0:67.1:253704:0.0:0,0:66.49:402103:0.0:0,0:67.0775:236216:0.0:0,0:67.01:351837:0.0:0,0:67.12:253581:0.0:0,0:66.805:129338:0.0:0,0:66.7:766870:0.0:0,[0:66.64:267389:0.0:0
ACIA_122019C40,0:66.43:237184:0.0:0,0:66.8:541374:0.0:0,0:67.39:609424:0.0:0,0:67.1:253704:0.0:0,0:66.49:402103:0.0:0,0:67.0775:236216:0.0:0,0:67.01:351837:0.0:0,0:67.12:253581:0.0:0,0:66.805:129338:0.0:0,0:66.7:766870:0.0:0,[0:66.64:267389:0.0:0
ACIA_122019C45,0:66.43:237184:0.0:0,0:66.8:541374:0.0:0,0:67.39:609424:0.0:0,0:67.1:253704:0.0:0,0:66.49:402103:0.0:0,0:67.0775:236216:0.0:0,0:67.01:351837:0.0:0,0:67.12:253581:0.0:0,0:66.805:129338:0.0:0,0:66.7:766870:0.0:0,[0:66.64:267389:0.0:0
ACIA_122019C50,0:66.43:237184:0.0:0,0:66.8:541374:0.0:0,0:67.39:609424:0.0:0,0:67.1:253704:0.0:0,0:66.49:402103:0.0:0,0:67.0775:236216:0.0:0,0:67.01:351837:0.0:0,0:67.12:253581:0.0:0,0:66.805:129338:0.0:0,0:66.7:766870:0.0:0,[0:66.64:267389:0.0:0
ACIA_122019C55,0:66.43:237184:0.0:0,0:66.8:541374:0.0:0,0:67.39:609424:0.0:0,0:67.1:253704:0.0:0,0:66.49:402103:0.0:0,0:67.0775:236216:0.0:0,0:67.01:351837:0.0:0,0:67.12:253581:0.0:0,0:66.805:129338:0.0:0,0:66.7:766870:0.0:0,[0:66.64:267389:0.0:0
ACIA_122019C60,0:66.43:237184:0.0:0,0:66.8:541374:0.0:0,0:67.39:609424:0.0:0,0:67.1:253704:0.0:0,0:66.49:402103:0.0:0,0:67.0775:236216:0.0:0,0:67.01:351837:0.0:0,0:67.12:253581:0.0:0,0:66.805:129338:0.0:0,0:66.7:766870:0.0:0,[0:66.64:267389:0.0:0
ACIA_122019C65,73:66.43:237184:1.85:1,73:66.8:541374:1.85:0,73:67.39:609424:1.3:2,75:67.1:253704:2.25:68,138:66.49:402103:2.25:0,138:67.0775:236216:2.25:0,138:67.01:351837:2.25:0,138:67.12:253581:2.25:0,138:66.805:129338:2.25:0,138:66.7:766870:2.25:0,[138:66.64:267389:2.25:0
ACIA_122019C70,0:66.43:237184:0.0:0,0:66.8:541374:0.15:10,10:67.39:609424:0.15:0,10:67.1:253704:0.09:1,11:66.49:402103:0.09:0,11:67.0775:236216:0.09:0,11:67.01:351837:0.09:0,11:67.12:253581:0.05:3,14:66.805:129338:0.05:0,14:66.7:766870:0.05:0,[14:66.64:267389:0.05:10
ACIA_122019C75,0:66.43:237184:0.0:0,0:66.8:541374:0.0:0,0:67.39:609424:0.0:0,0:67.1:253704:0.0:0,0:66.49:402103:0.0:0,0:67.0775:236216:0.0:0,0:67.01:351837:0.0:0,0:67.12:253581:0.0:0,0:66.805:129338:0.0:0,0:66.7:766870:0.0:0,[0:66.64:267389:0.97:10
ACIA_122019C80,0:66.43:237184:0.0:0,0:66.8:541374:0.0:0,0:67.39:609424:0.0:0,0:67.1:253704:0.0:0,0:66.49:402103:0.0:0,0:67.0775:236216:0.0:0,0:67.01:351837:0.0:0,0:67.12:253581:0.0:0,0:66.805:129338:0.0:0,0:66.7:766870:0.0:0,[0:66.64:267389:0.0:0
ACIA_122019C85,0:66.43:237184:0.0:0,0:66.8:541374:0.0:0,0:67.39:609424:0.0:0,0:67.1:253704:0.0:0,0:66.49:402103:0.0:0,0:67.0775:236216:0.0:0,0:67.01:351837:0.0:0,0:67.12:253581:0.0:0,0:66.805:129338:0.0:0,0:66.7:766870:0.0:0,[0:66.64:267389:0.0:0
ACIA_122019C90,0:66.43:237184:0.0:0,0:66.8:541374:0.0:0,0:67.39:609424:0.0:0,0:67.1:253704:0.0:0,0:66.49:402103:0.0:0,0:67.0775:236216:0.0:0,0:67.01:351837:0.0:0,0:67.12:253581:0.0:0,0:66.805:129338:0.0:0,0:66.7:766870:0.0:0,[0:66.64:267389:0.0:0
ACIA_122019C95,0:66.43:237184:0.0:0,0:66.8:541374:0.0:0,0:67.39:609424:0.0:0,0:67.1:253704:0.0:0,0:66.49:402103:0.0:0,0:67.0775:236216:0.0:0,0:67.01:351837:0.0:0,0:67.12:253581:0.0:0,0:66.805:129338:0.0:0,0:66.7:766870:0.0:0,[0:66.64:267389:0.0:0
ACIA_011720C22.5,U,U,U,U,34:66.49:402103:42.6:0,34:67.0775:236216:42.6:0,34:67.01:351837:42.6:0,34:67.12:253581:42.6:0,34:66.805:129338:42.6:0,34:66.7:766870:42.6:0,[34:66.64:267389:42.6:0
ACIA_011720C25,U,U,U,U,54:66.49:402103:30.8:0,54:67.0775:236216:30.8:0,54:67.01:351837:30.8:0,54:67.12:253581:30.8:0,54:66.805:129338:30.8:0,54:66.7:766870:30.8:0,[54:66.64:267389:30.8:0
ACIA_011720C30,U,U,U,U,11:66.49:402103:35.05:0,11:67.0775:236216:35.05:0,11:67.01:351837:35.05:0,11:67.12:253581:35.05:0,11:66.805:129338:35.05:0,11:66.7:766870:35.05:0,[11:66.64:267389:35.05:0
ACIA_011720C35,U,U,U,U,210:66.49:402103:30.1:0,210:67.0775:236216:30.1:0,210:67.01:351837:30.1:0,210:67.12:253581:30.1:0,210:66.805:129338:30.1:0,210:66.7:766870:30.1:0,[210:66.64:267389:30.1:0
ACIA_011720C40,U,U,U,U,186:66.49:402103:26.66:0,186:67.0775:236216:26.66:0,186:67.01:351837:26.66:0,186:67.12:253581:26.66:0,186:66.805:129338:26.66:0,186:66.7:766870:26.66:0,[186:66.64:267389:26.66:0
ACIA_011720C45,U,U,U,U,1002:66.49:402103:19.5:0,1002:67.0775:236216:19.5:0,1002:67.01:351837:19.5:0,1002:67.12:253581:19.5:0,1002:66.805:129338:19.5:0,1002:66.7:766870:19.5:0,[1002:66.64:267389:19.5:0
ACIA_011720C50,U,U,U,U,272:66.49:402103:15.34:0,272:67.0775:236216:15.34:0,272:67.01:351837:15.34:0,272:67.12:253581:15.34:0,272:66.805:129338:15.34:0,272:66.7:766870:15.34:0,[272:66.64:267389:15.34:0
ACIA_011720C55,U,U,U,U,254:66.49:402103:11.3:0,254:67.0775:236216:11.3:0,254:67.01:351837:11.3:0,254:67.12:253581:11.3:0,254:66.805:129338:11.3:0,254:66.7:766870:11.3:0,[254:66.64:267389:11.3:0
ACIA_011720C60,U,U,U,U,114:66.49:402103:7.84:0,114:67.0775:236216:7.84:0,114:67.01:351837:7.84:0,114:67.12:253581:7.84:0,114:66.805:129338:7.84:0,114:66.7:766870:7.84:0,[114:66.64:267389:7.84:0
ACIA_011720C65,U,U,U,U,291:66.49:402103:2.3:0,291:67.0775:236216:2.3:0,291:67.01:351837:2.3:0,291:67.12:253581:2.3:0,291:66.805:129338:2.3:0,291:66.7:766870:2.3:0,[291:66.64:267389:2.3:0
ACIA_011720C70,U,U,U,U,1644:66.49:402103:0.2:0,1644:67.0775:236216:0.1:10,1644:67.01:351837:0.1:0,1644:67.12:253581:0.1:0,1644:66.805:129338:0.1:0,1644:66.7:766870:0.1:0,[1644:66.64:267389:0.1:0
ACIA_011720C75,U,U,U,U,203:66.49:402103:0.05:0,203:67.0775:236216:0.05:0,203:67.01:351837:0.05:0,203:67.12:253581:0.05:0,203:66.805:129338:0.05:0,203:66.7:766870:0.05:0,[203:66.64:267389:0.05:0
ACIA_011720C80,U,U,U,U,41:66.49:402103:0.1:0,41:67.0775:236216:0.1:0,41:67.01:351837:0.1:0,41:67.12:253581:0.1:0,41:66.805:129338:0.1:0,41:66.7:766870:0.1:0,[41:66.64:267389:0.1:0
ACIA_011720C85,U,U,U,U,21:66.49:402103:0.05:0,21:67.0775:236216:0.05:0,21:67.01:351837:0.05:0,21:67.12:253581:0.05:0,21:66.805:129338:0.05:0,21:66.7:766870:0.05:0,[21:66.64:267389:0.05:0
ACIA_011720C90,U,U,U,U,76:66.49:402103:0.05:0,76:67.0775:236216:0.05:0,76:67.01:351837:0.05:0,76:67.12:253581:0.05:0,76:66.805:129338:0.05:0,76:66.7:766870:0.05:0,[76:66.64:267389:0.05:0
ACIA_011720C100,U,U,U,U,U,U,0:67.01:351837:0.0:0,0:67.12:253581:0.0:0,0:66.805:129338:0.0:0,0:66.7:766870:0.0:0,[0:66.64:267389:0.0:0
ACIA_011720C95,U,U,U,U,U,U,0:67.01:351837:0.0:0,0:67.12:253581:0.0:0,0:66.805:129338:0.0:0,0:66.7:766870:0.0:0,[0:66.64:267389:0.0:0
