Symbol,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
ACIA_122019P35,0:66.43:237184:0.0:0,0:66.8:541374:0.0:0,0:67.39:609424:0.0:0,0:67.1:253704:0.0:0,0:66.49:402103:0.0:0,0:67.0775:236216:0.0:0,0:67.01:351837:0.0:0,0:67.12:253581:0.0:0,0:66.805:129338:0.0:0,0:66.7:766870:0.0:0,[0:66.64:267389:0.0:0
ACIA_122019P40,0:66.43:237184:0.0:0,0:66.8:541374:0.0:0,0:67.39:609424:0.0:0,0:67.1:253704:0.0:0,0:66.49:402103:0.0:0,0:67.0775:236216:0.0:0,0:67.01:351837:0.0:0,0:67.12:253581:0.0:0,0:66.805:129338:0.0:0,0:66.7:766870:0.0:0,[0:66.64:267389:0.0:0
ACIA_122019P45,0:66.43:237184:0.0:0,0:66.8:541374:0.0:0,0:67.39:609424:0.0:0,0:67.1:253704:0.0:0,0:66.49:402103:0.0:0,0:67.0775:236216:0.0:0,0:67.01:351837:0.0:0,0:67.12:253581:0.0:0,0:66.805:129338:0.0:0,0:66.7:766870:0.0:0,[0:66.64:267389:0.0:0
ACIA_122019P50,0:66.43:237184:0.0:0,0:66.8:541374:0.0:0,0:67.39:609424:0.0:0,0:67.1:253704:0.0:0,0:66.49:402103:0.0:0,0:67.0775:236216:0.0:0,0:67.01:351837:0.0:0,0:67.12:253581:0.0:0,0:66.805:129338:0.0:0,0:66.7:766870:0.0:0,[0:66.64:267389:0.0:0
ACIA_122019P55,0:66.43:237184:0.0:0,0:66.8:541374:0.0:0,0:67.39:609424:0.0:0,0:67.1:253704:0.0:0,0:66.49:402103:0.0:0,0:67.0775:236216:0.0:0,0:67.01:351837:0.0:0,0:67.12:253581:0.0:0,0:66.805:129338:0.0:0,0:66.7:766870:0.0:0,[0:66.64:267389:0.0:0
ACIA_122019P60,0:66.43:237184:0.0:0,0:66.8:541374:0.0:0,0:67.39:609424:0.0:0,0:67.1:253704:0.0:0,0:66.49:402103:0.0:0,0:67.0775:236216:0.0:0,0:67.01:351837:0.0:0,0:67.12:253581:0.0:0,0:66.805:129338:0.0:0,0:66.7:766870:0.0:0,[0:66.64:267389:0.0:0
ACIA_122019P65,0:66.43:237184:0.0:0,0:66.8:541374:0.2:2,2:67.39:609424:0.15:3,5:67.1:253704:0.15:0,5:66.49:402103:0.15:0,5:67.0775:236216:0.15:0,5:67.01:351837:0.15:0,5:67.12:253581:0.15:0,5:66.805:129338:0.15:0,5:66.7:766870:0.15:0,[5:66.64:267389:0.08:10
ACIA_122019P70,0:66.43:237184:0.0:0,0:66.8:541374:0.0:0,0:67.39:609424:0.0:0,0:67.1:253704:0.0:0,0:66.49:402103:0.0:0,0:67.0775:236216:0.0:0,0:67.01:351837:2.9:100,100:67.12:253581:2.9:0,100:66.805:129338:2.9:0,100:66.7:766870:2.9:0,[100:66.64:267389:3.8:10
ACIA_122019P75,0:66.43:237184:0.0:0,0:66.8:541374:0.0:0,0:67.39:609424:0.0:0,0:67.1:253704:0.0:0,0:66.49:402103:0.0:0,0:67.0775:236216:0.0:0,0:67.01:351837:0.0:0,0:67.12:253581:0.0:0,0:66.805:129338:0.0:0,0:66.7:766870:0.0:0,[0:66.64:267389:0.0:0
ACIA_122019P80,0:66.43:237184:0.0:0,0:66.8:541374:0.0:0,0:67.39:609424:0.0:0,0:67.1:253704:0.0:0,0:66.49:402103:0.0:0,0:67.0775:236216:0.0:0,0:67.01:351837:0.0:0,0:67.12:253581:0.0:0,0:66.805:129338:0.0:0,0:66.7:766870:0.0:0,[0:66.64:267389:0.0:0
