Symbol,20191028,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
ADBE_112219C247.5,2:271.35,2:271.45,2:278.41,2:276.77,2,2:277.5,2:289.29,2:287.4,2:290.77:3201304:24.54:0,2:291.99:1147402:24.54:0,2:290.15:1517028:24.54:0,2:291.46:1748507:24.54:0,2:293.38:1432855:24.54:0,2:294.53:1413463:24.54:0,2:297.18:1653038:24.54:0,U:297.07:1632740::,2:300.6:2140325:24.54:0,2:299.33:1194266:24.54:0,2:298.8:1609828:24.54:0,2:299.3:1463130:24.54:0
ADBE_112219C250,10:271.35,10:271.45,10:278.41,10:276.76,10,10:277.5,10:289.29,8:287.4,8:290.77:3201304:40.5:150,155:291.99:1147402:40.5:0,155:290.15:1517028:40.7:50,205:291.46:1748507:40.7:0,205:293.38:1432855:40.7:0,205:294.53:1413463:40.7:0,205:297.18:1653038:40.7:0,205:297.07:1632740:48.1:50,205:300.6:2140325:47.75:150,159:299.33:1194266:47.75:0,159:298.8:1609828:47.75:0,159:299.3:1463130:47.75:0
ADBE_112219C252.5,3:271.35,3:271.45,3:278.41,3:276.76,3,3:277.5,3:289.29,3:287.4,3:290.77:3201304:35.46:0,3:291.99:1147402:35.46:0,3:290.15:1517028:35.46:0,3:291.46:1748507:35.46:0,3:293.38:1432855:40.2:1,2:294.53:1413463:40.2:0,2:297.18:1653038:40.2:0,U:297.07:1632740::,:300.6:2140325:U:U,2:299.33:1194266:40.2:0,2:298.8:1609828:40.2:0,2:299.3:1463130:40.2:0
ADBE_112219C255,0:271.35,1:271.45,1:278.41,1:276.76,1,1:277.5,1:289.29,1:287.4,1:290.77:3201304:37.1:0,1:291.99:1147402:37.1:0,1:290.15:1517028:37.1:0,1:291.46:1748507:37.1:0,1:293.38:1432855:37.1:0,1:294.53:1413463:37.1:0,1:297.18:1653038:37.1:0,1:297.07:1632740:37.1:0,1:300.6:2140325:37.1:0,1:299.33:1194266:37.1:0,1:298.8:1609828:37.1:0,1:299.3:1463130:37.1:0
ADBE_112219C257.5,4:271.35,4:271.45,4:278.41,4:276.76,4,4:277.5,4:289.29,4:287.4,3:290.77:3201304:30.9:0,3:291.99:1147402:30.9:0,3:290.15:1517028:30.9:0,3:291.46:1748507:30.9:0,3:293.38:1432855:35.15:1,3:294.53:1413463:35.99:1,3:297.18:1653038:35.99:0,U:297.07:1632740:7.:,3:300.6:2140325:35.99:0,3:299.33:1194266:35.99:0,3:298.8:1609828:35.99:0,3:299.3:1463130:35.99:0
ADBE_112219C260,11:271.35,16:271.45,16:278.41,16:276.76,16,16:277.5,21:289.29,10:287.4,10:290.77:3201304:30.9:7,9:291.99:1147402:30.9:0,9:290.15:1517028:30.9:0,9:291.46:1748507:30.9:0,9:293.38:1432855:30.9:0,9:294.53:1413463:30.9:0,9:297.18:1653038:30.9:0,9:297.07:1632740:30.9:0,9:300.6:2140325:30.9:0,9:299.33:1194266:30.9:0,9:298.8:1609828:30.9:0,9:299.3:1463130:30.9:0
ADBE_112219C262.5,11:271.35,11:271.45,11:278.41,11:276.76,13,13:277.5,14:289.29,14:287.4,13:290.77:3201304:26.05:0,13:291.99:1147402:26.05:0,13:290.15:1517028:26.05:0,13:291.46:1748507:26.05:0,13:293.38:1432855:26.05:0,13:294.53:1413463:26.05:0,13:297.18:1653038:26.05:0,13:297.07:1632740:26.05:0,13:300.6:2140325:36.08:1,12:299.33:1194266:36.08:0,12:298.8:1609828:36.08:0,12:299.3:1463130:36.08:0
ADBE_112219C265,294:271.35,294:271.45,294:278.41,278:276.76,273,241:277.5,244:289.29,246:287.4,246:290.77:3201304:26.14:53,234:291.99:1147402:26.25:2,234:290.15:1517028:26.25:0,234:291.46:1748507:26.25:0,234:293.38:1432855:26.25:0,234:294.53:1413463:26.25:0,234:297.18:1653038:26.25:0,U:297.07:1632740::,234:300.6:2140325:26.25:0,234:299.33:1194266:26.25:0,234:298.8:1609828:26.25:0,234:299.3:1463130:32.0:1
ADBE_112219C267.5,38:271.35,38:271.45,38:278.41,38:276.76,38,39:277.5,40:289.29,39:287.4,39:290.77:3201304:21.22:0,39:291.99:1147402:21.22:0,39:290.15:1517028:21.22:0,39:291.46:1748507:25.6:1,39:293.38:1432855:25.6:0,39:294.53:1413463:27.42:1,40:297.18:1653038:27.42:0,40:297.07:1632740:27.42:0,40:300.6:2140325:27.42:0,40:299.33:1194266:27.42:0,40:298.8:1609828:30.87:1,40:299.3:1463130:29.5:3
ADBE_112219C270,136:271.35,148:271.45,150:278.41,149:276.76,148,148:277.5,148:289.29,203:287.4,170:290.77:3201304:21.35:30,145:291.99:1147402:21.35:0,145:290.15:1517028:21.67:15,145:291.46:1748507:21.67:0,145:293.38:1432855:23.15:10,145:294.53:1413463:23.6:2,145:297.18:1653038:23.6:0,145:297.07:1632740:27.8:10,:300.6:2140325:U:U,132:299.33:1194266:30.9:0,132:298.8:1609828:29.75:11,131:299.3:1463130:29.75:0
ADBE_112219C272.5,121:271.35,145:271.45,155:278.41,151:276.76,142,140:277.5,140:289.29,132:287.4,132:290.77:3201304:19.17:1,132:291.99:1147402:19.17:0,132:290.15:1517028:19.17:0,132:291.46:1748507:19.17:0,132:293.38:1432855:19.17:0,132:294.53:1413463:21.82:1,133:297.18:1653038:23.65:1,133:297.07:1632740:23.65:0,:300.6:2140325:U:U,U:299.33:1194266:U:U,138:298.8:1609828:26.37:11,137:299.3:1463130:26.37:0
ADBE_112219C275,168:271.35,209:271.45,208:278.41,202:276.76,217,219:277.5,221:289.29,204:287.4,204:290.77:3201304:16.97:7,204:291.99:1147402:16.97:0,204:290.15:1517028:16.81:2,204:291.46:1748507:16.81:0,204:293.38:1432855:17.75:2,202:294.53:1413463:17.75:0,202:297.18:1653038:19.08:1,201:297.07:1632740:22.13:5,196:300.6:2140325:22.69:2,196:299.33:1194266:25.56:2,194:298.8:1609828:25.56:0,[194:299.3:1463130:22.09:19
ADBE_112219C277.5,88:271.35,104:271.45,104:278.41,94:276.76,96,97:277.5,100:289.29,97:287.4,97:290.77:3201304:14.07:9,98:291.99:1147402:14.6:2,96:290.15:1517028:14.6:0,96:291.46:1748507:14.64:6,96:293.38:1432855:16.2:1,95:294.53:1413463:15.92:3,92:297.18:1653038:19.55:6,91:297.07:1632740:19.55:0,91:300.6:2140325:20.8:1,91:299.33:1194266:22.67:2,90:298.8:1609828:22.67:0,[90:299.3:1463130:22.67:0
ADBE_112219C280,268:271.35,288:271.45,290:278.41,291:276.76,282,261:277.5,254:289.29,253:287.4,289:290.77:3201304:12.57:15,289:291.99:1147402:12.7:8,291:290.15:1517028:12.33:25,272:291.46:1748507:12.7:54,219:293.38:1432855:13.71:10,229:294.53:1413463:13.71:0,229:297.18:1653038:16.95:16,231:297.07:1632740:18.25:36,205:300.6:2140325:20.35:31,190:299.33:1194266:19.6:22,188:298.8:1609828:18.0:4,[188:299.3:1463130:19.17:51
ADBE_112219C282.5,90:271.35,99:271.45,114:278.41,114:276.7,110,96:277.5,85:289.29,85:287.4,112:290.77:3201304:11.05:34,85:291.99:1147402:11.4:29,103:290.15:1517028:9.86:9,102:291.46:1748507:10.81:30,80:293.38:1432855:11.5:10,80:294.53:1413463:13.0:5,81:297.18:1653038:14.8:45,115:297.07:1632740:15.44:5,119:300.6:2140325:17.87:58,113:299.33:1194266:17.19:32,122:298.8:1609828:15.27:4,[122:299.3:1463130:16.59:47
ADBE_112219C285,87:271.35,96:271.45,104:278.41,102:276.7,79,58:277.5,61:289.29,58:287.4,103:290.77:3201304:8.82:14,101:291.99:1147402:9.1:35,103:290.15:1517028:8.3:13,103:291.46:1748507:7.66:12,100:293.38:1432855:9.34:5,104:294.53:1413463:10.55:4,103:297.18:1653038:12.17:65,100:297.07:1632740:12.45:159,110:300.6:2140325:15.45:53,107:299.33:1194266:15.45:8,104:298.8:1609828:14.33:11,[98:299.3:1463130:14.0:4
ADBE_112219C287.5,26:271.35,58:271.45,60:278.41,90:276.7,121,168:277.5,173:289.29,184:287.4,197:290.77:3201304:7.0:24,198:291.99:1147402:7.11:6,200:290.15:1517028:6.0:30,216:291.46:1748507:7.41:54,230:293.38:1432855:7.7:48,231:294.53:1413463:8.29:13,238:297.18:1653038:10.0:46,253:297.07:1632740:10.41:38,231:300.6:2140325:13.26:22,222:299.33:1194266:13.75:2,220:298.8:1609828:11.15:19,[212:299.3:1463130:8.55:19
ADBE_112219C290,60:271.35,61:271.45,70:278.41,437:276.7,542,556:277.5,523:289.29,537:287.4,549:290.77:3201304:5.8:71,545:291.99:1147402:5.89:42,548:290.15:1517028:4.18:87,539:291.46:1748507:4.9:335,329:293.38:1432855:5.9:53,322:294.53:1413463:6.62:67,335:297.18:1653038:7.6:162,320:297.07:1632740:8.25:22,319:300.6:2140325:10.95:92,296:299.33:1194266:10.0:30,290:298.8:1609828:8.5:54,[272:299.3:1463130:8.98:43
ADBE_112219C292.5,14:271.35,19:271.45,17:278.41,388:276.7,504,528:277.5,506:289.29,504:287.4,522:290.77:3201304:4.3:53,525:291.99:1147402:4.15:17,524:290.15:1517028:3.22:84,574:291.46:1748507:3.5:327,396:293.38:1432855:4.5:99,381:294.53:1413463:5.0:123,390:297.18:1653038:6.0:185,324:297.07:1632740:5.8:49,318:300.6:2140325:8.3:81,290:299.33:1194266:7.55:23,286:298.8:1609828:5.8:80,[249:299.3:1463130:6.47:33
