Symbol,20191028,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
ADBE_112219P247.5,231:271.35,239:271.45,225:278.41,224:277.28,224,224:277.5,227:289.29,223:287.4,208:290.77:3201304:0.09:18,191:291.99:1147402:0.22:8,191:290.15:1517028:0.12:10,191:291.46:1748507:0.12:0,191:293.38:1432855:0.12:0,191:294.53:1413463:0.12:0,191:297.18:1653038:0.02:2,190:297.07:1632740:0.02:0,190:300.6:2140325:0.02:0,190:299.33:1194607:0.02:0,190:298.8:1609828:0.02:0,U:299.3:1463136:U:U
ADBE_112219P250,281:271.35,291:271.45,280:278.41,256:277.28,257,296:277.5,297:289.29,276:287.4,266:290.77:3201304:0.12:18,271:291.99:1147402:0.29:8,271:290.15:1517028:0.14:10,271:291.46:1748507:0.05:2,270:293.38:1432855:0.05:0,270:294.53:1413463:0.04:2,268:297.18:1653038:0.02:1,U:297.07:1632740::,267:300.6:2140325:0.01:3,266:299.33:1194607:0.01:0,266:298.8:1609828:0.01:0,266:299.3:1463136:0.01:0
ADBE_112219P252.5,71:271.35,71:271.45,76:278.41,76:277.28,77,78:277.5,82:289.29,77:287.4,77:290.77:3201304:0.14:7,83:291.99:1147402:0.14:0,83:290.15:1517028:0.14:0,83:291.46:1748507:0.14:0,83:293.38:1432855:0.14:0,83:294.53:1413463:0.14:0,83:297.18:1653038:0.14:0,U:297.07:1632740::,83:300.6:2140325:0.14:0,83:299.33:1194607:0.14:0,U:298.8:1609828:U:U,83:299.3:1463136:0.2:1
ADBE_112219P255,123:271.35,153:271.45,154:278.41,159:277.26,150,144:277.5,144:289.29,110:287.4,94:290.77:3201304:0.15:9,101:291.99:1147402:0.11:7,101:290.15:1517028:0.09:1,101:291.46:1748507:0.09:0,101:293.38:1432855:0.05:1,100:294.53:1413463:0.06:2,98:297.18:1653038:0.06:0,U:297.07:1632740::,98:300.6:2140325:0.05:0,98:299.33:1194607:0.05:0,U:298.8:1609828:U:U,98:299.3:1463136:0.18:1
ADBE_112219P257.5,107:271.35,197:271.45,204:278.41,180:277.225,182,174:277.5,174:289.29,179:287.4,172:290.77:3201304:0.27:0,172:291.99:1147402:0.27:0,172:290.15:1517028:0.08:6,172:291.46:1748507:0.08:0,172:293.38:1432855:0.08:0,172:294.53:1413463:0.08:0,172:297.18:1653038:0.02:12,U:297.07:1632740::,170:300.6:2140325:0.02:0,170:299.33:1194607:0.02:0,170:298.8:1609828:0.01:3,169:299.3:1463136:0.01:0
ADBE_112219P260,137:271.35,140:271.45,138:278.41,151:277.22,165,185:277.5,186:289.29,193:287.4,188:290.77:3201304:0.22:15,177:291.99:1147402:0.22:0,177:290.15:1517028:0.11:4,174:291.46:1748507:0.07:21,163:293.38:1432855:0.06:101,262:294.53:1413463:0.08:10,267:297.18:1653038:0.05:1,266:297.07:1632740:0.02:3,263:300.6:2140325:0.01:1,262:299.33:1194607:0.01:0,262:298.8:1609828:0.02:1,262:299.3:1463136:0.02:0
ADBE_112219P262.5,85:271.35,95:271.45,124:278.41,113:277.25,99,100:277.5,100:289.29,106:287.4,105:290.77:3201304:0.25:1,105:291.99:1147402:0.21:4,105:290.15:1517028:0.15:16,95:291.46:1748507:0.09:2,96:293.38:1432855:0.05:1,96:294.53:1413463:0.05:0,96:297.18:1653038:0.05:6,96:297.07:1632740:0.05:0,96:300.6:2140325:0.05:12,96:299.33:1194607:0.05:0,96:298.8:1609828:0.05:0,96:299.3:1463136:0.05:0
ADBE_112219P265,98:271.35,104:271.45,109:278.41,111:277.26,97,101:277.5,101:289.29,111:287.4,97:290.77:3201304:0.35:7,101:291.99:1147402:0.25:10,97:290.15:1517028:0.17:11,96:291.46:1748507:0.11:11,91:293.38:1432855:0.11:0,91:294.53:1413463:0.11:0,91:297.18:1653038:0.04:14,90:297.07:1632740:0.07:1,89:300.6:2140325:0.07:0,89:299.33:1194607:0.07:0,89:298.8:1609828:0.07:0,89:299.3:1463136:0.07:0
ADBE_112219P267.5,84:271.35,85:271.45,85:278.41,78:277.26,85,99:277.5,114:289.29,116:287.4,129:290.77:3201304:0.44:30,146:291.99:1147402:0.47:3,146:290.15:1517028:0.23:10,137:291.46:1748507:0.22:1,136:293.38:1432855:0.1:2,135:294.53:1413463:0.1:0,135:297.18:1653038:0.04:11,135:297.07:1632740:0.06:1,134:300.6:2140325:0.06:0,134:299.33:1194607:0.02:30,164:298.8:1609828:0.01:2,164:299.3:1463136:0.01:0
ADBE_112219P270,28:271.35,37:271.45,37:278.41,37:277.235,39,109:277.5,114:289.29,124:287.4,138:290.77:3201304:0.61:21,130:291.99:1147402:0.51:4,129:290.15:1517028:0.31:334,365:291.46:1748507:0.18:2,365:293.38:1432855:0.12:316,229:294.53:1413463:0.1:1,228:297.18:1653038:0.04:14,224:297.07:1632740:0.03:14,215:300.6:2140325:0.03:0,215:299.33:1194607:0.02:1,214:298.8:1609828:0.02:0,214:299.3:1463136:0.02:0
ADBE_112219P272.5,9:271.35,21:271.45,32:278.41,38:277.235,68,75:277.5,93:289.29,107:287.4,120:290.77:3201304:0.78:3,119:291.99:1147402:0.77:1,119:290.15:1517028:0.5:58,160:291.46:1748507:0.25:21,180:293.38:1432855:0.17:12,178:294.53:1413463:0.13:2,177:297.18:1653038:0.07:14,168:297.07:1632740:0.03:39,155:300.6:2140325:0.03:2,154:299.33:1194607:0.03:50,204:298.8:1609828:0.03:0,204:299.3:1463136:0.03:0
ADBE_112219P275,20:271.35,20:271.45,40:278.41,78:277.11,115,129:277.5,141:289.29,213:287.4,206:290.77:3201304:0.96:44,205:291.99:1147402:0.71:10,208:290.15:1517028:0.56:62,237:291.46:1748507:0.42:44,249:293.38:1432855:0.26:51,285:294.53:1413463:0.17:153,364:297.18:1653038:0.07:45,391:297.07:1632740:0.05:185,314:300.6:2140325:0.02:79,279:299.33:1194607:0.02:0,279:298.8:1609828:0.02:0,[279:299.3:1463136:0.02:1
ADBE_112219P277.5,6:271.35,6:271.45,26:278.41,26:277.14,47,83:277.5,140:289.29,249:287.4,311:290.77:3201304:1.25:25,317:291.99:1147402:0.88:61,367:290.15:1517028:0.79:33,380:291.46:1748507:0.47:5,379:293.38:1432855:0.42:14,376:294.53:1413463:0.23:14,373:297.18:1653038:0.09:45,366:297.07:1632740:0.08:73,316:300.6:2140325:0.03:25,304:299.33:1194607:0.06:5,304:298.8:1609828:0.06:0,[304:299.3:1463136:0.01:1
ADBE_112219P280,20:271.35,21:271.45,21:278.41,21:277.09,23,50:277.5,51:289.29,63:287.4,121:290.77:3201304:1.7:34,141:291.99:1147402:1.15:24,153:290.15:1517028:1.22:181,244:291.46:1748507:0.78:36,244:293.38:1432855:0.55:69,243:294.53:1413463:0.36:311,425:297.18:1653038:0.14:125,411:297.07:1632740:0.12:84,385:300.6:2140325:0.05:130,358:299.33:1194607:0.13:52,326:298.8:1609828:0.05:0,[326:299.3:1463136:0.01:17
ADBE_112219P282.5,1:271.35,1:271.45,1:278.41,1:277.09,6,6:277.5,6:289.29,7:287.4,8:290.77:3201304:2.08:10,13:291.99:1147402:1.75:10,22:290.15:1517028:1.54:121,131:291.46:1748507:1.27:29,133:293.38:1432855:0.8:57,173:294.53:1413463:0.68:150,298:297.18:1653038:0.19:101,333:297.07:1632740:0.15:470,558:300.6:2140325:0.07:103,536:299.33:1194607:0.16:12,530:298.8:1609828:0.04:4,[528:299.3:1463136:0.01:17
ADBE_112219P285,1:271.35,1:271.45,1:278.41,1:277.08,5,5:277.5,8:289.29,37:287.4,36:290.77:3201304:2.89:13,37:291.99:1147402:2.13:9,43:290.15:1517028:2.13:68,68:291.46:1748507:1.83:65,101:293.38:1432855:1.11:89,141:294.53:1413463:0.79:68,177:297.18:1653038:0.31:115,216:297.07:1632740:0.25:440,444:300.6:2140325:0.1:25,452:299.33:1194607:0.09:58,454:298.8:1609828:0.06:27,[462:299.3:1463136:0.01:16
