Symbol,20191028,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
ADI_112219C99.5,0:108.83,0:108.06,0:108.25,0:105.435,0,0:111.39,0:113.45,0:112.03,0:112.29:1139209:0.0:0,0:112.84:742939:0.0:0,0:112.54:1074959:0.0:0,0:113.465:931615:0.0:0,0:114.215:1347192:0.0:0,0:113.32:1057322:0.0:0,0:113.29:1468122:0.0:0,0:111.97:1845236:0.0:0,:111.71:1870559:U:U,U:109.02:1730369:U:U,0:108.37:1150943:0.0:0,0:110.65:1783548:0.0:0
ADI_112219C100,0:108.83,0:108.06,0:108.25,0:105.42,0,0:111.39,0:113.45,0:112.03,0:112.29:1139209:0.0:0,0:112.84:742939:0.0:0,0:112.54:1074959:0.0:0,0:113.465:931615:0.0:0,0:114.215:1347192:0.0:0,0:113.32:1057322:0.0:0,0:113.29:1468122:0.0:0,0:111.97:1845236:0.0:0,0:111.71:1870559:0.0:0,0:109.02:1730369:0.0:0,0:108.37:1150943:0.0:0,0:110.65:1783548:0.0:0
ADI_112219C101,0:108.83,0:108.06,0:108.25,0:105.42,0,0:111.39,0:113.45,0:112.03,0:112.29:1139209:0.0:0,0:112.84:742939:0.0:0,0:112.54:1074959:0.0:0,0:113.465:931615:0.0:0,0:114.215:1347192:0.0:0,3:113.32:1057322:0.0:0,3:113.29:1468122:0.0:0,3:111.97:1845236:0.0:0,:111.71:1870559:U:U,3:109.02:1730369:12.6:0,3:108.37:1150943:12.6:0,[3:110.65:1783548:12.6:0
ADI_112219C102,0:108.83,0:108.06,0:108.25,0:105.4,0,0:111.39,0:113.45,0:112.03,0:112.29:1139209:0.0:0,0:112.84:742939:0.0:0,0:112.54:1074959:0.0:0,0:113.465:931615:0.0:0,0:114.215:1347192:0.0:0,0:113.32:1057322:0.0:0,0:113.29:1468122:0.0:0,0:111.97:1845236:0.0:0,0:111.71:1870559:0.0:0,0:109.02:1730369:0.0:0,0:108.37:1150943:0.0:0,[0:110.65:1783548:0.0:0
ADI_112219C103,0:108.83,0:108.06,0:108.25,0:105.41,0,0:111.39,0:113.45,0:112.03,0:112.29:1139209:0.0:0,0:112.84:742939:0.0:0,0:112.54:1074959:0.0:0,0:113.465:931615:0.0:0,0:114.215:1347192:0.0:0,0:113.32:1057322:0.0:0,0:113.29:1468122:0.0:0,0:111.97:1845236:0.0:0,0:111.71:1870559:0.0:0,0:109.02:1730369:0.0:0,0:108.37:1150943:0.0:0,[0:110.65:1783548:0.0:0
ADI_112219C104,0:108.83,0:108.06,0:108.25,0:105.41,0,0:111.39,0:113.45,0:112.03,0:112.29:1139209:0.0:0,0:112.84:742939:0.0:0,0:112.54:1074959:0.0:0,0:113.465:931615:0.0:0,0:114.215:1347192:0.0:0,0:113.32:1057322:0.0:0,0:113.29:1468122:0.0:0,0:111.97:1845236:0.0:0,0:111.71:1870559:0.0:0,0:109.02:1730369:0.0:0,0:108.37:1150943:0.0:0,[0:110.65:1783548:0.0:0
ADI_112219C105,0:108.83,0:108.06,0:108.25,101:105.41,209,209:111.39,209:113.45,201:112.03,201:112.29:1139209:9.33:0,201:112.84:742939:9.33:0,201:112.54:1074959:9.33:0,201:113.465:931615:9.33:0,201:114.215:1347192:9.33:0,201:113.32:1057322:9.33:0,201:113.29:1468122:9.33:0,201:111.97:1845236:9.33:0,201:111.71:1870559:9.33:0,201:109.02:1730369:9.33:0,116:108.37:1150943:3.8:0,[116:110.65:1783548:3.8:0
ADI_112219C106,1:108.83,1:108.06,1:108.25,51:105.41,51,51:111.39,51:113.45,51:112.03,51:112.29:1139209:4.5:0,51:112.84:742939:4.5:0,51:112.54:1074959:4.5:0,51:113.465:931615:4.5:0,51:114.215:1347192:4.5:0,51:113.32:1057322:7.35:1,50:113.29:1468122:7.35:0,50:111.97:1845236:7.35:0,50:111.71:1870559:7.35:0,50:109.02:1730369:3.9:47,50:108.37:1150943:3.9:0,[50:110.65:1783548:4.63:3
ADI_112219C107,1:108.83,1:108.06,1:108.25,1:105.455,2,2:111.39,2:113.45,2:112.03,2:112.29:1139209:1.9:0,2:112.84:742939:5.34:2,4:112.54:1074959:5.76:35,38:113.465:931615:6.5:3,36:114.215:1347192:5.8:12,48:113.32:1057322:5.8:0,48:113.29:1468122:5.8:0,48:111.97:1845236:5.8:0,48:111.71:1870559:5.8:0,48:109.02:1730369:5.8:0,48:108.37:1150943:5.8:0,[48:110.65:1783548:3.31:35
ADI_112219C108,0:108.83,12:108.06,35:108.25,35:105.465,35,35:111.39,35:113.45,35:112.03,35:112.29:1139209:4.1:0,35:112.84:742939:4.1:0,35:112.54:1074959:4.94:35,47:113.465:931615:4.94:0,47:114.215:1347192:4.94:0,47:113.32:1057322:4.94:0,47:113.29:1468122:4.94:0,47:111.97:1845236:4.94:0,47:111.71:1870559:4.94:0,47:109.02:1730369:1.45:32,59:108.37:1150943:1.45:0,[59:110.65:1783548:2.3:35
ADI_112219C109,1:108.83,46:108.06,46:108.25,77:105.45,77,77:111.39,77:113.45,77:112.03,77:112.29:1139209:4.45:15,87:112.84:742939:4.45:0,87:112.54:1074959:4.45:0,87:113.465:931615:4.45:0,87:114.215:1347192:4.45:0,87:113.32:1057322:4.45:0,87:113.29:1468122:5.04:1,88:111.97:1845236:5.04:0,88:111.71:1870559:5.04:0,88:109.02:1730369:1.35:29,88:108.37:1150943:0.65:1,[91:110.65:1783548:1.68:15
ADI_112219C110,12:108.83,320:108.06,348:108.25,353:105.43,357,357:111.39,356:113.45,356:112.03,356:112.29:1139209:4.93:0,356:112.84:742939:4.93:0,356:112.54:1074959:4.93:0,356:113.465:931615:4.93:0,356:114.215:1347192:4.93:0,356:113.32:1057322:4.93:0,356:113.29:1468122:4.93:0,356:111.97:1845236:2.54:2,358:111.71:1870559:2.5:227,358:109.02:1730369:0.6:31,378:108.37:1150943:0.33:9,[383:110.65:1783548:0.5:79
ADI_112219C111,7:108.83,88:108.06,105:108.25,106:105.43,162,160:111.39,160:113.45,164:112.03,164:112.29:1139209:4.17:0,164:112.84:742939:4.17:0,164:112.54:1074959:4.17:0,164:113.465:931615:3.53:7,159:114.215:1347192:3.8:1,158:113.32:1057322:3.8:0,158:113.29:1468122:3.1:8,162:111.97:1845236:1.9:3,162:111.71:1870559:1.95:1,162:109.02:1730369:0.38:1,163:108.37:1150943:0.1:3,[164:110.65:1783548:0.05:18
ADI_112219C112,3:108.83,85:108.06,87:108.25,87:105.43,87,87:111.39,88:113.45,101:112.03,108:112.29:1139209:2.1:12,120:112.84:742939:2.2:1,120:112.54:1074959:1.9:4,120:113.465:931615:2.83:7,115:114.215:1347192:2.85:11,115:113.32:1057322:2.85:0,115:113.29:1468122:2.2:8,120:111.97:1845236:1.25:62,160:111.71:1870559:1.6:27,180:109.02:1730369:0.1:19,182:108.37:1150943:0.06:16,[180:110.65:1783548:0.01:4
ADI_112219C113,0:108.83,53:108.06,54:108.25,135:105.42,135,135:111.39,135:113.45,138:112.03,146:112.29:1139209:1.78:61,195:112.84:742939:1.8:8,196:112.54:1074959:1.52:11,197:113.465:931615:2.03:7,198:114.215:1347192:2.03:0,198:113.32:1057322:1.85:10,200:113.29:1468122:1.7:23,207:111.97:1845236:0.8:169,284:111.71:1870559:0.5:110,342:109.02:1730369:0.05:12,342:108.37:1150943:0.05:0,[342:110.65:1783548:0.03:1
ADI_112219C114,3:108.83,3:108.06,59:108.25,58:105.42,58,58:111.39,58:113.45,58:112.03,58:112.29:1139209:2.05:0,58:112.84:742939:1.25:3,58:112.54:1074959:1.25:0,58:113.465:931615:1.45:51,99:114.215:1347192:1.8:79,161:113.32:1057322:1.35:32,167:113.29:1468122:1.09:109,123:111.97:1845236:0.45:80,168:111.71:1870559:0.55:99,198:109.02:1730369:0.08:4,198:108.37:1150943:0.04:1,[198:110.65:1783548:0.04:0
ADI_112219C115,24:108.83,49:108.06,57:108.25,57:105.42,57,57:111.39,62:113.45,56:112.03,58:112.29:1139209:1.0:13,58:112.84:742939:0.89:4,62:112.54:1074959:0.8:9,63:113.465:931615:0.95:9,65:114.215:1347192:1.3:8,72:113.32:1057322:0.95:7,72:113.29:1468122:0.6:69,123:111.97:1845236:0.25:31,141:111.71:1870559:0.25:28,130:109.02:1730369:0.05:3,129:108.37:1150943:0.11:1,[129:110.65:1783548:0.03:3
ADI_112219C116,3:108.83,28:108.06,94:108.25,94:105.42,94,70:111.39,70:113.45,70:112.03,70:112.29:1139209:1.05:5,71:112.84:742939:0.59:4,72:112.54:1074959:0.46:1,73:113.465:931615:0.46:0,73:114.215:1347192:0.75:2,73:113.32:1057322:0.55:29,102:113.29:1468122:0.35:154,197:111.97:1845236:0.2:8,195:111.71:1870559:0.1:6,194:109.02:1730369:0.07:1,193:108.37:1150943:0.07:0,[193:110.65:1783548:0.07:0
ADI_112219C117,4:108.83,4:108.06,8:108.25,8:105.42,8,8:111.39,8:113.45,8:112.03,10:112.29:1139209:0.44:6,6:112.84:742939:0.44:0,6:112.54:1074959:0.44:0,6:113.465:931615:0.44:0,6:114.215:1347192:0.44:0,6:113.32:1057322:0.44:0,6:113.29:1468122:0.2:11,14:111.97:1845236:0.11:14,25:111.71:1870559:0.05:3,25:109.02:1730369:0.13:10,25:108.37:1150943:0.13:0,[25:110.65:1783548:0.05:1
ADI_112219C118,0:108.83,0:108.06,0:108.25,0:105.42,0,0:111.39,0:113.45,0:112.03,0:112.29:1139209:0.0:0,0:112.84:742939:0.0:0,0:112.54:1074959:0.0:0,0:113.465:931615:0.3:3,3:114.215:1347192:0.3:0,3:113.32:1057322:0.3:0,3:113.29:1468122:0.1:10,10:111.97:1845236:0.06:1,11:111.71:1870559:0.06:0,11:109.02:1730369:0.06:0,11:108.37:1150943:0.06:0,[11:110.65:1783548:0.06:0
ADI_112919C99.5,0:108.83,0:108.06,0:108.25,0:105.42,0,0:111.39,0:113.45,0:112.03,0:112.29:1139209:0.0:0,0:112.84:742939:0.0:0,0:112.54:1074959:0.0:0,0:113.465:931615:0.0:0,0:114.215:1347192:0.0:0,0:113.32:1057322:0.0:0,0:113.29:1468122:0.0:0,0:111.97:1845236:0.0:0,0:111.71:1870559:0.0:0,U:109.02:1730369:U:U,0:108.37:1150943:0.0:0,0:110.65:1783548:0.0:0
ADI_112919C100,0:108.83,0:108.06,0:108.25,0:105.42,1,1:111.39,1:113.45,1:112.03,1:112.29:1139209:8.0:0,1:112.84:742939:8.0:0,1:112.54:1074959:8.0:0,1:113.465:931615:8.0:0,1:114.215:1347192:8.0:0,1:113.32:1057322:8.0:0,1:113.29:1468122:8.0:0,1:111.97:1845236:8.0:0,1:111.71:1870559:8.0:0,1:109.02:1730369:8.0:0,1:108.37:1150943:8.0:0,1:110.65:1783548:8.0:0
ADI_112919C101,0:108.83,0:108.06,0:108.25,0:105.42,0,0:111.39,0:113.45,0:112.03,0:112.29:1139209:0.0:0,0:112.84:742939:0.0:0,0:112.54:1074959:0.0:0,0:113.465:931615:0.0:0,0:114.215:1347192:0.0:0,0:113.32:1057322:0.0:0,0:113.29:1468122:0.0:0,0:111.97:1845236:0.0:0,0:111.71:1870559:0.0:0,0:109.02:1730369:0.0:0,0:108.37:1150943:0.0:0,[0:110.65:1783548:0.0:0
ADI_112919C102,0:108.83,0:108.06,0:108.25,0:105.42,0,0:111.39,0:113.45,0:112.03,0:112.29:1139209:0.0:0,0:112.84:742939:0.0:0,0:112.54:1074959:0.0:0,0:113.465:931615:0.0:0,0:114.215:1347192:0.0:0,0:113.32:1057322:0.0:0,0:113.29:1468122:0.0:0,0:111.97:1845236:0.0:0,0:111.71:1870559:0.0:0,0:109.02:1730369:0.0:0,0:108.37:1150943:0.0:0,[0:110.65:1783548:0.0:0
ADI_112919C103,0:108.83,0:108.06,0:108.25,0:105.405,20,29:111.39,29:113.45,29:112.03,29:112.29:1139209:8.2:0,29:112.84:742939:8.2:0,29:112.54:1074959:8.2:0,29:113.465:931615:8.2:0,29:114.215:1347192:8.2:0,29:113.32:1057322:8.2:0,29:113.29:1468122:8.2:0,29:111.97:1845236:8.2:0,29:111.71:1870559:8.2:0,29:109.02:1730369:8.2:0,29:108.37:1150943:8.2:0,[29:110.65:1783548:8.2:0
