Symbol,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
ADSK_112219C136,0:145.59,0:148.78,0:146.76,0,0:151.27,0:151.73,0:151.51,0:151.82:639433:0.0:0,0:152.73:511825:0.0:0,0:152.77:446880:0.0:0,0:157.9199:1258970:0.0:0,0:159.33:817659:0.0:0,0:158.14:1252788:0.0:0,0:161.75:1608696:0.0:0,U:162.44:1538112::,:164.53:1269105:U:U,0:164.87:937991:0.0:0,0:165.025:602538:0.0:0,0:167.01:899355:0.0:0
ADSK_112219C137,3:145.59,3:148.78,3:146.76,3,3:151.27,3:151.73,3:151.51,3:151.82:639433:11.65:0,3:152.73:511825:11.65:0,3:152.77:446880:11.65:0,3:157.9199:1258970:11.65:0,3:159.33:817659:11.65:0,3:158.14:1252788:11.65:0,3:161.75:1608696:11.65:0,3:162.44:1538112:11.65:0,:164.53:1269105:U:U,3:164.87:937991:11.65:0,3:165.025:602538:28.45:3,3:167.01:899355:28.45:0
ADSK_112219C138,5:145.59,5:148.78,5:146.76,5,5:151.27,5:151.73,5:151.51,5:151.82:639433:7.6:0,5:152.73:511825:7.6:0,5:152.77:446880:7.6:0,5:157.9199:1258970:7.6:0,5:159.33:817659:7.6:0,5:158.14:1252788:7.6:0,5:161.75:1608696:7.6:0,5:162.44:1538112:7.6:0,5:164.53:1269105:7.6:0,5:164.87:937991:7.6:0,5:165.025:602538:7.6:0,5:167.01:899355:7.6:0
ADSK_112219C139,124:145.59,124:148.78,124:146.76,124,124:151.27,124:151.73,124:151.51,124:151.82:639433:6.7:0,124:152.73:511825:6.7:0,124:152.77:446880:6.7:0,124:157.9199:1258970:6.7:0,124:159.33:817659:6.7:0,124:158.14:1252788:6.7:0,124:161.75:1608696:6.7:0,U:162.44:1538112::,:164.53:1269105:U:U,124:164.87:937991:6.7:0,124:165.025:602538:6.7:0,124:167.01:899355:6.7:0
ADSK_112219C140,81:145.59,93:148.78,93:146.76,93,93:151.27,93:151.73,93:151.51,93:151.82:639433:10.45:0,93:152.73:511825:11.75:2,91:152.77:446880:12.79:2,91:157.9199:1258970:12.79:0,91:159.33:817659:12.79:0,91:158.14:1252788:12.79:0,91:161.75:1608696:12.79:0,U:162.44:1538112::,:164.53:1269105:U:U,91:164.87:937991:12.79:0,91:165.025:602538:12.79:0,91:167.01:899355:12.79:0
ADSK_112219C141,117:145.59,118:148.78,118:146.76,129,129:151.27,129:151.73,129:151.51,129:151.82:639433:11.9:1,130:152.73:511825:11.9:0,130:152.77:446880:11.9:0,130:157.9199:1258970:11.9:0,130:159.33:817659:11.9:0,130:158.14:1252788:11.9:0,130:161.75:1608696:11.9:0,130:162.44:1538112:11.9:0,130:164.53:1269105:7.56:0,130:164.87:937991:7.56:0,130:165.025:602538:7.56:0,130:167.01:899355:7.56:0
ADSK_112219C142,38:145.59,44:148.78,44:146.76,44,44:151.27,44:151.73,34:151.51,34:151.82:639433:10.55:10,41:152.73:511825:10.55:0,41:152.77:446880:10.55:0,41:157.9199:1258970:10.55:0,41:159.33:817659:10.55:0,41:158.14:1252788:10.55:0,41:161.75:1608696:10.55:0,41:162.44:1538112:10.55:0,:164.53:1269105:U:U,41:164.87:937991:10.55:0,41:165.025:602538:10.55:0,41:167.01:899355:10.55:0
ADSK_112219C143,33:145.59,33:148.78,33:146.82,33,33:151.27,33:151.73,33:151.51,33:151.82:639433:5.0:0,33:152.73:511825:5.0:0,33:152.77:446880:5.0:0,33:157.9199:1258970:5.0:0,33:159.33:817659:5.0:0,33:158.14:1252788:5.0:0,33:161.75:1608696:5.0:0,U:162.44:1538112::,:164.53:1269105:U:U,33:164.87:937991:5.0:0,33:165.025:602538:22.34:1,34:167.01:899355:22.34:0
ADSK_112219C144,14:145.59,14:148.78,14:146.82,43,43:151.27,43:151.73,43:151.51,50:151.82:639433:8.2:0,50:152.73:511825:8.2:0,50:152.77:446880:8.2:0,50:157.9199:1258970:8.2:0,50:159.33:817659:8.2:0,50:158.14:1252788:8.2:0,50:161.75:1608696:8.2:0,50:162.44:1538112:8.2:0,50:164.53:1269105:8.2:0,50:164.87:937991:8.2:0,50:165.025:602538:21.36:1,51:167.01:899355:21.36:0
ADSK_112219C145,8:145.59,8:148.78,8:146.82,8,14:151.27,14:151.73,14:151.51,14:151.82:639433:8.7:1,15:152.73:511825:8.7:0,15:152.77:446880:8.09:2,15:157.9199:1258970:8.09:0,15:159.33:817659:8.09:0,15:158.14:1252788:8.09:0,15:161.75:1608696:8.09:0,15:162.44:1538112:8.09:0,:164.53:1269105:U:U,15:164.87:937991:8.09:0,15:165.025:602538:8.09:0,15:167.01:899355:8.09:0
