Symbol,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
ADSK_112219P136,23:145.59,23:148.78,23:146.67,23,23:151.27,23:151.73,23:151.51,23:151.82:639433:3.35:0,23:152.73:511825:3.35:0,23:152.77:446880:3.35:0,23:157.9199:1258970:3.35:0,23:159.33:817659:3.35:0,23:158.14:1252788:3.35:0,23:161.75:1608696:3.35:0,23:162.44:1538112:3.35:0,23:164.53:1269105:3.35:0,U:164.91:938792:U:U,23:165.03:602829:3.35:0,23:167.01:899355:3.35:0
ADSK_112219P137,260:145.59,260:148.78,260:146.67,260,260:151.27,260:151.73,233:151.51,233:151.82:639433:0.72:0,233:152.73:511825:0.72:0,233:152.77:446880:0.72:0,233:157.9199:1258970:0.72:0,233:159.33:817659:0.09:1,233:158.14:1252788:0.09:0,233:161.75:1608696:0.09:0,233:162.44:1538112:0.09:0,233:164.53:1269105:0.09:0,233:164.91:938792:0.09:0,233:165.03:602829:0.09:0,U:167.01:899355:U:U
ADSK_112219P138,40:145.59,40:148.78,40:146.67,40,40:151.27,40:151.73,40:151.51,40:151.82:639433:4.1:0,40:152.73:511825:4.1:0,40:152.77:446880:4.1:0,40:157.9199:1258970:4.1:0,40:159.33:817659:4.1:0,40:158.14:1252788:4.1:0,40:161.75:1608696:4.1:0,40:162.44:1538112:4.1:0,40:164.53:1269105:4.1:0,40:164.91:938792:4.1:0,U:165.03:602829:U:U,40:167.01:899355:4.1:0
ADSK_112219P139,82:145.59,83:148.78,83:146.67,83,82:151.27,84:151.73,84:151.51,84:151.82:639433:0.67:0,84:152.73:511825:0.67:0,84:152.77:446880:0.26:22,102:157.9199:1258970:0.26:0,102:159.33:817659:0.26:0,102:158.14:1252788:0.26:0,102:161.75:1608696:0.26:0,U:162.44:1538112::,102:164.53:1269105:0.26:0,U:164.91:938792:U:U,U:165.03:602829:U:U,102:167.01:899355:0.26:0
ADSK_112219P140,186:145.59,186:148.78,186:146.67,186,186:151.27,186:151.73,186:151.51,186:151.82:639433:0.75:0,186:152.73:511825:0.75:0,186:152.77:446880:0.75:0,186:157.9199:1258970:0.75:0,186:159.33:817659:0.75:0,186:158.14:1252788:0.75:0,186:161.75:1608696:0.01:1,187:162.44:1538112:0.01:0,187:164.53:1269105:0.01:0,U:164.91:938792:U:U,187:165.03:602829:0.01:0,187:167.01:899355:0.1:1
ADSK_112219P141,13:145.59,13:148.78,13:146.67,13,13:151.27,13:151.73,14:151.51,14:151.82:639433:0.85:0,14:152.73:511825:0.85:0,14:152.77:446880:0.85:0,14:157.9199:1258970:0.16:110,123:159.33:817659:0.16:0,123:158.14:1252788:0.16:0,123:161.75:1608696:0.16:0,U:162.44:1538112::,123:164.53:1269105:0.16:0,123:164.91:938792:0.16:0,U:165.03:602829:U:U,123:167.01:899355:0.16:0
ADSK_112219P142,184:145.59,184:148.78,184:146.67,184,184:151.27,184:151.73,184:151.51,184:151.82:639433:4.0:0,184:152.73:511825:4.0:0,184:152.77:446880:4.0:0,184:157.9199:1258970:4.0:0,184:159.33:817659:4.0:0,184:158.14:1252788:0.14:5,189:161.75:1608696:0.14:0,189:162.44:1538112:0.14:0,189:164.53:1269105:0.14:0,189:164.91:938792:0.14:0,U:165.03:602829:U:U,189:167.01:899355:0.14:0
ADSK_112219P143,10:145.59,60:148.78,60:146.67,56,56:151.27,60:151.73,60:151.51,60:151.82:639433:1.08:0,60:152.73:511825:1.08:0,60:152.77:446880:0.4:1,61:157.9199:1258970:0.21:7,61:159.33:817659:0.21:0,61:158.14:1252788:0.21:0,61:161.75:1608696:0.21:0,61:162.44:1538112:0.21:0,61:164.53:1269105:0.21:0,61:164.91:938792:0.21:0,U:165.03:602829:U:U,61:167.01:899355:0.21:0
ADSK_112219P144,13:145.59,212:148.78,212:146.67,212,212:151.27,215:151.73,214:151.51,210:151.82:639433:1.0:43,249:152.73:511825:1.0:0,249:152.77:446880:0.5:50,249:157.9199:1258970:0.5:0,249:159.33:817659:0.5:0,249:158.14:1252788:0.14:8,241:161.75:1608696:0.12:2,241:162.44:1538112:0.12:0,241:164.53:1269105:0.12:0,241:164.91:938792:0.12:0,241:165.03:602829:0.12:0,241:167.01:899355:0.01:33
ADSK_112219P145,334:145.59,334:148.78,334:146.67,334,339:151.27,315:151.73,316:151.51,316:151.82:639433:1.37:0,316:152.73:511825:0.93:1,315:152.77:446880:0.56:4,315:157.9199:1258970:0.31:4,317:159.33:817659:0.22:1,316:158.14:1252788:0.22:0,316:161.75:1608696:0.22:0,316:162.44:1538112:0.22:0,316:164.53:1269105:0.22:0,U:164.91:938792:U:U,316:165.03:602829:0.03:0,316:167.01:899355:0.03:0
