Symbol,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
AEIS_122019C30,0:62.83,0:64.27,0:63.14,0:63.89:247902:0.0:0,0:63.61:251875:0.0:0,0:63.23:352461:0.0:0,0:65.92:987245:0.0:0,0:64.15:415062:0.0:0,0:64.07:228587:0.0:0,0:65.76:374892:0.0:0,0:65.56:269445:0.0:0,0:64.56:189334:0.0:0,0:63.57:110075:0.0:0,0:60.98:369875:0.0:0,[0:60.65:143379:0.0:0
AEIS_122019C35,0:62.83,0:64.27,0:63.14,0:63.89:247902:0.0:0,0:63.61:251875:0.0:0,0:63.23:352461:0.0:0,0:65.92:987245:0.0:0,0:64.15:415062:0.0:0,0:64.07:228587:0.0:0,0:65.76:374892:0.0:0,0:65.56:269445:0.0:0,0:64.56:189334:0.0:0,0:63.57:110075:0.0:0,0:60.98:369875:0.0:0,[0:60.65:143379:0.0:0
AEIS_122019C40,0:62.83,0:64.27,0:63.14,0:63.89:247902:0.0:0,0:63.61:251875:0.0:0,0:63.23:352461:0.0:0,0:65.92:987245:0.0:0,0:64.15:415062:0.0:0,0:64.07:228587:0.0:0,0:65.76:374892:0.0:0,0:65.56:269445:0.0:0,0:64.56:189334:0.0:0,0:63.57:110075:0.0:0,0:60.98:369875:0.0:0,[0:60.65:143379:0.0:0
AEIS_122019C45,0:62.83,0:64.27,0:63.14,0:63.89:247902:0.0:0,0:63.61:251875:0.0:0,0:63.23:352461:0.0:0,0:65.92:987245:0.0:0,0:64.15:415062:0.0:0,0:64.07:228587:0.0:0,0:65.76:374892:0.0:0,0:65.56:269445:0.0:0,0:64.56:189334:0.0:0,0:63.57:110075:0.0:0,0:60.98:369875:0.0:0,[0:60.65:143379:0.0:0
AEIS_122019C50,1:62.83,1:64.27,1:63.14,1:63.89:247902:8.8:0,1:63.61:251875:8.8:0,1:63.23:352461:8.8:0,1:65.92:987245:19.8:1,0:64.15:415062:19.8:0,0:64.07:228587:19.8:0,0:65.76:374892:19.8:0,0:65.56:269445:19.8:0,0:64.56:189334:19.8:0,0:63.57:110075:19.8:0,0:60.98:369875:19.8:0,[0:60.65:143379:19.8:0
AEIS_122019C55,0:62.83,0:64.27,0:63.14,0:63.89:247902:0.0:0,0:63.61:251875:0.0:0,0:63.23:352461:0.0:0,0:65.92:987245:0.0:0,0:64.15:415062:0.0:0,0:64.07:228587:0.0:0,0:65.76:374892:0.0:0,0:65.56:269445:0.0:0,0:64.56:189334:0.0:0,0:63.57:110075:0.0:0,0:60.98:369875:0.0:0,[0:60.65:143379:0.0:0
AEIS_122019C60,49:62.83,49:64.27,49:63.14,49:63.89:247902:4.26:0,49:63.61:251875:4.26:0,49:63.23:352461:4.26:0,49:65.92:987245:4.26:0,49:64.15:415062:4.26:0,49:64.07:228587:5.1:4,52:65.76:374892:6.9:1,52:65.56:269445:6.9:0,52:64.56:189334:6.9:0,52:63.57:110075:5.16:1,52:60.98:369875:3.32:4,[51:60.65:143379:3.07:16
AEIS_122019C65,21:62.83,24:64.27,25:63.14,25:63.89:247902:3.1:1,24:63.61:251875:3.1:0,24:63.23:352461:2.65:43,54:65.92:987245:5.2:41,29:64.15:415062:2.5:4,28:64.07:228587:2.55:8,36:65.76:374892:3.47:1,37:65.56:269445:3.09:5,42:64.56:189334:2.94:4,43:63.57:110075:2.94:0,43:60.98:369875:1.3:4,[43:60.65:143379:1.05:6
AEIS_122019C70,352:62.83,410:64.27,410:63.14,410:63.89:247902:1.35:4,408:63.61:251875:1.35:0,408:63.23:352461:1.15:4,409:65.92:987245:2.0:11,407:64.15:415062:1.25:3,407:64.07:228587:1.25:0,407:65.76:374892:1.45:3,410:65.56:269445:1.05:18,412:64.56:189334:0.95:5,407:63.57:110075:0.95:0,407:60.98:369875:0.35:2,[407:60.65:143379:0.35:0
AEIS_122019C75,4:62.83,4:64.27,5:63.14,5:63.89:247902:0.67:0,5:63.61:251875:0.67:0,5:63.23:352461:0.67:0,5:65.92:987245:1.09:13,16:64.15:415062:1.09:0,16:64.07:228587:1.09:0,16:65.76:374892:0.42:3,19:65.56:269445:0.35:3,19:64.56:189334:0.28:3,16:63.57:110075:0.28:0,16:60.98:369875:0.28:0,[16:60.65:143379:0.28:0
AEIS_122019C80,0:62.83,0:64.27,0:63.14,0:63.89:247902:0.0:0,0:63.61:251875:0.0:0,0:63.23:352461:0.0:0,0:65.92:987245:0.0:0,0:64.15:415062:0.0:0,0:64.07:228587:0.0:0,0:65.76:374892:0.0:0,0:65.56:269445:0.0:0,0:64.56:189334:0.0:0,0:63.57:110075:0.0:0,0:60.98:369875:0.0:0,[0:60.65:143379:0.0:0
AEIS_011720C30,U,U,U,U,U,U,U,U,1:64.07:228587:22.44:0,1:65.76:374892:22.44:0,1:65.56:269445:22.44:0,1:64.56:189334:22.44:0,1:63.57:110075:22.44:0,1:60.98:369875:22.44:0,[1:60.65:143379:22.44:0
AEIS_011720C35,U,U,U,U,U,U,U,U,0:64.07:228587:0.0:0,0:65.76:374892:0.0:0,0:65.56:269445:0.0:0,0:64.56:189334:0.0:0,0:63.57:110075:0.0:0,0:60.98:369875:0.0:0,[0:60.65:143379:0.0:0
AEIS_011720C40,U,U,U,U,U,U,U,U,0:64.07:228587:19.13:0,0:65.76:374892:19.13:0,0:65.56:269445:19.13:0,0:64.56:189334:19.13:0,0:63.57:110075:19.13:0,0:60.98:369875:19.13:0,[0:60.65:143379:19.13:0
AEIS_011720C45,U,U,U,U,U,U,U,U,0:64.07:228587:0.0:0,0:65.76:374892:0.0:0,0:65.56:269445:0.0:0,0:64.56:189334:0.0:0,0:63.57:110075:0.0:0,0:60.98:369875:0.0:0,[0:60.65:143379:0.0:0
AEIS_011720C50,U,U,U,U,U,U,U,U,4:64.07:228587:8.98:0,4:65.76:374892:8.98:0,4:65.56:269445:8.98:0,4:64.56:189334:8.98:0,4:63.57:110075:8.98:0,4:60.98:369875:11.6:2,[6:60.65:143379:11.6:0
AEIS_011720C55,U,U,U,U,U,U,U,U,4:64.07:228587:6.9:0,4:65.76:374892:11.6:3,7:65.56:269445:11.6:0,7:64.56:189334:11.6:0,7:63.57:110075:11.6:0,7:60.98:369875:11.6:0,[7:60.65:143379:11.6:0
AEIS_011720C60,U,U,U,U,U,U,U,U,32:64.07:228587:8.0:0,32:65.76:374892:8.0:0,32:65.56:269445:7.7:2,32:64.56:189334:7.7:0,32:63.57:110075:4.4:4,28:60.98:369875:4.4:0,[28:60.65:143379:4.17:5
AEIS_011720C65,U,U,U,U,U,U,U,U,84:64.07:228587:5.31:0,84:65.76:374892:4.4:2,86:65.56:269445:4.4:0,86:64.56:189334:4.4:0,86:63.57:110075:4.4:0,86:60.98:369875:4.4:0,[86:60.65:143379:2.1:10
AEIS_011720C70,U,U,U,U,U,U,U,U,39:64.07:228587:4.0:0,39:65.76:374892:4.0:0,39:65.56:269445:4.0:0,39:64.56:189334:4.0:0,39:63.57:110075:4.0:0,39:60.98:369875:4.0:0,[39:60.65:143379:0.77:5
AEIS_011720C75,U,U,U,U,U,U,U,U,6:64.07:228587:2.01:0,6:65.76:374892:2.01:0,6:65.56:269445:2.01:0,6:64.56:189334:2.01:0,6:63.57:110075:2.01:0,6:60.98:369875:2.01:0,[6:60.65:143379:2.01:0
AEIS_011720C80,U,U,U,U,U,U,U,U,50:64.07:228587:0.47:0,50:65.76:374892:0.47:0,50:65.56:269445:0.47:0,50:64.56:189334:0.47:0,50:63.57:110075:0.47:0,50:60.98:369875:0.47:0,[50:60.65:143379:0.47:0
