Symbol,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
AEIS_122019P30,0:62.83,0:64.27,0:63.14,0:63.89:247902:0.0:0,0:63.61:251875:0.0:0,0:63.23:352461:0.0:0,0:65.92:987245:0.0:0,0:64.15:415062:0.0:0,0:64.07:228587:0.0:0,0:65.76:374892:0.0:0,0:65.56:269445:0.0:0,0:64.56:189334:0.0:0,0:63.57:110075:0.0:0,0:60.98:369875:0.08:4,[4:60.65:143379:0.08:0
AEIS_122019P35,0:62.83,0:64.27,0:63.14,0:63.89:247902:0.0:0,0:63.61:251875:0.0:0,0:63.23:352461:0.0:0,0:65.92:987245:0.0:0,0:64.15:415062:0.0:0,0:64.07:228587:0.0:0,0:65.76:374892:0.0:0,0:65.56:269445:0.0:0,0:64.56:189334:0.0:0,0:63.57:110075:0.0:0,0:60.98:369875:0.0:0,[0:60.65:143379:0.0:0
AEIS_122019P40,0:62.83,0:64.27,0:63.14,0:63.89:247902:0.0:0,0:63.61:251875:0.0:0,0:63.23:352461:0.0:0,0:65.92:987245:0.0:0,0:64.15:415062:0.0:0,0:64.07:228587:0.0:0,0:65.76:374892:0.0:0,0:65.56:269445:0.0:0,0:64.56:189334:0.0:0,0:63.57:110075:0.0:0,0:60.98:369875:0.0:0,[0:60.65:143379:0.0:0
AEIS_122019P45,5:62.83,5:64.27,5:63.14,5:63.89:247902:0.4:0,5:63.61:251875:0.4:0,5:63.23:352461:0.4:0,5:65.92:987245:0.4:0,5:64.15:415062:0.4:0,5:64.07:228587:0.4:0,5:65.76:374892:0.4:0,5:65.56:269445:0.4:0,5:64.56:189334:0.4:0,5:63.57:110075:0.4:0,5:60.98:369875:0.4:0,[5:60.65:143379:0.4:0
AEIS_122019P50,1:62.83,1:64.27,1:63.14,1:63.89:247902:0.8:0,1:63.61:251875:0.8:0,1:63.23:352461:0.8:0,1:65.92:987245:0.8:0,1:64.15:415062:0.8:0,1:64.07:228587:0.8:0,1:65.76:374892:0.8:0,1:65.56:269445:0.8:0,1:64.56:189334:0.8:0,1:63.57:110075:0.8:0,1:60.98:369875:0.8:0,[1:60.65:143379:0.8:0
AEIS_122019P55,6:62.83,6:64.27,6:63.14,6:63.89:247902:1.9:0,6:63.61:251875:0.95:5,1:63.23:352461:0.95:0,1:65.92:987245:0.95:0,1:64.15:415062:0.95:0,1:64.07:228587:0.75:1,2:65.76:374892:0.75:0,2:65.56:269445:0.75:0,2:64.56:189334:0.5:5,7:63.57:110075:0.5:0,7:60.98:369875:0.5:0,[7:60.65:143379:0.95:1
AEIS_122019P60,1:62.83,1:64.27,1:63.14,1:63.89:247902:3.3:0,1:63.61:251875:3.3:0,1:63.23:352461:3.3:0,1:65.92:987245:3.3:0,1:64.15:415062:3.3:0,1:64.07:228587:1.75:2,3:65.76:374892:1.75:0,3:65.56:269445:1.0:31,34:64.56:189334:1.0:0,34:63.57:110075:1.0:0,34:60.98:369875:2.65:4,[38:60.65:143379:2.38:1
AEIS_122019P65,0:62.83,0:64.27,0:63.14,0:63.89:247902:0.0:0,0:63.61:251875:0.0:0,0:63.23:352461:0.0:0,0:65.92:987245:0.0:0,0:64.15:415062:0.0:0,0:64.07:228587:0.0:0,0:65.76:374892:0.0:0,0:65.56:269445:2.45:8,8:64.56:189334:2.75:1,9:63.57:110075:3.6:1,10:60.98:369875:3.6:0,[10:60.65:143379:3.6:0
AEIS_122019P70,0:62.83,0:64.27,0:63.14,0:63.89:247902:0.0:0,0:63.61:251875:0.0:0,0:63.23:352461:0.0:0,0:65.92:987245:5.0:1,1:64.15:415062:6.98:1,1:64.07:228587:6.98:0,1:65.76:374892:6.98:0,1:65.56:269445:6.98:0,1:64.56:189334:6.98:0,1:63.57:110075:6.98:0,1:60.98:369875:6.98:0,[1:60.65:143379:6.98:0
AEIS_122019P75,0:62.83,0:64.27,0:63.14,0:63.89:247902:0.0:0,0:63.61:251875:0.0:0,0:63.23:352461:0.0:0,0:65.92:987245:0.0:0,0:64.15:415062:0.0:0,0:64.07:228587:0.0:0,0:65.76:374892:0.0:0,0:65.56:269445:0.0:0,0:64.56:189334:0.0:0,0:63.57:110075:0.0:0,0:60.98:369875:0.0:0,[0:60.65:143379:0.0:0
AEIS_122019P80,0:62.83,0:64.27,0:63.14,0:63.89:247902:0.0:0,0:63.61:251875:0.0:0,0:63.23:352461:0.0:0,0:65.92:987245:0.0:0,0:64.15:415062:0.0:0,0:64.07:228587:0.0:0,0:65.76:374892:0.0:0,0:65.56:269445:0.0:0,0:64.56:189334:0.0:0,0:63.57:110075:0.0:0,0:60.98:369875:0.0:0,[0:60.65:143379:0.0:0
AEIS_011720P30,U,U,U,U,U,U,U,U,1:64.07:228587:0.55:0,1:65.76:374892:0.55:0,1:65.56:269445:0.55:0,1:64.56:189334:0.55:0,1:63.57:110075:0.55:0,1:60.98:369875:0.55:0,[1:60.65:143379:0.55:0
AEIS_011720P35,U,U,U,U,U,U,U,U,7:64.07:228587:0.3:0,7:65.76:374892:0.3:0,7:65.56:269445:0.3:0,7:64.56:189334:0.3:0,7:63.57:110075:0.3:0,7:60.98:369875:0.3:0,[7:60.65:143379:0.3:0
AEIS_011720P40,U,U,U,U,U,U,U,U,24:64.07:228587:0.22:0,24:65.76:374892:0.22:0,24:65.56:269445:0.22:0,24:64.56:189334:0.22:0,24:63.57:110075:0.22:0,24:60.98:369875:0.22:0,[24:60.65:143379:0.22:0
AEIS_011720P45,U,U,U,U,U,U,U,U,10:64.07:228587:1.27:0,10:65.76:374892:1.27:0,10:65.56:269445:1.27:0,10:64.56:189334:1.27:0,10:63.57:110075:1.27:0,10:60.98:369875:1.27:0,[10:60.65:143379:1.27:0
AEIS_011720P50,U,U,U,U,U,U,U,U,96:64.07:228587:0.65:0,96:65.76:374892:0.44:8,104:65.56:269445:0.44:0,104:64.56:189334:0.44:0,104:63.57:110075:0.44:0,104:60.98:369875:0.44:0,[104:60.65:143379:0.44:0
AEIS_011720P55,U,U,U,U,U,U,U,U,20:64.07:228587:1.36:0,20:65.76:374892:1.36:0,20:65.56:269445:1.36:0,20:64.56:189334:0.9:5,25:63.57:110075:0.9:0,25:60.98:369875:0.9:0,[25:60.65:143379:1.64:3
AEIS_011720P60,U,U,U,U,U,U,U,U,13:64.07:228587:8.75:0,13:65.76:374892:8.75:0,13:65.56:269445:1.8:6,15:64.56:189334:1.8:0,15:63.57:110075:1.8:0,15:60.98:369875:3.4:1,[16:60.65:143379:3.34:3
AEIS_011720P65,U,U,U,U,U,U,U,U,7:64.07:228587:3.9:0,7:65.76:374892:3.9:0,7:65.56:269445:3.4:52,52:64.56:189334:3.4:0,52:63.57:110075:3.4:0,52:60.98:369875:3.4:0,[52:60.65:143379:3.4:0
AEIS_011720P70,U,U,U,U,U,U,U,U,0:64.07:228587:0.0:0,0:65.76:374892:0.0:0,0:65.56:269445:0.0:0,0:64.56:189334:0.0:0,0:63.57:110075:0.0:0,0:60.98:369875:0.0:0,[0:60.65:143379:0.0:0
AEIS_011720P75,U,U,U,U,U,U,U,U,0:64.07:228587:0.0:0,0:65.76:374892:0.0:0,0:65.56:269445:0.0:0,0:64.56:189334:0.0:0,0:63.57:110075:0.0:0,0:60.98:369875:0.0:0,[0:60.65:143379:0.0:0
AEIS_011720P80,U,U,U,U,U,U,U,U,0:64.07:228587:0.0:0,0:65.76:374892:0.0:0,0:65.56:269445:0.0:0,0:64.56:189334:0.0:0,0:63.57:110075:0.0:0,0:60.98:369875:0.0:0,[0:60.65:143379:0.0:0
