Symbol,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
AGCO_122019C40,0:80.27:343288:0.0:0,0:78.97:337992:0.0:0,0:79.23:363195:0.0:0,0:80.14:565685:0.0:0,0:80.17:393161:0.0:0,U:79.41:404617::,0:79.97:461196:0.0:0,0:78.85:199083:0.0:0,0:79.24:300895:0.0:0,[0:79.71:361104:0.0:0
AGCO_122019C45,0:80.27:343288:0.0:0,0:78.97:337992:0.0:0,0:79.23:363195:0.0:0,0:80.14:565685:0.0:0,0:80.17:393161:0.0:0,U:79.41:404617::,0:79.97:461196:0.0:0,0:78.85:199083:0.0:0,0:79.24:300895:0.0:0,[0:79.71:361104:0.0:0
AGCO_122019C50,0:80.27:343288:0.0:0,0:78.97:337992:0.0:0,0:79.23:363195:0.0:0,0:80.14:565685:0.0:0,0:80.17:393161:0.0:0,U:79.41:404617::,0:79.97:461196:0.0:0,0:78.85:199083:0.0:0,0:79.24:300895:0.0:0,[0:79.71:361104:0.0:0
AGCO_122019C55,0:80.27:343288:0.0:0,0:78.97:337992:0.0:0,0:79.23:363195:0.0:0,0:80.14:565685:0.0:0,0:80.17:393161:0.0:0,U:65.56:269445:0.0:0:79.41:404617:.:,0:79.97:461196:0.0:0,0:78.85:199083:0.0:0,0:79.24:300895:0.0:0,[0:79.71:361104:0.0:0
AGCO_122019C60,0:80.27:343288:0.0:0,0:78.97:337992:0.0:0,0:79.23:363195:0.0:0,0:80.14:565685:0.0:0,0:80.17:393161:0.0:0,U:79.41:404617::,0:79.97:461196:0.0:0,0:78.85:199083:0.0:0,0:79.24:300895:0.0:0,[0:79.71:361104:0.0:0
AGCO_122019C65,0:80.27:343288:0.0:0,0:78.97:337992:0.0:0,0:79.23:363195:0.0:0,0:80.14:565685:0.0:0,0:80.17:393161:0.0:0,U:79.41:404617::,0:79.97:461196:0.0:0,0:78.85:199083:0.0:0,0:79.24:300895:0.0:0,[0:79.71:361104:0.0:0
AGCO_122019C70,1:80.27:343288:8.5:0,1:78.97:337992:8.5:0,1:79.23:363195:8.5:0,1:80.14:565685:8.5:0,1:80.17:393161:8.5:0,U:79.41:404617::,1:79.97:461196:8.5:0,1:78.85:199083:8.5:0,1:79.24:300895:8.5:0,[1:79.71:361104:8.5:0
AGCO_122019C75,9:80.27:343288:5.8:0,9:78.97:337992:5.8:1,10:79.23:363195:5.8:0,10:80.14:565685:5.8:0,10:80.17:393161:5.8:0,U:79.41:404617::,10:79.97:461196:5.8:0,10:78.85:199083:4.95:2,12:79.24:300895:4.43:4,[10:79.71:361104:4.43:0
AGCO_122019C80,46:80.27:343288:2.25:2,48:78.97:337992:2.2:9,52:79.23:363195:1.87:15,46:80.14:565685:2.56:7,46:80.17:393161:2.56:0,U:79.41:404617::,50:79.97:461196:2.3:0,50:78.85:199083:1.55:1,50:79.24:300895:1.55:0,[50:79.71:361104:2.05:1
AGCO_122019C85,0:80.27:343288:0.8:1,1:78.97:337992:0.8:0,1:79.23:363195:0.8:0,1:80.14:565685:0.72:2,3:80.17:393161:0.62:6,U:79.41:404617::,8:79.97:461196:0.62:0,8:78.85:199083:0.62:0,8:79.24:300895:0.3:6,[5:79.71:361104:0.3:0
AGCO_122019C90,0:80.27:343288:0.0:0,0:78.97:337992:0.0:0,0:79.23:363195:0.0:0,0:80.14:565685:0.0:0,0:80.17:393161:0.0:0,U:79.41:404617::,0:79.97:461196:0.0:0,0:78.85:199083:0.0:0,0:79.24:300895:0.0:0,[0:79.71:361104:0.0:0
AGCO_122019C95,0:80.27:343288:0.0:0,0:78.97:337992:0.0:0,0:79.23:363195:0.0:0,0:80.14:565685:0.0:0,0:80.17:393161:0.0:0,U:79.41:404617::,0:79.97:461196:0.0:0,0:78.85:199083:0.0:0,0:79.24:300895:0.0:0,[0:79.71:361104:0.0:0
AGCO_122019C100,0:80.27:343288:0.0:0,0:78.97:337992:0.0:0,0:79.23:363195:0.0:0,0:80.14:565685:0.0:0,0:80.17:393161:0.0:0,U:79.41:404617::,0:79.97:461196:0.0:0,0:78.85:199083:0.0:0,0:79.24:300895:0.0:0,[0:79.71:361104:0.0:0
AGCO_122019C105,0:80.27:343288:0.0:0,0:78.97:337992:0.0:0,0:79.23:363195:0.0:0,0:80.14:565685:0.0:0,0:80.17:393161:0.0:0,U:79.41:404617::,0:79.97:461196:0.0:0,0:78.85:199083:0.0:0,0:79.24:300895:0.0:0,[0:79.71:361104:0.0:0
AGCO_122019C110,0:80.27:343288:0.0:0,0:78.97:337992:0.0:0,0:79.23:363195:0.0:0,0:80.14:565685:0.0:0,0:80.17:393161:0.0:0,U:79.41:404617::,0:79.97:461196:0.0:0,0:78.85:199083:0.0:0,0:79.24:300895:0.0:0,[0:79.71:361104:0.0:0
AGCO_011720C100,U,U,U,U,U,U,0:79.97:461196:0.0:0,0:78.85:199083:0.0:0,0:79.24:300895:0.0:0,[0:79.71:361104:0.0:0
AGCO_011720C105,U,U,U,U,U,U,0:79.97:461196:0.0:0,0:78.85:199083:0.0:0,0:79.24:300895:0.0:0,[0:79.71:361104:0.0:0
AGCO_011720C110,U,U,U,U,U,U,0:79.97:461196:0.0:0,0:78.85:199083:0.0:0,0:79.24:300895:0.0:0,[0:79.71:361104:0.0:0
AGCO_011720C115,U,U,U,U,U,U,0:79.97:461196:0.0:0,0:78.85:199083:0.0:0,0:79.24:300895:0.0:0,[0:79.71:361104:0.0:0
AGCO_011720C120,U,U,U,U,U,U,0:79.97:461196:0.0:0,0:78.85:199083:0.0:0,0:79.24:300895:0.0:0,[0:79.71:361104:0.0:0
AGCO_011720C40,U,U,U,U,U,U,0:79.97:461196:0.0:0,0:78.85:199083:0.0:0,0:79.24:300895:0.0:0,[0:79.71:361104:0.0:0
AGCO_011720C45,U,U,U,U,U,U,0:79.97:461196:0.0:0,0:78.85:199083:0.0:0,0:79.24:300895:0.0:0,[0:79.71:361104:0.0:0
AGCO_011720C50,U,U,U,U,U,U,0:79.97:461196:0.0:0,0:78.85:199083:0.0:0,0:79.24:300895:0.0:0,[0:79.71:361104:0.0:0
AGCO_011720C55,U,U,U,U,U,U,0:79.97:461196:0.0:0,0:78.85:199083:0.0:0,0:79.24:300895:0.0:0,[0:79.71:361104:0.0:0
AGCO_011720C60,U,U,U,U,U,U,0:79.97:461196:0.0:0,0:78.85:199083:0.0:0,0:79.24:300895:0.0:0,[0:79.71:361104:0.0:0
AGCO_011720C65,U,U,U,U,U,U,0:79.97:461196:0.0:0,0:78.85:199083:0.0:0,0:79.24:300895:0.0:0,[0:79.71:361104:0.0:0
AGCO_011720C70,U,U,U,U,U,U,0:79.97:461196:0.0:0,0:78.85:199083:0.0:0,0:79.24:300895:0.0:0,[0:79.71:361104:0.0:0
AGCO_011720C75,U,U,U,U,U,U,0:79.97:461196:0.0:0,0:78.85:199083:5.9:1,1:79.24:300895:5.9:0,[1:79.71:361104:5.9:0
AGCO_011720C80,U,U,U,U,U,U,0:79.97:461196:0.0:0,0:78.85:199083:0.0:0,0:79.24:300895:0.0:0,[0:79.71:361104:0.0:0
AGCO_011720C85,U,U,U,U,U,U,0:79.97:461196:1.25:2,2:78.85:199083:1.25:0,2:79.24:300895:1.25:0,[2:79.71:361104:1.25:0
AGCO_011720C90,U,U,U,U,U,U,0:79.97:461196:0.0:0,0:78.85:199083:0.0:0,0:79.24:300895:0.0:0,[0:79.71:361104:0.0:0
AGCO_011720C95,U,U,U,U,U,U,0:79.97:461196:0.0:0,0:78.85:199083:0.0:0,0:79.24:300895:0.0:0,[0:79.71:361104:0.0:0
