Symbol,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
AGCO_122019P40,0:80.27:343288:0.0:0,0:78.97:337992:0.0:0,0:79.23:363195:0.0:0,0:80.14:565685:0.0:0,0:80.17:393161:0.0:0,U:79.41:404617::,0:79.97:461196:0.0:0,0:78.85:199083:0.0:0,0:79.24:300895:0.0:0,[0:79.71:361104:0.0:0
AGCO_122019P45,0:80.27:343288:0.0:0,0:78.97:337992:0.0:0,0:79.23:363195:0.0:0,0:80.14:565685:0.0:0,0:80.17:393161:0.0:0,U:79.41:404617::,0:79.97:461196:0.0:0,0:78.85:199083:0.0:0,0:79.24:300895:0.0:0,[0:79.71:361104:0.0:0
AGCO_122019P50,0:80.27:343288:0.0:0,0:78.97:337992:0.0:0,0:79.23:363195:0.0:0,0:80.14:565685:0.0:0,0:80.17:393161:0.0:0,U:79.41:404617::,0:79.97:461196:0.0:0,0:78.85:199083:0.0:0,0:79.24:300895:0.0:0,[0:79.71:361104:0.0:0
AGCO_122019P55,0:80.27:343288:0.0:0,0:78.97:337992:0.0:0,0:79.23:363195:0.0:0,0:80.14:565685:0.0:0,0:80.17:393161:0.0:0,U:79.41:404617::,0:79.97:461196:0.0:0,0:78.85:199083:0.0:0,0:79.24:300895:0.0:0,[0:79.71:361104:0.0:0
AGCO_122019P60,0:80.27:343288:0.0:0,0:78.97:337992:0.0:0,0:79.23:363195:0.0:0,0:80.14:565685:0.12:15,15:80.17:393161:0.12:0,U:79.41:404617::,15:79.97:461196:0.12:0,15:78.85:199083:0.12:0,15:79.24:300895:0.12:0,[15:79.71:361104:0.12:0
AGCO_122019P65,8:80.27:343288:0.22:0,8:78.97:337992:0.22:0,8:79.23:363195:0.22:0,8:80.14:565685:0.22:0,8:80.17:393161:0.22:0,U:79.41:404617::,8:79.97:461196:0.22:0,8:78.85:199083:0.22:0,8:79.24:300895:0.22:0,[8:79.71:361104:0.22:0
AGCO_122019P70,11:80.27:343288:0.4:0,11:78.97:337992:0.4:0,11:79.23:363195:0.4:0,11:80.14:565685:0.25:5,11:80.17:393161:0.25:0,U:79.41:404617::,11:79.97:461196:0.25:0,11:78.85:199083:0.3:2,13:79.24:300895:0.3:0,[13:79.71:361104:0.2:2
AGCO_122019P75,13:80.27:343288:0.93:15,28:78.97:337992:0.93:0,28:79.23:363195:1.03:34,43:80.14:565685:0.77:17,60:80.17:393161:0.77:0,U:79.41:404617::,60:79.97:461196:0.75:1,60:78.85:199083:0.75:0,60:79.24:300895:0.75:0,[60:79.71:361104:0.75:0
AGCO_122019P80,0:80.27:343288:2.51:10,10:78.97:337992:2.51:0,10:79.23:363195:2.73:20,20:80.14:565685:2.73:0,20:80.17:393161:2.4:2,U:79.41:404617:::79.41:404617::,22:79.97:461196:2.4:1,23:78.85:199083:2.5:2,23:79.24:300895:2.5:0,[23:79.71:361104:2.5:0
AGCO_122019P85,0:80.27:343288:0.0:0,0:78.97:337992:0.0:0,0:79.23:363195:0.0:0,0:80.14:565685:0.0:0,0:80.17:393161:0.0:0,U:79.41:404617::,0:79.97:461196:0.0:0,0:78.85:199083:0.0:0,0:79.24:300895:0.0:0,[0:79.71:361104:0.0:0
AGCO_122019P90,0:80.27:343288:0.0:0,0:78.97:337992:0.0:0,0:79.23:363195:0.0:0,0:80.14:565685:0.0:0,0:80.17:393161:0.0:0,U:79.41:404617::,0:79.97:461196:0.0:0,0:78.85:199083:0.0:0,0:79.24:300895:0.0:0,[0:79.71:361104:0.0:0
AGCO_122019P95,0:80.27:343288:0.0:0,0:78.97:337992:0.0:0,0:79.23:363195:0.0:0,0:80.14:565685:0.0:0,0:80.17:393161:0.0:0,U:79.41:404617::,0:79.97:461196:0.0:0,0:78.85:199083:0.0:0,0:79.24:300895:0.0:0,[0:79.71:361104:0.0:0
AGCO_122019P100,0:80.27:343288:0.0:0,0:78.97:337992:0.0:0,0:79.23:363195:0.0:0,0:80.14:565685:0.0:0,0:80.17:393161:0.0:0,U:79.41:404617::,0:79.97:461196:0.0:0,0:78.85:199083:0.0:0,0:79.24:300895:0.0:0,[0:79.71:361104:0.0:0
AGCO_122019P105,0:80.27:343288:0.0:0,0:78.97:337992:0.0:0,0:79.23:363195:0.0:0,0:80.14:565685:0.0:0,0:80.17:393161:0.0:0,U:79.41:404617::,0:79.97:461196:0.0:0,0:78.85:199083:0.0:0,0:79.24:300895:0.0:0,[0:79.71:361104:0.0:0
AGCO_122019P110,0:80.27:343288:0.0:0,0:78.97:337992:0.0:0,0:79.23:363195:0.0:0,0:80.14:565685:0.0:0,0:80.17:393161:0.0:0,U:79.41:404617::,0:79.97:461196:0.0:0,0:78.85:199083:0.0:0,0:79.24:300895:0.0:0,[0:79.71:361104:0.0:0
AGCO_011720P100,U,U,U,U,U,U,0:79.97:461196:0.0:0,0:78.85:199083:0.0:0,0:79.24:300895:0.0:0,[0:79.71:361104:0.0:0
AGCO_011720P105,U,U,U,U,U,U,0:79.97:461196:0.0:0,0:78.85:199083:0.0:0,0:79.24:300895:0.0:0,[0:79.71:361104:0.0:0
AGCO_011720P110,U,U,U,U,U,U,0:79.97:461196:0.0:0,0:78.85:199083:0.0:0,0:79.24:300895:0.0:0,[0:79.71:361104:0.0:0
AGCO_011720P115,U,U,U,U,U,U,0:79.97:461196:0.0:0,0:78.85:199083:0.0:0,0:79.24:300895:0.0:0,[0:79.71:361104:0.0:0
AGCO_011720P120,U,U,U,U,U,U,0:79.97:461196:0.0:0,0:78.85:199083:0.0:0,0:79.24:300895:0.0:0,[0:79.71:361104:0.0:0
AGCO_011720P40,U,U,U,U,U,U,0:79.97:461196:0.0:0,0:78.85:199083:0.0:0,0:79.24:300895:0.0:0,[0:79.71:361104:0.0:0
AGCO_011720P45,U,U,U,U,U,U,0:79.97:461196:0.0:0,0:78.85:199083:0.0:0,0:79.24:300895:0.0:0,[0:79.71:361104:0.0:0
AGCO_011720P50,U,U,U,U,U,U,0:79.97:461196:0.0:0,0:78.85:199083:0.0:0,0:79.24:300895:0.0:0,[0:79.71:361104:0.0:0
AGCO_011720P55,U,U,U,U,U,U,0:79.97:461196:0.0:0,0:78.85:199083:0.0:0,0:79.24:300895:0.0:0,[0:79.71:361104:0.0:0
AGCO_011720P60,U,U,U,U,U,U,0:79.97:461196:0.0:0,0:78.85:199083:0.0:0,0:79.24:300895:0.0:0,[0:79.71:361104:0.0:0
AGCO_011720P65,U,U,U,U,U,U,0:79.97:461196:0.0:0,0:78.85:199083:0.0:0,0:79.24:300895:0.0:0,[0:79.71:361104:0.0:0
AGCO_011720P70,U,U,U,U,U,U,0:79.97:461196:0.0:0,0:78.85:199083:0.0:0,0:79.24:300895:0.0:0,[0:79.71:361104:0.0:0
AGCO_011720P75,U,U,U,U,U,U,0:79.97:461196:0.0:0,0:78.85:199083:0.0:0,0:79.24:300895:0.0:0,[0:79.71:361104:0.0:0
AGCO_011720P80,U,U,U,U,U,U,0:79.97:461196:0.0:0,0:78.85:199083:0.0:0,0:79.24:300895:0.0:0,[0:79.71:361104:0.0:0
AGCO_011720P85,U,U,U,U,U,U,0:79.97:461196:0.0:0,0:78.85:199083:0.0:0,0:79.24:300895:0.0:0,[0:79.71:361104:0.0:0
AGCO_011720P90,U,U,U,U,U,U,0:79.97:461196:0.0:0,0:78.85:199083:0.0:0,0:79.24:300895:0.0:0,[0:79.71:361104:0.0:0
AGCO_011720P95,U,U,U,U,U,U,0:79.97:461196:0.0:0,0:78.85:199083:0.0:0,0:79.24:300895:0.0:0,[0:79.71:361104:0.0:0
