Symbol,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
ALRM_122019C30,0:45.37:419907:0.0:0,0:45.72:226632:0.0:0,0:45.84:160404:0.0:0,0:44.84:246018:0.0:0,0:44.59:223240:0.0:0,0:44.15:354849:0.0:0,0:79.41:404617:0.0:0,0:42.22:724017:0.0:0,0:42.8:410273:0.0:0,0:41.88:539118:0.0:0,[0:42.14:263382:0.0:0
ALRM_122019C32.5,0:45.37:419907:0.0:0,0:45.72:226632:0.0:0,0:45.84:160404:0.0:0,0:44.84:246018:0.0:0,0:44.59:223240:0.0:0,0:44.15:354849:0.0:0,0:79.41:404617:0.0:0,0:42.22:724017:0.0:0,0:42.8:410273:0.0:0,0:41.88:539118:0.0:0,[0:42.14:263382:0.0:0
ALRM_122019C35,0:45.37:419907:0.0:0,0:45.72:226632:0.0:0,0:45.84:160404:0.0:0,0:44.84:246018:0.0:0,0:44.59:223240:0.0:0,0:44.15:354849:0.0:0,U:79.41:404617::,0:42.22:724017:0.0:0,0:42.8:410273:0.0:0,0:41.88:539118:0.0:0,[0:42.14:263382:7.23:20
ALRM_122019C37.5,1:45.37:419907:11.3:0,1:45.72:226632:11.3:0,1:45.84:160404:11.3:0,1:44.84:246018:11.3:0,1:44.59:223240:11.3:0,1:44.15:354849:11.3:0,U:79.41:404617::,1:42.22:724017:11.3:0,1:42.8:410273:11.3:0,1:41.88:539118:11.3:0,[1:42.14:263382:11.3:0
ALRM_122019C40,0:45.37:419907:0.0:0,0:45.72:226632:0.0:0,0:45.84:160404:0.0:0,0:44.84:246018:0.0:0,0:44.59:223240:0.0:0,0:44.15:354849:4.95:2,U:79.41:404617::,2:42.22:724017:3.0:2,4:42.8:410273:2.62:3,7:41.88:539118:2.8:7,[14:42.14:263382:2.8:2
ALRM_122019C42.5,35:45.37:419907:5.4:0,35:45.72:226632:3.5:1,35:45.84:160404:3.5:0,35:44.84:246018:3.1:1,35:44.59:223240:3.1:0,35:44.15:354849:3.1:0,35:79.41:404617:2.1:6,30:42.22:724017:2.1:0,30:42.8:410273:1.4:2,31:41.88:539118:1.19:45,[67:42.14:263382:1.45:10
ALRM_122019C45,10:45.37:419907:2.15:2,11:45.72:226632:2.05:1,12:45.84:160404:2.15:2,12:44.84:246018:2.15:0,12:44.59:223240:2.15:0,12:44.15:354849:1.16:124,118:79.41:404617:1.02:8,126:42.22:724017:0.67:4,129:42.8:410273:0.51:13,141:41.88:539118:0.43:268,[315:42.14:263382:0.45:3
ALRM_122019C47.5,39:45.37:419907:1.15:50,72:45.72:226632:1.05:1,72:45.84:160404:0.9:1,72:44.84:246018:0.9:0,72:44.59:223240:0.67:4,71:44.15:354849:0.5:70,U:79.41:404617::,123:42.22:724017:0.3:0,123:42.8:410273:0.3:0,123:41.88:539118:0.12:3,[120:42.14:263382:0.15:5
ALRM_122019C50,1290:45.37:419907:0.5:51,1289:45.72:226632:0.35:76,1340:45.84:160404:0.35:0,1340:44.84:246018:0.3:5,1343:44.59:223240:0.2:2,1341:44.15:354849:0.2:12,U:79.41:404617::,1342:42.22:724017:0.1:0,1342:42.8:410273:0.1:0,1342:41.88:539118:0.1:0,[1342:42.14:263382:0.1:0
ALRM_122019C52.5,78:45.37:419907:0.17:6,78:45.72:226632:0.15:2,80:45.84:160404:0.15:0,80:44.84:246018:0.15:0,80:44.59:223240:0.19:1,80:44.15:354849:0.02:1,U:79.41:404617::,80:42.22:724017:0.02:0,80:42.8:410273:0.02:0,80:41.88:539118:0.02:0,[80:42.14:263382:0.02:0
