Symbol,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
ALRM_122019P30,0:45.37:419907:0.0:0,0:45.72:226632:0.0:0,0:45.84:160404:0.0:0,0:44.84:246018:0.0:0,0:44.59:223240:0.0:0,0:44.15:354849:0.0:0,0:79.41:404617:0.0:0,0:42.22:724017:0.0:0,0:42.8:410273:0.0:0,0:41.88:539118:0.0:0,[0:42.14:263382:0.0:0
ALRM_122019P32.5,0:45.37:419907:0.0:0,0:45.72:226632:0.0:0,0:45.84:160404:0.0:0,0:44.84:246018:0.0:0,0:44.59:223240:0.0:0,0:44.15:354849:0.0:0,0:79.41:404617:0.0:0,0:42.22:724017:0.0:0,0:42.8:410273:0.0:0,0:41.88:539118:0.0:0,[0:42.14:263382:0.0:0
ALRM_122019P35,2:45.37:419907:0.91:0,2:45.72:226632:0.91:0,2:45.84:160404:0.91:0,2:44.84:246018:0.91:0,2:44.59:223240:0.91:0,2:44.15:354849:0.91:0,2:79.41:404617:0.91:0,2:42.22:724017:0.91:0,2:42.8:410273:0.91:0,2:41.88:539118:0.91:0,[2:42.14:263382:0.91:0
ALRM_122019P37.5,152:45.37:419907:0.65:0,152:45.72:226632:0.65:0,152:45.84:160404:0.65:0,152:44.84:246018:0.65:0,152:44.59:223240:0.65:0,152:44.15:354849:0.65:0,152:79.41:404617:0.65:0,152:42.22:724017:0.27:8,160:42.8:410273:0.35:6,163:41.88:539118:0.35:0,[163:42.14:263382:0.35:0
ALRM_122019P40,195:45.37:419907:0.18:0,195:45.72:226632:0.37:1,195:45.84:160404:0.32:1,195:44.84:246018:0.32:0,195:44.59:223240:0.4:3,198:44.15:354849:0.4:0,198:79.41:404617:0.4:0,198:42.22:724017:0.7:6,202:42.8:410273:0.65:2,204:41.88:539118:0.9:5,[205:42.14:263382:0.9:0
ALRM_122019P42.5,1831:45.37:419907:0.83:1,1832:45.72:226632:0.83:0,1832:45.84:160404:0.83:0,1832:44.84:246018:0.7:1,1833:44.59:223240:0.9:1,1834:44.15:354849:0.95:33,1856:79.41:404617:1.36:4,1860:42.22:724017:1.36:0,1860:42.8:410273:1.65:1,1861:41.88:539118:1.9:1,[1861:42.14:263382:1.65:117
ALRM_122019P45,829:45.37:419907:1.75:3,832:45.72:226632:1.75:0,832:45.84:160404:1.38:2,834:44.84:246018:1.9:1,834:44.59:223240:1.9:0,834:44.15:354849:1.9:0,834:79.41:404617:2.8:8,839:42.22:724017:3.0:12,839:42.8:410273:2.86:13,843:41.88:539118:3.6:4,[843:42.14:263382:3.5:1
ALRM_122019P47.5,37:45.37:419907:3.0:1,36:45.72:226632:3.15:1,36:45.84:160404:2.7:1,36:44.84:246018:2.7:0,36:44.59:223240:2.7:0,36:44.15:354849:3.4:2,38:79.41:404617:3.4:0,38:42.22:724017:5.17:1,38:42.8:410273:5.17:0,38:41.88:539118:5.17:0,[38:42.14:263382:5.17:0
ALRM_122019P50,44:45.37:419907:3.8:0,44:45.72:226632:5.3:1,43:45.84:160404:5.3:0,43:44.84:246018:5.3:0,43:44.59:223240:5.5:5,42:44.15:354849:5.5:0,42:79.41:404617:5.5:0,42:42.22:724017:5.5:0,42:42.8:410273:5.5:0,42:41.88:539118:5.5:0,[38:42.14:263382:5.5:0
ALRM_122019P52.5,11:45.37:419907:6.54:0,11:45.72:226632:6.54:0,11:45.84:160404:6.54:0,11:44.84:246018:6.54:0,11:44.59:223240:6.54:0,11:44.15:354849:6.54:0,11:79.41:404617:6.54:0,11:42.22:724017:6.54:0,0:42.8:410273:6.54:0,0:41.88:539118:6.54:0,[0:42.14:263382:6.54:0
ALRM_122019P55,9:45.37:419907:5.18:0,9:45.72:226632:5.18:0,9:45.84:160404:5.18:0,9:44.84:246018:5.18:0,9:44.59:223240:5.18:0,9:44.15:354849:10.36:5,7:79.41:404617:10.36:0,7:42.22:724017:10.36:0,2:42.8:410273:10.36:0,2:41.88:539118:10.36:0,[2:42.14:263382:10.36:0
ALRM_122019P57.5,0:45.37:419907:10.39:0,0:45.72:226632:10.39:0,0:45.84:160404:10.39:0,0:44.84:246018:10.39:0,0:44.59:223240:10.39:0,0:44.15:354849:10.39:0,0:79.41:404617:10.39:0,0:42.22:724017:10.39:0,0:42.8:410273:10.39:0,0:41.88:539118:10.39:0,[0:42.14:263382:10.39:0
ALRM_122019P60,0:45.37:419907:9.67:0,0:45.72:226632:9.67:0,0:45.84:160404:9.67:0,0:44.84:246018:9.67:0,0:44.59:223240:9.67:0,0:44.15:354849:9.67:0,0:79.41:404617:9.67:0,0:42.22:724017:9.67:0,0:42.8:410273:9.67:0,0:41.88:539118:9.67:0,[0:42.14:263382:9.67:0
ALRM_122019P62.5,0:45.37:419907:0.0:0,0:45.72:226632:0.0:0,0:45.84:160404:0.0:0,0:44.84:246018:0.0:0,0:44.59:223240:0.0:0,0:44.15:354849:0.0:0,0:79.41:404617:0.0:0,0:42.22:724017:0.0:0,0:42.8:410273:0.0:0,0:41.88:539118:0.0:0,[0:42.14:263382:0.0:0
ALRM_122019P65,0:45.37:419907:0.0:0,0:45.72:226632:0.0:0,0:45.84:160404:0.0:0,0:44.84:246018:0.0:0,0:44.59:223240:0.0:0,0:44.15:354849:0.0:0,0:79.41:404617:0.0:0,0:42.22:724017:0.0:0,0:42.8:410273:0.0:0,0:41.88:539118:0.0:0,[0:42.14:263382:0.0:0
ALRM_122019P67.5,0:45.37:419907:17.5:0,0:45.72:226632:17.5:0,0:45.84:160404:17.5:0,0:44.84:246018:17.5:0,0:44.59:223240:17.5:0,0:44.15:354849:17.5:0,0:79.41:404617:17.5:0,0:42.22:724017:17.5:0,0:42.8:410273:17.5:0,0:41.88:539118:17.5:0,[0:42.14:263382:17.5:0
ALRM_122019P70,0:45.37:419907:20.3:0,0:45.72:226632:20.3:0,0:45.84:160404:20.3:0,0:44.84:246018:20.3:0,0:44.59:223240:20.3:0,0:44.15:354849:20.3:0,0:79.41:404617:20.3:0,0:42.22:724017:20.3:0,0:42.8:410273:20.3:0,0:41.88:539118:20.3:0,[0:42.14:263382:20.3:0
ALRM_122019P72.5,0:45.37:419907:0.0:0,0:45.72:226632:0.0:0,0:45.84:160404:0.0:0,0:44.84:246018:0.0:0,0:44.59:223240:0.0:0,0:44.15:354849:0.0:0,0:79.41:404617:0.0:0,0:42.22:724017:0.0:0,0:42.8:410273:0.0:0,0:41.88:539118:0.0:0,[0:42.14:263382:0.0:0
