Symbol,20191028,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
AMAT_112219P47,42:56.95,39:55.52,39:55.21,38:53.84,38.0,38:55.74,38:55.88,38:55.82,38:55.94:4486875:0.09:0,38:56.01:2751868:0.09:0,38:56.56:4679493:0.07:3,39:56.41:4338835:0.07:0,39:57.205:4900445:0.06:1,40:56.96:6359030:0.03:12,33:62.06:28249678:0.03:0,U:62.35:10413069::,31:60.94:9869628:0.01:0,U:60.035:7274675:U:U,31:56.44:13931633:0.01:0,31:55.94:8613681:0.01:0
AMAT_112219P48,128:56.95,120:55.52,143:55.21,143:53.84,144.0,144:55.74,144:55.88,144:55.82,144:55.94:4486875:0.09:26,157:56.01:2751868:0.09:0,157:56.56:4679493:0.09:0,157:56.41:4338835:0.09:0,157:57.205:4900445:0.07:61,217:56.96:6359030:0.08:6,220:62.06:28249678:0.08:0,U:62.35:10413069::,220:60.94:9869628:0.08:0,220:60.035:7274675:0.08:0,220:56.44:13931633:0.08:0,220:55.94:8613681:0.08:0
AMAT_112219P49,103:56.95,103:55.52,103:55.21,99:53.84,99.0,99:55.74,99:55.88,99:55.82,99:55.94:4486875:0.13:45,103:56.01:2751868:0.13:0,103:56.56:4679493:0.13:0,103:56.41:4338835:0.13:0,103:57.205:4900445:0.1:36,139:56.96:6359030:0.1:31,174:62.06:28249678:0.1:0,U:62.35:10413069::,174:60.94:9869628:0.1:0,174:60.035:7274675:0.1:0,U:56.44:13931633:U:U,174:55.94:8613681:0.1:0
AMAT_112219P50,186:56.95,176:55.52,176:55.21,188:53.84,196.0,196:55.74,203:55.88,203:55.82,206:55.94:4486875:0.19:1,206:56.01:2751868:0.19:0,206:56.56:4679493:0.17:1478,1600:56.41:4338835:0.21:491,2017:57.205:4900445:0.14:137,1969:56.96:6359030:0.12:223,1943:62.06:28249678:0.01:56,1908:62.35:10413069:0.01:0,1908:60.94:9869628:0.01:2,1906:60.035:7274675:0.01:0,1906:56.44:13931633:0.01:4,1902:55.94:8613681:0.01:0
AMAT_112219P51,96:56.95,97:55.52,88:55.21,96:53.84,97.0,97:55.74,108:55.88,108:55.82,109:55.94:4486875:0.44:0,109:56.01:2751868:0.3:4,113:56.56:4679493:0.24:15,118:56.41:4338835:0.27:30,134:57.205:4900445:0.21:25,151:56.96:6359030:0.17:205,280:62.06:28249678:0.01:1442,U:62.35:10413069::,1626:60.94:9869628:0.01:2,1625:60.035:7274675:0.01:5,1625:56.44:13931633:0.01:149,[1774:55.94:8613681:0.02:2
AMAT_112219P52,89:56.95,134:55.52,196:55.21,196:53.84,192.0,214:55.74,234:55.88,238:55.82,239:55.94:4486875:0.46:1,240:56.01:2751868:0.46:0,240:56.56:4679493:0.36:45,224:56.41:4338835:0.4:174,341:57.205:4900445:0.28:156,380:56.96:6359030:0.27:206,493:62.06:28249678:0.01:176,U:62.35:10413069::,600:60.94:9869628:0.02:1,600:60.035:7274675:0.02:0,600:56.44:13931633:0.01:525,[1125:55.94:8613681:0.01:0
AMAT_112219P53,106:56.95,383:55.52,404:55.21,459:53.84,458.0,464:55.74,475:55.88,479:55.82,479:55.94:4486875:0.57:6,485:56.01:2751868:0.67:81,485:56.56:4679493:0.52:13,476:56.41:4338835:0.57:5,478:57.205:4900445:0.4:145,478:56.96:6359030:0.39:149,527:62.06:28249678:0.05:10,U:62.35:10413069::,520:60.94:9869628:0.03:1,U:60.035:7274675:.:U,503:56.44:13931633:0.01:1,[503:55.94:8613681:0.02:14
AMAT_112219P54,3:56.95,61:55.52,64:55.21,65:53.84,664.0,673:55.74,684:55.88,682:55.82,686:55.94:4486875:0.87:95,757:56.01:2751868:0.97:94,766:56.56:4679493:0.72:38,770:56.41:4338835:0.8:27,773:57.205:4900445:0.57:89,835:56.96:6359030:0.58:204,875:62.06:28249678:0.02:40,U:62.35:10413069::,863:60.94:9869628:0.01:56,812:60.035:7274675:0.01:31,787:56.44:13931633:0.03:28,[773:55.94:8613681:0.02:7
AMAT_112219P55,8:56.95,275:55.52,304:55.21,304:53.85,313.0,297:55.74,313:55.88,322:55.82,622:55.94:4486875:1.24:85,687:56.01:2751868:1.42:57,641:56.56:4679493:1.03:74,578:56.41:4338835:1.09:30,597:57.205:4900445:0.81:59,632:56.96:6359030:0.83:244,764:62.06:28249678:0.03:105,U:62.35:10413069::,754:60.94:9869628:0.04:0,U:60.035:7274675:U:U,750:56.44:13931633:0.08:152,[768:55.94:8613681:0.09:657
AMAT_112219P56,8:56.95,47:55.52,60:55.21,60:53.85,64.0,64:55.74,70:55.88,72:55.82,72:55.94:4486875:1.68:66,127:56.01:2751868:1.74:7,127:56.56:4679493:1.45:13,139:56.41:4338835:1.58:203,237:57.205:4900445:1.1:89,231:56.96:6359030:1.23:105,305:62.06:28249678:0.04:176,U:62.35:10413069::,347:60.94:9869628:0.01:3,344:60.035:7274675:0.05:220,299:56.44:13931633:0.26:574,[433:55.94:8613681:0.1:525
