Symbol,20191028,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
AMD_112219P29,160:33.69,184:33.03,226:33.13,291:33.97,280.0,301:36.29,290:36.1195,290:35.93,290:36.28:54283963:0.03:0,290:36.24:36598568:0.02:3,289:36.2815:40862499:0.02:1,288:36.705:55552154:0.02:37,287:37.505:65981891:0.03:9,287:38.35:64319311:0.01:5,287:38.56:61729774:0.01:0,U:39.88:66156575::,287:41.29:94210174:0.01:0,287:40.97:65648250:0.01:0,U:39.52:86779674:U:U,287:39.15:56736352:0.01:0
AMD_112219P29.5,235:33.69,235:33.03,258:33.13,309:33.97,250.0,243:36.29,239:36.1195,239:35.93,239:36.28:54283963:0.03:7,239:36.24:36598568:0.03:1,239:36.2815:40862499:0.02:30,263:36.705:55552154:0.02:5,258:37.505:65981891:0.03:9,250:38.35:64319311:0.01:426,655:38.56:61729774:0.01:192,841:39.88:66156575:0.01:2,839:41.29:94210174:0.01:0,839:40.97:65648250:0.01:0,U:39.52:86779674:U:U,839:39.15:56736352:0.01:0
AMD_112219P30,297:33.69,650:33.03,676:33.13,692:33.965,700.0,644:36.29,566:36.1195,548:35.93,549:36.28:54283963:0.05:21,555:36.24:36598568:0.04:46,577:36.2815:40862499:0.03:8,582:36.705:55552154:0.02:31,597:37.505:65981891:0.03:12,599:38.35:64319311:0.02:6,598:38.56:61729774:0.01:5,U:39.88:66156575::,598:41.29:94210174:0.01:1,597:40.97:65648250:0.01:6,U:39.52:86779674:U:U,590:39.15:56736352:0.01:1
AMD_112219P30.5,129:33.69,362:33.03,368:33.13,467:33.965,462.0,463:36.29,469:36.1195,470:35.93,481:36.28:54283963:0.05:1,481:36.24:36598568:0.05:0,481:36.2815:40862499:0.04:1,480:36.705:55552154:0.03:1,480:37.505:65981891:0.01:3,477:38.35:64319311:0.01:13,472:38.56:61729774:0.03:53,451:39.88:66156575:0.03:0,451:41.29:94210174:0.03:0,451:40.97:65648250:0.03:0,451:39.52:86779674:0.03:0,451:39.15:56736352:0.03:0
AMD_112219P31,1142:33.69,1192:33.03,1221:33.13,853:33.97,883.0,868:36.29,879:36.1195,880:35.93,864:36.28:54283963:0.07:103,914:36.24:36598568:0.06:53,923:36.2815:40862499:0.04:135,1031:36.705:55552154:0.02:40,1031:37.505:65981891:0.01:31,1052:38.35:64319311:0.02:52,1042:38.56:61729774:0.02:500,1542:39.88:66156575:0.01:4,1546:41.29:94210174:0.01:0,1546:40.97:65648250:0.01:0,U:39.52:86779674:U:U,1545:39.15:56736352:0.01:0
AMD_112219P31.5,402:33.69,435:33.03,906:33.13,982:33.9705,1033.0,1028:36.29,1061:36.1195,1041:35.93,1042:36.28:54283963:0.09:305,1154:36.24:36598568:0.08:59,1162:36.2815:40862499:0.04:61,1183:36.705:55552154:0.04:4,1185:37.505:65981891:0.02:74,1251:38.35:64319311:0.03:1,1250:38.56:61729774:0.02:32,1225:39.88:66156575:0.01:1,1225:41.29:94210174:0.01:0,1225:40.97:65648250:0.01:0,1225:39.52:86779674:0.01:0,1225:39.15:56736352:0.01:0
AMD_112219P32,103:33.69,118:33.03,183:33.13,499:33.9705,438.0,468:36.29,461:36.1195,462:35.93,436:36.28:54283963:0.13:263,493:36.24:36598568:0.11:156,632:36.2815:40862499:0.07:180,761:36.705:55552154:0.03:44,744:37.505:65981891:0.04:176,748:38.35:64319311:0.02:379,883:38.56:61729774:0.03:112,912:39.88:66156575:0.01:1,911:41.29:94210174:0.01:0,911:40.97:65648250:0.01:3,908:39.52:86779674:0.01:1,907:39.15:56736352:0.01:108
AMD_112219P32.5,78:33.69,72:33.03,691:33.13,850:33.9705,881.0,952:36.29,1074:36.1195,1114:35.93,932:36.28:54283963:0.17:759,1198:36.24:36598568:0.14:24,1203:36.2815:40862499:0.09:49,1179:36.705:55552154:0.07:33,1184:37.505:65981891:0.03:16,1185:38.35:64319311:0.03:5,1185:38.56:61729774:0.01:19,1181:39.88:66156575:0.01:46,1168:41.29:94210174:0.01:0,U:40.97:65648250:4.89:16:40.97:65648250:.8:U,1168:39.52:86779674:0.02:0,1168:39.15:56736352:0.02:0
AMD_112219P33,78:33.69,242:33.03,406:33.13,392:33.97,406.0,436:36.29,594:36.1195,664:35.93,865:36.28:54283963:0.21:399,786:36.24:36598568:0.17:122,851:36.2815:40862499:0.13:481,1191:36.705:55552154:0.08:279,1277:37.505:65981891:0.05:218,1253:38.35:64319311:0.03:123,1249:38.56:61729774:0.02:54,U:39.88:66156575::,1199:41.29:94210174:0.01:16,1196:40.97:65648250:0.01:13,1196:39.52:86779674:0.01:0,1196:39.15:56736352:0.01:3
AMD_112219P33.5,0:33.69,402:33.03,410:33.13,401:33.975,467.0,522:36.29,813:36.1195,696:35.93,706:36.28:54283963:0.28:459,902:36.24:36598568:0.22:272,1076:36.2815:40862499:0.16:134,1109:36.705:55552154:0.11:182,1261:37.505:65981891:0.06:350,1277:38.35:64319311:0.05:70,1253:38.56:61729774:0.03:62,1223:39.88:66156575:0.01:216,1152:41.29:94210174:0.01:3,U:40.97:65648250:U:U,1150:39.52:86779674:0.01:0,1150:39.15:56736352:0.01:4
AMD_112219P34,105:33.69,109:33.03,109:33.13,120:33.975,232.0,852:36.29,915:36.1195,1100:35.93,1106:36.28:54283963:0.36:154,1132:36.24:36598568:0.31:284,1215:36.2815:40862499:0.23:507,1419:36.705:55552154:0.17:347,1500:37.505:65981891:0.09:268,1589:38.35:64319311:0.06:8232,9000:38.56:61729774:0.04:620,9288:39.88:66156575:0.01:969,9775:41.29:94210174:0.01:62,U:40.97:65648250:U:U,U:39.52:86779674:U:U,9690:39.15:56736352:0.01:19
AMD_112219P34.5,2:33.69,102:33.03,104:33.13,20:33.975,113.0,155:36.29,347:36.1195,660:35.93,673:36.28:54283963:0.49:250,777:36.24:36598568:0.4:636,536:36.2815:40862499:0.34:294,624:36.705:55552154:0.23:331,615:37.505:65981891:0.12:256,710:38.35:64319311:0.07:151,716:38.56:61729774:0.04:108,U:39.88:66156575::,884:41.29:94210174:0.01:69,878:40.97:65648250:0.01:7,877:39.52:86779674:0.01:6,[876:39.15:56736352:0.01:5
AMD_112219P35,3:33.69,3:33.03,3:33.13,74:33.9799,220.0,322:36.29,1027:36.1195,1166:35.93,1348:36.28:54283963:0.63:905,1786:36.24:36598568:0.54:765,1749:36.2815:40862499:0.46:3361,3019:36.705:55552154:0.34:958,3540:37.505:65981891:0.18:1879,3270:38.35:64319311:0.11:608,3376:38.56:61729774:0.06:872,3486:39.88:66156575:0.01:846,3367:41.29:94210174:0.01:1405,3604:40.97:65648250:0.01:172,3678:39.52:86779674:0.01:72,[3711:39.15:56736352:0.01:27
AMD_112219P36,1:33.69,272:33.03,275:33.13,331:33.978,335.0,410:36.29,1141:36.1195,1620:35.93,1546:36.28:54283963:1.02:1484,2049:36.24:36598568:0.92:1909,2669:36.2815:40862499:0.81:2097,2972:36.705:55552154:0.61:2187,3620:37.505:65981891:0.35:1748,4272:38.35:64319311:0.19:1416,4419:38.56:61729774:0.12:2128,3864:39.88:66156575:0.03:1068,3899:41.29:94210174:0.02:800,3743:40.97:65648250:0.01:245,3837:39.52:86779674:0.01:1620,[4050:39.15:56736352:0.01:31
