Symbol,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
AMED_122019C100,2:149.25:157649:33.65:0,2:150.71:201072:33.65:0,2:153.3:178583:33.65:0,2:150.2:187269:33.65:0,2:151.26:165892:33.65:0,2:152.85:192805:33.65:0,U:39.88:66156575::,2:154.15:242262:33.65:0,2:154.03:118822:33.65:0,2:157.57:258887:33.65:0,2:0:0:33.65:0
AMED_122019C105,0:149.25:157649:0.0:0,0:150.71:201072:0.0:0,0:153.3:178583:0.0:0,0:150.2:187269:0.0:0,0:151.26:165892:0.0:0,0:152.85:192805:0.0:0,U:39.88:66156575::,0:154.15:242262:0.0:0,0:154.03:118822:0.0:0,0:157.57:258887:0.0:0,U:0:0:U:U
AMED_122019C110,12:149.25:157649:35.5:0,12:150.71:201072:35.5:0,12:153.3:178583:35.5:0,12:150.2:187269:35.5:0,12:151.26:165892:35.5:0,12:152.85:192805:35.5:0,U:39.88:66156575::,12:154.15:242262:35.5:0,12:154.03:118822:35.5:0,12:157.57:258887:35.5:0,12:0:0:35.5:0
AMED_122019C115,14:149.25:157649:18.35:0,14:150.71:201072:18.35:0,14:153.3:178583:18.35:0,14:150.2:187269:36.32:1,14:151.26:165892:36.32:0,14:152.85:192805:36.32:0,U:39.88:66156575::,14:154.15:242262:36.32:0,14:154.03:118822:36.32:0,14:157.57:258887:36.32:0,14:0:0:36.32:0
AMED_122019C120,26:149.25:157649:12.25:0,26:150.71:201072:12.25:0,26:153.3:178583:12.25:0,26:150.2:187269:12.25:0,26:151.26:165892:12.25:0,26:152.85:192805:12.25:0,U:39.88:66156575::,26:154.15:242262:12.25:0,26:154.03:118822:12.25:0,26:157.57:258887:12.25:0,26:0:0:12.25:0
AMED_122019C125,46:149.25:157649:24.65:0,46:150.71:201072:24.65:0,46:153.3:178583:24.65:0,46:150.2:187269:24.65:0,46:151.26:165892:24.65:0,46:152.85:192805:24.65:0,U:39.88:66156575::,46:154.15:242262:24.65:0,46:154.03:118822:24.65:0,46:157.57:258887:24.65:0,46:0:0:24.65:0
AMED_122019C130,109:149.25:157649:20.0:0,109:150.71:201072:20.0:0,109:153.3:178583:20.0:0,109:150.2:187269:20.0:0,109:151.26:165892:20.0:0,109:152.85:192805:20.0:0,U:39.88:66156575::,109:154.15:242262:20.0:0,109:154.03:118822:20.0:0,109:157.57:258887:20.0:0,109:0:0:20.0:0
AMED_122019C135,33:149.25:157649:14.7:0,33:150.71:201072:16.6:1,32:153.3:178583:16.6:0,32:150.2:187269:16.6:0,32:151.26:165892:16.6:0,32:152.85:192805:16.6:0,U:39.88:66156575::,32:154.15:242262:16.6:0,32:154.03:118822:16.6:0,32:157.57:258887:16.6:0,32:0:0:16.6:0
AMED_122019C140,41:149.25:157649:5.25:0,41:150.71:201072:5.25:0,41:153.3:178583:5.25:0,41:150.2:187269:5.25:0,41:151.26:165892:5.25:0,41:152.85:192805:5.25:0,U:39.88:66156575::,41:154.15:242262:5.25:0,41:154.03:118822:5.25:0,41:157.57:258887:5.25:0,41:0:0:5.25:0
AMED_122019C145,26:149.25:157649:8.8:0,26:150.71:201072:9.18:1,26:153.3:178583:9.18:0,26:150.2:187269:9.18:0,26:151.26:165892:9.18:0,26:152.85:192805:9.18:0,U:39.88:66156575::,26:154.15:242262:9.18:0,26:154.03:118822:9.18:0,26:157.57:258887:9.18:0,26:0:0:9.18:0
