Symbol,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
AMED_122019P100,351:149.25:157649:0.36:0,351:150.71:201072:0.36:0,351:153.3:178583:0.36:0,U:150.2:187269:.:,351:151.26:165892:0.36:0,351:152.85:192805:0.36:0,U:39.88:66156575::,351:154.15:242262:0.36:0,351:154.03:118822:0.36:0,351:157.57:258887:0.36:0,351:158.72:188145:0.36:0
AMED_122019P105,201:149.25:157649:0.54:0,201:150.71:201072:0.54:0,201:153.3:178583:0.54:0,201:150.2:187269:0.54:0,201:151.26:165892:0.54:0,201:152.85:192805:0.54:0,U:39.88:66156575::,201:154.15:242262:0.54:0,201:154.03:118822:0.54:0,201:157.57:258887:0.54:0,201:158.72:188145:0.54:0
AMED_122019P110,524:149.25:157649:0.52:0,524:150.71:201072:0.52:0,524:153.3:178583:0.35:3,524:150.2:187269:0.12:10,524:151.26:165892:0.12:0,524:152.85:192805:0.12:0,524:39.88:66156575:0.12:0,524:154.15:242262:0.12:0,524:154.03:118822:0.12:0,524:157.57:258887:0.12:0,[524:158.72:188145:0.12:0
AMED_122019P115,93:149.25:157649:0.44:0,93:150.71:201072:0.44:0,93:153.3:178583:0.44:0,93:150.2:187269:0.44:0,93:151.26:165892:0.44:0,93:152.85:192805:0.44:0,93:39.88:66156575:0.44:0,93:154.15:242262:0.44:0,93:154.03:118822:0.44:0,93:157.57:258887:0.44:0,[93:158.72:188145:0.44:0
AMED_122019P120,209:149.25:157649:0.5:1,209:150.71:201072:0.5:0,209:153.3:178583:0.5:0,209:150.2:187269:0.5:0,209:151.26:165892:0.34:20,209:152.85:192805:0.34:0,U:39.88:66156575::,209:154.15:242262:0.34:0,209:154.03:118822:0.34:0,209:157.57:258887:0.34:0,[209:158.72:188145:0.34:0
AMED_122019P125,23:149.25:157649:1.3:0,23:150.71:201072:1.3:0,23:153.3:178583:0.48:3,20:150.2:187269:0.48:0,20:151.26:165892:0.61:1,19:152.85:192805:0.61:0,U:39.88:66156575::,19:154.15:242262:0.61:0,19:154.03:118822:0.61:0,19:157.57:258887:0.61:0,[19:158.72:188145:0.61:0
AMED_122019P130,81:149.25:157649:1.29:3,81:150.71:201072:1.29:0,81:153.3:178583:1.29:0,81:150.2:187269:0.93:2,81:151.26:165892:0.93:0,81:152.85:192805:0.93:0,U:39.88:66156575::,78:154.15:242262:0.47:0,78:154.03:118822:0.47:0,78:157.57:258887:0.47:0,[78:158.72:188145:0.47:0
AMED_122019P135,30:149.25:157649:2.53:0,30:150.71:201072:1.4:2,32:153.3:178583:1.35:8,28:150.2:187269:1.1:1,29:151.26:165892:1.26:1,29:152.85:192805:1.26:0,U:39.88:66156575::,37:154.15:242262:0.71:0,37:154.03:118822:0.71:0,37:157.57:258887:0.71:0,[37:158.72:188145:0.71:0
AMED_122019P140,31:149.25:157649:2.75:3,34:150.71:201072:2.75:0,34:153.3:178583:1.72:2,36:150.2:187269:1.72:0,36:151.26:165892:1.72:0,36:152.85:192805:1.72:0,36:39.88:66156575:1.22:4,36:154.15:242262:1.22:0,36:154.03:118822:1.22:0,36:157.57:258887:1.22:0,[36:158.72:188145:1.22:0
AMED_122019P145,11:149.25:157649:6.15:0,11:150.71:201072:6.15:0,11:153.3:178583:6.15:0,11:150.2:187269:6.15:0,11:151.26:165892:6.15:0,11:152.85:192805:6.15:0,U:39.88:66156575:::39.88:66156575::,12:154.15:242262:1.79:1,13:154.03:118822:1.79:0,13:157.57:258887:1.79:0,[13:158.72:188145:1.79:0
AMED_122019P150,5:149.25:157649:8.3:0,5:150.71:201072:8.3:0,5:153.3:178583:8.3:0,5:150.2:187269:5.3:5,9:151.26:165892:5.3:0,9:152.85:192805:5.3:0,U:39.88:66156575::,21:154.15:242262:2.84:0,21:154.03:118822:2.84:0,21:157.57:258887:2.84:0,[21:158.72:188145:2.84:0
AMED_122019P155,11:149.25:157649:10.7:0,11:150.71:201072:10.7:0,11:153.3:178583:10.7:0,11:150.2:187269:10.7:0,11:151.26:165892:10.7:0,11:152.85:192805:10.7:0,U:39.88:66156575::,11:154.15:242262:5.1:1,11:154.03:118822:5.1:0,11:157.57:258887:3.6:1,[11:158.72:188145:3.45:10
AMED_122019P160,1:149.25:157649:33.3:0,1:150.71:201072:33.3:0,1:153.3:178583:33.3:0,1:150.2:187269:33.3:0,1:151.26:165892:33.3:0,1:152.85:192805:33.3:0,U:39.88:66156575::,1:154.15:242262:33.3:0,1:154.03:118822:33.3:0,1:157.57:258887:33.3:0,[1:158.72:188145:5.54:10
AMED_122019P165,2:149.25:157649:18.55:0,2:150.71:201072:18.55:0,2:153.3:178583:18.55:0,2:150.2:187269:18.55:0,2:151.26:165892:18.55:0,2:152.85:192805:18.55:0,U:39.88:66156575::,2:154.15:242262:18.55:0,2:154.03:118822:18.55:0,2:157.57:258887:18.55:0,[2:158.72:188145:18.55:0
AMED_122019P170,4:149.25:157649:27.95:0,4:150.71:201072:27.95:0,4:153.3:178583:27.95:0,4:150.2:187269:27.95:0,4:151.26:165892:27.95:0,4:152.85:192805:27.95:0,4:39.88:66156575:27.95:0,4:154.15:242262:27.95:0,4:154.03:118822:27.95:0,4:157.57:258887:27.95:0,[4:158.72:188145:27.95:0
AMED_122019P175,0:149.25:157649:0.0:0,0:150.71:201072:0.0:0,0:153.3:178583:0.0:0,0:150.2:187269:0.0:0,0:151.26:165892:0.0:0,0:152.85:192805:0.0:0,U:39.88:66156575::,0:154.15:242262:0.0:0,0:154.03:118822:0.0:0,0:157.57:258887:0.0:0,[0:158.72:188145:0.0:0
