Symbol,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
AMKR_122019P5,0:14.92,0:13.6,0:12.375,0.0,0:13.33,0:13.21,0:13.065,0:12.76:1398021:0.0:0,0:12.8:560176:0.0:0,0:12.71:688637:0.0:0,0:12.895:803912:0.0:0,0:12.96:891702:0.0:0,0:12.88:690803:0.0:0,0:12.995:1387834:0.0:0,0:12.9:667631:0.0:0,0:13.0:1363238:0.0:0,U:13.375:1489119:U:U,0:12.315:1523466:0.0:0,[0:12.13:762905:0.0:0
AMKR_122019P6,350:14.92,350:13.6,350:12.375,350.0,350:13.33,350:13.21,350:13.065,350:12.76:1398021:0.4:0,350:12.8:560176:0.4:0,350:12.71:688637:0.4:0,350:12.895:803912:0.4:0,350:12.96:891702:0.4:0,350:12.88:690803:0.4:0,350:12.995:1387834:0.4:0,350:12.9:667631:0.4:0,350:13.0:1363238:0.4:0,U:13.375:1489119:U:U,350:12.315:1523466:0.4:0,[350:12.13:762905:0.4:0
AMKR_122019P7,52:14.92,52:13.6,52:12.375,52.0,52:13.33,42:13.21,42:13.065,42:12.76:1398021:0.05:0,42:12.8:560176:0.05:0,42:12.71:688637:0.05:0,42:12.895:803912:0.05:0,42:12.96:891702:0.05:0,42:12.88:690803:0.05:0,42:12.995:1387834:0.05:0,42:12.9:667631:0.05:0,42:13.0:1363238:0.05:0,U:13.375:1489119:U:U,42:12.315:1523466:0.05:0,[42:12.13:762905:0.05:0
AMKR_122019P8,76:14.92,76:13.6,76:12.375,76.0,76:13.33,76:13.21,76:13.065,76:12.76:1398021:0.14:0,76:12.8:560176:0.14:0,76:12.71:688637:0.14:0,76:12.895:803912:0.14:0,76:12.96:891702:0.14:0,76:12.88:690803:0.14:0,76:12.995:1387834:0.14:0,76:12.9:667631:0.14:0,76:13.0:1363238:0.14:0,U:13.375:1489119:U:U,76:12.315:1523466:0.14:0,[76:12.13:762905:0.14:0
AMKR_122019P9,337:14.92,303:13.6,303:12.375,303.0,303:13.33,303:13.21,290:13.065,290:12.76:1398021:0.05:0,290:12.8:560176:0.05:0,290:12.71:688637:0.05:0,290:12.895:803912:0.05:0,290:12.96:891702:0.05:0,290:12.88:690803:0.05:0,290:12.995:1387834:0.05:0,290:12.9:667631:0.05:0,290:13.0:1363238:0.05:0,U:13.375:1489119:.:U:13.375:1489119:U:U,290:12.315:1523466:0.05:0,[290:12.13:762905:0.05:0
AMKR_122019P10,47:14.92,47:13.6,50:12.375,49.0,49:13.33,49:13.21,49:13.065,49:12.76:1398021:0.1:0,49:12.8:560176:0.1:0,49:12.71:688637:0.1:0,49:12.895:803912:0.1:0,49:12.96:891702:0.1:0,49:12.88:690803:0.1:0,49:12.995:1387834:0.1:0,49:12.9:667631:0.1:0,49:13.0:1363238:0.1:0,U:13.375:1489119:U:U,49:12.315:1523466:0.1:0,[49:12.13:762905:0.1:0
AMKR_122019P11,45:14.92,34:13.6,34:12.375,36.0,36:13.33,40:13.21,40:13.065,43:12.76:1398021:0.1:5,38:12.8:560176:0.1:0,38:12.71:688637:0.1:0,38:12.895:803912:0.1:0,38:12.96:891702:0.1:1,37:12.88:690803:0.1:0,37:12.995:1387834:0.1:0,37:12.9:667631:0.1:0,37:13.0:1363238:0.1:0,U:13.375:1489119:U:U,37:12.315:1523466:0.16:3,[40:12.13:762905:0.15:5
AMKR_122019P12,0:14.92,3:13.6,5:12.375,22.0,25:13.33,25:13.21,25:13.065,25:12.76:1398021:0.3:0,25:12.8:560176:0.3:0,25:12.71:688637:0.3:0,25:12.895:803912:0.3:0,25:12.96:891702:0.2:2,25:12.88:690803:0.2:0,25:12.995:1387834:0.2:0,25:12.9:667631:0.2:7,29:13.0:1363238:0.2:29,45:13.375:1489119:0.2:0,45:12.315:1523466:0.4:91,[136:12.13:762905:0.4:31
AMKR_122019P13,0:14.92,7:13.6,6:12.375,14.0,14:13.33,16:13.21,16:13.065,16:12.76:1398021:0.71:5,13:12.8:560176:0.71:0,13:12.71:688637:0.71:0,13:12.895:803912:0.71:0,13:12.96:891702:0.71:0,13:12.88:690803:0.71:0,13:12.995:1387834:0.71:0,13:12.9:667631:0.54:1,12:13.0:1363238:0.54:0,U:13.375:1489119:U:U,13:12.315:1523466:0.55:16,[25:12.13:762905:0.55:0
AMKR_122019P14,0:14.92,159:13.6,211:12.375,70.0,76:13.33,77:13.21,78:13.065,78:12.76:1398021:1.25:0,78:12.8:560176:1.34:1,78:12.71:688637:1.34:0,78:12.895:803912:1.34:0,78:12.96:891702:1.34:0,78:12.88:690803:1.34:0,78:12.995:1387834:1.34:0,78:12.9:667631:1.34:0,78:13.0:1363238:1.34:0,78:13.375:1489119:0.85:11,78:12.315:1523466:1.7:20,[78:12.13:762905:1.7:0
AMKR_122019P15,0:14.92,31:13.6,34:12.375,39.0,39:13.33,39:13.21,39:13.065,39:12.76:1398021:2.67:0,39:12.8:560176:2.67:0,39:12.71:688637:2.67:0,39:12.895:803912:2.67:0,39:12.96:891702:2.67:0,37:12.88:690803:2.67:0,37:12.995:1387834:2.67:0,37:12.9:667631:2.67:0,37:13.0:1363238:2.67:0,U:13.375:1489119:U:U,37:12.315:1523466:2.67:0,[26:12.13:762905:2.67:0
AMKR_122019P16,0:14.92,5:13.6,5:12.375,5.0,5:13.33,5:13.21,5:13.065,5:12.76:1398021:2.05:0,5:12.8:560176:2.05:0,5:12.71:688637:2.05:0,5:12.895:803912:2.05:0,5:12.96:891702:2.05:0,5:12.88:690803:2.05:0,5:12.995:1387834:2.05:0,5:12.9:667631:2.05:0,5:13.0:1363238:2.05:0,U:13.375:1489119:U:U,6:12.315:1523466:3.6:1,[0:12.13:762905:3.6:0
AMKR_122019P17,0:14.92,3:13.6,14:12.375,12.0,12:13.33,12:13.21,12:13.065,12:12.76:1398021:3.4:0,12:12.8:560176:3.4:0,12:12.71:688637:4.3:10,2:12.895:803912:4.3:0,2:12.96:891702:4.3:0,2:12.88:690803:4.3:0,2:12.995:1387834:4.3:0,2:12.9:667631:4.3:0,2:13.0:1363238:4.3:0,U:13.375:1489119:U:U,2:12.315:1523466:4.3:0,[2:12.13:762905:4.3:0
AMKR_122019P4,0,0:13.6,0:12.375,0.0,0:13.33,0:13.21,0:13.065,0:12.76:1398021:0.0:0,0:12.8:560176:0.0:0,0:12.71:688637:0.0:0,0:12.895:803912:0.0:0,0:12.96:891702:0.0:0,0:12.88:690803:0.0:0,0:12.995:1387834:0.0:0,0:12.9:667631:0.0:0,0:13.0:1363238:0.0:0,0:13.375:1489119:0.0:0,0:12.315:1523466:0.0:0,[0:12.13:762905:0.0:0
AMKR_122019P3,0,0,0:12.375,0.0,0:13.33,0:13.21,0:13.065,0:12.76:1398021:0.0:0,0:12.8:560176:0.0:0,0:12.71:688637:0.0:0,0:12.895:803912:0.0:0,0:12.96:891702:0.0:0,0:12.88:690803:0.0:0,0:12.995:1387834:0.0:0,0:12.9:667631:0.0:0,0:13.0:1363238:0.0:0,0:13.375:1489119:0.0:0,0:12.315:1523466:0.0:0,[0:12.13:762905:0.0:0
AMKR_011720P10,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0:12.9:667631:0.0:0,0:13.0:1363238:0.0:0,0:13.375:1489119:0.0:0,0:12.315:1523466:0.0:0,[0:12.13:762905:0.0:0
AMKR_011720P11,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0:12.9:667631:0.0:0,0:13.0:1363238:0.0:0,U:13.375:1489119:U:U,0:12.315:1523466:0.0:0,[0:12.13:762905:0.0:0
AMKR_011720P12,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0:12.9:667631:0.35:135,135:13.0:1363238:0.31:10,U:13.375:1489119:U:U,155:12.315:1523466:0.35:10,[155:12.13:762905:0.6:8
AMKR_011720P13,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0:12.9:667631:0.75:101,101:13.0:1363238:0.75:0,101:13.375:1489119:0.75:0,101:12.315:1523466:0.75:0,[101:12.13:762905:0.75:0
AMKR_011720P14,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0:12.9:667631:0.0:0,0:13.0:1363238:0.0:0,U:13.375:1489119:U:U,0:12.315:1523466:0.0:0,[0:12.13:762905:0.0:0
AMKR_011720P15,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0:12.9:667631:0.0:0,0:13.0:1363238:0.0:0,U:13.375:1489119:U:U,0:12.315:1523466:0.0:0,[0:12.13:762905:0.0:0
AMKR_011720P16,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0:12.9:667631:0.0:0,0:13.0:1363238:0.0:0,0:13.375:1489119:0.0:0,0:12.315:1523466:0.0:0,[0:12.13:762905:0.0:0
AMKR_011720P17,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0:12.9:667631:0.0:0,0:13.0:1363238:0.0:0,U:13.375:1489119:U:U,0:12.315:1523466:0.0:0,[0:12.13:762905:0.0:0
AMKR_011720P18,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0:12.9:667631:0.0:0,0:13.0:1363238:0.0:0,0:13.375:1489119:0.0:0,0:12.315:1523466:0.0:0,[0:12.13:762905:0.0:0
AMKR_011720P19,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0:12.9:667631:0.0:0,0:13.0:1363238:0.0:0,U:13.375:1489119:U:U,0:12.315:1523466:0.0:0,[0:12.13:762905:0.0:0
