Symbol,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
APH_122019C60,0:104.2,0:104.41,0:102.89,0:102.53:1031772:0.0:0,0:102.7:790191:0.0:0,0:102.17:610144:0.0:0,0:101.45:530480:0.0:0,0:101.67:664557:0.0:0,0:101.1:775521:0.0:0,0:102.25:1029330:0.0:0,0:102.45:1429628:0.0:0,:13.0:1363238:U:U,0:102.19:430159:0.0:0,0:101.78:865714:0.0:0,[0:101.74:656464:0.0:0
APH_122019C65,0:104.2,0:104.41,0:102.89,0:102.53:1031772:0.0:0,0:102.7:790191:0.0:0,0:102.17:610144:0.0:0,0:101.45:530480:0.0:0,0:101.67:664557:0.0:0,0:101.1:775521:0.0:0,0:102.25:1029330:0.0:0,0:102.45:1429628:0.0:0,0:13.0:1363238:0.0:0,0:102.19:430159:0.0:0,0:101.78:865714:0.0:0,[0:101.74:656464:0.0:0
APH_122019C70,0:104.2,0:104.41,0:102.89,0:102.53:1031772:0.0:0,0:102.7:790191:0.0:0,0:102.17:610144:0.0:0,0:101.45:530480:0.0:0,0:101.67:664557:0.0:0,0:101.1:775521:0.0:0,0:102.25:1029330:0.0:0,0:102.45:1429628:0.0:0,:13.0:1363238:U:U,0:102.19:430159:0.0:0,0:101.78:865714:0.0:0,[0:101.74:656464:0.0:0
APH_122019C75,0:104.2,0:104.41,0:102.89,0:102.53:1031772:0.0:0,0:102.7:790191:0.0:0,0:102.17:610144:0.0:0,0:101.45:530480:0.0:0,0:101.67:664557:0.0:0,0:101.1:775521:0.0:0,0:102.25:1029330:0.0:0,0:102.45:1429628:0.0:0,0:13.0:1363238:0.0:0,0:102.19:430159:0.0:0,0:101.78:865714:0.0:0,[0:101.74:656464:0.0:0
APH_122019C80,0:104.2,0:104.41,0:102.89,0:102.53:1031772:0.0:0,0:102.7:790191:0.0:0,0:102.17:610144:0.0:0,0:101.45:530480:0.0:0,0:101.67:664557:0.0:0,0:101.1:775521:0.0:0,0:102.25:1029330:0.0:0,0:102.45:1429628:0.0:0,0:13.0:1363238:0.0:0,0:102.19:430159:0.0:0,0:101.78:865714:0.0:0,[0:101.74:656464:0.0:0
APH_122019C85,0:104.2,0:104.41,0:102.89,0:102.53:1031772:0.0:0,0:102.7:790191:0.0:0,0:102.17:610144:0.0:0,0:101.45:530480:0.0:0,0:101.67:664557:0.0:0,0:101.1:775521:0.0:0,0:102.25:1029330:0.0:0,0:102.45:1429628:0.0:0,:13.0:1363238:U:U,0:102.19:430159:0.0:0,0:101.78:865714:0.0:0,[0:101.74:656464:0.0:0
APH_122019C90,0:104.2,0:104.41,0:102.89,0:102.53:1031772:0.0:0,0:102.7:790191:0.0:0,0:102.17:610144:0.0:0,0:101.45:530480:0.0:0,0:101.67:664557:0.0:0,0:101.1:775521:0.0:0,0:102.25:1029330:0.0:0,0:102.45:1429628:0.0:0,0:13.0:1363238:13.45:1,1:102.19:430159:13.45:0,1:101.78:865714:13.45:0,[1:101.74:656464:13.45:0
APH_122019C95,2:104.2,2:104.41,2:102.89,2:102.53:1031772:6.5:0,2:102.7:790191:6.5:0,2:102.17:610144:6.5:0,2:101.45:530480:6.5:0,2:101.67:664557:6.5:0,2:101.1:775521:6.5:0,2:102.25:1029330:6.5:0,2:102.45:1429628:6.5:0,:13.0:1363238:U:U,2:102.19:430159:6.5:0,2:101.78:865714:6.5:0,[2:101.74:656464:6.5:0
APH_122019C100,108:104.2,110:104.41,110:102.89,110:102.53:1031772:5.0:0,110:102.7:790191:4.5:5,115:102.17:610144:4.0:10,125:101.45:530480:3.75:7,122:101.67:664557:3.75:0,122:101.1:775521:3.75:0,122:102.25:1029330:3.75:0,122:102.45:1429628:3.73:13,135:13.0:1363238:3.73:1,136:102.19:430159:4.1:1,137:101.78:865714:4.1:0,[137:101.74:656464:4.1:0
APH_122019C105,2503:104.2,2503:104.41,2523:102.89,2451:102.53:1031772:2.2:8,2451:102.7:790191:1.75:55,2528:102.17:610144:1.7:601,3023:101.45:530480:1.4:18,3023:101.67:664557:1.35:2,3023:101.1:775521:1.1:75,3023:102.25:1029330:1.2:72,3038:102.45:1429628:1.2:20,:13.0:1363238:U:U,3044:102.19:430159:1.25:10,3049:101.78:865714:0.85:10,[3039:101.74:656464:0.8:5
APH_122019C110,0:104.2,0:104.41,100:102.89,100:102.53:1031772:1.0:0,100:102.7:790191:1.0:0,100:102.17:610144:1.0:0,100:101.45:530480:1.0:0,100:101.67:664557:1.0:0,100:101.1:775521:1.0:0,100:102.25:1029330:0.34:30,125:102.45:1429628:0.21:3,128:13.0:1363238:0.27:34,162:102.19:430159:0.23:1,162:101.78:865714:0.25:1,[163:101.74:656464:0.25:0
