Symbol,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
APH_122019P60,0:104.2,0:104.41,0:102.89,0:102.53:1031772:0.0:0,0:102.7:790191:0.0:0,0:102.17:610144:0.0:0,0:101.45:530480:0.0:0,0:101.67:664557:0.0:0,0:101.1:775521:0.0:0,0:102.25:1029330:0.0:0,0:102.45:1429628:0.0:0,0:103.26:813347:0.0:0,0:102.19:430159:0.0:0,0:101.78:865714:0.0:0,[0:101.74:656464:0.0:0
APH_122019P65,0:104.2,0:104.41,0:102.89,0:102.53:1031772:0.0:0,0:102.7:790191:0.0:0,0:102.17:610144:0.0:0,0:101.45:530480:0.0:0,0:101.67:664557:0.0:0,0:101.1:775521:0.0:0,0:102.25:1029330:0.0:0,0:102.45:1429628:0.0:0,0:103.26:813347:0.0:0,0:102.19:430159:0.0:0,0:101.78:865714:0.0:0,[0:101.74:656464:0.0:0
APH_122019P70,0:104.2,0:104.41,0:102.89,0:102.53:1031772:0.0:0,0:102.7:790191:0.0:0,0:102.17:610144:0.0:0,0:101.45:530480:0.0:0,0:101.67:664557:0.0:0,0:101.1:775521:0.0:0,0:102.25:1029330:0.0:0,0:102.45:1429628:0.0:0,0:103.26:813347:0.0:0,0:102.19:430159:0.0:0,0:101.78:865714:0.0:0,[0:101.74:656464:0.0:0
APH_122019P75,0:104.2,0:104.41,0:102.89,0:102.53:1031772:0.0:0,0:102.7:790191:0.0:0,0:102.17:610144:0.0:0,0:101.45:530480:0.0:0,0:101.67:664557:0.0:0,0:101.1:775521:0.0:0,0:102.25:1029330:0.0:0,0:102.45:1429628:0.0:0,0:103.26:813347:0.0:0,0:102.19:430159:0.0:0,0:101.78:865714:0.0:0,[0:101.74:656464:0.0:0
APH_122019P80,0:104.2,0:104.41,0:102.89,0:102.53:1031772:0.0:0,0:102.7:790191:0.0:0,0:102.17:610144:0.0:0,0:101.45:530480:0.0:0,0:101.67:664557:0.0:0,0:101.1:775521:0.0:0,0:102.25:1029330:0.0:0,0:102.45:1429628:0.0:0,0:103.26:813347:0.0:0,0:102.19:430159:0.0:0,0:101.78:865714:0.0:0,[0:101.74:656464:0.0:0
APH_122019P85,0:104.2,0:104.41,0:102.89,0:102.53:1031772:0.0:0,0:102.7:790191:0.0:0,0:102.17:610144:0.0:0,0:101.45:530480:0.0:0,0:101.67:664557:0.0:0,0:101.1:775521:0.0:0,0:102.25:1029330:0.0:0,0:102.45:1429628:0.0:0,0:103.26:813347:0.0:0,0:102.19:430159:0.0:0,0:101.78:865714:0.0:0,[0:101.74:656464:0.0:0
APH_122019P90,202:104.2,202:104.41,202:102.89,202:102.53:1031772:0.7:0,202:102.7:790191:0.7:0,202:102.17:610144:0.7:0,202:101.45:530480:0.7:0,202:101.67:664557:0.7:0,202:101.1:775521:0.7:0,202:102.25:1029330:0.7:0,202:102.45:1429628:0.7:0,202:103.26:813347:0.7:0,202:102.19:430159:0.7:0,202:101.78:865714:0.7:0,[202:101.74:656464:0.7:0
APH_122019P95,120:104.2,120:104.41,120:102.89,120:102.53:1031772:1.05:0,120:102.7:790191:1.05:0,120:102.17:610144:0.77:2,122:101.45:530480:0.8:1,122:101.67:664557:0.8:0,122:101.1:775521:0.8:0,122:102.25:1029330:0.52:3,125:102.45:1429628:0.52:0,125:103.26:813347:0.4:6,128:102.19:430159:0.4:0,128:101.78:865714:0.4:0,[128:101.74:656464:0.4:0
APH_122019P100,164:104.2,174:104.41,175:102.89,186:102.53:1031772:1.97:12,205:102.7:790191:1.97:0,205:102.17:610144:1.95:6,207:101.45:530480:2.23:13,219:101.67:664557:2.1:5,221:101.1:775521:2.0:3,221:102.25:1029330:1.48:3,221:102.45:1429628:1.48:0,221:103.26:813347:1.2:1,220:102.19:430159:1.3:10,210:101.78:865714:1.3:0,[210:101.74:656464:1.3:0
APH_122019P105,512:104.2,516:104.41,517:102.89,513:102.53:1031772:4.34:14,513:102.7:790191:4.34:0,513:102.17:610144:4.5:14,509:101.45:530480:4.8:5,504:101.67:664557:4.6:314,297:101.1:775521:5.2:25,275:102.25:1029330:4.0:10,272:102.45:1429628:3.8:14,258:103.26:813347:3.5:1,258:102.19:430159:4.15:1,257:101.78:865714:4.15:0,[257:101.74:656464:4.2:17
