Symbol,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
ARES_122019C12.5,0:31.59:448011:0.0:0,0:31.86:421092:0.0:0,0:31.56:309855:0.0:0,0:31.88:409984:0.0:0,0:31.71:310254:0.0:0,0:31.57:344181:0.0:0,0:32.33:651196:0.0:0,0:32.86:548950:0.0:0,0:32.91:544241:0.0:0,0:32.18:486645:0.0:0,[0:32.13:362549:0.0:0
ARES_122019C15,0:31.59:448011:0.0:0,0:31.86:421092:0.0:0,0:31.56:309855:0.0:0,0:31.88:409984:0.0:0,0:31.71:310254:0.0:0,0:31.57:344181:0.0:0,0:32.33:651196:0.0:0,0:32.86:548950:0.0:0,0:32.91:544241:0.0:0,0:32.18:486645:0.0:0,[0:32.13:362549:0.0:0
ARES_122019C17.5,0:31.59:448011:0.0:0,0:31.86:421092:0.0:0,0:31.56:309855:0.0:0,0:31.88:409984:0.0:0,0:31.71:310254:0.0:0,0:31.57:344181:0.0:0,0:32.33:651196:0.0:0,0:32.86:548950:0.0:0,0:32.91:544241:0.0:0,0:32.18:486645:0.0:0,[0:32.13:362549:0.0:0
ARES_122019C20,3:31.59:448011:10.44:0,3:31.86:421092:10.44:0,3:31.56:309855:10.44:0,3:31.88:409984:10.44:0,3:31.71:310254:10.44:0,3:31.57:344181:10.44:0,3:32.33:651196:10.44:0,3:32.86:548950:10.44:0,3:32.91:544241:10.44:0,3:32.18:486645:10.44:0,[3:32.13:362549:10.44:0
ARES_122019C22.5,0:31.59:448011:5.88:0,0:31.86:421092:5.88:0,0:31.56:309855:5.88:0,0:31.88:409984:5.88:0,0:31.71:310254:5.88:0,0:31.57:344181:5.88:0,0:32.33:651196:5.88:0,0:32.86:548950:5.88:0,0:32.91:544241:5.88:0,0:32.18:486645:5.88:0,[0:32.13:362549:5.88:0
ARES_122019C25,79:31.59:448011:3.2:0,79:31.86:421092:3.2:0,79:31.56:309855:3.2:0,79:31.88:409984:3.2:0,79:31.71:310254:3.2:0,79:31.57:344181:3.2:0,79:32.33:651196:3.2:0,79:32.86:548950:3.2:0,79:32.91:544241:3.2:0,79:32.18:486645:3.2:0,[79:32.13:362549:3.2:0
ARES_122019C30,698:31.59:448011:2.55:0,698:31.86:421092:2.35:1,698:31.56:309855:2.05:1,698:31.88:409984:1.76:5,703:31.71:310254:2.15:6,703:31.57:344181:2.15:0,703:32.33:651196:2.15:0,703:32.86:548950:2.85:1,703:32.91:544241:3.2:7,703:32.18:486645:2.65:6,[703:32.13:362549:2.65:0
ARES_122019C35,181:31.59:448011:0.2:7,181:31.86:421092:0.2:6,187:31.56:309855:0.2:0,187:31.88:409984:0.15:1,186:31.71:310254:0.15:0,186:31.57:344181:0.15:0,186:32.33:651196:0.15:5,186:32.86:548950:0.15:0,186:32.91:544241:0.23:10,172:32.18:486645:0.4:10,[182:32.13:362549:0.1:5
ARES_011720C17.5,U,U,U,U,U,U,0:32.33:651196:0.0:0,0:32.86:548950:0.0:0,0:32.91:544241:0.0:0,0:32.18:486645:0.0:0,[0:32.13:362549:0.0:0
ARES_011720C20,U,U,U,U,U,U,0:32.33:651196:0.0:0,0:32.86:548950:0.0:0,0:32.91:544241:0.0:0,0:32.18:486645:0.0:0,[0:32.13:362549:0.0:0
ARES_011720C22.5,U,U,U,U,U,U,0:32.33:651196:0.0:0,0:32.86:548950:0.0:0,0:32.91:544241:0.0:0,0:32.18:486645:0.0:0,[0:32.13:362549:0.0:0
ARES_011720C25,U,U,U,U,U,U,0:32.33:651196:0.0:0,0:32.86:548950:0.0:0,0:32.91:544241:0.0:0,0:32.18:486645:0.0:0,[0:32.13:362549:0.0:0
ARES_011720C30,U,U,U,U,U,U,0:32.33:651196:0.0:0,0:32.86:548950:0.0:0,0:32.91:544241:0.0:0,0:32.18:486645:0.0:0,[0:32.13:362549:0.0:0
ARES_011720C35,U,U,U,U,U,U,0:32.33:651196:0.0:0,0:32.86:548950:0.0:0,0:32.91:544241:0.0:0,0:32.18:486645:0.0:0,[0:32.13:362549:0.0:0
ARES_011720C40,U,U,U,U,U,U,0:32.33:651196:0.0:0,0:32.86:548950:0.0:0,0:32.91:544241:0.0:0,0:32.18:486645:0.0:0,[0:32.13:362549:0.0:0
ARES_011720C45,U,U,U,U,U,U,0:32.33:651196:0.0:0,0:32.86:548950:0.0:0,0:32.91:544241:0.0:0,0:32.18:486645:0.0:0,[0:32.13:362549:0.0:0
