Symbol,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
ARES_122019P12.5,0:31.59:448011:0.0:0,0:31.86:421092:0.0:0,0:31.56:309855:0.0:0,0:31.88:409984:0.0:0,0:31.71:310254:0.0:0,0:31.57:344181:0.0:0,0:32.33:651196:0.0:0,0:32.86:548950:0.0:0,0:32.91:544241:0.0:0,0:32.18:486645:0.0:0,[0:32.13:362549:0.0:0
ARES_122019P15,0:31.59:448011:0.0:0,0:31.86:421092:0.0:0,0:31.56:309855:0.0:0,0:31.88:409984:0.0:0,0:31.71:310254:0.0:0,0:31.57:344181:0.0:0,0:32.33:651196:0.0:0,0:32.86:548950:0.0:0,0:32.91:544241:0.0:0,0:32.18:486645:0.0:0,[0:32.13:362549:0.0:0
ARES_122019P17.5,103:31.59:448011:0.05:0,103:31.86:421092:0.05:0,103:31.56:309855:0.05:0,103:31.88:409984:0.05:0,103:31.71:310254:0.05:0,103:31.57:344181:0.05:0,103:32.33:651196:0.05:0,103:32.86:548950:0.05:0,103:32.91:544241:0.05:0,103:32.18:486645:0.05:0,[103:32.13:362549:0.05:0
ARES_122019P20,22:31.59:448011:0.2:0,22:31.86:421092:0.2:0,22:31.56:309855:0.2:0,22:31.88:409984:0.2:0,22:31.71:310254:0.2:0,22:31.57:344181:0.2:0,22:32.33:651196:0.2:0,22:32.86:548950:0.2:0,22:32.91:544241:0.2:0,22:32.18:486645:0.2:0,[22:32.13:362549:0.2:0
ARES_122019P22.5,73:31.59:448011:0.35:0,73:31.86:421092:0.35:0,73:31.56:309855:0.35:0,73:31.88:409984:0.35:0,73:31.71:310254:0.35:0,73:31.57:344181:0.35:0,73:32.33:651196:0.35:0,73:32.86:548950:0.35:0,73:32.91:544241:0.35:0,73:32.18:486645:0.35:0,[73:32.13:362549:0.35:0
ARES_122019P25,87:31.59:448011:0.1:0,87:31.86:421092:0.65:2,85:31.56:309855:0.65:0,85:31.88:409984:0.65:0,85:31.71:310254:0.65:0,85:31.57:344181:0.65:0,85:32.33:651196:0.65:0,85:32.86:548950:0.65:0,85:32.91:544241:0.65:0,85:32.18:486645:0.65:0,[85:32.13:362549:0.65:0
ARES_122019P30,292:31.59:448011:0.65:0,292:31.86:421092:0.65:0,292:31.56:309855:0.65:0,292:31.88:409984:0.8:10,282:31.71:310254:0.8:0,282:31.57:344181:0.5:5,282:32.33:651196:0.5:0,282:32.86:548950:0.5:0,282:32.91:544241:0.5:0,282:32.18:486645:0.5:0,[282:32.13:362549:0.4:1
ARES_122019P35,0:31.59:448011:0.0:0,0:31.86:421092:0.0:0,0:31.56:309855:0.0:0,0:31.88:409984:0.0:0,0:31.71:310254:0.0:0,0:31.57:344181:0.0:0,0:32.33:651196:0.0:0,0:32.86:548950:0.0:0,0:32.91:544241:0.0:0,0:32.18:486645:0.0:0,[0:32.13:362549:0.0:0
ARES_011720P17.5,U,U,U,U,U,U,0:32.33:651196:0.0:0,0:32.86:548950:0.0:0,0:32.91:544241:0.0:0,0:32.18:486645:0.0:0,[0:32.13:362549:0.0:0
ARES_011720P20,U,U,U,U,U,U,0:32.33:651196:0.0:0,0:32.86:548950:0.0:0,0:32.91:544241:0.0:0,0:32.18:486645:0.0:0,[0:32.13:362549:0.0:0
ARES_011720P22.5,U,U,U,U,U,U,0:32.33:651196:0.0:0,0:32.86:548950:0.0:0,0:32.91:544241:0.0:0,0:32.18:486645:0.0:0,[0:32.13:362549:0.0:0
ARES_011720P25,U,U,U,U,U,U,0:32.33:651196:0.0:0,0:32.86:548950:0.0:0,0:32.91:544241:0.0:0,0:32.18:486645:0.0:0,[0:32.13:362549:0.0:0
ARES_011720P30,U,U,U,U,U,U,0:32.33:651196:0.0:0,0:32.86:548950:0.0:0,0:32.91:544241:0.0:0,0:32.18:486645:0.0:0,[0:32.13:362549:0.0:0
ARES_011720P35,U,U,U,U,U,U,0:32.33:651196:0.0:0,0:32.86:548950:0.0:0,0:32.91:544241:0.0:0,0:32.18:486645:0.0:0,[0:32.13:362549:0.0:0
ARES_011720P40,U,U,U,U,U,U,0:32.33:651196:0.0:0,0:32.86:548950:0.0:0,0:32.91:544241:0.0:0,0:32.18:486645:0.0:0,[0:32.13:362549:0.0:0
ARES_011720P45,U,U,U,U,U,U,0:32.33:651196:0.0:0,0:32.86:548950:0.0:0,0:32.91:544241:0.0:0,0:32.18:486645:0.0:0,[0:32.13:362549:0.0:0
