Symbol,20191028,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
ASB_122019C12.5,0:20.47,0:20.49,0:20.46,0:20.09,0.0,0:21.07,0:21.32,0:21.3,0:21.6:1020017:0.0:0,0:21.71:1024837:0.0:0,0:21.67:1467518:0.0:0,0:21.71:981092:0.0:0,0:21.53:943249:0.0:0,0:21.43:907172:0.0:0,0:21.6:1005203:0.0:0,0:21.53:941531:0.0:0,0:21.59:1614949:0.0:0,0:21.49:628197:0.0:0,0:21.49:862314:0.0:0,[0:21.65:719795:0.0:0
ASB_122019C15,0:20.47,0:20.49,0:20.46,0:20.09,0.0,0:21.07,0:21.32,0:21.3,0:21.6:1020017:0.0:0,0:21.71:1024837:0.0:0,0:21.67:1467518:0.0:0,0:21.71:981092:0.0:0,0:21.53:943249:0.0:0,0:21.43:907172:0.0:0,0:21.6:1005203:0.0:0,0:21.53:941531:0.0:0,0:21.59:1614949:0.0:0,0:21.49:628197:0.0:0,0:21.49:862314:0.0:0,[0:21.65:719795:0.0:0
ASB_122019C17.5,0:20.47,0:20.49,0:20.46,0:20.09,0.0,0:21.07,0:21.32,0:21.3,0:21.6:1020017:0.0:0,0:21.71:1024837:0.0:0,0:21.67:1467518:0.0:0,0:21.71:981092:0.0:0,0:21.53:943249:0.0:0,0:21.43:907172:0.0:0,0:21.6:1005203:0.0:0,0:21.53:941531:0.0:0,0:21.59:1614949:0.0:0,0:21.49:628197:0.0:0,0:21.49:862314:0.0:0,[0:21.65:719795:0.0:0
ASB_122019C20,5:20.47,7:20.49,7:20.46,7:20.09,7.0,8:21.07,11:21.32,11:21.3,11:21.6:1020017:1.3:0,11:21.71:1024837:1.3:0,11:21.67:1467518:1.3:0,11:21.71:981092:1.3:0,11:21.53:943249:1.3:0,11:21.43:907172:1.3:0,11:21.6:1005203:1.3:0,11:21.53:941531:1.65:3,11:21.59:1614949:1.65:0,11:21.49:628197:1.65:0,11:21.49:862314:1.65:0,[11:21.65:719795:1.65:0
ASB_122019C22.5,5:20.47,5:20.49,5:20.46,5:20.09,5.0,5:21.07,5:21.32,5:21.3,5:21.6:1020017:0.15:0,5:21.71:1024837:0.15:0,5:21.67:1467518:0.15:0,5:21.71:981092:0.15:0,5:21.53:943249:0.15:0,5:21.43:907172:0.15:0,5:21.6:1005203:0.15:0,5:21.53:941531:0.15:0,5:21.59:1614949:0.15:0,5:21.49:628197:0.15:0,5:21.49:862314:0.15:0,[5:21.65:719795:0.15:0
ASB_122019C25,42:20.47,42:20.49,42:20.46,42:20.09,42.0,42:21.07,42:21.32,42:21.3,42:21.6:1020017:0.22:0,42:21.71:1024837:0.22:0,42:21.67:1467518:0.22:0,42:21.71:981092:0.22:0,42:21.53:943249:0.22:0,42:21.43:907172:0.22:0,42:21.6:1005203:0.22:0,42:21.53:941531:0.22:0,42:21.59:1614949:0.22:0,42:21.49:628197:0.22:0,42:21.49:862314:0.22:0,[42:21.65:719795:0.22:0
ASB_122019C30,0:20.47,0:20.49,0:20.46,0:20.09,0.0,0:21.07,0:21.32,0:21.3,0:21.6:1020017:0.0:0,0:21.71:1024837:0.0:0,0:21.67:1467518:0.0:0,0:21.71:981092:0.0:0,0:21.53:943249:0.0:0,0:21.43:907172:0.0:0,0:21.6:1005203:0.0:0,0:21.53:941531:0.0:0,0:21.59:1614949:0.0:0,0:21.49:628197:0.0:0,0:21.49:862314:0.0:0,[0:21.65:719795:0.0:0
ASB_011720C12.5,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0:21.53:941531:0.0:0,0:21.59:1614949:0.0:0,0:21.49:628197:0.0:0,0:21.49:862314:0.0:0,[0:21.65:719795:0.0:0
ASB_011720C15,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0:21.53:941531:0.0:0,0:21.59:1614949:0.0:0,0:21.49:628197:0.0:0,0:21.49:862314:0.0:0,[0:21.65:719795:0.0:0
ASB_011720C17.5,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0:21.53:941531:0.0:0,0:21.59:1614949:0.0:0,0:21.49:628197:0.0:0,0:21.49:862314:0.0:0,[0:21.65:719795:0.0:0
ASB_011720C20,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0:21.53:941531:0.0:0,0:21.59:1614949:0.0:0,0:21.49:628197:0.0:0,0:21.49:862314:0.0:0,[0:21.65:719795:0.0:0
ASB_011720C22.5,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0:21.53:941531:0.0:0,0:21.59:1614949:0.0:0,0:21.49:628197:0.4:1200,1200:21.49:862314:0.3:10,[1200:21.65:719795:0.3:0
ASB_011720C25,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0:21.53:941531:0.0:0,0:21.59:1614949:0.0:0,0:21.49:628197:0.0:0,0:21.49:862314:0.0:0,[0:21.65:719795:0.0:0
ASB_011720C30,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0:21.53:941531:0.0:0,0:21.59:1614949:0.0:0,0:21.49:628197:0.0:0,0:21.49:862314:0.0:0,[0:21.65:719795:0.0:0
