Symbol,20191028,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
ASB_122019P12.5,0:20.47,0:20.49,0:20.46,0:20.09,0.0,0:21.07,0:21.32,0:21.3,0:21.6:1020017:0.0:0,0:21.71:1024837:0.0:0,0:21.67:1467518:0.0:0,0:21.71:981092:0.0:0,0:21.53:943249:0.0:0,0:21.43:907172:0.0:0,0:21.6:1005203:0.0:0,0:21.53:941531:0.0:0,0:21.59:1614949:0.0:0,0:21.49:628197:0.0:0,0:21.49:862314:0.0:0,[0:21.65:719795:0.0:0
ASB_122019P15,0:20.47,0:20.49,0:20.46,0:20.09,0.0,0:21.07,0:21.32,0:21.3,0:21.6:1020017:0.0:0,0:21.71:1024837:0.0:0,0:21.67:1467518:0.0:0,0:21.71:981092:0.0:0,0:21.53:943249:0.0:0,0:21.43:907172:0.0:0,0:21.6:1005203:0.0:0,0:21.53:941531:0.0:0,0:21.59:1614949:0.0:0,0:21.49:628197:0.0:0,0:21.49:862314:0.0:0,[0:21.65:719795:0.0:0
ASB_122019P17.5,8:20.47,8:20.49,8:20.46,8:20.09,8.0,8:21.07,8:21.32,8:21.3,8:21.6:1020017:0.25:0,8:21.71:1024837:0.25:0,8:21.67:1467518:0.25:0,8:21.71:981092:0.25:0,8:21.53:943249:0.25:0,8:21.43:907172:0.25:0,8:21.6:1005203:0.25:0,8:21.53:941531:0.25:0,8:21.59:1614949:0.25:0,8:21.49:628197:0.25:0,8:21.49:862314:0.25:0,[8:21.65:719795:0.25:0
ASB_122019P20,16:20.47,16:20.49,16:20.46,16:20.09,16.0,16:21.07,16:21.32,16:21.3,16:21.6:1020017:0.15:411,419:21.71:1024837:0.15:0,419:21.67:1467518:0.15:0,419:21.71:981092:0.15:0,419:21.53:943249:0.15:0,419:21.43:907172:0.15:0,419:21.6:1005203:0.15:33,452:21.53:941531:0.1:1,453:21.59:1614949:0.1:0,453:21.49:628197:0.1:0,453:21.49:862314:0.1:0,[453:21.65:719795:0.1:0
ASB_122019P22.5,0:20.47,0:20.49,0:20.46,0:20.09,0.0,0:21.07,0:21.32,0:21.3,0:21.6:1020017:0.0:0,0:21.71:1024837:0.0:0,0:21.67:1467518:0.0:0,0:21.71:981092:0.0:0,0:21.53:943249:0.0:0,0:21.43:907172:0.0:0,0:21.6:1005203:0.0:0,0:21.53:941531:0.0:0,0:21.59:1614949:0.0:0,0:21.49:628197:0.0:0,0:21.49:862314:0.0:0,[0:21.65:719795:0.0:0
ASB_122019P25,0:20.47,0:20.49,0:20.46,0:20.09,0.0,0:21.07,0:21.32,0:21.3,0:21.6:1020017:0.0:0,0:21.71:1024837:0.0:0,0:21.67:1467518:0.0:0,0:21.71:981092:0.0:0,0:21.53:943249:0.0:0,0:21.43:907172:0.0:0,0:21.6:1005203:0.0:0,0:21.53:941531:0.0:0,0:21.59:1614949:0.0:0,0:21.49:628197:0.0:0,0:21.49:862314:0.0:0,[0:21.65:719795:0.0:0
ASB_122019P30,0:20.47,0:20.49,0:20.46,0:20.09,0.0,0:21.07,0:21.32,0:21.3,0:21.6:1020017:0.0:0,0:21.71:1024837:0.0:0,0:21.67:1467518:0.0:0,0:21.71:981092:0.0:0,0:21.53:943249:0.0:0,0:21.43:907172:0.0:0,0:21.6:1005203:0.0:0,0:21.53:941531:0.0:0,0:21.59:1614949:0.0:0,0:21.49:628197:0.0:0,0:21.49:862314:0.0:0,[0:21.65:719795:0.0:0
ASB_011720P12.5,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0:21.53:941531:0.0:0,0:21.59:1614949:0.0:0,0:21.49:628197:0.0:0,0:21.49:862314:0.0:0,[0:21.65:719795:0.0:0
ASB_011720P15,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0:21.53:941531:0.0:0,0:21.59:1614949:0.0:0,0:21.49:628197:0.0:0,0:21.49:862314:0.0:0,[0:21.65:719795:0.0:0
ASB_011720P17.5,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0:21.53:941531:0.0:0,0:21.59:1614949:0.0:0,0:21.49:628197:0.0:0,0:21.49:862314:0.0:0,[0:21.65:719795:0.0:0
ASB_011720P20,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0:21.53:941531:0.0:0,0:21.59:1614949:0.0:0,0:21.49:628197:0.0:0,0:21.49:862314:0.0:0,[0:21.65:719795:0.0:0
ASB_011720P22.5,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0:21.53:941531:0.0:0,0:21.59:1614949:0.0:0,0:21.49:628197:0.0:0,0:21.49:862314:0.0:0,[0:21.65:719795:0.0:0
ASB_011720P25,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0:21.53:941531:0.0:0,0:21.59:1614949:0.0:0,0:21.49:628197:0.0:0,0:21.49:862314:0.0:0,[0:21.65:719795:0.0:0
ASB_011720P30,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,0:21.53:941531:0.0:0,0:21.59:1614949:0.0:0,0:21.49:628197:0.0:0,0:21.49:862314:0.0:0,[0:21.65:719795:0.0:0
