Symbol,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
ASML_122019C185,0:267.29:746548:84.9:0,0:266.72:451739:84.9:0,0:267.37:311839:83.9:7,7:269.92:422683:83.9:0,7:269.73:538341:83.9:0,7:274.97:667788:83.9:0,7:273.47:440469:83.9:0,7:271.55:465304:83.9:0,7:269.48:321348:83.9:0,7:267.03:655737:83.9:0,[7:266.22:616597:83.9:0
ASML_122019C190,35:267.29:746548:76.8:7,42:266.72:451739:76.8:0,42:267.37:311839:76.8:0,42:269.92:422683:76.8:0,42:269.73:538341:76.8:0,42:274.97:667788:85.4:10,42:273.47:440469:85.4:0,42:271.55:465304:85.4:0,42:269.48:321348:81.3:7,49:267.03:655737:81.3:0,[49:266.22:616597:81.3:0
ASML_122019C195,0:267.29:746548:75.2:0,0:266.72:451739:75.2:0,0:267.37:311839:75.2:0,0:269.92:422683:75.2:0,0:269.73:538341:75.2:0,0:274.97:667788:75.2:0,0:273.47:440469:75.2:0,0:271.55:465304:75.2:0,0:269.48:321348:75.2:0,0:267.03:655737:75.2:0,[0:266.22:616597:75.2:0
ASML_122019C200,37:267.29:746548:70.5:0,37:266.72:451739:70.5:0,37:267.37:311839:70.5:0,37:269.92:422683:70.5:0,37:269.73:538341:70.5:0,37:274.97:667788:70.5:0,37:273.47:440469:70.5:0,37:271.55:465304:70.5:0,37:269.48:321348:70.5:0,37:267.03:655737:70.5:0,[37:266.22:616597:70.5:0
ASML_122019C210,8:267.29:746548:59.2:0,8:266.72:451739:59.2:0,8:267.37:311839:59.2:0,8:269.92:422683:59.2:0,8:269.73:538341:59.2:0,8:274.97:667788:59.2:0,8:273.47:440469:59.2:0,8:271.55:465304:59.2:0,8:269.48:321348:59.2:0,8:267.03:655737:59.2:0,[8:266.22:616597:59.2:0
ASML_122019C220,691:267.29:746548:48.4:0,691:266.72:451739:48.4:0,691:267.37:311839:49.3:14,705:269.92:422683:48.5:7,712:269.73:538341:48.5:0,712:274.97:667788:48.5:0,712:273.47:440469:48.5:0,712:271.55:465304:48.5:0,712:269.48:321348:48.5:0,712:267.03:655737:48.5:0,[712:266.22:616597:48.5:0
ASML_122019C230,159:267.29:746548:38.4:0,159:266.72:451739:38.4:0,159:267.37:311839:38.88:15,145:269.92:422683:41.31:15,130:269.73:538341:41.31:0,130:274.97:667788:41.31:0,130:273.47:440469:41.31:0,130:271.55:465304:41.31:0,130:269.48:321348:41.31:0,130:267.03:655737:41.31:0,[130:266.22:616597:36.5:1
ASML_122019C240,122:267.29:746548:29.8:0,122:266.72:451739:29.8:0,122:267.37:311839:30.09:1,122:269.92:422683:29.3:8,114:269.73:538341:30.3:1,113:274.97:667788:30.3:0,113:273.47:440469:30.3:0,113:271.55:465304:33.05:2,112:269.48:321348:32.0:7,112:267.03:655737:32.0:0,[112:266.22:616597:32.0:0
ASML_122019C250,290:267.29:746548:26.07:0,290:266.72:451739:19.7:2,290:267.37:311839:21.2:8,290:269.92:422683:21.2:0,290:269.73:538341:22.1:190,455:274.97:667788:27.1:13,452:273.47:440469:26.6:1,451:271.55:465304:26.6:0,451:269.48:321348:26.6:0,451:267.03:655737:20.0:26,[460:266.22:616597:20.0:0
ASML_122019C260,334:267.29:746548:13.2:11,345:266.72:451739:12.59:11,355:267.37:311839:12.4:1,355:269.92:422683:13.3:16,359:269.73:538341:13.9:110,373:274.97:667788:17.4:5,372:273.47:440469:17.8:130,326:271.55:465304:14.77:8,333:269.48:321348:14.4:25,357:267.03:655737:12.8:34,[391:266.22:616597:10.0:1
ASML_122019C270,1077:267.29:746548:7.1:29,1089:266.72:451739:6.6:87,1169:267.37:311839:6.9:9,1174:269.92:422683:8.2:21,1189:269.73:538341:7.9:234,1220:274.97:667788:10.3:77,1187:273.47:440469:10.45:516,766:271.55:465304:8.1:68,770:269.48:321348:8.0:9,772:267.03:655737:5.8:46,[738:266.22:616597:4.65:5
