Symbol,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
ASML_122019P185,276:267.29:746548:0.25:0,276:266.72:451739:0.25:0,276:267.37:311839:0.25:0,276:269.92:422683:0.25:0,276:269.73:538341:0.25:0,276:274.97:667788:0.25:0,276:273.47:440469:0.25:0,276:271.55:465304:0.25:0,276:269.48:321348:0.25:0,276:267.03:655737:0.25:0,[276:266.22:616597:0.25:0
ASML_122019P190,388:267.29:746548:0.4:0,388:266.72:451739:0.4:0,388:267.37:311839:0.4:0,388:269.92:422683:0.4:0,388:269.73:538341:0.4:0,388:274.97:667788:0.4:0,388:273.47:440469:0.4:0,388:271.55:465304:0.4:0,388:269.48:321348:0.4:0,388:267.03:655737:0.4:0,[388:266.22:616597:0.4:0
ASML_122019P195,208:267.29:746548:0.27:0,208:266.72:451739:0.27:0,208:267.37:311839:0.27:0,208:269.92:422683:0.27:0,208:269.73:538341:0.27:0,208:274.97:667788:0.27:0,208:273.47:440469:0.27:0,208:271.55:465304:0.27:0,208:269.48:321348:0.27:0,208:267.03:655737:0.27:0,[208:266.22:616597:0.27:0
ASML_122019P200,190:267.29:746548:0.22:0,190:266.72:451739:0.22:0,190:267.37:311839:0.22:0,190:269.92:422683:0.22:0,190:269.73:538341:0.22:0,190:274.97:667788:0.22:0,190:273.47:440469:0.22:0,190:271.55:465304:0.22:0,190:269.48:321348:0.22:0,190:267.03:655737:0.22:0,[190:266.22:616597:0.22:0
ASML_122019P210,486:267.29:746548:0.55:0,486:266.72:451739:0.37:6,486:267.37:311839:0.37:0,486:269.92:422683:0.37:0,486:269.73:538341:0.37:0,486:274.97:667788:0.37:0,486:273.47:440469:0.37:0,486:271.55:465304:0.37:0,486:269.48:321348:0.37:0,486:267.03:655737:0.37:0,[486:266.22:616597:0.37:0
ASML_122019P220,963:267.29:746548:0.5:0,963:266.72:451739:0.5:0,963:267.37:311839:0.5:0,963:269.92:422683:0.5:0,963:269.73:538341:0.5:0,963:274.97:667788:0.5:0,963:273.47:440469:0.5:0,963:271.55:465304:0.5:0,963:269.48:321348:0.5:0,963:267.03:655737:0.3:14,[977:266.22:616597:0.25:3
ASML_122019P230,934:267.29:746548:0.88:0,934:266.72:451739:0.75:4,938:267.37:311839:0.6:17,955:269.92:422683:0.56:1,954:269.73:538341:0.56:0,954:274.97:667788:0.56:0,954:273.47:440469:0.38:20,974:271.55:465304:0.45:5,970:269.48:321348:0.45:0,970:267.03:655737:0.52:1,[970:266.22:616597:0.52:0
ASML_122019P240,394:267.29:746548:1.5:1,393:266.72:451739:1.5:33,413:267.37:311839:1.1:14,427:269.92:422683:1.06:5,427:269.73:538341:1.06:0,427:274.97:667788:0.64:26,452:273.47:440469:0.63:34,452:271.55:465304:0.75:1,452:269.48:321348:1.0:3,455:267.03:655737:0.97:47,[492:266.22:616597:0.85:2
ASML_122019P250,511:267.29:746548:2.75:16,524:266.72:451739:2.5:44,529:267.37:311839:2.4:25,529:269.92:422683:2.2:12,526:269.73:538341:2.1:499,442:274.97:667788:1.25:9,438:273.47:440469:1.2:217,582:271.55:465304:1.43:6,583:269.48:321348:1.95:7,578:267.03:655737:1.92:126,[665:266.22:616597:1.75:16
ASML_122019P260,135:267.29:746548:5.1:17,150:266.72:451739:5.0:15,161:267.37:311839:4.7:2,161:269.92:422683:4.3:12,160:269.73:538341:4.15:222,369:274.97:667788:2.55:45,374:273.47:440469:2.95:254,538:271.55:465304:3.1:7,545:269.48:321348:3.2:2,543:267.03:655737:4.07:410,[712:266.22:616597:4.4:30
