Symbol,20191023,20191024,20191025,20191028,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
AVGO_112219C257.5,0.0,0:282.31,0:289.82,0:291.55,0:288.16,0:289.37,0:292.92,0.0,0:305.0,0:314.04,0:313.16,0:311.74:2398013:0.0:0,0:313.1:1523382:0.0:0,0:312.75:889898:0.0:0,0:315.56:1378570:0.0:0,0:313.67:1241976:0.0:0,0:308.97:1673057:0.0:0,0:312.91:1653621:0.0:0,U:311.07:1584994::,0:317.7:3126440:0.0:0,0:312.24:1121807:0.0:0,0:315.25:1880165:0.0:0,0:314.92:1270517:0.0:0
AVGO_112219C260,2.0,2:282.31,2:289.82,2:291.55,2:288.16,2:289.37,2:292.89,2.0,2:305.0,2:314.04,2:313.16,2:311.74:2398013:23.82:0,2:313.1:1523382:23.82:0,2:312.75:889898:23.82:0,2:315.56:1378570:23.82:0,2:313.67:1241976:23.82:0,2:308.97:1673057:23.82:0,2:312.91:1653621:23.82:0,U:311.07:1584994:.:,2:317.7:3126440:23.82:0,2:312.24:1121807:23.82:0,2:315.25:1880165:23.82:0,2:314.92:1270517:23.82:0
AVGO_112219C262.5,1.0,1:282.31,1:289.82,1:291.55,1:288.16,1:289.37,1:292.89,1.0,1:305.0,1:314.04,1:313.16,1:311.74:2398013:18.6:0,1:313.1:1523382:18.6:0,1:312.75:889898:18.6:0,1:315.56:1378570:18.6:0,1:313.67:1241976:18.6:0,1:308.97:1673057:18.6:0,1:312.91:1653621:18.6:0,1:311.07:1584994:18.6:0,1:317.7:3126440:18.6:0,1:312.24:1121807:18.6:0,U:315.25:1880165:.:U,1:314.92:1270517:18.6:0
AVGO_112219C265,23.0,23:282.31,23:289.82,23:291.55,23:288.16,23:289.37,23:292.81,23.0,23:305.0,23:314.04,23:313.16,23:311.74:2398013:23.0:0,23:313.1:1523382:23.0:0,23:312.75:889898:23.0:0,23:315.56:1378570:23.0:0,23:313.67:1241976:23.0:0,23:308.97:1673057:23.0:0,23:312.91:1653621:23.0:0,23:311.07:1584994:23.0:0,23:317.7:3126440:23.0:0,23:312.24:1121807:23.0:0,23:315.25:1880165:50.41:20,23:314.92:1270517:50.41:0
AVGO_112219C267.5,1.0,1:282.31,1:289.82,1:291.55,1:288.16,1:289.475,1:292.82,1.0,1:305.0,1:314.04,1:313.16,1:311.74:2398013:16.7:0,1:313.1:1523382:16.7:0,1:312.75:889898:16.7:0,1:315.56:1378570:48.06:8,9:313.67:1241976:48.06:0,9:308.97:1673057:48.06:0,9:312.91:1653621:48.06:0,9:311.07:1584994:48.06:0,9:317.7:3126440:48.06:0,9:312.24:1121807:48.06:0,9:315.25:1880165:47.31:8,9:314.92:1270517:47.31:0
AVGO_112219C270,3.0,3:282.31,3:289.82,3:291.55,3:288.16,3:289.475,3:292.82,3.0,3:305.0,3:314.04,3:313.16,3:311.74:2398013:21.0:0,3:313.1:1523382:36.72:2,4:312.75:889898:36.72:0,4:315.56:1378570:36.72:0,4:313.67:1241976:36.72:0,4:308.97:1673057:36.72:0,4:312.91:1653621:36.72:0,4:311.07:1584994:36.72:0,:317.7:3126440:U:U,4:312.24:1121807:36.72:0,4:315.25:1880165:36.72:0,4:314.92:1270517:36.72:0
AVGO_112219C272.5,4.0,4:282.31,4:289.82,4:291.55,4:288.16,4:289.475,11:292.82,11.0,12:305.0,12:314.04,12:313.16,12:311.74:2398013:22.2:0,12:313.1:1523382:22.2:0,12:312.75:889898:22.2:0,12:315.56:1378570:22.2:0,12:313.67:1241976:22.2:0,12:308.97:1673057:22.2:0,12:312.91:1653621:39.02:4,16:311.07:1584994:39.02:0,16:317.7:3126440:39.02:0,16:312.24:1121807:39.02:0,16:315.25:1880165:39.15:1,15:314.92:1270517:42.2:3
AVGO_112219C275,1.0,1:282.31,1:289.82,1:291.55,1:288.16,1:289.475,6:292.845,8.0,8:305.0,8:314.04,8:313.16,8:311.74:2398013:17.1:0,8:313.1:1523382:36.5:2,9:312.75:889898:36.5:0,9:315.56:1378570:36.5:0,9:313.67:1241976:36.5:0,9:308.97:1673057:36.5:0,9:312.91:1653621:36.5:0,9:311.07:1584994:36.5:0,9:317.7:3126440:36.5:0,9:312.24:1121807:36.5:0,U:315.25:1880165:U:U,9:314.92:1270517:39.84:2
AVGO_112219C277.5,1.0,5:282.31,5:289.82,5:291.55,13:288.16,13:289.41,5:292.87,6.0,6:305.0,6:314.04,6:313.16,6:311.74:2398013:17.8:0,6:313.1:1523382:17.8:0,6:312.75:889898:17.8:0,6:315.56:1378570:17.8:0,6:313.67:1241976:17.8:0,6:308.97:1673057:17.8:0,6:312.91:1653621:17.8:0,6:311.07:1584994:17.8:0,6:317.7:3126440:17.8:0,6:312.24:1121807:17.8:0,6:315.25:1880165:17.8:0,6:314.92:1270517:17.8:0
AVGO_112219C280,7.0,9:282.31,10:289.82,9:291.55,9:288.16,11:289.41,19:292.87,20.0,19:305.0,19:314.04,17:313.16,17:311.74:2398013:28.4:0,17:313.1:1523382:28.4:0,17:312.75:889898:28.4:0,17:315.56:1378570:28.4:0,17:313.67:1241976:28.4:0,17:308.97:1673057:28.4:0,17:312.91:1653621:31.94:1,17:311.07:1584994:31.94:0,17:317.7:3126440:39.1:2,15:312.24:1121807:39.1:0,U:315.25:1880165:U:U,15:314.92:1270517:38.34:1
