Symbol,20191023,20191024,20191025,20191028,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
AVGO_112219P257.5,12.0,12:282.31,18:289.82,18:291.55,18:288.16,18:289.855,18:293.135,18.0,18:305.0,18:314.04,18:313.16,8:311.74:2398013:0.07:0,8:313.1:1523382:0.07:0,8:312.75:889898:0.07:0,8:315.56:1378570:0.07:0,8:313.67:1241976:0.07:0,8:308.97:1673057:0.07:0,8:312.91:1653621:0.07:0,U:311.07:1584994::,8:317.7:3126440:0.07:0,8:312.32:1123404:0.07:0,8:315.25:1880165:0.07:0,8:314.92:1270517:0.07:0
AVGO_112219P260,35.0,35:282.31,51:289.82,51:291.55,56:288.16,56:289.855,56:293.135,56.0,56:305.0,56:314.04,56:313.16,50:311.74:2398013:0.08:1,49:313.1:1523382:0.08:0,49:312.75:889898:0.08:0,49:315.56:1378570:0.08:0,49:313.67:1241976:0.08:0,49:308.97:1673057:0.02:4,49:312.91:1653621:0.02:0,49:311.07:1584994:0.25:11,:317.7:3126440:U:U,60:312.32:1123404:0.25:0,60:315.25:1880165:0.25:0,60:314.92:1270517:0.25:0
AVGO_112219P262.5,14.0,14:282.31,22:289.82,22:291.55,38:288.16,38:289.855,38:293.135,45.0,44:305.0,44:314.04,44:313.16,44:311.74:2398013:0.22:0,44:313.1:1523382:0.22:0,44:312.75:889898:0.22:0,44:315.56:1378570:0.22:0,44:313.67:1241976:0.22:0,44:308.97:1673057:0.22:0,44:312.91:1653621:0.22:0,U:311.07:1584994::,44:317.7:3126440:0.22:0,44:312.32:1123404:0.22:0,44:315.25:1880165:0.22:0,44:314.92:1270517:0.22:0
AVGO_112219P265,78.0,78:282.31,78:289.82,78:291.55,80:288.16,81:289.855,76:293.1,76.0,76:305.0,75:314.04,74:313.16,60:311.74:2398013:0.09:3,63:313.1:1523382:0.09:0,63:312.75:889898:0.09:0,63:315.56:1378570:0.09:0,63:313.67:1241976:0.09:0,63:308.97:1673057:0.09:0,63:312.91:1653621:0.09:0,63:311.07:1584994:0.09:0,63:317.7:3126440:0.09:0,63:312.32:1123404:0.09:0,63:315.25:1880165:0.03:2,62:314.92:1270517:0.03:0
AVGO_112219P267.5,44.0,44:282.31,44:289.82,44:291.55,44:288.16,44:289.855,44:293.1,56.0,55:305.0,55:314.04,55:313.16,55:311.74:2398013:0.1:1,55:313.1:1523382:0.1:0,55:312.75:889898:0.1:0,55:315.56:1378570:0.1:0,55:313.67:1241976:0.1:0,55:308.97:1673057:0.01:6,55:312.91:1653621:0.01:0,U:311.07:1584994::,:317.7:3126440:U:U,U:312.32:1123404:U:U,55:315.25:1880165:0.01:0,55:314.92:1270517:0.01:0
AVGO_112219P270,56.0,56:282.31,56:289.82,56:291.55,57:288.16,56:289.855,56:293.1,55.0,65:305.0,65:314.04,66:313.16,66:311.74:2398013:0.16:0,66:313.1:1523382:0.16:0,66:312.75:889898:0.16:0,66:315.56:1378570:0.16:0,66:313.67:1241976:0.07:3,63:308.97:1673057:0.01:1,62:312.91:1653621:0.01:0,62:311.07:1584994:0.01:0,62:317.7:3126440:0.01:0,62:312.32:1123404:0.01:0,62:315.25:1880165:0.01:0,62:314.92:1270517:0.01:0
AVGO_112219P272.5,59.0,59:282.31,59:289.82,59:291.55,58:288.16,58:289.855,58:293.08,73.0,71:305.0,69:314.04,69:313.16,69:311.74:2398013:0.11:3,69:313.1:1523382:0.11:0,69:312.75:889898:0.11:0,69:315.56:1378570:0.11:0,69:313.67:1241976:0.11:0,69:308.97:1673057:0.11:0,69:312.91:1653621:0.11:0,U:311.07:1584994::,69:317.7:3126440:0.11:0,69:312.32:1123404:0.11:0,69:315.25:1880165:0.11:0,69:314.92:1270517:0.11:0
AVGO_112219P275,66.0,66:282.31,67:289.82,67:291.55,73:288.16,77:289.855,77:293.08,76.0,76:305.0,77:314.04,71:313.16,71:311.74:2398013:0.15:1,70:313.1:1523382:0.17:2,70:312.75:889898:0.15:4,69:315.56:1378570:0.08:3,67:313.67:1241976:0.1:3,67:308.97:1673057:0.06:1,67:312.91:1653621:0.05:1,67:311.07:1584994:0.05:0,67:317.7:3126440:0.05:0,67:312.32:1123404:0.05:0,67:315.25:1880165:0.05:0,67:314.92:1270517:0.05:0
AVGO_112219P277.5,41.0,41:282.31,44:289.82,44:291.55,46:288.16,46:289.855,46:293.07,46.0,46:305.0,46:314.04,46:313.16,46:311.74:2398013:3.19:0,46:313.1:1523382:3.19:0,46:312.75:889898:0.1:5,46:315.56:1378570:0.05:1,46:313.67:1241976:0.05:0,46:308.97:1673057:0.05:0,46:312.91:1653621:0.05:0,U:311.07:1584994::,46:317.7:3126440:0.05:0,U:312.32:1123404:U:U,46:315.25:1880165:0.05:0,46:314.92:1270517:0.05:0
AVGO_112219P280,40.0,40:282.31,33:289.82,33:291.55,43:288.16,43:290.37,43:292.94,105.0,107:305.0,102:314.04,126:313.16,126:311.74:2398013:0.39:3,129:313.1:1523382:0.25:5,134:312.75:889898:0.25:0,134:315.56:1378570:0.06:2,135:313.67:1241976:0.06:0,135:308.97:1673057:0.1:38,165:312.91:1653621:0.09:19,165:311.07:1584994:0.05:3,165:317.7:3126440:0.05:22,146:312.32:1123404:0.15:89,193:315.25:1880165:0.15:0,193:314.92:1270517:0.15:0
