Symbol,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
AVY_122019C85,0:133.83:412057:0.0:0,0:133.46:438299:0.0:0,0:133.87:356908:0.0:0,0:132.26:445003:0.0:0,0:131.85:340527:0.0:0,0:132.08:296823:0.0:0,0:311.07:1584994:0.0:0,0:131.54:610271:0.0:0,0:131.49:262631:0.0:0,0:131.52:397088:0.0:0,[0:129.26:491363:0.0:0
AVY_122019C90,0:133.83:412057:0.0:0,0:133.46:438299:0.0:0,0:133.87:356908:0.0:0,0:132.26:445003:0.0:0,0:131.85:340527:0.0:0,0:132.08:296823:0.0:0,0:311.07:1584994:0.0:0,0:131.54:610271:0.0:0,0:131.49:262631:0.0:0,0:131.52:397088:0.0:0,[0:129.26:491363:0.0:0
AVY_122019C95,0:133.83:412057:0.0:0,0:133.46:438299:0.0:0,0:133.87:356908:0.0:0,0:132.26:445003:0.0:0,0:131.85:340527:0.0:0,0:132.08:296823:0.0:0,0:311.07:1584994:0.0:0,0:131.54:610271:0.0:0,0:131.49:262631:0.0:0,0:131.52:397088:0.0:0,[0:129.26:491363:0.0:0
AVY_122019C100,0:133.83:412057:0.0:0,0:133.46:438299:0.0:0,0:133.87:356908:0.0:0,0:132.26:445003:0.0:0,0:131.85:340527:0.0:0,0:132.08:296823:0.0:0,0:311.07:1584994:0.0:0,0:131.54:610271:0.0:0,0:131.49:262631:0.0:0,0:131.52:397088:0.0:0,[0:129.26:491363:0.0:0
AVY_122019C105,0:133.83:412057:0.0:0,0:133.46:438299:0.0:0,0:133.87:356908:0.0:0,0:132.26:445003:0.0:0,0:131.85:340527:0.0:0,0:132.08:296823:0.0:0,0:311.07:1584994:0.0:0,0:131.54:610271:0.0:0,0:131.49:262631:0.0:0,0:131.52:397088:0.0:0,[0:129.26:491363:0.0:0
AVY_122019C110,0:133.83:412057:0.0:0,0:133.46:438299:0.0:0,0:133.87:356908:0.0:0,0:132.26:445003:0.0:0,0:131.85:340527:0.0:0,0:132.08:296823:0.0:0,0:311.07:1584994:0.0:0,0:131.54:610271:0.0:0,0:131.49:262631:0.0:0,0:131.52:397088:0.0:0,[0:129.26:491363:0.0:0
AVY_122019C115,0:133.83:412057:0.0:0,0:133.46:438299:0.0:0,0:133.87:356908:0.0:0,0:132.26:445003:0.0:0,0:131.85:340527:0.0:0,0:132.08:296823:0.0:0,0:311.07:1584994:0.0:0,0:131.54:610271:0.0:0,0:131.49:262631:0.0:0,0:131.52:397088:0.0:0,[0:129.26:491363:0.0:0
AVY_122019C120,1:133.83:412057:5.0:0,1:133.46:438299:5.0:0,1:133.87:356908:5.0:0,1:132.26:445003:5.0:0,1:131.85:340527:5.0:0,1:132.08:296823:5.0:0,1:311.07:1584994:5.0:0,1:131.54:610271:5.0:0,1:131.49:262631:5.0:0,1:131.52:397088:5.0:0,[1:129.26:491363:5.0:0
AVY_122019C125,10:133.83:412057:6.4:0,10:133.46:438299:6.4:0,10:133.87:356908:6.4:0,10:132.26:445003:6.4:0,10:131.85:340527:6.4:0,10:132.08:296823:6.4:0,10:311.07:1584994:6.4:0,10:131.54:610271:6.4:0,10:131.49:262631:6.4:0,10:131.52:397088:6.7:3,[10:129.26:491363:6.7:0
AVY_122019C130,9:133.83:412057:4.5:0,9:133.46:438299:4.5:0,9:133.87:356908:4.5:0,9:132.26:445003:5.2:1,9:131.85:340527:5.2:0,9:132.08:296823:3.8:1,U:311.07:1584994:0.0:0:311.07:1584994:.:,9:131.54:610271:3.8:0,9:131.49:262631:3.8:0,9:131.52:397088:3.8:0,[9:129.26:491363:2.15:9
