Symbol,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
AVY_122019P85,0:133.83:412057:0.0:0,0:133.46:438299:0.0:0,0:133.87:356908:0.0:0,0:132.26:445003:0.0:0,0:131.85:340527:0.0:0,0:132.08:296823:0.0:0,0:311.07:1584994:0.0:0,0:131.54:610271:0.0:0,0:131.49:262631:0.0:0,0:131.52:397088:0.0:0,[0:129.26:491363:0.0:0
AVY_122019P90,0:133.83:412057:0.0:0,0:133.46:438299:0.0:0,0:133.87:356908:0.0:0,0:132.26:445003:0.0:0,0:131.85:340527:0.0:0,0:132.08:296823:0.0:0,0:311.07:1584994:0.0:0,0:131.54:610271:0.0:0,0:131.49:262631:0.0:0,0:131.52:397088:0.0:0,[0:129.26:491363:0.0:0
AVY_122019P95,0:133.83:412057:0.0:0,0:133.46:438299:0.0:0,0:133.87:356908:0.0:0,0:132.26:445003:0.0:0,0:131.85:340527:0.0:0,0:132.08:296823:0.0:0,0:311.07:1584994:0.0:0,0:131.54:610271:0.0:0,0:131.49:262631:0.0:0,0:131.52:397088:0.0:0,[0:129.26:491363:0.0:0
AVY_122019P100,0:133.83:412057:0.0:0,0:133.46:438299:0.0:0,0:133.87:356908:0.0:0,0:132.26:445003:0.0:0,0:131.85:340527:0.0:0,0:132.08:296823:0.0:0,0:311.07:1584994:0.0:0,0:131.54:610271:0.0:0,0:131.49:262631:0.0:0,0:131.52:397088:0.0:0,[0:129.26:491363:0.0:0
AVY_122019P105,0:133.83:412057:0.0:0,0:133.46:438299:0.0:0,0:133.87:356908:0.0:0,0:132.26:445003:0.0:0,0:131.85:340527:0.0:0,0:132.08:296823:0.0:0,0:311.07:1584994:0.0:0,0:131.54:610271:0.0:0,0:131.49:262631:0.0:0,0:131.52:397088:0.0:0,[0:129.26:491363:0.0:0
AVY_122019P110,0:133.83:412057:0.0:0,0:133.46:438299:0.0:0,0:133.87:356908:0.0:0,0:132.26:445003:0.0:0,0:131.85:340527:0.0:0,0:132.08:296823:0.0:0,0:311.07:1584994:0.0:0,0:131.54:610271:0.0:0,0:131.49:262631:0.0:0,0:131.52:397088:0.0:0,[0:129.26:491363:0.0:0
AVY_122019P115,0:133.83:412057:0.0:0,0:133.46:438299:0.0:0,0:133.87:356908:0.0:0,0:132.26:445003:0.0:0,0:131.85:340527:0.0:0,0:132.08:296823:0.0:0,0:311.07:1584994:0.0:0,0:131.54:610271:0.0:0,0:131.49:262631:0.0:0,0:131.52:397088:0.0:0,[0:129.26:491363:0.0:0
AVY_122019P120,1:133.83:412057:1.07:0,1:133.46:438299:1.07:0,1:133.87:356908:0.46:1,2:132.26:445003:0.46:0,2:131.85:340527:0.65:3,5:132.08:296823:0.44:3,5:311.07:1584994:0.44:0,5:131.54:610271:0.55:9,11:131.49:262631:0.55:0,11:131.52:397088:0.55:0,[11:129.26:491363:0.55:0
AVY_122019P125,40:133.83:412057:1.05:2,42:133.46:438299:1.05:0,42:133.87:356908:0.83:1,42:132.26:445003:0.83:0,42:131.85:340527:0.83:0,42:132.08:296823:0.83:0,42:311.07:1584994:1.05:144,159:131.54:610271:1.05:0,159:131.49:262631:0.95:751,909:131.52:397088:1.15:2,[909:129.26:491363:1.3:1
AVY_122019P130,8:133.83:412057:3.85:0,8:133.46:438299:3.85:0,8:133.87:356908:3.85:0,8:132.26:445003:3.85:0,8:131.85:340527:2.55:39,40:132.08:296823:2.25:2,40:311.07:1584994:2.25:0,40:131.54:610271:2.25:0,40:131.49:262631:1.92:500,540:131.52:397088:1.92:0,[540:129.26:491363:1.92:0
AVY_122019P135,0:133.83:412057:7.63:0,0:133.46:438299:7.63:0,0:133.87:356908:7.63:0,0:132.26:445003:7.63:0,0:131.85:340527:7.63:0,0:132.08:296823:7.63:0,0:311.07:1584994:7.63:0,0:131.54:610271:7.63:0,0:131.49:262631:7.63:0,0:131.52:397088:7.63:0,[0:129.26:491363:7.63:0
