Symbol,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
AZN_112219C43,0:47.59,0:49.02,0:48.94,0.0,0:48.11,0:47.2,0:47.34,0:46.8:3148197:0.0:0,0:47.26:5249094:0.0:0,0:46.88:1957340:0.0:0,0:47.06:2466308:0.0:0,0:47.82:2009225:0.0:0,0:47.37:1498561:0.0:0,0:47.44:2266957:0.0:0,0:47.94:1868010:0.0:0,0:47.67:2105195:0.0:0,0:47.1:1476694:0.0:0,0:47.61:2398806:0.0:0,U:0:0:U:U
AZN_112219C43.5,0:47.59,0:49.02,0:48.94,0.0,0:48.11,0:47.2,0:47.34,0:46.8:3148197:0.0:0,0:47.26:5249094:0.0:0,0:46.88:1957340:0.0:0,0:47.06:2466308:0.0:0,0:47.82:2009225:0.0:0,0:47.37:1498561:0.0:0,0:47.44:2266957:0.0:0,0:47.94:1868010:0.0:0,0:47.67:2105195:0.0:0,0:47.1:1476694:0.0:0,0:47.61:2398806:0.0:0,0:0:0:0.0:0
AZN_112219C44,0:47.59,0:49.02,0:48.93,0.0,0:48.11,0:47.2,0:47.34,0:46.8:3148197:0.0:0,0:47.26:5249094:0.0:0,0:46.88:1957340:0.0:0,0:47.06:2466308:0.0:0,0:47.82:2009225:0.0:0,0:47.37:1498561:0.0:0,0:47.44:2266957:0.0:0,0:47.94:1868010:0.0:0,0:47.67:2105195:0.0:0,0:47.1:1476694:0.0:0,0:47.61:2398806:0.0:0,0:0:0:0.0:0
AZN_112219C44.5,0:47.59,0:49.02,0:48.93,0.0,0:48.11,0:47.2,0:47.34,0:46.8:3148197:0.0:0,0:47.26:5249094:0.0:0,0:46.88:1957340:0.0:0,0:47.06:2466308:0.0:0,0:47.82:2009225:0.0:0,0:47.37:1498561:0.0:0,0:47.44:2266957:0.0:0,0:47.94:1868010:0.0:0,0:47.67:2105195:0.0:0,0:47.1:1476694:0.0:0,0:47.61:2398806:0.0:0,U:0:0:U:U
AZN_112219C45,2:47.59,2:49.02,2:48.93,2.0,2:48.11,2:47.2,2:47.34,2:46.8:3148197:0.9:0,2:47.26:5249094:0.9:0,2:46.88:1957340:0.9:0,2:47.06:2466308:0.9:0,2:47.82:2009225:0.9:0,2:47.37:1498561:0.9:0,2:47.44:2266957:0.9:0,2:47.94:1868010:0.9:0,2:47.67:2105195:0.9:0,2:47.1:1476694:0.9:0,2:47.61:2398806:0.9:0,2:0:0:0.9:0
AZN_112219C45.5,0:47.59,0:49.02,0:48.93,0.0,0:48.11,0:47.2,0:47.34,0:46.8:3148197:0.0:0,0:47.26:5249094:0.0:0,0:46.88:1957340:0.0:0,0:47.06:2466308:0.0:0,0:47.82:2009225:0.0:0,0:47.37:1498561:0.0:0,0:47.44:2266957:0.0:0,0:47.94:1868010:0.0:0,0:47.67:2105195:0.0:0,0:47.1:1476694:0.0:0,0:47.61:2398806:0.0:0,0:0:0:0.0:0
AZN_112219C46,654:47.59,654:49.02,654:48.93,654.0,654:48.11,654:47.2,654:47.34,654:46.8:3148197:0.65:0,654:47.26:5249094:0.65:0,654:46.88:1957340:0.65:0,654:47.06:2466308:0.65:0,654:47.82:2009225:0.65:0,654:47.37:1498561:0.65:0,654:47.44:2266957:0.65:0,654:47.94:1868010:0.65:0,654:47.67:2105195:0.65:0,654:47.1:1476694:1.17:92,562:47.61:2398806:1.17:0,562:0:0:1.17:0
AZN_112219C46.5,0:47.59,0:49.02,0:48.93,0.0,0:48.11,0:47.2,0:47.34,0:46.8:3148197:0.0:0,0:47.26:5249094:0.0:0,0:46.88:1957340:0.0:0,0:47.06:2466308:0.95:1,1:47.82:2009225:0.95:0,1:47.37:1498561:0.95:0,1:47.44:2266957:0.69:2,3:47.94:1868010:1.45:1,3:47.67:2105195:1.45:0,3:47.1:1476694:1.45:0,3:47.61:2398806:1.13:2,2:0:0:1.52:2
AZN_112219C47,0:47.59,0:49.02,0:48.93,0.0,0:48.11,0:47.2,0:47.34,0:46.8:3148197:0.85:1,1:47.26:5249094:0.7:11,11:46.88:1957340:0.7:0,11:47.06:2466308:0.7:0,11:47.82:2009225:0.7:0,11:47.37:1498561:0.7:0,11:47.44:2266957:0.65:1,12:47.94:1868010:1.1:46,57:47.67:2105195:0.8:45,57:47.1:1476694:0.8:0,57:47.61:2398806:0.6:5,62:0:0:1.2:5
AZN_112219C47.5,20:47.59,20:49.02,20:48.93,20.0,20:48.11,20:47.2,20:47.34,20:46.8:3148197:0.25:0,20:47.26:5249094:0.8:2,21:46.88:1957340:0.3:1,21:47.06:2466308:0.5:12,21:47.82:2009225:0.7:1,21:47.37:1498561:0.7:0,21:47.44:2266957:0.48:9,28:47.94:1868010:0.74:12,25:47.67:2105195:0.74:0,25:47.1:1476694:0.25:20,29:47.61:2398806:0.25:153,60:0:0:0.46:17
