Symbol,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
AZN_112219P43,0:47.59,0:49.02,0:48.94,0.0,0:48.11,0:47.2,0:47.34,0:46.8:3148197:0.0:0,0:47.26:5249094:0.0:0,0:46.88:1957340:0.0:0,0:47.06:2466308:0.0:0,0:47.82:2009225:0.0:0,0:47.37:1498561:0.0:0,0:47.44:2266957:0.0:0,0:47.94:1868010:0.0:0,0:47.67:2105195:0.0:0,0:47.1:1476694:0.0:0,0:47.61:2398806:0.0:0,[0:47.97:2008681:0.0:0
AZN_112219P43.5,27:47.59,27:49.02,27:48.94,27.0,27:48.11,27:47.2,27:47.34,27:46.8:3148197:1.9:0,27:47.26:5249094:1.9:0,27:46.88:1957340:1.9:0,27:47.06:2466308:1.9:0,27:47.82:2009225:1.9:0,27:47.37:1498561:1.9:0,27:47.44:2266957:1.9:0,27:47.94:1868010:1.9:0,27:47.67:2105195:1.9:0,27:47.1:1476694:1.9:0,27:47.61:2398806:1.9:0,[27:47.97:2008681:1.9:0
AZN_112219P44,0:47.59,0:49.02,0:48.94,0.0,0:48.11,0:47.2,0:47.34,0:46.8:3148197:0.0:0,0:47.26:5249094:0.0:0,0:46.88:1957340:0.23:6,6:47.06:2466308:0.23:0,6:47.82:2009225:0.02:6,6:47.37:1498561:0.02:0,6:47.44:2266957:0.02:0,6:47.94:1868010:0.02:0,6:47.67:2105195:0.02:0,6:47.1:1476694:0.02:0,6:47.61:2398806:0.02:0,[6:47.97:2008681:0.02:0
AZN_112219P44.5,0:47.59,0:49.02,0:48.94,0.0,0:48.11,0:47.2,0:47.34,0:46.8:3148197:0.0:0,0:47.26:5249094:0.0:0,0:46.88:1957340:0.0:0,0:47.06:2466308:0.0:0,0:47.82:2009225:0.0:0,0:47.37:1498561:0.0:0,0:47.44:2266957:0.0:0,0:47.94:1868010:0.0:0,0:47.67:2105195:0.0:0,0:47.1:1476694:0.0:0,0:47.61:2398806:0.0:0,[0:47.97:2008681:0.0:0
AZN_112219P45,0:47.59,0:49.02,0:48.94,0.0,0:48.11,0:47.2,0:47.34,0:46.8:3148197:0.0:0,0:47.26:5249094:0.0:0,0:46.88:1957340:0.0:0,0:47.06:2466308:0.0:0,0:47.82:2009225:0.0:0,0:47.37:1498561:0.0:0,0:47.44:2266957:0.0:0,0:47.94:1868010:0.0:0,0:47.67:2105195:0.0:0,0:47.1:1476694:0.0:0,0:47.61:2398806:0.0:0,[0:47.97:2008681:0.0:0
AZN_112219P45.5,0:47.59,0:49.02,0:48.94,0.0,0:48.11,0:47.2,0:47.34,0:46.8:3148197:0.0:0,0:47.26:5249094:0.0:0,0:46.88:1957340:0.0:0,0:47.06:2466308:0.0:0,0:47.82:2009225:0.0:0,0:47.37:1498561:0.0:0,0:47.44:2266957:0.0:0,0:47.94:1868010:0.0:0,0:47.67:2105195:0.0:0,0:47.1:1476694:0.0:0,0:47.61:2398806:0.0:0,[0:47.97:2008681:0.0:0
AZN_112219P46,0:47.59,0:49.02,0:48.94,0.0,1:48.11,1:47.2,1:47.34,1:46.8:3148197:0.23:0,1:47.26:5249094:0.23:0,1:46.88:1957340:0.52:6,7:47.06:2466308:0.18:1,8:47.82:2009225:0.15:6,8:47.37:1498561:0.15:2,7:47.44:2266957:0.15:0,7:47.94:1868010:0.15:0,7:47.67:2105195:0.15:0,7:47.1:1476694:0.15:0,7:47.61:2398806:0.15:0,[7:47.97:2008681:0.15:0
AZN_112219P46.5,0:47.59,0:49.02,0:48.94,0.0,0:48.11,0:47.2,0:47.34,0:46.8:3148197:0.0:0,0:47.26:5249094:0.0:0,0:46.88:1957340:0.45:1,1:47.06:2466308:0.3:1,0:47.82:2009225:0.3:0,0:47.37:1498561:0.3:0,0:47.44:2266957:0.23:1,1:47.94:1868010:0.23:0,1:47.67:2105195:0.05:1,1:47.1:1476694:0.05:0,1:47.61:2398806:0.05:0,[1:47.97:2008681:0.05:0
AZN_112219P47,9:47.59,9:49.02,9:48.94,9.0,9:48.11,9:47.2,9:47.34,9:46.8:3148197:0.8:5,9:47.26:5249094:0.8:0,9:46.88:1957340:0.8:0,9:47.06:2466308:0.8:0,9:47.82:2009225:0.8:0,9:47.37:1498561:0.8:0,9:47.44:2266957:0.5:5,13:47.94:1868010:0.15:5,11:47.67:2105195:0.15:0,11:47.1:1476694:0.15:0,11:47.61:2398806:0.15:0,[11:47.97:2008681:0.15:0
AZN_112219P47.5,0:47.59,0:49.02,3:48.94,3.0,4:48.11,3:47.2,7:47.34,7:46.8:3148197:0.73:0,7:47.26:5249094:0.73:0,7:46.88:1957340:0.73:0,7:47.06:2466308:0.73:0,7:47.82:2009225:0.73:0,7:47.37:1498561:0.73:0,7:47.44:2266957:0.63:4,6:47.94:1868010:0.63:0,6:47.67:2105195:0.29:5,8:47.1:1476694:0.55:5,5:47.61:2398806:0.2:4,[4:47.97:2008681:0.2:0
AZN_112219P48,10:47.59,10:49.02,10:48.94,10.0,10:48.11,10:47.2,10:47.34,10:46.8:3148197:1.47:0,10:47.26:5249094:1.47:0,10:46.88:1957340:1.22:75,85:47.06:2466308:1.22:0,85:47.82:2009225:1.22:0,85:47.37:1498561:1.22:0,85:47.44:2266957:1.22:0,85:47.94:1868010:1.22:0,85:47.67:2105195:0.65:75,63:47.1:1476694:0.65:0,63:47.61:2398806:0.65:0,[63:47.97:2008681:0.11:10
AZN_112219P48.5,10:47.59,10:49.02,10:48.94,10.0,15:48.11,14:47.2,14:47.34,14:46.8:3148197:1.35:0,14:47.26:5249094:1.35:0,14:46.88:1957340:1.35:0,14:47.06:2466308:1.35:0,14:47.82:2009225:1.35:0,14:47.37:1498561:1.35:0,14:47.44:2266957:1.35:0,14:47.94:1868010:1.35:0,14:47.67:2105195:1.35:0,14:47.1:1476694:1.35:0,13:47.61:2398806:1.35:0,[13:47.97:2008681:0.37:10
AZN_112219P49,0:47.59,0:49.02,0:48.94,0.0,29:48.11,22:47.2,17:47.34,17:46.8:3148197:2.15:5,17:47.26:5249094:2.0:1,17:46.88:1957340:2.0:0,17:47.06:2466308:2.0:0,17:47.82:2009225:2.0:0,17:47.37:1498561:2.0:0,17:47.44:2266957:2.0:0,17:47.94:1868010:2.0:0,17:47.67:2105195:2.0:0,17:47.1:1476694:1.85:1,3:47.61:2398806:1.85:0,[3:47.97:2008681:1.85:0
AZN_112219P50,0:47.59,0:49.02,0:48.94,0.0,0:48.11,0:47.2,0:47.34,0:46.8:3148197:0.0:0,0:47.26:5249094:0.0:0,0:46.88:1957340:0.0:0,0:47.06:2466308:0.0:0,0:47.82:2009225:0.0:0,0:47.37:1498561:2.7:150,150:47.44:2266957:2.48:150,45:47.94:1868010:2.48:0,45:47.67:2105195:2.48:0,45:47.1:1476694:2.48:0,45:47.61:2398806:2.48:0,[45:47.97:2008681:2.48:0
AZN_112219P50.5,0:47.59,0:49.02,0:48.94,0.0,0:48.11,0:47.2,0:47.34,0:46.8:3148197:0.0:0,0:47.26:5249094:0.0:0,0:46.88:1957340:0.0:0,0:47.06:2466308:0.0:0,0:47.82:2009225:0.0:0,0:47.37:1498561:0.0:0,0:47.44:2266957:0.0:0,0:47.94:1868010:0.0:0,0:47.67:2105195:0.0:0,0:47.1:1476694:0.0:0,0:47.61:2398806:0.0:0,[0:47.97:2008681:0.0:0
AZN_112219P51.5,0:47.59,0:49.02,0:48.94,0.0,0:48.11,0:47.2,0:47.34,0:46.8:3148197:0.0:0,0:47.26:5249094:0.0:0,0:46.88:1957340:0.0:0,0:47.06:2466308:0.0:0,0:47.82:2009225:0.0:0,0:47.37:1498561:0.0:0,0:47.44:2266957:0.0:0,0:47.94:1868010:0.0:0,0:47.67:2105195:0.0:0,0:47.1:1476694:0.0:0,0:47.61:2398806:0.0:0,[0:47.97:2008681:0.0:0
