Symbol,20191028,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
BABA_112219C155,2444:178.68,2444:176.89,2444:177.53,2444:176.67,2445.0,2445:179.69,2445:182.0,2445:184.16,2445:186.66:19993649:32.85:1,2445:187.13:17340003:32.85:0,2445:186.71:20513218:32.85:0,2445:186.96:9345424:32.85:0,2445:182.48:14927267:32.85:0,2445:182.8:12678230:32.85:0,2445:185.49:10770359:30.2:6,U:184.61:11825561::,2445:367.0:6666703:29.85:1,2445:369.77:2405645:29.85:0,2445:184.86:10222212:29.85:0,2445:186.78:10029570:29.85:0
BABA_112219C157.5,2487:178.68,2487:176.89,2487:177.53,2487:176.67,2487.0,2487:179.69,2491:182.0,2491:184.16,2491:186.66:19993649:28.45:30,2491:187.13:17340003:28.45:0,2491:186.71:20513218:28.45:0,2491:186.96:9345424:28.45:0,2491:182.48:14927267:28.45:0,2491:182.8:12678230:24.31:9,2500:185.49:10770359:24.31:0,U:184.61:11825561::,2500:367.0:6666703:24.31:0,2500:369.77:2405645:24.31:0,2500:184.86:10222212:26.77:16,2490:186.78:10029570:29.15:865
BABA_112219C160,283:178.68,288:176.89,288:177.53,289:176.67,290.0,295:179.69,292:182.0,297:184.16,307:186.66:19993649:27.3:8,306:187.13:17340003:27.3:0,306:186.71:20513218:26.1:17,306:186.96:9345424:26.54:1,306:182.48:14927267:22.9:4,304:182.8:12678230:22.1:6,308:185.49:10770359:24.51:13,310:184.61:11825561:26.1:1,310:367.0:6666703:24.6:16,310:369.77:2405645:22.6:54,258:184.86:10222212:22.59:11,258:186.78:10029570:25.83:234
BABA_112219C162.5,30:178.68,45:176.89,45:177.53,45:176.67,45.0,45:179.69,45:182.0,45:184.16,45:186.66:19993649:13.84:0,45:187.13:17340003:13.84:0,45:186.71:20513218:24.15:3,44:186.96:9345424:24.15:0,44:182.48:14927267:19.6:1,44:182.8:12678230:19.6:0,44:185.49:10770359:22.75:5,49:184.61:11825561:22.75:0,:367.0:6666703:U:U,47:369.77:2405645:19.85:4,46:184.86:10222212:22.24:8,[46:186.78:10029570:22.37:3
BABA_112219C165,134:178.68,116:176.89,104:177.53,105:176.67,91.0,84:179.69,84:182.0,84:184.16,84:186.66:19993649:18.75:0,84:187.13:17340003:22.34:1,83:186.71:20513218:19.15:1,82:186.96:9345424:19.15:0,82:182.48:14927267:16.75:6,87:182.8:12678230:17.5:5,83:185.49:10770359:19.55:3,83:184.61:11825561:19.55:0,83:367.0:6666703:19.1:2,U:369.77:2405645:U:U,80:184.86:10222212:17.93:0,[80:186.78:10029570:21.87:4
BABA_112219C167.5,141:178.68,141:176.89,146:177.53,151:176.67,177.0,237:179.69,237:182.0,237:184.16,238:186.66:19993649:17.2:0,238:187.13:17340003:20.33:10,228:186.71:20513218:19.12:23,208:186.96:9345424:19.12:0,208:182.48:14927267:15.06:21,195:182.8:12678230:15.06:0,195:185.49:10770359:18.1:3,196:184.61:11825561:18.1:0,196:367.0:6666703:18.1:0,196:369.77:2405645:14.0:4,192:184.86:10222212:14.0:0,[192:186.78:10029570:18.9:1
BABA_112219C170,359:178.68,355:176.89,366:177.53,396:176.67,404.0,416:179.69,436:182.0,434:184.16,425:186.66:19993649:16.88:131,419:187.13:17340003:17.55:63,379:186.71:20513218:17.5:89,403:186.96:9345424:16.66:101,428:182.48:14927267:12.9:78,499:182.8:12678230:12.42:52,494:185.49:10770359:15.5:48,507:184.61:11825561:15.5:28,507:367.0:6666703:15.2:50,463:369.77:2405645:13.15:67,451:184.86:10222212:14.2:29,[446:186.78:10029570:16.4:64
BABA_112219C172.5,170:178.68,193:176.89,176:177.53,186:176.67,199.0,266:179.69,370:182.0,388:184.16,383:186.66:19993649:15.97:10,377:187.13:17340003:15.25:48,382:186.71:20513218:14.65:44,381:186.96:9345424:14.65:0,381:182.48:14927267:10.43:92,377:182.8:12678230:10.03:25,356:185.49:10770359:13.23:111,396:184.61:11825561:12.55:12,:367.0:6666703:U:U,390:369.77:2405645:10.15:20,391:184.86:10222212:12.0:63,[389:186.78:10029570:13.94:20
BABA_112219C175,508:178.68,529:176.89,532:177.53,1362:176.67,1348.0,1549:179.69,1462:182.0,1421:184.16,1468:186.66:19993649:12.85:30,1466:187.13:17340003:12.95:45,1478:186.71:20513218:12.15:498,1501:186.96:9345424:12.3:17,1500:182.48:14927267:8.3:78,1524:182.8:12678230:8.1:66,1516:185.49:10770359:10.75:99,1547:184.61:11825561:9.8:134,1505:367.0:6666703:10.1:32,1485:369.77:2405645:7.9:139,1467:184.86:10222212:9.87:126,[1404:186.78:10029570:11.49:1164
BABA_112219C177.5,187:178.68,258:176.89,285:177.53,280:176.67,321.0,262:179.69,284:182.0,283:184.16,283:186.66:19993649:9.93:115,278:187.13:17340003:10.78:835,1074:186.71:20513218:10.3:125,1106:186.96:9345424:10.3:38,1099:182.48:14927267:6.25:183,1188:182.8:12678230:6.05:191,1224:185.49:10770359:8.32:231,1271:184.61:11825561:7.5:97,1246:367.0:6666703:7.9:137,1223:369.77:2405645:5.48:158,1140:184.86:10222212:7.41:100,[1078:186.78:10029570:8.97:895
