Symbol,20191028,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
BABA_112219P155,142:178.68,157:176.89,203:177.53,428:176.67,440.0,389:179.69,415:182.0,416:184.16,415:186.66:19993649:0.2:0,415:187.13:17340003:0.2:0,415:186.71:20513218:0.07:9,420:186.96:9345424:0.07:0,420:182.48:14927267:0.04:2,418:182.8:12678230:0.1:1,419:185.49:10770359:0.1:0,419:184.61:11825561:0.03:2,419:185.25:12917577:0.01:72,412:182.52:13558731:0.01:20,412:184.86:10222281:0.01:0,412:186.78:10029570:0.01:0
BABA_112219P157.5,74:178.68,77:176.89,82:177.53,146:176.67,117.0,168:179.69,168:182.0,168:184.16,161:186.66:19993649:0.19:10,166:187.13:17340003:0.14:1,165:186.71:20513218:0.07:10,173:186.96:9345424:0.06:28,198:182.48:14927267:0.11:6,196:182.8:12678230:0.12:13,204:185.49:10770359:0.06:44,U:184.61:11825561::,242:185.25:12917577:0.03:0,242:182.52:13558731:0.02:19,233:184.86:10222281:0.02:0,233:186.78:10029570:0.02:0
BABA_112219P160,318:178.68,331:176.89,356:177.53,566:176.67,1470.0,1437:179.69,1440:182.0,1234:184.16,1203:186.66:19993649:0.2:21,1199:187.13:17340003:0.13:546,1048:186.71:20513218:0.1:40,1069:186.96:9345424:0.05:461,1095:182.48:14927267:0.13:292,1238:182.8:12678230:0.13:164,1305:185.49:10770359:0.08:69,1327:184.61:11825561:0.04:390,1608:185.25:12917577:0.03:30,1663:182.52:13558731:0.02:224,1694:184.86:10222281:0.01:10,1704:186.78:10029570:0.01:0
BABA_112219P162.5,152:178.68,165:176.89,306:177.53,306:176.67,309.0,325:179.69,563:182.0,516:184.16,535:186.66:19993649:0.21:16,544:187.13:17340003:0.16:231,750:186.71:20513218:0.15:109,840:186.96:9345424:0.08:22,840:182.48:14927267:0.25:33,841:182.8:12678230:0.18:12,844:185.49:10770359:0.1:1,844:184.61:11825561:0.05:21,855:185.25:12917577:0.03:32,861:182.52:13558731:0.03:188,1049:184.86:10222281:0.01:1,[1049:186.78:10029570:0.01:11
BABA_112219P165,466:178.68,479:176.89,498:177.53,646:176.67,653.0,745:179.69,1096:182.0,1116:184.16,1117:186.66:19993649:0.22:313,1100:187.13:17340003:0.22:180,1079:186.71:20513218:0.16:104,1122:186.96:9345424:0.1:10,1125:182.48:14927267:0.23:71,1137:182.8:12678230:0.24:46,1151:185.49:10770359:0.11:25,1144:184.61:11825561:0.07:62,1130:185.25:12917577:0.03:24,1147:182.52:13558731:0.08:105,1174:184.86:10222281:0.01:26,[1171:186.78:10029570:0.01:8
BABA_112219P167.5,657:178.68,678:176.89,677:177.53,667:176.67,652.0,750:179.69,1087:182.0,1060:184.16,1043:186.66:19993649:0.39:33,1042:187.13:17340003:0.3:13,1044:186.71:20513218:0.23:37,1048:186.96:9345424:0.15:23,1035:182.48:14927267:0.31:145,1078:182.8:12678230:0.32:62,1103:185.49:10770359:0.14:26,1102:184.61:11825561:0.11:84,1113:185.25:12917577:0.05:52,1142:182.52:13558731:0.11:99,1154:184.86:10222281:0.01:67,[1144:186.78:10029570:0.01:10
BABA_112219P170,543:178.68,709:176.89,709:177.53,710:176.67,702.0,1598:179.69,1920:182.0,2554:184.16,2559:186.66:19993649:0.51:197,2458:187.13:17340003:0.43:235,2607:186.71:20513218:0.34:134,2657:186.96:9345424:0.2:37,2658:182.48:14927267:0.43:311,2862:182.8:12678230:0.41:705,3062:185.49:10770359:0.19:341,3107:184.61:11825561:0.15:318,3140:185.25:12917577:0.06:99,3180:182.52:13558731:0.11:354,3247:184.86:10222281:0.02:1193,[2662:186.78:10029570:0.01:18
BABA_112219P172.5,372:178.68,720:176.89,723:177.53,720:176.67,725.0,769:179.69,777:182.0,779:184.16,776:186.66:19993649:0.73:81,772:187.13:17340003:0.58:240,954:186.71:20513218:0.5:294,1117:186.96:9345424:0.29:230,1247:182.48:14927267:0.66:708,1705:182.8:12678230:0.64:600,1806:185.49:10770359:0.26:225,1884:184.61:11825561:0.22:381,1950:185.25:12917577:0.09:148,1970:182.52:13558731:0.15:362,2015:184.86:10222281:0.03:141,[1967:186.78:10029570:0.01:265
BABA_112219P175,93:178.68,238:176.89,252:177.53,284:176.67,809.0,934:179.69,955:182.0,1081:184.16,1258:186.66:19993649:0.99:285,1251:187.13:17340003:0.82:149,1297:186.71:20513218:0.71:566,1646:186.96:9345424:0.43:543,1871:182.48:14927267:0.97:751,2048:182.8:12678230:0.98:1231,2314:185.49:10770359:0.35:451,2227:184.61:11825561:0.34:1549,2586:185.25:12917577:0.15:472,2730:182.52:13558731:0.25:2596,3460:184.86:10222281:0.04:1131,[2975:186.78:10029570:0.01:731
BABA_112219P177.5,35:178.68,90:176.89,94:177.53,96:176.67,99.0,196:179.69,245:182.0,271:184.16,279:186.66:19993649:1.46:157,251:187.13:17340003:1.17:268,364:186.71:20513218:0.98:289,466:186.96:9345424:0.67:227,521:182.48:14927267:1.53:539,679:182.8:12678230:1.55:1412,1241:185.49:10770359:0.55:452,U:184.61:11825561::,1428:185.25:12917577:0.27:418,1563:182.52:13558731:0.47:3483,1967:184.86:10222281:0.06:1010,[2184:186.78:10029570:0.01:328
