Symbol,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
BA_112219C325,81:348.93,82:346.06,82:339.54,82.0,85:351.09,80:358.29,80:354.19,10:357.31:2832134:28.8:0,10:350.7:2928410:28.8:0,10:367.46:11164043:43.45:3,13:362.88:5438769:43.45:0,13:362.5:3449060:43.45:0,13:367.44:5261687:43.45:0,13:371.68:5374478:43.45:0,13:47.94:1868010:48.5:10,13:47.67:2105195:48.5:0,13:47.1:1476694:48.5:0,13:366.44:2700609:48.5:0,13:371.34:3907662:48.5:0
BA_112219C327.5,0:348.93,0:346.06,0:339.51,5.0,5:351.09,5:358.29,5:354.19,0:357.31:2832134:27.25:0,0:350.7:2928410:27.25:0,0:367.46:11164043:27.25:0,0:362.88:5438769:27.25:0,0:362.5:3449060:27.25:0,0:367.44:5261687:27.25:0,0:371.68:5374478:27.25:0,U:47.94:1868010::,0:47.67:2105195:27.25:0,0:47.1:1476694:27.25:0,0:366.44:2700609:27.25:0,0:371.34:3907662:27.25:0
BA_112219C330,73:348.93,78:346.06,79:339.55,79.0,82:351.09,82:358.29,78:354.19,1:357.31:2832134:28.0:1,0:350.7:2928410:28.0:0,0:367.46:11164043:32.32:8,5:362.88:5438769:32.32:0,5:362.5:3449060:32.6:30,32:367.44:5261687:32.6:0,32:371.68:5374478:32.6:0,32:47.94:1868010:39.14:8,33:47.67:2105195:36.1:12,31:47.1:1476694:39.8:4,31:366.44:2700609:39.8:0,31:371.34:3907662:39.45:20
BA_112219C332.5,31:348.93,31:346.06,31:339.52,31.0,32:351.09,32:358.29,32:354.19,31:357.31:2832134:14.55:0,31:350.7:2928410:14.55:0,31:367.46:11164043:14.55:0,31:362.88:5438769:14.55:0,31:362.5:3449060:14.55:0,31:367.44:5261687:14.55:0,31:371.68:5374478:14.55:0,U:47.94:1868010::,31:47.67:2105195:14.55:0,31:47.1:1476694:14.55:0,31:366.44:2700609:14.55:0,31:371.34:3907662:14.55:0
BA_112219C335,95:348.93,94:346.06,93:339.52,109.0,133:351.09,133:358.29,135:354.19,136:357.31:2832134:20.2:0,134:350.7:2928410:18.24:3,134:367.46:11164043:35.0:8,136:362.88:5438769:32.17:2,138:362.5:3449060:28.55:1,137:367.44:5261687:33.2:9,143:371.68:5374478:36.6:6,U:47.94:1868010::,135:47.67:2105195:36.0:3,132:47.1:1476694:34.18:1,132:366.44:2700609:34.18:0,132:371.34:3907662:33.01:4
BA_112219C337.5,31:348.93,49:346.06,54:339.52,101.0,101:351.09,111:358.29,82:354.19,82:357.31:2832134:20.29:0,82:350.7:2928410:16.3:15,68:367.46:11164043:30.31:13,76:362.88:5438769:30.31:0,76:362.5:3449060:30.31:0,76:367.44:5261687:30.31:0,76:371.68:5374478:30.31:0,U:47.94:1868010::,76:47.67:2105195:30.31:0,76:47.1:1476694:30.31:0,76:366.44:2700609:30.31:0,U:371.34:3907662:U:U
BA_112219C340,155:348.93,229:346.06,274:339.52,259.0,259:351.09,259:358.29,232:354.19,234:357.31:2832134:18.63:1,233:350.7:2928410:14.14:14,238:367.46:11164043:28.25:66,215:362.88:5438769:28.25:0,215:362.5:3449060:23.85:1,214:367.44:5261687:28.6:5,214:371.68:5374478:31.0:6,214:47.94:1868010:29.5:11,214:47.67:2105195:24.3:11,223:47.1:1476694:29.01:15,222:366.44:2700609:29.01:0,222:371.34:3907662:29.2:49
BA_112219C342.5,107:348.93,104:346.06,97:339.56,119.0,118:351.09,115:358.29,114:354.19,107:357.31:2832134:18.8:12,103:350.7:2928410:13.05:4,105:367.46:11164043:27.84:143,88:362.88:5438769:20.75:3,90:362.5:3449060:21.38:12,89:367.44:5261687:25.25:18,72:371.68:5374478:29.7:3,69:47.94:1868010:31.55:5,69:47.67:2105195:22.8:1,69:47.1:1476694:22.8:0,69:366.44:2700609:22.8:0,69:371.34:3907662:25.36:4
BA_112219C345,91:348.93,134:346.06,149:339.54,173.0,266:351.09,266:358.29,259:354.19,260:357.31:2832134:15.4:31,234:350.7:2928410:10.65:12,239:367.46:11164043:26.02:197,251:362.88:5438769:22.0:20,261:362.5:3449060:19.1:47,257:367.44:5261687:23.5:36,248:371.68:5374478:26.97:1,248:47.94:1868010:24.54:25,238:47.67:2105195:22.65:59,211:47.1:1476694:25.35:1,210:366.44:2700609:25.35:0,210:371.34:3907662:25.75:3
BA_112219C347.5,62:348.93,108:346.06,116:339.56,117.0,122:351.09,125:358.29,125:354.19,119:357.31:2832134:10.19:0,119:350.7:2928410:10.35:24,136:367.46:11164043:21.23:64,124:362.88:5438769:18.5:2,123:362.5:3449060:16.88:6,117:367.44:5261687:21.0:35,100:371.68:5374478:21.0:0,100:47.94:1868010:22.06:1,:47.67:2105195:U:U,88:47.1:1476694:19.8:0,88:366.44:2700609:19.8:0,[88:371.34:3907662:20.65:4
BA_112219C350,148:348.93,161:346.06,272:339.54,347.0,306:351.09,324:358.29,283:354.19,290:357.31:2832134:11.5:37,273:350.7:2928410:7.28:51,307:367.46:11164043:20.45:298,368:362.88:5438769:14.2:21,367:362.5:3449060:14.9:93,405:367.44:5261687:19.0:113,429:371.68:5374478:21.5:61,427:47.94:1868010:19.68:63,416:47.67:2105195:18.55:258,364:47.1:1476694:20.02:72,383:366.44:2700609:16.8:83,[410:371.34:3907662:21.4:41
BA_112219C352.5,57:348.93,57:346.06,57:339.54,59.0,60:351.09,69:358.29,95:354.19,96:357.31:2832134:9.97:63,119:350.7:2928410:5.98:133,188:367.46:11164043:18.15:551,205:362.88:5438769:14.55:55,202:362.5:3449060:12.63:13,211:367.44:5261687:16.85:41,210:371.68:5374478:20.5:2,209:47.94:1868010:17.35:68,:47.67:2105195:U:U,197:47.1:1476694:16.35:1,196:366.44:2700609:14.65:7,[193:371.34:3907662:18.06:29
BA_112219C355,104:348.93,106:346.06,123:339.54,138.0,126:351.09,132:358.29,163:354.19,164:357.31:2832134:8.38:64,151:350.7:2928410:4.65:91,181:367.46:11164043:15.02:812,280:362.88:5438769:11.55:58,271:362.5:3449060:10.54:26,268:367.44:5261687:14.54:43,276:371.68:5374478:17.11:53,286:47.94:1868010:15.25:53,279:47.67:2105195:12.35:70,U:47.1:1476694:U:U,250:366.44:2700609:11.48:42,[264:371.34:3907662:15.25:40
BA_112219C357.5,260:348.93,264:346.06,267:339.54,277.0,272:351.09,282:358.29,353:354.19,378:357.31:2832134:7.02:101,357:350.7:2928410:3.65:197,405:367.46:11164043:13.3:419,434:362.88:5438769:9.65:80,430:362.5:3449060:8.68:20,426:367.44:5261687:12.54:50,417:371.68:5374478:14.8:41,U:47.94:1868010::,394:47.67:2105195:11.45:54,379:47.1:1476694:13.0:86,356:366.44:2700609:9.79:49,[344:371.34:3907662:14.25:280
BA_112219C360,124:348.93,127:346.06,135:339.54,186.0,129:351.09,381:358.29,425:354.19,512:357.31:2832134:5.65:179,534:350.7:2928410:2.92:389,700:367.46:11164043:11.55:1442,798:362.88:5438769:8.05:798,860:362.5:3449060:7.25:405,1024:367.44:5261687:10.06:680,1024:371.68:5374478:12.5:932,1410:47.94:1868010:10.65:633,1706:47.67:2105195:8.7:1862,1584:47.1:1476694:9.7:237,1492:366.44:2700609:6.95:542,[1485:371.34:3907662:10.74:706
BA_112219C362.5,167:348.93,167:346.06,166:339.56,268.0,265:351.09,267:358.29,293:354.19,308:357.31:2832134:4.65:57,316:350.7:2928410:2.44:79,335:367.46:11164043:9.84:579,310:362.88:5438769:6.35:418,436:362.5:3449060:5.86:301,432:367.44:5261687:8.3:480,423:371.68:5374478:10.75:215,U:47.94:1868010::,457:47.67:2105195:6.44:2437,736:47.1:1476694:7.85:78,743:366.44:2700609:5.1:58,[745:371.34:3907662:7.95:189
BA_112219C365,126:348.93,144:346.06,158:339.55,221.0,230:351.09,230:358.29,575:354.19,677:357.31:2832134:3.64:117,676:350.7:2928410:1.86:63,703:367.46:11164043:8.5:1027,723:362.88:5438769:5.26:993,955:362.5:3449060:4.65:698,974:367.44:5261687:6.8:3541,1559:371.68:5374478:9.0:1409,1979:47.94:1868010:6.95:255,:47.67:2105195:U:U,1801:47.1:1476694:5.5:371,1748:366.44:2700609:3.05:733,[1798:371.34:3907662:5.82:1542
BA_112219C367.5,39:348.93,40:346.06,40:339.55,44.0,44:351.09,47:358.29,182:354.19,175:357.31:2832134:2.92:40,185:350.7:2928410:1.53:20,187:367.46:11164043:7.4:743,368:362.88:5438769:4.35:1039,738:362.5:3449060:3.35:580,575:367.44:5261687:5.55:1830,775:371.68:5374478:7.2:411,U:47.94:1868010::,726:47.67:2105195:3.65:2474,1049:47.1:1476694:4.11:2257,1129:366.44:2700609:1.61:785,[1177:371.34:3907662:3.26:1564
BA_112219C370,280:348.93,238:346.06,434:339.55,429.0,449:351.09,449:358.29,476:354.19,484:357.31:2832134:2.32:41,507:350.7:2928410:1.0:310,596:367.46:11164043:5.9:2257,833:362.88:5438769:3.4:1879,1194:362.5:3449060:2.6:1697,1185:367.44:5261687:4.4:3010,1820:371.68:5374478:5.73:3019,1427:47.94:1868010:4.1:3017,:47.67:2105195:U:U,1917:47.1:1476694:2.63:3718,2032:366.44:2700609:0.82:2927,[2812:371.34:3907662:0.51:9033
BA_112219C372.5,60:348.93,60:346.06,82:339.55,80.0,128:351.09,130:358.29,128:354.19,138:357.31:2832134:1.69:30,153:350.7:2928410:0.77:31,158:367.46:11164043:5.0:396,242:362.88:5438769:2.73:212,269:362.5:3449060:2.2:462,327:367.44:5261687:3.5:2070,696:371.68:5374478:4.41:1942,960:47.94:1868010:3.05:1730,:47.67:2105195:U:U,1342:47.1:1476694:1.64:1584,1750:366.44:2700609:0.39:1931,[1811:371.34:3907662:0.01:11681
BA_112919C325,10:348.93,9:346.06,9:339.57,9.0,12:351.09,11:358.29,11:354.19,3:357.31:2832134:35.1:2,3:350.7:2928410:35.1:0,3:367.46:11164043:35.1:0,3:362.88:5438769:35.1:0,3:362.5:3449060:35.1:0,3:367.44:5261687:35.1:0,3:371.68:5374478:35.1:0,U:47.94:1868010::,:47.67:2105195:U:U,3:47.1:1476694:35.1:0,3:366.44:2700609:35.1:0,3:371.34:3907662:35.1:0
BA_112919C327.5,0:348.93,0:346.06,0:339.56,0.0,0:351.09,0:358.29,0:354.19,0:357.31:2832134:0.0:0,0:350.7:2928410:0.0:0,0:367.46:11164043:0.0:0,0:362.88:5438769:0.0:0,0:362.5:3449060:38.8:1,1:367.44:5261687:41.1:1,0:371.68:5374478:41.1:0,0:47.94:1868010:41.1:0,0:47.67:2105195:41.1:0,0:47.1:1476694:41.1:0,0:366.44:2700609:41.1:0,0:371.34:3907662:41.1:0
BA_112919C330,22:348.93,23:346.06,23:339.56,25.0,25:351.09,26:358.29,20:354.19,25:357.31:2832134:29.0:2,24:350.7:2928410:29.0:0,24:367.46:11164043:38.0:32,55:362.88:5438769:33.0:35,90:362.5:3449060:33.81:27,90:367.44:5261687:38.35:49,121:371.68:5374478:40.0:41,U:47.94:1868010::,170:47.67:2105195:37.0:130,183:47.1:1476694:40.0:60,183:366.44:2700609:40.0:0,183:371.34:3907662:41.4:2
BA_112919C332.5,0:348.93,0:346.06,0:339.55,2.0,2:351.09,2:358.29,2:354.19,2:357.31:2832134:18.04:0,2:350.7:2928410:18.04:0,2:367.46:11164043:18.04:0,2:362.88:5438769:18.04:0,2:362.5:3449060:18.04:0,2:367.44:5261687:18.04:0,2:371.68:5374478:18.04:0,2:47.94:1868010:18.04:0,2:47.67:2105195:18.04:0,2:47.1:1476694:18.04:0,2:366.44:2700609:18.04:0,2:371.34:3907662:18.04:0
