Symbol,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
BA_112219P325,118:348.93,117:346.06,122:339.94,148.0,150:351.09,162:358.29,163:354.19,169:357.31:2832134:0.45:115,262:350.7:2928410:0.6:41,279:367.46:11164043:0.25:154,332:362.88:5438769:0.14:29,308:362.5:3449060:0.07:111,311:367.44:5261687:0.04:14,322:371.68:5374478:0.04:135,372:47.94:1868010:0.04:22,352:367.0:6666703:0.01:106,452:369.77:2405645:0.01:0,452:0:0:0.01:0,452:371.34:3907662:0.01:0
BA_112219P327.5,18:348.93,20:346.06,20:339.94,22.0,35:351.09,40:358.29,49:354.19,123:357.31:2832134:0.62:6,123:350.7:2928410:0.88:8,123:367.46:11164043:0.28:20,126:362.88:5438769:0.29:3,126:362.5:3449060:0.11:2,128:367.44:5261687:0.04:2,127:371.68:5374478:0.06:9,123:47.94:1868010:0.02:3,122:367.0:6666703:0.18:28,U:369.77:2405645:U:U,147:0:0:0.18:0,147:371.34:3907662:0.18:0
BA_112219P330,206:348.93,224:346.06,238:339.94,257.0,256:351.09,268:358.29,280:354.19,248:357.31:2832134:0.72:52,258:350.7:2928410:1.19:124,290:367.46:11164043:0.38:170,322:362.88:5438769:0.23:96,394:362.5:3449060:0.14:52,398:367.44:5261687:0.11:145,484:371.68:5374478:0.05:60,U:47.94:1868010::,470:367.0:6666703:0.04:348,659:369.77:2405645:0.02:88,U:0:0:U:U,620:371.34:3907662:0.01:13
BA_112219P332.5,15:348.93,15:346.06,20:339.94,40.0,43:351.09,41:358.29,46:354.19,173:357.31:2832134:1.15:1,173:350.7:2928410:1.42:39,195:367.46:11164043:0.5:67,220:362.88:5438769:0.23:128,178:362.5:3449060:0.18:34,154:367.44:5261687:0.11:47,144:371.68:5374478:0.06:39,U:47.94:1868010::,:367.0:6666703:U:U,141:369.77:2405645:0.03:2,140:0:0:0.03:12,132:371.34:3907662:0.02:3
BA_112219P335,163:348.93,177:346.06,181:339.94,184.0,184:351.09,195:358.29,213:354.19,236:357.31:2832134:1.12:38,255:350.7:2928410:1.6:68,303:367.46:11164043:0.51:234,279:362.88:5438769:0.4:152,312:362.5:3449060:0.2:46,301:367.44:5261687:0.14:33,296:371.68:5374478:0.1:109,U:47.94:1868010::,321:367.0:6666703:0.06:292,494:369.77:2405645:0.03:2,U:0:0:U:U,483:371.34:3907662:0.01:1
BA_112219P337.5,31:348.93,26:346.06,27:339.91,38.0,39:351.09,99:358.29,106:354.19,108:357.31:2832134:1.33:4,111:350.7:2928410:2.06:35,134:367.46:11164043:0.67:179,192:362.88:5438769:0.49:122,230:362.5:3449060:0.37:23,240:367.44:5261687:0.16:89,245:371.68:5374478:0.11:74,U:47.94:1868010::,202:367.0:6666703:0.06:165,229:369.77:2405645:0.04:20,U:0:0:U:U,211:371.34:3907662:0.01:0
BA_112219P340,69:348.93,72:346.06,127:339.91,148.0,138:351.09,170:358.29,167:354.19,186:357.31:2832134:1.73:14,189:350.7:2928410:2.8:192,308:367.46:11164043:0.86:506,387:362.88:5438769:0.63:375,513:362.5:3449060:0.44:44,511:367.44:5261687:0.23:247,591:371.68:5374478:0.17:592,861:47.94:1868010:0.06:156,:367.0:6666703:U:U,U:369.77:2405645:.:U,1430:0:0:0.02:30,1419:371.34:3907662:0.01:14
BA_112219P342.5,44:348.93,57:346.06,73:339.91,80.0,85:351.09,87:358.29,120:354.19,201:357.31:2832134:2.02:27,215:350.7:2928410:3.2:30,226:367.46:11164043:0.97:134,278:362.88:5438769:0.9:29,291:362.5:3449060:0.63:32,316:367.44:5261687:0.29:131,391:371.68:5374478:0.19:62,U:47.94:1868010::,367:367.0:6666703:0.09:474,U:369.77:2405645:U:U,U:0:0:U:U,295:371.34:3907662:0.01:8
BA_112219P345,64:348.93,70:346.06,81:339.91,82.0,136:351.09,148:358.29,232:354.19,247:357.31:2832134:2.31:41,260:350.7:2928410:3.86:183,417:367.46:11164043:1.22:496,534:362.88:5438769:1.05:134,586:362.5:3449060:0.85:278,672:367.44:5261687:0.42:285,718:371.68:5374478:0.23:120,U:47.94:1868010::,651:367.0:6666703:0.17:1035,832:369.77:2405645:0.05:108,U:0:0:U:U,991:371.34:3907662:0.01:39
BA_112219P347.5,25:348.93,30:346.06,61:339.91,61.0,61:351.09,70:358.29,107:354.19,138:357.31:2832134:3.1:87,214:350.7:2928410:3.93:7,220:367.46:11164043:1.55:387,349:362.88:5438769:1.4:102,382:362.5:3449060:1.05:179,351:367.44:5261687:0.6:186,382:371.68:5374478:0.3:202,363:47.94:1868010:0.16:258,388:367.0:6666703:0.19:789,747:369.77:2405645:0.09:122,U:0:0:U:U,[716:371.34:3907662:0.01:21
