Symbol,20191023,20191024,20191025,20191028,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
BIDU_112219C97.5,0.0,0:103.69,0:103.87,0:104.86,0:102.9,0:101.76,0:101.85,0.0,0:109.62,0:108.05,1:107.36,1:121.87:16213163:11.25:0,1:124.56:10078599:11.25:0,1:120.87:4022432:11.25:0,1:121.8:3466459:11.25:0,1:118.29:3622674:11.25:0,1:118.2:4727909:11.25:0,1:117.05:3794537:11.25:0,1:116.52:2482706:11.25:0,1:115.69:2574436:11.25:0,1:114.84:2309793:11.25:0,1:115.65:2796382:11.25:0,1:117.99:3006608:11.25:0
BIDU_112219C98,0.0,0:103.69,1:103.87,1:104.86,1:102.9,1:101.76,1:101.85,57.0,56:109.62,56:108.05,56:107.36,56:121.87:16213163:19.46:55,3:124.56:10078599:19.46:0,3:120.87:4022432:19.46:0,3:121.8:3466459:24.45:1,2:118.29:3622674:24.45:0,2:118.2:4727909:24.45:0,2:117.05:3794537:24.45:0,2:116.52:2482706:24.45:0,2:115.69:2574436:24.45:0,2:114.84:2309793:24.45:0,2:115.65:2796382:24.45:0,2:117.99:3006608:24.45:0
BIDU_112219C98.5,0.0,0:103.69,0:103.87,0:104.86,0:102.9,0:101.79,0:101.85,3.0,3:109.62,3:108.05,4:107.36,4:121.87:16213163:10.45:0,4:124.56:10078599:10.45:0,4:120.87:4022432:10.45:0,4:121.8:3466459:10.45:0,4:118.29:3622674:10.45:0,4:118.2:4727909:10.45:0,4:117.05:3794537:10.45:0,4:116.52:2482706:10.45:0,4:115.69:2574436:10.45:0,U:114.84:2309793:U:U,4:115.65:2796382:10.45:0,4:117.99:3006608:10.45:0
BIDU_112219C99,1.0,1:103.69,1:103.87,1:104.86,1:102.9,2:101.79,2:101.85,2.0,2:109.62,2:108.05,2:107.36,3:121.87:16213163:21.0:1,2:124.56:10078599:21.0:0,2:120.87:4022432:21.0:0,2:121.8:3466459:21.0:0,2:118.29:3622674:21.0:0,2:118.2:4727909:21.0:0,2:117.05:3794537:21.0:0,U:116.52:2482706::,:115.69:2574436:U:U,2:114.84:2309793:21.0:0,2:115.65:2796382:21.0:0,2:117.99:3006608:21.0:0
BIDU_112219C99.5,2.0,2:103.69,2:103.87,2:104.86,2:102.9,2:101.79,2:101.85,2.0,2:109.62,2:108.05,2:107.36,2:121.87:16213163:6.2:0,2:124.56:10078599:6.2:0,2:120.87:4022432:6.2:0,2:121.8:3466459:6.2:0,2:118.29:3622674:6.2:0,2:118.2:4727909:6.2:0,2:117.05:3794537:6.2:0,2:116.52:2482706:6.2:0,2:115.69:2574436:6.2:0,2:114.84:2309793:6.2:0,2:115.65:2796382:6.2:0,2:117.99:3006608:6.2:0
BIDU_112219C100,22.0,22:103.69,29:103.87,48:104.86,48:102.9,63:101.8,67:101.85,130.0,122:109.62,93:108.05,86:107.36,87:121.87:16213163:21.75:51,58:124.56:10078599:24.75:7,53:120.87:4022432:24.75:0,53:121.8:3466459:24.75:0,53:118.29:3622674:19.1:1,54:118.2:4727909:18.2:3,54:117.05:3794537:17.2:4,57:116.52:2482706:17.2:0,57:115.69:2574436:17.2:0,57:114.84:2309793:14.85:1,56:115.65:2796382:15.66:1,56:117.99:3006608:18.2:3
BIDU_112219C101,3.0,3:103.69,3:103.87,3:104.86,3:102.9,3:101.77,4:101.85,4.0,5:109.62,9:108.05,14:107.36,15:121.87:16213163:16.3:2,14:124.56:10078599:16.3:0,14:120.87:4022432:16.3:0,14:121.8:3466459:16.3:0,14:118.29:3622674:17.8:2,14:118.2:4727909:15.51:1,15:117.05:3794537:17.85:1,16:116.52:2482706:17.85:0,16:115.69:2574436:17.85:0,U:114.84:2309793:U:U,15:115.65:2796382:13.45:0,15:117.99:3006608:13.45:0
BIDU_112219C102,20.0,20:103.69,20:103.87,20:104.86,20:102.9,22:101.77,22:101.85,23.0,22:109.62,20:108.05,20:107.36,28:121.87:16213163:19.07:2,30:124.56:10078599:19.07:0,30:120.87:4022432:19.07:0,30:121.8:3466459:19.07:0,30:118.29:3622674:19.07:0,30:118.2:4727909:19.07:0,30:117.05:3794537:19.07:0,U:116.52:2482706:.0:,:115.69:2574436:U:U,30:114.84:2309793:19.07:0,30:115.65:2796382:19.07:0,30:117.99:3006608:15.81:2
BIDU_112219C103,73.0,73:103.69,73:103.87,74:104.86,74:102.9,125:101.77,129:101.85,132.0,133:109.62,98:108.05,98:107.36,98:121.87:16213163:17.75:6,96:124.56:10078599:23.45:1,96:120.87:4022432:23.45:0,96:121.8:3466459:23.45:0,96:118.29:3622674:23.45:0,96:118.2:4727909:23.45:0,96:117.05:3794537:23.45:0,96:116.52:2482706:23.45:0,96:115.69:2574436:23.45:0,96:114.84:2309793:23.45:0,96:115.65:2796382:23.45:0,96:117.99:3006608:23.45:0
BIDU_112219C104,8.0,11:103.69,11:103.87,11:104.86,11:102.9,11:101.77,42:101.85,54.0,51:109.62,51:108.05,51:107.36,47:121.87:16213163:16.95:22,37:124.56:10078599:16.95:0,37:120.87:4022432:16.95:0,37:121.8:3466459:16.95:0,37:118.29:3622674:16.95:0,37:118.2:4727909:16.95:0,37:117.05:3794537:16.95:0,37:116.52:2482706:16.95:0,:115.69:2574436:U:U,37:114.84:2309793:16.95:0,37:115.65:2796382:16.95:0,37:117.99:3006608:16.95:0
BIDU_112219C105,559.0,559:103.69,578:103.87,585:104.86,659:102.9,660:101.77,662:101.85,662.0,663:109.62,661:108.05,671:107.36,660:121.87:16213163:15.7:231,553:124.56:10078599:19.4:56,524:120.87:4022432:19.4:0,524:121.8:3466459:19.4:0,524:118.29:3622674:19.4:0,524:118.2:4727909:13.5:1,525:117.05:3794537:12.37:9,524:116.52:2482706:11.73:48,515:115.69:2574436:11.8:4,512:114.84:2309793:11.8:0,511:115.65:2796382:9.91:0,511:117.99:3006608:11.7:54
BIDU_112219C106,3.0,2:103.69,6:103.87,6:104.86,13:102.9,13:101.77,15:101.85,19.0,19:109.62,24:108.05,24:107.36,210:121.87:16213163:12.61:3,208:124.56:10078599:18.94:7,202:120.87:4022432:15.27:1,203:121.8:3466459:17.0:1,202:118.29:3622674:17.0:0,202:118.2:4727909:10.65:175,377:117.05:3794537:10.65:0,U:116.52:2482706::,377:115.69:2574436:10.65:0,377:114.84:2309793:10.05:10,382:115.65:2796382:9.55:1,U:117.99:3006608:U:U
