Symbol,20191024,20191025,20191028,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
BIDU_112219P97.5,2.0,2:103.87,2:104.86,2:102.9,2:102.2599,8:101.85,8.0,8:109.62,8:108.05,8:107.36,8:121.87:16213163:2.69:0,8:124.56:10078599:2.69:0,8:120.87:4022432:2.69:0,8:121.8:3466459:2.69:0,8:118.29:3622674:2.69:0,8:118.2:4727909:2.69:0,8:117.05:3794537:2.69:0,8:116.52:2482706:2.69:0,8:115.69:2574436:2.69:0,8:114.881:2311700:2.69:0,8:115.65:2796382:2.69:0,8:117.99:3006708:2.69:0
BIDU_112219P98,4.0,3:103.87,3:104.86,3:102.9,3:102.25,7:101.85,7.0,9:109.62,18:108.05,15:107.36,17:121.87:16213163:1.21:0,17:124.56:10078599:1.21:0,17:120.87:4022432:1.21:0,17:121.8:3466459:0.06:2,16:118.29:3622674:0.06:0,16:118.2:4727909:0.06:0,16:117.05:3794537:0.06:0,U:116.52:2482706::,37:115.69:2574436:0.03:70,86:114.881:2311700:0.03:0,86:115.65:2796382:0.03:0,86:117.99:3006708:0.03:0
BIDU_112219P98.5,11.0,29:103.87,38:104.86,65:102.9,65:102.045,65:101.85,65.0,65:109.62,66:108.05,67:107.36,68:121.87:16213163:0.63:2,67:124.56:10078599:0.63:0,U:120.87:4022432:.0:,67:121.8:3466459:0.63:0,67:118.29:3622674:0.63:0,67:118.2:4727909:0.63:0,67:117.05:3794537:0.63:0,67:116.52:2482706:0.63:0,:115.69:2574436:U:U,67:114.881:2311700:0.63:0,67:115.65:2796382:0.63:0,67:117.99:3006708:0.63:0
BIDU_112219P99,42.0,42:103.87,42:104.86,58:102.9,58:102.13,68:101.85,69.0,76:109.62,73:108.05,68:107.36,80:121.87:16213163:0.4:5,76:124.56:10078599:0.21:2,75:120.87:4022432:0.21:0,75:121.8:3466459:0.21:0,75:118.29:3622674:0.21:0,75:118.2:4727909:0.21:0,75:117.05:3794537:0.21:0,75:116.52:2482706:0.75:2,74:115.69:2574436:0.75:0,74:114.881:2311700:0.75:0,U:115.65:2796382:U:U,74:117.99:3006708:0.75:0
BIDU_112219P99.5,5.0,5:103.87,5:104.86,35:102.9,35:102.06,39:101.85,39.0,41:109.62,43:108.05,43:107.36,43:121.87:16213163:0.28:1,U:124.56:10078599::,43:120.87:4022432:0.28:0,43:121.8:3466459:0.15:1,43:118.29:3622674:0.15:0,43:118.2:4727909:0.15:0,43:117.05:3794537:0.15:0,43:116.52:2482706:0.15:0,43:115.69:2574436:0.15:0,43:114.881:2311700:0.15:0,43:115.65:2796382:0.15:0,43:117.99:3006708:0.15:0
BIDU_112219P100,244.0,244:103.87,234:104.86,237:102.9,234:102.045,250:101.85,255.0,265:109.62,267:108.05,261:107.36,283:121.87:16213163:0.11:8,284:124.56:10078599:0.05:14,277:120.87:4022432:0.07:22,297:121.8:3466459:0.07:0,297:118.29:3622674:0.07:0,297:118.2:4727909:0.07:0,297:117.05:3794537:0.07:0,297:116.52:2482706:0.06:10,302:115.69:2574436:0.06:0,302:114.881:2311700:0.06:0,297:115.65:2796382:0.05:1,297:117.99:3006708:0.05:0
BIDU_112219P101,259.0,153:103.87,152:104.86,166:102.9,186:102.22,188:101.85,194.0,194:109.62,195:108.05,195:107.36,195:121.87:16213163:0.3:2,195:124.56:10078599:0.35:1,195:120.87:4022432:0.35:0,195:121.8:3466459:0.35:0,195:118.29:3622674:0.35:0,195:118.2:4727909:0.35:0,195:117.05:3794537:0.04:70,U:116.52:2482706::,260:115.69:2574436:0.03:2,262:114.881:2311700:0.02:2,262:115.65:2796382:0.02:0,262:117.99:3006708:0.02:0
BIDU_112219P102,252.0,252:103.87,255:104.86,255:102.9,255:102.08,350:101.85,356.0,364:109.62,366:108.05,301:107.36,344:121.87:16213163:0.26:8,341:124.56:10078599:0.38:20,321:120.87:4022432:0.38:0,321:121.8:3466459:0.38:0,321:118.29:3622674:0.08:1,320:118.2:4727909:0.06:47,366:117.05:3794537:0.05:19,376:116.52:2482706:0.06:20,366:115.69:2574436:0.02:20,U:114.881:2311700:U:U,378:115.65:2796382:0.03:0,378:117.99:3006708:0.03:0
BIDU_112219P103,572.0,572:103.87,581:104.86,582:102.9,567:102.08,560:101.85,566.0,566:109.62,519:108.05,521:107.36,847:121.87:16213163:0.15:10,851:124.56:10078599:0.11:1,U:120.87:4022432::,846:121.8:3466459:0.3:0,846:118.29:3622674:0.1:11,846:118.2:4727909:0.1:0,846:117.05:3794537:0.07:4,U:116.52:2482706::,847:115.69:2574436:0.07:0,847:114.881:2311700:0.07:0,847:115.65:2796382:0.07:0,847:117.99:3006708:0.07:0
BIDU_112219P104,795.0,795:103.87,795:104.86,802:102.9,802:102.0751,805:101.85,805.0,781:109.62,794:108.05,752:107.36,739:121.87:16213163:0.17:3,739:124.56:10078599:0.17:0,739:120.87:4022432:0.17:0,739:121.8:3466459:0.17:0,739:118.29:3622674:0.17:0,739:118.2:4727909:0.17:0,739:117.05:3794537:0.17:0,739:116.52:2482706:0.07:3,739:115.69:2574436:0.03:121,687:114.881:2311700:0.03:0,687:115.65:2796382:0.03:0,687:117.99:3006708:0.03:0
