Symbol,20191024,20191025,20191028,20191029,20191030,20191031,20191101,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
BIG_122019P12.5,20.0,20:23.36,20:22.72,20:22.58,20:21.93,20:21.67,20.0,20:22.44,20:22.31,20:22.14:981067:0.01:0,20:21.57:798458:0.01:0,20:21.33:1523358:0.01:0,20:21.55:1247448:0.01:0,20:21.51:1216450:0.01:0,20:21.1:1079809:0.01:0,20:21.04:722354:0.01:0,20:20.68:974406:0.01:0,20:19.33:1827537:0.01:0,20:19.27:793725:0.01:0,20:19.61:1604594:0.01:0,[20:19.42:1072160:0.01:0
BIG_122019P15,59.0,59:23.36,59:22.72,59:22.58,59:21.93,59:21.67,59.0,59:22.44,60:22.31,60:22.14:981067:0.01:4,60:21.57:798458:0.01:0,60:21.33:1523358:0.1:12,62:21.55:1247448:0.1:0,62:21.51:1216450:0.1:0,62:21.1:1079809:0.1:0,62:21.04:722354:0.13:7,67:20.68:974406:0.1:72,116:19.33:1827537:0.17:43,157:19.27:793725:0.2:93,245:19.61:1604594:0.14:6,[250:19.42:1072160:0.15:1
BIG_122019P17.5,275.0,272:23.36,271:22.72,270:22.58,270:21.93,285:21.67,286.0,441:22.44,445:22.31,446:22.14:981067:0.3:4,446:21.57:798458:0.35:12,454:21.33:1523358:0.36:107,539:21.55:1247448:0.3:2,541:21.51:1216450:0.26:125,628:21.1:1079809:0.4:1057,1565:21.04:722354:0.34:27,1578:20.68:974406:0.44:104,1649:19.33:1827537:0.68:136,1752:19.27:793725:0.7:559,2070:19.61:1604594:0.58:77,[2092:19.42:1072160:0.65:161
BIG_122019P20,2523.0,2604:23.36,2598:22.72,2646:22.58,2662:21.93,2658:21.67,3174.0,3311:22.44,3305:22.31,3277:22.14:981067:0.8:25,3291:21.57:798458:1.01:162,3347:21.33:1523358:1.0:76,3377:21.55:1247448:0.95:55,3402:21.51:1216450:1.0:79,3454:21.1:1079809:1.1:56,3470:21.04:722354:1.05:41,3488:20.68:974406:1.15:195,3616:19.33:1827537:1.95:280,3718:19.27:793725:1.92:169,3782:19.61:1604594:1.7:39,[3806:19.42:1072160:1.75:25
BIG_122019P22.5,134.0,168:23.36,168:22.72,168:22.58,168:21.93,144:21.67,144.0,174:22.44,228:22.31,234:22.14:981067:2.0:21,254:21.57:798458:2.25:12,265:21.33:1523358:2.35:38,301:21.55:1247448:2.25:32,333:21.51:1216450:2.2:71,401:21.1:1079809:2.4:30,431:21.04:722354:2.5:254,685:20.68:974406:3.0:71,754:19.33:1827537:3.5:10,754:19.27:793725:3.73:46,725:19.61:1604594:3.84:0,[725:19.42:1072160:3.84:0
BIG_122019P25,1.0,4:23.36,6:22.72,12:22.58,12:21.93,12:21.67,23.0,23:22.44,23:22.31,23:22.14:981067:3.2:0,23:21.57:798458:3.2:0,23:21.33:1523358:3.2:0,23:21.55:1247448:3.2:0,23:21.51:1216450:3.2:0,23:21.1:1079809:3.2:0,23:21.04:722354:4.6:16,39:20.68:974406:5.0:10,34:19.33:1827537:5.0:0,34:19.27:793725:5.0:0,34:19.61:1604594:5.65:2,[35:19.42:1072160:5.65:0
BIG_122019P27.5,0.0,0:23.36,0:22.72,1:22.58,1:21.93,1:21.67,1.0,1:22.44,15:22.31,15:22.14:981067:5.5:0,15:21.57:798458:5.5:0,15:21.33:1523358:5.5:0,15:21.55:1247448:5.5:0,15:21.51:1216450:5.5:0,15:21.1:1079809:5.5:0,15:21.04:722354:5.5:0,15:20.68:974406:5.5:0,15:19.33:1827537:5.5:0,15:19.27:793725:5.5:0,15:19.61:1604594:5.5:0,[15:19.42:1072160:5.5:0
BIG_122019P30,0.0,0:23.36,0:22.72,0:22.58,0:21.94,0:21.67,0.0,0:22.44,0:22.31,0:22.14:981067:0.0:0,0:21.57:798458:0.0:0,0:21.33:1523358:0.0:0,0:21.55:1247448:0.0:0,0:21.51:1216450:0.0:0,0:21.1:1079809:0.0:0,0:21.04:722354:0.0:0,0:20.68:974406:0.0:0,0:19.33:1827537:0.0:0,0:19.27:793725:0.0:0,0:19.61:1604594:0.0:0,[0:19.42:1072160:0.0:0
BIG_122019P32.5,0.0,0:23.36,0:22.72,0:22.58,0:21.94,0:21.67,0.0,0:22.44,0:22.31,0:22.14:981067:0.0:0,0:21.57:798458:0.0:0,0:21.33:1523358:0.0:0,0:21.55:1247448:0.0:0,0:21.51:1216450:0.0:0,0:21.1:1079809:0.0:0,0:21.04:722354:0.0:0,0:20.68:974406:0.0:0,0:19.33:1827537:0.0:0,0:19.27:793725:0.0:0,0:19.61:1604594:0.0:0,[0:19.42:1072160:0.0:0
BIG_011720P12.5,U,U,U,U,U,U,U,U,U,U,U,U,U,U,8:21.1:1079809:0.13:0,8:21.04:722354:0.13:0,8:20.68:974406:0.13:0,8:19.33:1827537:0.13:0,8:19.27:793725:0.13:0,8:19.61:1604594:0.1:1,[8:19.42:1072160:0.1:0
