Symbol,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
CAMT_122019C2.5,0:10.82,0:10.82,0:10.77,0:9.86:405203:0.0:0,0:9.9:197021:0.0:0,0:9.89:195799:0.0:0,0:10.1:167685:0.0:0,0:10.25:105619:0.0:0,0:10.34:71515:0.0:0,0:10.38:107395:0.0:0,0:10.28:92466:0.0:0,0:10.26:53673:0.0:0,0:10.27:43261:0.0:0,0:10.135:81111:0.0:0,[0:10.05:72869:0.0:0
CAMT_122019C5,0:10.82,20:10.82,20:10.77,20:9.86:405203:6.0:0,20:9.9:197021:6.0:0,20:9.89:195799:6.0:0,20:10.1:167685:5.0:11,31:10.25:105619:5.0:0,31:10.34:71515:5.0:0,31:10.38:107395:5.0:0,31:10.28:92466:5.0:0,31:10.26:53673:5.0:0,31:10.27:43261:5.0:0,31:10.135:81111:5.0:0,[31:10.05:72869:5.0:0
CAMT_122019C7.5,0:10.82,0:10.82,0:10.77,0:9.86:405203:0.0:0,0:9.9:197021:0.0:0,0:9.89:195799:0.0:0,0:10.1:167685:0.0:0,0:10.25:105619:0.0:0,0:10.34:71515:0.0:0,0:10.38:107395:0.0:0,0:10.28:92466:0.0:0,0:10.26:53673:0.0:0,0:10.27:43261:0.0:0,0:10.135:81111:0.0:0,[0:10.05:72869:0.0:0
CAMT_122019C10,0:10.82,0:10.82,1:10.77,1:9.86:405203:0.65:3,2:9.9:197021:0.65:0,2:9.89:195799:0.65:0,2:10.1:167685:0.65:0,2:10.25:105619:0.65:0,2:10.34:71515:0.7:2,0:10.38:107395:0.8:1,1:10.28:92466:0.8:0,1:10.26:53673:0.8:0,1:10.27:43261:0.8:0,1:10.135:81111:0.8:0,[1:10.05:72869:0.8:0
CAMT_122019C12.5,4:10.82,4:10.82,8:10.77,66:9.86:405203:0.2:0,66:9.9:197021:0.2:0,66:9.89:195799:0.2:0,66:10.1:167685:0.05:2,68:10.25:105619:0.05:0,68:10.34:71515:0.05:0,68:10.38:107395:0.05:0,68:10.28:92466:0.05:0,68:10.26:53673:0.05:0,68:10.27:43261:0.05:0,68:10.135:81111:0.05:0,[68:10.05:72869:0.05:0
CAMT_122019C15,4:10.82,4:10.82,4:10.77,4:9.86:405203:0.15:0,4:9.9:197021:0.15:0,4:9.89:195799:0.15:0,4:10.1:167685:0.15:0,4:10.25:105619:0.15:0,4:10.34:71515:0.15:0,4:10.38:107395:0.15:0,4:10.28:92466:0.15:0,4:10.26:53673:0.15:0,4:10.27:43261:0.15:0,4:10.135:81111:0.15:0,[4:10.05:72869:0.15:0
CAMT_122019C17.5,0:10.82,0:10.82,0:10.77,0:9.86:405203:0.0:0,0:9.9:197021:0.0:0,0:9.89:195799:0.0:0,0:10.1:167685:0.0:0,0:10.25:105619:0.0:0,0:10.34:71515:0.0:0,0:10.38:107395:0.0:0,0:10.28:92466:0.0:0,0:10.26:53673:0.0:0,0:10.27:43261:0.0:0,0:10.135:81111:0.0:0,[0:10.05:72869:0.0:0
CAMT_122019C20,0:10.82,0:10.82,0:10.77,0:9.86:405203:0.0:0,0:9.9:197021:0.0:0,0:9.89:195799:0.0:0,0:10.1:167685:0.0:0,0:10.25:105619:0.0:0,0:10.34:71515:0.0:0,0:10.38:107395:0.0:0,0:10.28:92466:0.0:0,0:10.26:53673:0.0:0,0:10.27:43261:0.0:0,0:10.135:81111:0.0:0,[0:10.05:72869:0.0:0
CAMT_011720C10,U,U,U,U,U,U,U,U,U,U,0:10.28:92466:0.0:0,0:10.26:53673:0.0:0,0:10.27:43261:0.0:0,0:10.135:81111:0.0:0,[0:10.05:72869:0.0:0
CAMT_011720C12.5,U,U,U,U,U,U,U,U,U,U,0:10.28:92466:0.0:0,0:10.26:53673:0.0:0,0:10.27:43261:0.0:0,0:10.135:81111:0.0:0,[0:10.05:72869:0.0:0
CAMT_011720C15,U,U,U,U,U,U,U,U,U,U,0:10.28:92466:0.0:0,0:10.26:53673:0.0:0,0:10.27:43261:0.0:0,0:10.135:81111:0.0:0,[0:10.05:72869:0.0:0
CAMT_011720C17.5,U,U,U,U,U,U,U,U,U,U,0:10.28:92466:0.0:0,0:10.26:53673:0.0:0,0:10.27:43261:0.0:0,0:10.135:81111:0.0:0,[0:10.05:72869:0.0:0
CAMT_011720C2.5,U,U,U,U,U,U,U,U,U,U,0:10.28:92466:0.0:0,0:10.26:53673:0.0:0,0:10.27:43261:0.0:0,0:10.135:81111:0.0:0,[0:10.05:72869:0.0:0
CAMT_011720C20,U,U,U,U,U,U,U,U,U,U,0:10.28:92466:0.0:0,0:10.26:53673:0.0:0,0:10.27:43261:0.0:0,0:10.135:81111:0.0:0,[0:10.05:72869:0.0:0
CAMT_011720C5,U,U,U,U,U,U,U,U,U,U,0:10.28:92466:0.0:0,0:10.26:53673:0.0:0,0:10.27:43261:0.0:0,0:10.135:81111:0.0:0,[0:10.05:72869:0.0:0
CAMT_011720C7.5,U,U,U,U,U,U,U,U,U,U,0:10.28:92466:0.0:0,0:10.26:53673:0.0:0,0:10.27:43261:0.0:0,0:10.135:81111:0.0:0,[0:10.05:72869:0.0:0
