Symbol,20191028,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
CAT_112219C131,48:140.06,42:141.33,42:140.34,42:137.8,42.0,41:146.92,41:146.37,41:145.49,41:147.01:3816240:13.13:0,41:148.16:2740145:13.13:0,41:148.0:2184609:13.13:0,41:146.34:2764089:13.13:0,U:144.49:3181548::,41:143.44:2512461:13.13:0,41:145.31:2807346:13.13:0,U:143.59:2638769::,41:143.18:2075135:13.13:0,U:141.38:2335839:U:U,41:143.36:3295837:13.13:0,41:143.88:2257678:13.13:0
CAT_112219C132,98:140.06,98:141.33,96:140.34,96:137.8,96.0,95:146.92,93:146.37,93:145.49,93:147.01:3816240:15.1:3,93:148.16:2740145:16.0:1,93:148.0:2184609:16.0:0,93:146.34:2764089:16.0:0,93:144.49:3181548:16.0:0,93:143.44:2512461:16.0:0,93:145.31:2807346:13.38:1,U:143.59:2638769::,:143.18:2075135:U:U,93:141.38:2335839:13.38:0,93:143.36:3295837:13.38:0,93:143.88:2257678:13.38:0
CAT_112219C133,22:140.06,23:141.33,26:140.34,26:137.8,26.0,26:146.92,26:146.37,26:145.49,26:147.01:3816240:14.42:5,22:148.16:2740145:13.77:1,22:148.0:2184609:14.91:2,23:146.34:2764089:14.91:0,23:144.49:3181548:14.91:0,23:143.44:2512461:14.91:0,23:145.31:2807346:12.27:13,U:143.59:2638769::,28:143.18:2075135:10.4:2,27:141.38:2335839:10.4:0,27:143.36:3295837:10.15:2,25:143.88:2257678:10.51:10
CAT_112219C134,7:140.06,12:141.33,12:140.34,14:137.8,14.0,14:146.92,14:146.37,14:145.49,14:147.01:3816240:11.7:0,14:148.16:2740145:11.7:0,14:148.0:2184609:11.7:0,14:146.34:2764089:11.7:0,14:144.49:3181548:11.7:0,14:143.44:2512461:10.55:10,24:145.31:2807346:11.62:2,23:143.59:2638769:10.04:2,23:143.18:2075135:10.04:0,23:141.38:2335839:10.04:0,23:143.36:3295837:9.02:12,[11:143.88:2257678:9.02:0
CAT_112219C135,112:140.06,133:141.33,133:140.34,133:137.8,123.0,123:146.92,106:146.37,104:145.49,104:147.01:3816240:13.82:2,106:148.16:2740145:13.0:65,169:148.0:2184609:12.94:15,169:146.34:2764089:12.94:0,169:144.49:3181548:12.94:0,169:143.44:2512461:10.23:2,171:145.31:2807346:10.36:1,170:143.59:2638769:8.41:3,170:143.18:2075135:8.41:0,170:141.38:2335839:6.15:3,171:143.36:3295837:6.15:0,[171:143.88:2257678:8.67:68
CAT_112219C136,120:140.06,130:141.33,130:140.34,130:137.8,130.0,130:146.92,130:146.37,130:145.49,130:147.01:3816240:11.81:1,131:148.16:2740145:11.81:0,131:148.0:2184609:11.81:0,131:146.34:2764089:10.38:1,130:144.49:3181548:10.38:0,130:143.44:2512461:10.38:0,130:145.31:2807346:9.17:1,130:143.59:2638769:7.42:3,127:143.18:2075135:7.42:0,127:141.38:2335839:4.77:2,127:143.36:3295837:6.95:1,[126:143.88:2257678:7.75:3
CAT_112219C137,157:140.06,165:141.33,166:140.34,166:137.8,171.0,171:146.92,171:146.37,171:145.49,171:147.01:3816240:11.1:15,185:148.16:2740145:11.2:2,186:148.0:2184609:11.05:1,187:146.34:2764089:11.05:0,U:144.49:3181548::,187:143.44:2512461:6.96:37,207:145.31:2807346:8.3:13,195:143.59:2638769:6.6:25,176:143.18:2075135:7.6:2,176:141.38:2335839:7.6:0,176:143.36:3295837:7.6:0,[176:143.88:2257678:7.25:8
CAT_112219C138,47:140.06,53:141.33,51:140.34,51:137.8,51.0,60:146.92,49:146.37,49:145.49,49:147.01:3816240:9.57:2,51:148.16:2740145:9.84:1,52:148.0:2184609:9.84:0,52:146.34:2764089:9.84:0,52:144.49:3181548:7.1:5,57:143.44:2512461:6.08:43,96:145.31:2807346:6.08:0,96:143.59:2638769:5.64:5,91:143.18:2075135:5.4:13,86:141.38:2335839:3.1:16,85:143.36:3295837:4.06:47,[64:143.88:2257678:5.98:4
CAT_112219C139,49:140.06,74:141.33,88:140.34,97:137.8,94.0,94:146.92,95:146.37,100:145.49,109:147.01:3816240:9.85:6,106:148.16:2740145:9.85:0,106:148.0:2184609:9.22:1,106:146.34:2764089:9.22:0,106:144.49:3181548:6.95:2,104:143.44:2512461:5.15:4,105:145.31:2807346:6.31:2,105:143.59:2638769:4.77:3,104:143.18:2075135:4.77:0,104:141.38:2335839:2.35:100,108:143.36:3295837:4.7:9,[109:143.88:2257678:4.51:12
CAT_112219C140,411:140.06,425:141.33,457:140.34,457:137.8,464.0,462:146.92,463:146.37,460:145.49,460:147.01:3816240:8.59:14,463:148.16:2740145:8.58:96,554:148.0:2184609:8.2:3,552:146.34:2764089:6.7:40,566:144.49:3181548:5.21:29,574:143.44:2512461:4.55:15,579:145.31:2807346:5.42:31,583:143.59:2638769:3.85:294,601:143.18:2075135:3.65:213,598:141.38:2335839:2.1:136,586:143.36:3295837:3.25:65,[538:143.88:2257678:3.85:30
CAT_112219C141,2:140.06,57:141.33,59:140.34,69:137.8,79.0,76:146.92,76:146.37,69:145.49,68:147.01:3816240:7.7:15,83:148.16:2740145:7.45:18,78:148.0:2184609:7.45:0,78:146.34:2764089:7.45:0,78:144.49:3181548:4.3:7,71:143.44:2512461:3.7:2,72:145.31:2807346:4.55:36,98:143.59:2638769:3.05:31,107:143.18:2075135:2.78:43,87:141.38:2335839:1.35:198,110:143.36:3295837:2.95:34,[117:143.88:2257678:2.72:33
