Symbol,20191028,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
CAT_112219P131,137:140.06,219:141.33,220:140.34,219:137.8,219.0,218:146.92,216:146.37,216:145.49,214:147.01:3816240:0.15:2,214:148.16:2740145:0.13:10,209:148.0:2184609:0.13:0,209:146.34:2764089:0.13:0,209:144.49:3181548:0.13:0,209:143.44:2512461:0.13:0,209:145.31:2807346:0.03:30,239:143.59:2638769:0.03:0,:143.18:2075135:U:U,239:141.37:2347777:0.02:9,U:143.36:3295837:U:U,235:143.88:2257678:0.02:0
CAT_112219P132,41:140.06,64:141.33,78:140.34,80:137.8,69.0,U:146.92,69:146.37,69:145.49,69:147.01:3816240:0.16:3,69:148.16:2740145:0.16:0,69:148.0:2184609:0.16:0,69:146.34:2764089:0.09:13,74:144.49:3181548:0.09:30,74:143.44:2512461:0.11:3,77:145.31:2807346:0.04:27,93:143.59:2638769:0.09:19,112:143.18:2075135:0.09:0,112:141.37:2347777:0.03:23,122:143.36:3295837:0.01:8,122:143.88:2257678:0.01:0
CAT_112219P133,42:140.06,53:141.33,52:140.34,52:137.8,51.0,51:146.92,55:146.37,55:145.49,55:147.01:3816240:0.39:0,55:148.16:2740145:0.39:0,55:148.0:2184609:0.12:5,53:146.34:2764089:0.1:18,63:144.49:3181548:0.14:1,63:143.44:2512461:0.16:42,90:145.31:2807346:0.04:17,104:143.59:2638769:0.11:19,114:143.18:2075135:0.03:3,117:141.37:2347777:0.07:8,125:143.36:3295837:0.07:0,125:143.88:2257678:0.01:2
CAT_112219P134,136:140.06,149:141.33,147:140.34,148:137.8,153.0,152:146.92,156:146.37,148:145.49,147:147.01:3816240:0.35:0,147:148.16:2740145:0.18:4,148:148.0:2184609:0.16:9,149:146.34:2764089:0.11:22,151:144.49:3181548:0.15:2,152:143.44:2512461:0.15:0,152:145.31:2807346:0.04:1,152:143.59:2638769:0.05:8,146:143.18:2075135:0.02:1,145:141.37:2347777:0.04:287,381:143.36:3295837:0.02:3,[378:143.88:2257678:0.01:2
CAT_112219P135,47:140.06,59:141.33,66:140.34,72:137.8,98.0,111:146.92,113:146.37,130:145.49,131:147.01:3816240:0.24:40,155:148.16:2740145:0.21:4,156:148.0:2184609:0.15:11,157:146.34:2764089:0.14:34,185:144.49:3181548:0.16:3,187:143.44:2512461:0.2:4,189:145.31:2807346:0.2:0,U:143.59:2638769::,194:143.18:2075135:0.04:66,185:141.37:2347777:0.09:2376,2248:143.36:3295837:0.01:4,[2244:143.88:2257678:0.01:4
CAT_112219P136,17:140.06,18:141.33,24:140.34,24:137.8,23.0,25:146.92,25:146.37,68:145.49,87:147.01:3816240:0.33:13,85:148.16:2740145:0.32:3,88:148.0:2184609:0.32:0,88:146.34:2764089:0.17:5,89:144.49:3181548:0.24:31,100:143.44:2512461:0.24:5,100:145.31:2807346:0.08:33,110:143.59:2638769:0.08:38,:143.18:2075135:U:U,154:141.37:2347777:0.1:532,351:143.36:3295837:0.04:23,[336:143.88:2257678:0.01:32
CAT_112219P137,9:140.06,32:141.33,35:140.34,40:137.8,64.0,71:146.92,55:146.37,68:145.49,56:147.01:3816240:0.38:10,50:148.16:2740145:0.32:36,56:148.0:2184609:0.22:23,72:146.34:2764089:0.23:18,81:144.49:3181548:0.32:51,103:143.44:2512461:0.33:15,105:145.31:2807346:0.09:23,123:143.59:2638769:0.11:75,:143.18:2075135:.2:U,186:141.37:2347777:0.16:249,230:143.36:3295837:0.03:80,[261:143.88:2257678:0.01:2
CAT_112219P138,0:140.06,34:141.33,80:140.34,89:137.8,119.0,119:146.92,116:146.37,196:145.49,196:147.01:3816240:0.38:2,196:148.16:2740145:0.42:50,150:148.0:2184609:0.28:42,190:146.34:2764089:0.27:3,191:144.49:3181548:0.4:11,201:143.44:2512461:0.43:115,273:145.31:2807346:0.11:81,301:143.59:2638769:0.18:167,379:143.18:2075135:0.15:49,379:141.37:2347777:0.26:518,450:143.36:3295837:0.03:34,[455:143.88:2257678:0.01:3
CAT_112219P139,35:140.06,65:141.33,76:140.34,77:137.8,73.0,78:146.92,81:146.37,180:145.49,197:147.01:3816240:0.55:10,201:148.16:2740145:0.49:3,202:148.0:2184609:0.33:26,210:146.34:2764089:0.36:68,248:144.49:3181548:0.49:37,268:143.44:2512461:0.54:98,281:145.31:2807346:0.18:61,U:143.59:2638769::,301:143.18:2075135:0.24:183,368:141.37:2347777:0.4:363,477:143.36:3295837:0.07:298,[424:143.88:2257678:0.02:23
CAT_112219P140,7:140.06,30:141.33,44:140.34,134:137.8,129.0,90:146.92,95:146.37,106:145.49,127:147.01:3816240:0.63:14,136:148.16:2740145:0.51:66,150:148.0:2184609:0.4:45,157:146.34:2764089:0.48:65,192:144.49:3181548:0.63:92,239:143.44:2512461:0.73:372,334:145.31:2807346:0.24:444,330:143.59:2638769:0.33:437,457:143.18:2075135:0.36:543,831:141.37:2347777:0.65:3007,1919:143.36:3295837:0.1:1386,[2012:143.88:2257678:0.01:136
