Symbol,20191028,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
CBOE_112219C104,0:113.220001,0:113.839996,0:116.639999,0:115.150002,0.0,0:113.519997,0:115.260002,0:114.449997,0:115.400002:778549:0.0:0,0:114.879997:451710:0.0:0,0:115.099998:411856:0.0:0,0:115.879997:428002:0.0:0,0:117.400002:476784:0.0:0,0:117.519997:548072:0.0:0,0:119.489998:715330:0.0:0,U:120.470001:716467::,0:122.5:714010:0.0:0,0:122.769997:451590:0.0:0,0:123.150002:680344:0.0:0,0:123.769997:766360:0.0:0
CBOE_112219C105,0:113.220001,0:113.839996,0:116.639999,0:115.150002,0.0,0:113.519997,0:115.260002,0:114.449997,0:115.400002:778549:0.0:0,0:114.879997:451710:0.0:0,0:115.099998:411856:0.0:0,0:115.879997:428002:0.0:0,0:117.400002:476784:0.0:0,0:117.519997:548072:0.0:0,0:119.489998:715330:0.0:0,U:120.470001:716467::,0:122.5:714010:0.0:0,U:122.769997:451590:U:U,0:123.150002:680344:0.0:0,0:123.769997:766360:0.0:0
CBOE_112219C106,0:113.220001,0:113.839996,0:116.639999,0:115.150002,0.0,0:113.519997,0:115.260002,0:114.449997,0:115.400002:778549:0.0:0,0:114.879997:451710:0.0:0,0:115.099998:411856:0.0:0,0:115.879997:428002:0.0:0,0:117.400002:476784:0.0:0,0:117.519997:548072:0.0:0,0:119.489998:715330:0.0:0,U:120.470001:716467::,0:122.5:714010:0.0:0,0:122.769997:451590:0.0:0,0:123.150002:680344:0.0:0,0:123.769997:766360:0.0:0
CBOE_112219C107,0:113.220001,0:113.839996,0:116.639999,0:115.150002,0.0,0:113.519997,0:115.260002,0:114.449997,0:115.400002:778549:0.0:0,0:114.879997:451710:0.0:0,0:115.099998:411856:0.0:0,0:115.879997:428002:0.0:0,0:117.400002:476784:0.0:0,0:117.519997:548072:0.0:0,0:119.489998:715330:0.0:0,U:120.470001:716467::,0:122.5:714010:0.0:0,0:122.769997:451590:0.0:0,0:123.150002:680344:0.0:0,0:123.769997:766360:0.0:0
CBOE_112219C108,0:113.220001,0:113.839996,0:116.639999,0:115.150002,0.0,0:113.519997,0:115.260002,0:114.449997,0:115.400002:778549:0.0:0,0:114.879997:451710:0.0:0,0:115.099998:411856:0.0:0,0:115.879997:428002:0.0:0,0:117.400002:476784:0.0:0,0:117.519997:548072:0.0:0,0:119.489998:715330:0.0:0,U:120.470001:716467::,0:122.5:714010:0.0:0,0:122.769997:451590:0.0:0,0:123.150002:680344:0.0:0,0:123.769997:766360:0.0:0
CBOE_112219C109,0:113.220001,0:113.839996,0:116.639999,0:115.150002,0.0,0:113.519997,0:115.260002,0:114.449997,0:115.400002:778549:0.0:0,0:114.879997:451710:0.0:0,0:115.099998:411856:0.0:0,0:115.879997:428002:0.0:0,0:117.400002:476784:0.0:0,0:117.519997:548072:0.0:0,0:119.489998:715330:0.0:0,U:120.470001:716467::,0:122.5:714010:0.0:0,0:122.769997:451590:0.0:0,0:123.150002:680344:0.0:0,0:123.769997:766360:0.0:0
CBOE_112219C110,0:113.220001,0:113.839996,0:116.639999,0:115.150002,0.0,0:113.519997,0:115.260002,0:114.449997,0:115.400002:778549:0.0:0,0:114.879997:451710:0.0:0,0:115.099998:411856:0.0:0,0:115.879997:428002:0.0:0,0:117.400002:476784:0.0:0,0:117.519997:548072:0.0:0,0:119.489998:715330:0.0:0,U:120.470001:716467::,0:122.5:714010:0.0:0,U:122.769997:451590:U:U,0:123.150002:680344:0.0:0,0:123.769997:766360:0.0:0
CBOE_112219C111,0:113.220001,0:113.839996,0:116.639999,0:115.150002,0.0,0:113.519997,0:115.260002,0:114.449997,0:115.400002:778549:0.0:0,0:114.879997:451710:0.0:0,0:115.099998:411856:0.0:0,0:115.879997:428002:0.0:0,0:117.400002:476784:0.0:0,0:117.519997:548072:0.0:0,0:119.489998:715330:0.0:0,0:120.470001:716467:0.0:0,0:122.5:714010:0.0:0,U:122.769997:451590:U:U,0:123.150002:680344:0.0:0,0:123.769997:766360:0.0:0
CBOE_112219C112,0:113.220001,0:113.839996,0:116.639999,0:115.150002,0.0,0:113.519997,0:115.260002,0:114.449997,0:115.400002:778549:0.0:0,0:114.879997:451710:0.0:0,0:115.099998:411856:0.0:0,0:115.879997:428002:0.0:0,0:117.400002:476784:0.0:0,0:117.519997:548072:0.0:0,0:119.489998:715330:0.0:0,0:120.470001:716467:0.0:0,0:122.5:714010:0.0:0,U:122.769997:451590:U:U,0:123.150002:680344:0.0:0,0:123.769997:766360:0.0:0
CBOE_112219C113,2:113.220001,2:113.839996,2:116.639999,2:115.150002,2.0,2:113.519997,25:115.260002,25:114.449997,25:115.400002:778549:3.0:0,25:114.879997:451710:3.0:0,25:115.099998:411856:3.4:20,25:115.879997:428002:3.4:0,25:117.400002:476784:3.4:0,25:117.519997:548072:3.4:0,25:119.489998:715330:3.4:0,25:120.470001:716467:3.4:0,25:122.5:714010:3.4:0,25:122.769997:451590:3.4:0,25:123.150002:680344:3.4:0,25:123.769997:766360:10.45:2
CBOE_112219C114,16:113.220001,46:113.839996,47:116.639999,37:115.150002,37.0,37:113.519997,37:115.260002,37:114.449997,37:115.400002:778549:3.9:0,37:114.879997:451710:3.9:0,37:115.099998:411856:3.9:0,37:115.879997:428002:3.9:0,37:117.400002:476784:3.9:0,37:117.519997:548072:3.9:0,37:119.489998:715330:4.76:59,59:120.470001:716467:4.76:0,59:122.5:714010:4.76:0,59:122.769997:451590:4.76:0,59:123.150002:680344:4.76:0,[59:123.769997:766360:4.76:0
CBOE_112219C115,0:113.220001,0:113.839996,0:116.639999,0:115.150002,2.0,2:113.519997,5:115.260002,5:114.449997,5:115.400002:778549:2.0:0,5:114.879997:451710:1.66:80,85:115.099998:411856:1.66:0,85:115.879997:428002:1.6:5,90:117.400002:476784:3.1:70,125:117.519997:548072:3.0:15,115:119.489998:715330:4.65:70,80:120.470001:716467:4.65:0,80:122.5:714010:4.65:0,80:122.769997:451590:4.65:0,80:123.150002:680344:4.65:0,[80:123.769997:766360:8.52:3
CBOE_112219C116,3:113.220001,3:113.839996,3:116.639999,3:115.150002,4.0,4:113.519997,9:115.260002,8:114.449997,8:115.400002:778549:1.6:40,47:114.879997:451710:1.2:5,52:115.099998:411856:1.6:10,57:115.879997:428002:1.45:16,73:117.400002:476784:1.45:0,73:117.519997:548072:1.45:0,73:119.489998:715330:3.2:23,93:120.470001:716467:3.2:0,93:122.5:714010:6.06:20,74:122.769997:451590:6.06:0,74:123.150002:680344:7.6:1,[73:123.769997:766360:8.0:30
CBOE_112219C117,4:113.220001,6:113.839996,6:116.639999,10:115.150002,10.0,80:113.519997,81:115.260002,81:114.449997,81:115.400002:778549:0.8:0,81:114.879997:451710:0.82:70,81:115.099998:411856:1.05:46,104:115.879997:428002:1.05:0,104:117.400002:476784:1.7:3,105:117.519997:548072:1.4:22,115:119.489998:715330:2.9:31,140:120.470001:716467:2.9:0,140:122.5:714010:5.0:1,140:122.769997:451590:5.0:0,140:123.150002:680344:6.64:23,[117:123.769997:766360:6.55:2
CBOE_112219C118,0:113.220001,2:113.839996,2:116.639999,2:115.150002,2.0,2:113.519997,2:115.260002,2:114.449997,2:115.400002:778549:1.1:0,2:114.879997:451710:1.1:0,2:115.099998:411856:0.6:12,13:115.879997:428002:0.6:0,13:117.400002:476784:1.08:11,15:117.519997:548072:0.95:21,34:119.489998:715330:2.0:1,33:120.470001:716467:2.0:0,33:122.5:714010:4.0:5,33:122.769997:451590:4.7:5,33:123.150002:680344:5.1:10,[33:123.769997:766360:5.1:0
CBOE_112219C119,27:113.220001,27:113.839996,27:116.639999,27:115.150002,27.0,27:113.519997,27:115.260002,27:114.449997,27:115.400002:778549:1.75:0,27:114.879997:451710:1.75:0,27:115.099998:411856:1.75:0,27:115.879997:428002:0.3:1,28:117.400002:476784:0.55:2,28:117.519997:548072:0.55:0,28:119.489998:715330:0.95:1,29:120.470001:716467:1.85:7,36:122.5:714010:3.25:1,36:122.769997:451590:3.25:0,36:123.150002:680344:3.25:0,[36:123.769997:766360:5.29:1
CBOE_112219C120,43:113.220001,43:113.839996,43:116.639999,53:115.150002,53.0,53:113.519997,53:115.260002,53:114.449997,53:115.400002:778549:0.25:0,53:114.879997:451710:0.25:0,53:115.099998:411856:0.25:0,53:115.879997:428002:0.25:0,53:117.400002:476784:0.4:16,53:117.519997:548072:0.35:2,53:119.489998:715330:0.73:27,67:120.470001:716467:1.0:3,67:122.5:714010:2.85:59,126:122.769997:451590:2.88:1,126:123.150002:680344:3.42:5,[125:123.769997:766360:4.2:21
CBOE_112219C121,8:113.220001,8:113.839996,9:116.639999,9:115.150002,9.0,9:113.519997,9:115.260002,9:114.449997,9:115.400002:778549:0.63:0,9:114.879997:451710:0.63:0,9:115.099998:411856:0.63:0,9:115.879997:428002:0.63:0,9:117.400002:476784:0.63:0,9:117.519997:548072:0.63:0,9:119.489998:715330:0.45:1,10:120.470001:716467:0.8:14,23:122.5:714010:1.85:12,24:122.769997:451590:1.85:0,24:123.150002:680344:1.85:0,[24:123.769997:766360:2.9:5
CBOE_112219C122,22:113.220001,22:113.839996,22:116.639999,22:115.150002,22.0,22:113.519997,22:115.260002,22:114.449997,22:115.400002:778549:1.9:0,22:114.879997:451710:1.9:0,22:115.099998:411856:1.9:0,22:115.879997:428002:1.9:0,22:117.400002:476784:1.9:0,22:117.519997:548072:0.05:1,22:119.489998:715330:0.05:0,22:120.470001:716467:0.32:18,40:122.5:714010:0.95:27,46:122.769997:451590:0.95:8,52:123.150002:680344:1.65:2,[50:123.769997:766360:1.8:44
CBOE_112219C123,0:113.220001,0:113.839996,0:116.639999,0:115.150002,0.0,0:113.519997,0:115.260002,0:114.449997,0:115.400002:778549:0.0:0,0:114.879997:451710:0.0:0,0:115.099998:411856:0.0:0,0:115.879997:428002:0.0:0,0:117.400002:476784:0.0:0,0:117.519997:548072:0.0:0,0:119.489998:715330:0.1:38,38:120.470001:716467:0.16:2,40:122.5:714010:0.65:10,40:122.769997:451590:0.7:5,41:123.150002:680344:0.9:6,[41:123.769997:766360:1.1:22
