Symbol,20191028,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
CBOE_112219P104,0:113.220001,0:113.839996,0:116.639999,0:115.150002,0.0,0:113.519997,0:115.260002,0:114.449997,0:115.400002:778549:0.0:0,0:114.879997:451710:0.0:0,0:115.099998:411856:0.0:0,0:115.879997:428002:0.0:0,0:117.400002:476784:0.0:0,0:117.519997:548072:0.0:0,0:119.489998:715330:0.0:0,0:120.470001:716467:0.0:0,0:122.5:714010:0.0:0,0:122.830002:452725:0.0:0,0:123.150002:680344:0.0:0,0:123.769997:766360:0.0:0
CBOE_112219P105,0:113.220001,0:113.839996,0:116.639999,0:115.150002,0.0,0:113.519997,0:115.260002,0:114.449997,0:115.400002:778549:0.0:0,0:114.879997:451710:0.0:0,0:115.099998:411856:0.0:0,0:115.879997:428002:0.0:0,0:117.400002:476784:0.0:0,0:117.519997:548072:0.0:0,0:119.489998:715330:0.0:0,0:120.470001:716467:0.0:0,:122.5:714010:.2:U,0:122.830002:452725:0.0:0,U:123.150002:680344:U:U,0:123.769997:766360:0.0:0
CBOE_112219P106,0:113.220001,0:113.839996,0:116.639999,0:115.150002,0.0,0:113.519997,0:115.260002,0:114.449997,0:115.400002:778549:0.0:0,0:114.879997:451710:0.0:0,0:115.099998:411856:0.0:0,0:115.879997:428002:0.0:0,0:117.400002:476784:0.0:0,0:117.519997:548072:0.0:0,0:119.489998:715330:0.0:0,0:120.470001:716467:0.0:0,0:122.5:714010:0.0:0,0:122.830002:452725:0.0:0,U:123.150002:680344:U:U,0:123.769997:766360:0.0:0
CBOE_112219P107,0:113.220001,1:113.839996,1:116.639999,1:115.150002,1.0,1:113.519997,1:115.260002,1:114.449997,1:115.400002:778549:1.25:0,1:114.879997:451710:1.25:0,1:115.099998:411856:1.25:0,1:115.879997:428002:1.25:0,1:117.400002:476784:1.25:0,1:117.519997:548072:1.25:0,1:119.489998:715330:1.25:0,1:120.470001:716467:1.25:0,1:122.5:714010:1.25:0,1:122.830002:452725:1.25:0,U:123.150002:680344:.:U,1:123.769997:766360:1.25:0
CBOE_112219P108,0:113.220001,0:113.839996,1:116.639999,1:115.150002,1.0,1:113.519997,1:115.260002,1:114.449997,1:115.400002:778549:1.0:0,1:114.879997:451710:1.0:0,1:115.099998:411856:1.0:0,1:115.879997:428002:1.0:0,1:117.400002:476784:1.0:0,1:117.519997:548072:1.0:0,1:119.489998:715330:1.0:0,1:120.470001:716467:1.0:0,1:122.5:714010:1.0:0,1:122.830002:452725:1.0:0,1:123.150002:680344:1.0:0,1:123.769997:766360:1.0:0
CBOE_112219P109,0:113.220001,1:113.839996,1:116.639999,1:115.150002,1.0,4:113.519997,4:115.260002,4:114.449997,4:115.400002:778549:0.9:0,4:114.879997:451710:0.9:0,4:115.099998:411856:0.9:0,4:115.879997:428002:0.9:0,4:117.400002:476784:0.9:0,4:117.519997:548072:0.9:0,4:119.489998:715330:0.05:3,4:120.470001:716467:0.05:0,4:122.5:714010:0.05:0,4:122.830002:452725:0.05:0,4:123.150002:680344:0.05:0,4:123.769997:766360:0.05:0
CBOE_112219P110,0:113.220001,0:113.839996,0:116.639999,0:115.150002,1.0,6:113.519997,6:115.260002,6:114.449997,6:115.400002:778549:1.06:0,6:114.879997:451710:1.06:0,6:115.099998:411856:1.06:0,6:115.879997:428002:0.3:5,5:117.400002:476784:0.3:0,5:117.519997:548072:0.3:0,5:119.489998:715330:0.3:0,5:120.470001:716467:0.3:0,:122.5:714010:U:U,5:122.830002:452725:0.3:0,U:123.150002:680344:U:U,5:123.769997:766360:0.3:0
CBOE_112219P111,0:113.220001,0:113.839996,0:116.639999,0:115.150002,13.0,13:113.519997,15:115.260002,15:114.449997,15:115.400002:778549:1.25:0,15:114.879997:451710:0.75:4,15:115.099998:411856:0.75:0,15:115.879997:428002:0.75:0,15:117.400002:476784:0.75:0,15:117.519997:548072:0.75:0,15:119.489998:715330:0.75:0,15:120.470001:716467:0.05:2,15:122.5:714010:0.05:0,15:122.830002:452725:0.05:0,15:123.150002:680344:0.05:0,15:123.769997:766360:0.05:0
CBOE_112219P112,0:113.220001,0:113.839996,0:116.639999,0:115.150002,0.0,0:113.519997,0:115.260002,0:114.449997,0:115.400002:778549:0.0:0,0:114.879997:451710:0.95:4,4:115.099998:411856:0.95:0,4:115.879997:428002:0.95:0,4:117.400002:476784:0.42:1,5:117.519997:548072:0.42:0,5:119.489998:715330:0.42:0,5:120.470001:716467:0.42:0,:122.5:714010:U:U,5:122.830002:452725:0.42:0,U:123.150002:680344:U:U,5:123.769997:766360:0.4:1
CBOE_112219P113,1:113.220001,1:113.839996,1:116.639999,1:115.150002,3.0,3:113.519997,3:115.260002,3:114.449997,3:115.400002:778549:1.65:0,3:114.879997:451710:1.65:0,3:115.099998:411856:0.65:5,5:115.879997:428002:0.65:0,5:117.400002:476784:0.5:3,8:117.519997:548072:0.3:1,8:119.489998:715330:0.3:0,8:120.470001:716467:0.01:2,8:122.5:714010:0.01:0,8:122.830002:452725:0.01:0,8:123.150002:680344:0.01:0,8:123.769997:766360:0.37:1
