Symbol,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
CCMP_122019C110,0:156.34:112672:0.0:0,0:156.31:170063:0.0:0,0:156.39:153194:0.0:0,0:156.84:109307:0.0:0,0:153.09:199423:0.0:0,0:156.01:249799:0.0:0,0:132.59:883174:0.0:0,0:135.46:469233:0.0:0,0:133.79:174908:0.0:0,0:126.95:726462:0.0:0,[0:128.42:393968:0.0:0
CCMP_122019C115,0:156.34:112672:0.0:0,0:156.31:170063:0.0:0,0:156.39:153194:0.0:0,0:156.84:109307:0.0:0,0:153.09:199423:0.0:0,0:156.01:249799:0.0:0,0:132.59:883174:0.0:0,0:135.46:469233:0.0:0,0:133.79:174908:0.0:0,0:126.95:726462:0.0:0,[0:128.42:393968:0.0:0
CCMP_122019C120,0:156.34:112672:0.0:0,0:156.31:170063:0.0:0,0:156.39:153194:0.0:0,0:156.84:109307:0.0:0,0:153.09:199423:0.0:0,0:156.01:249799:0.0:0,0:132.59:883174:16.5:1,1:135.46:469233:16.5:0,1:133.79:174908:16.5:0,1:126.95:726462:16.5:0,[1:128.42:393968:16.5:0
CCMP_122019C125,0:156.34:112672:0.0:0,0:156.31:170063:33.11:2,0:156.39:153194:33.11:0,0:156.84:109307:33.11:0,0:153.09:199423:33.11:0,0:156.01:249799:33.11:0,0:132.59:883174:15.5:1,1:135.46:469233:11.65:1,2:133.79:174908:11.87:1,1:126.95:726462:6.78:1,[1:128.42:393968:6.78:0
CCMP_122019C130,0:156.34:112672:0.0:0,0:156.31:170063:0.0:0,0:156.39:153194:0.0:0,0:156.84:109307:0.0:0,0:153.09:199423:0.0:0,0:156.01:249799:0.0:0,0:132.59:883174:7.0:17,17:135.46:469233:8.04:34,33:133.79:174908:8.04:0,33:126.95:726462:3.49:3,[34:128.42:393968:3.6:1
CCMP_122019C135,0:156.34:112672:0.0:0,0:156.31:170063:23.68:1,1:156.39:153194:23.68:0,1:156.84:109307:23.68:0,1:153.09:199423:23.68:0,1:156.01:249799:23.68:0,1:132.59:883174:4.2:21,16:135.46:469233:4.41:27,41:133.79:174908:2.6:8,33:126.95:726462:2.37:7,[30:128.42:393968:1.2:1
CCMP_122019C140,0:156.34:112672:0.0:0,0:156.31:170063:19.34:2,0:156.39:153194:19.34:0,0:156.84:109307:19.34:0,0:153.09:199423:19.34:0,0:156.01:249799:19.34:0,0:132.59:883174:2.4:25,5:135.46:469233:2.8:3,5:133.79:174908:2.8:0,5:126.95:726462:2.8:0,[5:128.42:393968:2.8:0
CCMP_122019C145,0:156.34:112672:0.0:0,0:156.31:170063:0.0:0,0:156.39:153194:0.0:0,0:156.84:109307:0.0:0,0:153.09:199423:0.0:0,0:156.01:249799:0.0:0,0:132.59:883174:1.15:97,93:135.46:469233:1.06:10,101:133.79:174908:0.85:1,102:126.95:726462:0.55:4,[103:128.42:393968:0.55:0
CCMP_122019C150,8:156.34:112672:11.23:0,8:156.31:170063:11.3:1,9:156.39:153194:11.3:0,9:156.84:109307:11.3:0,9:153.09:199423:11.3:0,9:156.01:249799:11.6:1,8:132.59:883174:0.55:40,38:135.46:469233:0.25:4,42:133.79:174908:0.65:13,41:126.95:726462:0.65:0,[41:128.42:393968:0.05:1
CCMP_122019C155,3:156.34:112672:7.55:0,3:156.31:170063:7.55:0,3:156.39:153194:7.55:0,3:156.84:109307:7.55:0,3:153.09:199423:5.19:6,6:156.01:249799:7.0:12,13:132.59:883174:0.6:13,21:135.46:469233:0.6:0,21:133.79:174908:0.6:0,21:126.95:726462:0.6:0,[21:128.42:393968:0.6:0
CCMP_122019C160,33:156.34:112672:5.87:0,33:156.31:170063:5.87:0,33:156.39:153194:5.49:8,30:156.84:109307:5.49:0,30:153.09:199423:3.51:10,32:156.01:249799:4.42:14,37:132.59:883174:0.15:32,40:135.46:469233:0.15:0,40:133.79:174908:0.33:1,40:126.95:726462:0.33:0,[40:128.42:393968:0.33:0
CCMP_122019C165,7:156.34:112672:3.8:0,7:156.31:170063:3.8:0,7:156.39:153194:3.23:3,10:156.84:109307:3.59:3,13:153.09:199423:2.42:2,13:156.01:249799:2.8:68,78:132.59:883174:0.05:5,73:135.46:469233:0.93:9,64:133.79:174908:0.93:0,64:126.95:726462:0.93:0,[64:128.42:393968:0.93:0
