Symbol,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
CCMP_122019P110,0:156.34:112672:0.0:0,0:34.43:292194:0.0:0,0:156.39:153194:0.0:0,0:156.84:109307:0.0:0,0:153.09:199423:0.0:0,0:156.01:249799:0.0:0,0:132.59:883174:0.0:0,0:135.46:469233:0.0:0,0:133.79:174908:0.0:0,0:126.95:726462:0.0:0,[0:128.42:393968:0.9:3
CCMP_122019P115,0:156.34:112672:0.0:0,0:34.43:292194:0.0:0,0:156.39:153194:0.0:0,0:156.84:109307:0.0:0,0:153.09:199423:0.0:0,0:156.01:249799:0.0:0,0:132.59:883174:0.0:0,0:135.46:469233:0.0:0,0:133.79:174908:0.0:0,0:126.95:726462:1.1:1,[1:128.42:393968:1.1:0
CCMP_122019P120,0:156.34:112672:0.0:0,0:34.43:292194:0.0:0,0:156.39:153194:0.0:0,0:156.84:109307:0.0:0,0:153.09:199423:0.0:0,0:156.01:249799:0.0:0,0:132.59:883174:1.5:24,24:135.46:469233:1.5:0,24:133.79:174908:1.5:0,24:126.95:726462:2.25:30,[54:128.42:393968:2.35:15
CCMP_122019P125,5:156.34:112672:1.21:0,5:34.43:292194:1.21:0,5:156.39:153194:1.21:0,5:156.84:109307:1.21:0,5:153.09:199423:0.74:300,305:156.01:249799:0.74:0,305:132.59:883174:2.4:19,314:135.46:469233:1.8:2,315:133.79:174908:1.59:1,314:126.95:726462:3.72:100,[304:128.42:393968:3.72:0
CCMP_122019P130,2:156.34:112672:1.2:0,2:34.43:292194:1.2:0,2:156.39:153194:1.2:0,2:156.84:109307:1.2:0,2:153.09:199423:0.95:4,6:156.01:249799:0.85:1,6:132.59:883174:3.39:15,16:135.46:469233:3.7:5,17:133.79:174908:3.5:12,18:126.95:726462:6.0:12,[11:128.42:393968:6.0:0
CCMP_122019P135,1:156.34:112672:1.71:0,1:34.43:292194:1.9:1,2:156.39:153194:1.9:0,2:156.84:109307:1.38:1,2:153.09:199423:1.38:0,2:156.01:249799:1.38:0,2:132.59:883174:6.61:6,7:135.46:469233:5.99:125,130:133.79:174908:4.49:1,129:126.95:726462:4.49:0,[129:128.42:393968:10.02:1
CCMP_122019P140,4:156.34:112672:2.2:0,4:34.43:292194:2.2:0,4:156.39:153194:2.2:0,4:156.84:109307:2.2:0,4:153.09:199423:2.2:0,4:156.01:249799:1.36:1,5:132.59:883174:9.43:6,7:135.46:469233:9.22:3,6:133.79:174908:9.22:0,6:126.95:726462:9.22:0,[6:128.42:393968:9.22:0
CCMP_122019P145,3:156.34:112672:3.74:0,3:34.43:292194:3.74:0,3:156.39:153194:3.74:0,3:156.84:109307:3.74:0,3:153.09:199423:3.71:200,203:156.01:249799:2.6:4,207:132.59:883174:12.52:1,208:135.46:469233:11.7:151,185:133.79:174908:11.7:0,185:126.95:726462:17.64:50,[185:128.42:393968:17.64:0
CCMP_122019P150,4:156.34:112672:6.9:0,4:34.43:292194:6.9:0,4:156.39:153194:3.91:4,6:156.84:109307:3.91:0,6:153.09:199423:5.29:512,505:156.01:249799:4.0:4,508:132.59:883174:18.2:239,310:135.46:469233:16.6:276,82:133.79:174908:14.4:6,78:126.95:726462:14.4:0,[78:128.42:393968:14.4:0
CCMP_122019P155,12:156.34:112672:6.55:0,12:34.43:292194:6.7:1,13:156.39:153194:6.7:0,13:156.84:109307:6.33:5,17:153.09:199423:6.33:0,17:156.01:249799:6.2:7,19:132.59:883174:20.0:15,17:135.46:469233:20.0:0,17:133.79:174908:20.4:1,17:126.95:726462:20.4:0,[17:128.42:393968:20.4:0
CCMP_122019P160,5:156.34:112672:8.95:0,5:34.43:292194:8.95:0,5:156.39:153194:8.95:0,5:156.84:109307:8.95:0,5:153.09:199423:10.5:1,5:156.01:249799:8.05:2,3:132.59:883174:20.69:5,3:135.46:469233:20.69:0,3:133.79:174908:20.69:0,3:126.95:726462:20.69:0,[3:128.42:393968:20.69:0
CCMP_122019P165,95:156.34:112672:11.3:0,95:34.43:292194:11.3:0,95:156.39:153194:11.3:0,95:156.84:109307:11.3:0,95:153.09:199423:11.5:2,93:156.01:249799:11.5:0,93:132.59:883174:31.5:98,41:135.46:469233:33.5:2,43:133.79:174908:33.5:0,41:126.95:726462:33.5:0,[41:128.42:393968:33.5:0
CCMP_122019P170,0:156.34:112672:0.0:0,0:34.43:292194:0.0:0,0:156.39:153194:0.0:0,0:156.84:109307:0.0:0,0:153.09:199423:0.0:0,0:156.01:249799:0.0:0,0:132.59:883174:0.0:0,0:135.46:469233:0.0:0,0:133.79:174908:0.0:0,0:126.95:726462:0.0:0,[0:128.42:393968:0.0:0
CCMP_122019P175,0:156.34:112672:0.0:0,0:34.43:292194:0.0:0,0:156.39:153194:0.0:0,0:156.84:109307:0.0:0,0:153.09:199423:0.0:0,0:156.01:249799:0.0:0,0:132.59:883174:0.0:0,0:135.46:469233:0.0:0,0:133.79:174908:0.0:0,0:126.95:726462:0.0:0,[0:128.42:393968:0.0:0
CCMP_122019P180,0:156.34:112672:0.0:0,0:34.43:292194:0.0:0,0:156.39:153194:0.0:0,0:156.84:109307:0.0:0,0:153.09:199423:0.0:0,0:156.01:249799:0.0:0,0:132.59:883174:0.0:0,0:135.46:469233:0.0:0,0:133.79:174908:0.0:0,0:126.95:726462:0.0:0,[0:128.42:393968:0.0:0
