Symbol,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
CELG_112219C98.5,0:106.3,0:107.17,0:108.03,0.0,0:107.8,0:107.69,0:108.24,0:109.0:5398827:0.0:0,0:109.54:5703013:0.0:0,0:109.57:2958123:0.0:0,0:110.0:4167359:0.0:0,0:110.41:3015141:0.0:0,0:110.02:3984653:0.0:0,0:110.02:4049756:0.0:0,U:132.59:883174::,0:108.13:32923343:0.0:0,0:108.09:25094002:0.0:0,U:108.24:0:U:U,U:0:0:U:U
CELG_112219C99,2:106.3,2:107.17,2:108.03,2.0,2:107.8,2:107.69,2:108.24,2:109.0:5398827:6.51:0,2:109.54:5703013:6.51:0,2:109.57:2958123:6.51:0,2:110.0:4167359:6.51:0,2:110.41:3015141:6.51:0,2:110.02:3984653:6.51:0,2:110.02:4049756:6.51:0,U:132.59:883174::,2:108.13:32923343:6.51:0,2:108.09:25094002:6.51:0,U:108.24:0:U:U,U:0:0:U:U
CELG_112219C99.5,0:106.3,0:107.17,0:108.03,0.0,0:107.8,0:107.69,0:108.24,0:109.0:5398827:0.0:0,0:109.54:5703013:0.0:0,0:109.57:2958123:0.0:0,0:110.0:4167359:0.0:0,0:110.41:3015141:0.0:0,0:110.02:3984653:0.0:0,0:110.02:4049756:0.0:0,0:132.59:883174:0.0:0,0:108.13:32923343:0.0:0,0:108.09:25094002:0.0:0,U:108.24:0:U:U,U:0:0:U:U
CELG_112219C100,2:106.3,2:107.17,2:108.03,2.0,2:107.8,2:107.69,2:108.24,5:109.0:5398827:9.07:2,5:109.54:5703013:9.07:0,5:109.57:2958123:9.07:0,5:110.0:4167359:9.07:0,5:110.41:3015141:9.07:0,5:110.02:3984653:9.07:0,5:110.02:4049756:10.1:19,U:132.59:883174::,21:108.13:32923343:10.1:0,21:108.09:25094002:10.1:0,U:108.24:0:U:U,U:0:0:U:U
CELG_112219C101,4:106.3,4:107.17,4:108.03,4.0,4:107.8,4:107.69,4:108.24,4:109.0:5398827:6.1:0,4:109.54:5703013:6.1:0,4:109.57:2958123:6.1:0,4:110.0:4167359:6.1:0,4:110.41:3015141:6.1:0,4:110.02:3984653:6.1:0,4:110.02:4049756:6.1:0,4:132.59:883174:6.1:0,4:108.13:32923343:8.0:1,4:108.09:25094002:8.0:0,U:108.24:0:U:U,U:0:0:U:U
CELG_112219C102,0:106.3,0:107.17,0:108.03,0.0,0:107.8,0:107.69,0:108.24,0:109.0:5398827:0.0:0,0:109.54:5703013:0.0:0,0:109.57:2958123:0.0:0,0:110.0:4167359:0.0:0,0:110.41:3015141:7.89:2,2:110.02:3984653:7.89:0,2:110.02:4049756:7.89:0,2:132.59:883174:7.89:0,2:108.13:32923343:7.89:0,2:108.09:25094002:7.89:0,U:108.24:0:U:U,U:0:0:U:U
CELG_112219C103,3:106.3,3:107.17,3:108.03,3.0,3:107.8,3:107.69,3:108.24,3:109.0:5398827:5.65:0,3:109.54:5703013:5.65:0,3:109.57:2958123:5.65:0,3:110.0:4167359:5.65:0,3:110.41:3015141:5.65:0,3:110.02:3984653:5.65:0,3:110.02:4049756:5.65:0,3:132.59:883174:7.0:1,3:108.13:32923343:7.0:0,3:108.09:25094002:7.0:0,U:108.24:0:U:U,U:0:0:U:U
CELG_112219C104,0:106.3,0:107.17,0:108.03,0.0,0:107.8,0:107.69,0:108.24,0:109.0:5398827:0.0:0,0:109.54:5703013:0.0:0,0:109.57:2958123:0.0:0,0:110.0:4167359:0.0:0,0:110.41:3015141:0.0:0,0:110.02:3984653:0.0:0,0:110.02:4049756:0.0:0,U:132.59:883174::,0:108.13:32923343:0.0:0,0:108.09:25094002:0.0:0,U:108.24:0:U:U,U:0:0:U:U
CELG_112219C105,18:106.3,18:107.17,18:108.03,18.0,18:107.8,18:107.69,18:108.24,18:109.0:5398827:2.97:0,18:109.54:5703013:2.97:0,18:109.57:2958123:2.97:0,18:110.0:4167359:2.97:0,18:110.41:3015141:2.97:0,18:110.02:3984653:2.97:0,18:110.02:4049756:5.09:10,28:132.59:883174:5.09:0,28:108.13:32923343:5.09:0,28:108.09:25094002:5.09:0,U:108.24:0:U:U,U:0:0:U:U
CELG_112219C106,2:106.3,2:107.17,2:108.03,2.0,0:107.8,0:107.69,0:108.24,0:109.0:5398827:3.05:0,0:109.54:5703013:3.05:0,0:109.57:2958123:3.05:0,0:110.0:4167359:3.05:0,0:110.41:3015141:3.05:0,0:110.02:3984653:3.05:0,0:110.02:4049756:4.08:2,2:132.59:883174:4.08:0,2:108.13:32923343:4.08:0,2:108.09:25094002:4.08:0,U:108.24:0:U:U,U:0:0:U:U
CELG_112219C107,0:106.3,0:107.17,3:108.03,6.0,6:107.8,6:107.69,6:108.24,6:109.0:5398827:2.6:0,6:109.54:5703013:2.6:0,6:109.57:2958123:2.83:4,6:110.0:4167359:2.83:0,6:110.41:3015141:2.83:0,6:110.02:3984653:2.83:0,6:110.02:4049756:2.83:0,6:132.59:883174:2.5:5,6:108.13:32923343:2.5:0,6:108.09:25094002:1.25:4,U:108.24:0:U:U,U:0:0:U:U
CELG_112219C108,1:106.3,1:107.17,3:108.03,3.0,3:107.8,3:107.69,11:108.24,11:109.0:5398827:1.17:0,11:109.54:5703013:2.25:3,12:109.57:2958123:2.25:0,12:110.0:4167359:2.25:0,12:110.41:3015141:0.58:2,12:110.02:3984653:0.58:0,12:110.02:4049756:0.58:0,U:132.59:883174::,8:108.13:32923343:0.84:5,9:108.09:25094002:0.74:1,U:108.24:0:U:U,U:0:0:U:U
CELG_112219C109,0:106.3,0:107.17,0:108.03,2.0,9:107.8,9:107.69,9:108.24,9:109.0:5398827:1.15:0,9:109.54:5703013:1.47:1,10:109.57:2958123:1.47:0,10:110.0:4167359:0.81:1,9:110.41:3015141:1.73:20,9:110.02:3984653:1.46:2,11:110.02:4049756:1.46:0,U:132.59:883174::,11:108.13:32923343:0.35:14,21:108.09:25094002:0.41:3,U:108.24:0:U:U,U:0:0:U:U
CELG_112219C110,0:106.3,0:107.17,0:108.03,1.0,1:107.8,1:107.69,1:108.24,1:109.0:5398827:1.1:0,1:109.54:5703013:0.91:2,2:109.57:2958123:0.8:4,5:110.0:4167359:0.99:40,41:110.41:3015141:1.27:41,44:110.02:3984653:1.0:6,49:110.02:4049756:0.78:3,U:132.59:883174::,51:108.13:32923343:0.03:1777,1820:108.09:25094002:0.05:26,U:108.24:0:U:U,U:0:0:U:U
CELG_112219C111,0:106.3,0:107.17,0:108.03,0.0,0:107.8,0:107.69,0:108.24,0:109.0:5398827:0.0:0,0:109.54:5703013:0.71:1,1:109.57:2958123:0.45:1,2:110.0:4167359:0.42:3,3:110.41:3015141:0.89:6,6:110.02:3984653:0.5:2,6:110.02:4049756:0.31:4,8:132.59:883174:0.76:1,8:108.13:32923343:0.07:105,111:108.09:25094002:0.07:0,U:108.24:0:U:U,U:0:0:U:U
CELG_112219C112,0:106.3,0:107.17,0:108.03,0.0,0:107.8,0:107.69,0:108.24,0:109.0:5398827:0.0:0,0:109.54:5703013:0.0:0,0:109.57:2958123:0.0:0,0:110.0:4167359:0.3:6,4:110.41:3015141:0.37:94,92:110.02:3984653:0.29:48,133:110.02:4049756:0.13:9,139:132.59:883174:0.1:4,142:108.13:32923343:0.03:17,156:108.09:25094002:0.03:0,U:108.24:0:U:U,U:0:0:U:U
CELG_112219C113,0:106.3,0:107.17,0:108.03,0.0,0:107.8,0:107.69,0:108.24,0:109.0:5398827:0.0:0,0:109.54:5703013:0.0:0,0:109.57:2958123:0.0:0,0:110.0:4167359:0.0:0,0:110.41:3015141:0.4:5,5:110.02:3984653:0.4:0,5:110.02:4049756:0.4:0,5:132.59:883174:0.4:0,5:108.13:32923343:0.4:0,5:108.09:25094002:0.4:0,U:108.24:0:U:U,U:0:0:U:U
CELG_112219C114,0:106.3,0:107.17,0:108.03,0.0,0:107.8,0:107.69,0:108.24,0:109.0:5398827:0.0:0,0:109.54:5703013:0.0:0,0:109.57:2958123:0.0:0,0:110.0:4167359:0.0:0,0:110.41:3015141:0.0:0,0:110.02:3984653:0.0:0,0:110.02:4049756:0.0:0,U:132.59:883174::,0:108.13:32923343:0.0:0,0:108.09:25094002:0.0:0,U:108.24:0:U:U,U:0:0:U:U
CELG_112219C115,0:106.3,0:107.17,0:108.03,1.0,1:107.8,1:107.69,1:108.24,1:109.0:5398827:0.16:0,1:109.54:5703013:0.16:0,1:109.57:2958123:0.16:0,1:110.0:4167359:0.16:0,1:110.41:3015141:0.16:0,1:110.02:3984653:0.16:0,1:110.02:4049756:0.16:0,1:132.59:883174:0.16:0,1:108.13:32923343:0.16:0,1:108.09:25094002:0.16:0,U:108.24:0:U:U,U:0:0:U:U
CELG_112219C116,0:106.3,0:107.17,0:108.03,0.0,0:107.8,0:107.69,0:108.24,0:109.0:5398827:0.0:0,0:109.54:5703013:0.0:0,0:109.57:2958123:0.0:0,0:110.0:4167359:0.0:0,0:110.41:3015141:0.0:0,0:110.02:3984653:0.0:0,0:110.02:4049756:0.0:0,U:132.59:883174::,0:108.13:32923343:0.0:0,0:108.09:25094002:0.0:0,U:108.24:0:U:U,U:0:0:U:U
CELG_112919C98.5,0:106.3,0:107.17,0:108.03,0.0,0:107.8,0:107.69,0:108.24,0:109.0:5398827:0.0:0,0:109.54:5703013:0.0:0,0:109.57:2958123:0.0:0,0:110.0:4167359:0.0:0,0:110.41:3015141:0.0:0,0:110.02:3984653:0.0:0,0:110.02:4049756:0.0:0,U:132.59:883174::,0:108.13:32923343:0.0:0,0:108.09:25094002:0.0:0,U:108.24:0:U:U,U:0:0:U:U
CELG_112919C99,3:106.3,3:107.17,3:108.03,3.0,3:107.8,3:107.69,3:108.24,3:109.0:5398827:3.58:0,3:109.54:5703013:3.58:0,3:109.57:2958123:3.58:0,3:110.0:4167359:3.58:0,3:110.41:3015141:3.58:0,3:110.02:3984653:3.58:0,3:110.02:4049756:3.58:0,U:132.59:883174::,3:108.13:32923343:3.58:0,3:108.09:25094002:3.58:0,U:108.24:0:U:U,U:0:0:U:U
CELG_112919C99.5,0:106.3,0:107.17,0:108.03,0.0,0:107.8,0:107.69,0:108.24,0:109.0:5398827:0.0:0,0:109.54:5703013:0.0:0,0:109.57:2958123:0.0:0,0:110.0:4167359:0.0:0,0:110.41:3015141:0.0:0,0:110.02:3984653:0.0:0,0:110.02:4049756:0.0:0,U:132.59:883174::,0:108.13:32923343:0.0:0,0:108.09:25094002:0.0:0,U:108.24:0:U:U,U:0:0:U:U
CELG_112919C100,12:106.3,12:107.17,12:108.03,12.0,12:107.8,12:107.69,12:108.24,12:109.0:5398827:8.8:0,12:109.54:5703013:8.8:0,12:109.57:2958123:8.8:0,12:110.0:4167359:8.8:0,12:110.41:3015141:8.8:0,12:110.02:3984653:8.8:0,12:110.02:4049756:8.8:0,12:132.59:883174:8.8:0,12:108.13:32923343:8.8:0,12:108.09:25094002:8.8:0,U:108.24:0:U:U,U:0:0:U:U
CELG_112919C101,7:106.3,7:107.17,7:108.03,7.0,7:107.8,7:107.69,7:108.24,7:109.0:5398827:3.29:0,7:109.54:5703013:3.29:0,7:109.57:2958123:3.29:0,7:110.0:4167359:3.29:0,7:110.41:3015141:3.29:0,7:110.02:3984653:3.29:0,7:110.02:4049756:3.29:0,7:132.59:883174:3.29:0,7:108.13:32923343:3.29:0,7:108.09:25094002:3.29:0,U:108.24:0:U:U,U:0:0:U:U
CELG_112919C102,1:106.3,1:107.17,1:108.03,1.0,1:107.8,1:107.69,1:108.24,1:109.0:5398827:2.55:0,1:109.54:5703013:2.55:0,1:109.57:2958123:2.55:0,1:110.0:4167359:2.55:0,1:110.41:3015141:2.55:0,1:110.02:3984653:2.55:0,1:110.02:4049756:2.55:0,1:132.59:883174:2.55:0,1:108.13:32923343:2.55:0,1:108.09:25094002:2.55:0,U:108.24:0:U:U,U:0:0:U:U
CELG_112919C103,20:106.3,20:107.17,20:108.03,20.0,20:107.8,20:107.69,20:108.24,20:109.0:5398827:1.87:0,20:109.54:5703013:1.87:0,20:109.57:2958123:1.87:0,20:110.0:4167359:1.87:0,20:110.41:3015141:1.87:0,20:110.02:3984653:1.87:0,20:110.02:4049756:1.87:0,20:132.59:883174:1.87:0,20:108.13:32923343:1.87:0,20:108.09:25094002:1.87:0,U:108.24:0:U:U,U:0:0:U:U
CELG_112919C104,2:106.3,2:107.17,2:108.03,3.0,3:107.8,3:107.69,3:108.24,3:109.0:5398827:4.79:0,3:109.54:5703013:4.79:0,3:109.57:2958123:4.79:0,3:110.0:4167359:6.55:1,3:110.41:3015141:6.55:0,3:110.02:3984653:6.55:0,3:110.02:4049756:6.55:0,U:132.59:883174:.:,3:108.13:32923343:6.55:0,3:108.09:25094002:6.55:0,U:108.24:0:U:U,U:0:0:U:U
CELG_112919C105,29:106.3,30:107.17,30:108.03,29.0,29:107.8,29:107.69,29:108.24,29:109.0:5398827:4.53:0,29:109.54:5703013:4.53:0,29:109.57:2958123:4.53:0,29:110.0:4167359:4.53:0,29:110.41:3015141:4.53:0,29:110.02:3984653:4.53:0,29:110.02:4049756:4.53:0,29:132.59:883174:4.53:0,29:108.13:32923343:3.95:2,29:108.09:25094002:3.2:1,U:108.24:0:U:U,U:0:0:U:U
