Symbol,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
CELG_112219P98.5,0:106.3,0:107.17,0:108.03,0.0,0:107.8,0:107.69,0:108.24,0:109.0:5398827:0.0:0,0:109.54:5703013:0.0:0,0:109.57:2958123:0.0:0,0:110.0:4167359:0.0:0,0:110.41:3015141:0.0:0,0:110.02:3984653:0.0:0,0:110.02:4049756:0.0:0,0:132.59:883174:0.0:0,0:108.13:32923343:0.0:0,U:108.09:25108052:U:U,U:108.24:0:U:U,U:0:0:U:U
CELG_112219P99,0:106.3,0:107.17,0:108.03,0.0,0:107.8,0:107.69,0:108.24,0:109.0:5398827:0.0:0,0:109.54:5703013:0.0:0,0:109.57:2958123:0.0:0,0:110.0:4167359:0.0:0,0:110.41:3015141:0.0:0,0:110.02:3984653:0.0:0,0:110.02:4049756:0.0:0,0:132.59:883174:0.0:0,0:108.13:32923343:0.0:0,U:108.09:25108052:U:U,U:108.24:0:U:U,U:0:0:U:U
CELG_112219P99.5,0:106.3,0:107.17,0:108.03,0.0,0:107.8,0:107.69,0:108.24,0:109.0:5398827:0.0:0,0:109.54:5703013:0.0:0,0:109.57:2958123:0.0:0,0:110.0:4167359:0.0:0,0:110.41:3015141:0.0:0,0:110.02:3984653:0.0:0,0:110.02:4049756:0.0:0,0:132.59:883174:0.0:0,0:108.13:32923343:0.0:0,0:108.09:25108052:0.0:0,U:108.24:0:U:U,U:0:0:U:U
CELG_112219P100,3:106.3,3:107.17,3:108.03,3.0,3:107.8,3:107.69,3:108.24,3:109.0:5398827:1.3:0,3:109.54:5703013:1.3:0,3:109.57:2958123:1.3:0,3:110.0:4167359:1.3:0,3:110.41:3015141:1.3:0,3:110.02:3984653:1.3:0,3:110.02:4049756:1.3:0,3:132.59:883174:1.3:0,3:108.13:32923343:1.3:0,3:108.09:25108052:1.3:0,U:108.24:0:U:U,U:0:0:U:U
CELG_112219P101,0:106.3,0:107.17,0:108.03,0.0,0:107.8,0:107.69,0:108.24,0:109.0:5398827:0.0:0,0:109.54:5703013:0.0:0,0:109.57:2958123:0.0:0,0:110.0:4167359:0.0:0,0:110.41:3015141:0.0:0,0:110.02:3984653:0.0:0,0:110.02:4049756:0.0:0,0:132.59:883174:0.0:0,0:108.13:32923343:0.0:0,0:108.09:25108052:0.0:0,U:108.24:0:U:U,U:0:0:U:U
CELG_112219P102,0:106.3,0:107.17,0:108.03,0.0,0:107.8,0:107.69,0:108.24,0:109.0:5398827:0.0:0,0:109.54:5703013:0.0:0,0:109.57:2958123:0.0:0,0:110.0:4167359:0.0:0,0:110.41:3015141:0.18:5,5:110.02:3984653:0.18:0,5:110.02:4049756:0.1:1,6:132.59:883174:0.1:0,6:108.13:32923343:0.1:0,6:108.09:25108052:0.1:0,U:108.24:0:U:U,U:0:0:U:U
CELG_112219P103,0:106.3,0:107.17,0:108.03,0.0,0:107.8,0:107.69,0:108.24,0:109.0:5398827:0.0:0,0:109.54:5703013:0.0:0,0:109.57:2958123:0.0:0,0:110.0:4167359:0.0:0,0:110.41:3015141:0.0:0,0:110.02:3984653:0.0:0,0:110.02:4049756:0.0:0,0:132.59:883174:0.0:0,0:108.13:32923343:0.0:0,0:108.09:25108052:0.0:0,U:108.24:0:U:U,U:0:0:U:U
CELG_112219P104,1:106.3,1:107.17,1:108.03,0.0,0:107.8,0:107.69,0:108.24,0:109.0:5398827:0.6:0,0:109.54:5703013:0.6:0,0:109.57:2958123:0.6:0,0:110.0:4167359:0.6:0,0:110.41:3015141:0.6:0,0:110.02:3984653:0.6:0,0:110.02:4049756:0.6:0,0:132.59:883174:0.6:0,0:108.13:32923343:0.05:15,15:108.09:25108052:0.05:0,U:108.24:0:U:U,U:0:0:U:U
CELG_112219P105,0:106.3,0:107.17,0:108.03,0.0,0:107.8,0:107.69,0:108.24,0:109.0:5398827:0.66:1,1:109.54:5703013:0.66:0,1:109.57:2958123:0.66:0,1:110.0:4167359:0.66:0,1:110.41:3015141:0.66:0,1:110.02:3984653:0.66:0,1:110.02:4049756:0.15:116,117:132.59:883174:0.15:0,117:108.13:32923343:0.09:66,182:108.09:25108052:0.1:10,U:108.24:0:U:U,U:0:0:U:U
CELG_112219P106,1:106.3,1:107.17,1:108.03,1.0,1:107.8,1:107.69,1:108.24,1:109.0:5398827:1.89:0,1:109.54:5703013:1.89:0,1:109.57:2958123:1.89:0,1:110.0:4167359:1.89:0,1:110.41:3015141:1.89:0,1:110.02:3984653:0.3:1,2:110.02:4049756:0.3:0,2:132.59:883174:0.3:0,2:108.13:32923343:0.1:49,51:108.09:25108052:0.35:1,U:108.24:0:U:U,U:0:0:U:U
CELG_112219P107,2:106.3,2:107.17,2:108.03,2.0,2:107.8,2:107.69,2:108.24,2:109.0:5398827:3.1:0,2:109.54:5703013:3.1:0,2:109.57:2958123:3.1:0,2:110.0:4167359:3.1:0,2:110.41:3015141:3.1:0,2:110.02:3984653:3.1:0,2:110.02:4049756:0.15:10,12:132.59:883174:0.15:0,12:108.13:32923343:0.29:28,29:108.09:25108052:0.25:30,U:108.24:0:U:U,U:0:0:U:U
CELG_112219P108,0:106.3,0:107.17,0:108.03,5.0,5:107.8,24:107.69,24:108.24,24:109.0:5398827:1.0:0,24:109.54:5703013:1.0:0,24:109.57:2958123:1.0:0,24:110.0:4167359:1.0:0,24:110.41:3015141:1.0:0,24:110.02:3984653:0.4:101,125:110.02:4049756:0.4:0,125:132.59:883174:0.2:318,267:108.13:32923343:0.33:103,269:108.09:25108052:0.47:270,U:108.24:0:U:U,U:0:0:U:U
CELG_112219P109,0:106.3,0:107.17,0:108.03,0.0,0:107.8,0:107.69,0:108.24,0:109.0:5398827:0.0:0,0:109.54:5703013:0.0:0,0:109.57:2958123:0.0:0,0:110.0:4167359:0.0:0,0:110.41:3015141:0.0:0,0:110.02:3984653:0.6:5,5:110.02:4049756:0.45:1,5:132.59:883174:0.45:0,5:108.13:32923343:1.0:34,38:108.09:25108052:1.0:0,U:108.24:0:U:U,U:0:0:U:U
CELG_112219P110,0:106.3,0:107.17,0:108.03,0.0,0:107.8,0:107.69,0:108.24,0:109.0:5398827:0.0:0,0:109.54:5703013:1.86:3,3:109.57:2958123:1.86:0,3:110.0:4167359:1.86:0,3:110.41:3015141:1.86:0,3:110.02:3984653:1.86:0,3:110.02:4049756:1.86:0,3:132.59:883174:0.96:29,15:108.13:32923343:1.14:2,13:108.09:25108052:2.28:1,U:108.24:0:U:U,U:0:0:U:U
CELG_112219P111,0:106.3,0:107.17,0:108.03,0.0,0:107.8,0:107.69,0:108.24,0:109.0:5398827:0.0:0,0:109.54:5703013:0.0:0,0:109.57:2958123:0.0:0,0:110.0:4167359:1.45:5,5:110.41:3015141:1.55:5,0:110.02:3984653:1.6:4,2:110.02:4049756:1.6:0,2:132.59:883174:1.6:0,2:108.13:32923343:1.6:0,2:108.09:25108052:1.6:0,U:108.24:0:U:U,U:0:0:U:U
CELG_112219P112,0:106.3,0:107.17,0:108.03,0.0,0:107.8,0:107.69,0:108.24,0:109.0:5398827:0.0:0,0:109.54:5703013:0.0:0,0:109.57:2958123:0.0:0,0:110.0:4167359:0.0:0,0:110.41:3015141:0.0:0,0:110.02:3984653:0.0:0,0:110.02:4049756:0.0:0,0:132.59:883174:0.0:0,0:108.13:32923343:0.0:0,0:108.09:25108052:0.0:0,U:108.24:0:U:U,U:0:0:U:U
CELG_112219P113,0:106.3,0:107.17,0:108.03,0.0,0:107.8,0:107.69,0:108.24,0:109.0:5398827:0.0:0,0:109.54:5703013:0.0:0,0:109.57:2958123:0.0:0,0:110.0:4167359:0.0:0,0:110.41:3015141:0.0:0,0:110.02:3984653:0.0:0,0:110.02:4049756:0.0:0,0:132.59:883174:0.0:0,0:108.13:32923343:0.0:0,0:108.09:25108052:0.0:0,U:108.24:0:U:U,U:0:0:U:U
CELG_112219P114,0:106.3,0:107.17,0:108.03,0.0,0:107.8,0:107.69,0:108.24,0:109.0:5398827:0.0:0,0:109.54:5703013:0.0:0,0:109.57:2958123:0.0:0,0:110.0:4167359:0.0:0,0:110.41:3015141:0.0:0,0:110.02:3984653:0.0:0,0:110.02:4049756:0.0:0,0:132.59:883174:0.0:0,0:108.13:32923343:0.0:0,0:108.09:25108052:0.0:0,U:108.24:0:U:U,U:0:0:U:U
CELG_112219P115,0:106.3,0:107.17,0:108.03,0.0,0:107.8,0:107.69,0:108.24,0:109.0:5398827:0.0:0,0:109.54:5703013:0.0:0,0:109.57:2958123:0.0:0,0:110.0:4167359:0.0:0,0:110.41:3015141:0.0:0,0:110.02:3984653:0.0:0,0:110.02:4049756:0.0:0,0:132.59:883174:0.0:0,0:108.13:32923343:0.0:0,0:108.09:25108052:0.0:0,U:108.24:0:U:U,U:0:0:U:U
CELG_112219P116,0:106.3,0:107.17,0:108.03,0.0,0:107.8,0:107.69,0:108.24,0:109.0:5398827:0.0:0,0:109.54:5703013:0.0:0,0:109.57:2958123:0.0:0,0:110.0:4167359:0.0:0,0:110.41:3015141:0.0:0,0:110.02:3984653:0.0:0,0:110.02:4049756:0.0:0,0:132.59:883174:0.0:0,0:108.13:32923343:0.0:0,0:108.09:25108052:0.0:0,U:108.24:0:U:U,U:0:0:U:U
CELG_112919P98.5,0:106.3,0:107.17,0:108.03,0.0,0:107.8,0:107.69,0:108.24,0:109.0:5398827:0.0:0,0:109.54:5703013:0.0:0,0:109.57:2958123:0.0:0,0:110.0:4167359:0.0:0,0:110.41:3015141:0.0:0,0:110.02:3984653:0.0:0,0:110.02:4049756:0.0:0,0:132.59:883174:0.0:0,0:108.13:32923343:0.0:0,0:108.09:25108052:0.0:0,U:108.24:0:U:U,U:0:0:U:U
CELG_112919P99,0:106.3,0:107.17,0:108.03,0.0,0:107.8,0:107.69,0:108.24,0:109.0:5398827:0.0:0,0:109.54:5703013:0.0:0,0:109.57:2958123:0.0:0,0:110.0:4167359:0.0:0,0:110.41:3015141:0.0:0,0:110.02:3984653:0.0:0,0:110.02:4049756:0.0:0,0:132.59:883174:0.0:0,0:108.13:32923343:0.0:0,U:108.09:25108052:U:U,U:108.24:0:U:U,U:0:0:U:U
CELG_112919P99.5,0:106.3,0:107.17,0:108.03,0.0,0:107.8,0:107.69,0:108.24,0:109.0:5398827:0.0:0,0:109.54:5703013:0.0:0,0:109.57:2958123:0.0:0,0:110.0:4167359:0.0:0,0:110.41:3015141:0.0:0,0:110.02:3984653:0.0:0,0:110.02:4049756:0.0:0,0:132.59:883174:0.0:0,0:108.13:32923343:0.0:0,0:108.09:25108052:0.0:0,U:108.24:0:U:U,U:0:0:U:U
CELG_112919P100,0:106.3,0:107.17,3:108.03,3.0,3:107.8,3:107.69,3:108.24,3:109.0:5398827:0.5:0,3:109.54:5703013:0.5:0,3:109.57:2958123:0.5:0,3:110.0:4167359:0.5:0,3:110.41:3015141:0.5:0,3:110.02:3984653:0.45:3,3:110.02:4049756:0.45:0,3:132.59:883174:0.45:0,3:108.13:32923343:0.45:0,3:108.09:25108052:0.45:0,U:108.24:0:U:U,U:0:0:U:U
CELG_112919P101,1:106.3,1:107.17,1:108.03,1.0,1:107.8,1:107.69,1:108.24,1:109.0:5398827:2.07:0,1:109.54:5703013:2.07:0,1:109.57:2958123:2.07:0,1:110.0:4167359:2.07:0,1:110.41:3015141:0.21:1,1:110.02:3984653:0.21:0,1:110.02:4049756:0.21:0,1:132.59:883174:0.21:0,1:108.13:32923343:0.21:0,1:108.09:25108052:0.21:0,U:108.24:0:U:U,U:0:0:U:U
CELG_112919P102,0:106.3,0:107.17,0:108.03,0.0,0:107.8,0:107.69,0:108.24,0:109.0:5398827:0.0:0,0:109.54:5703013:0.0:0,0:109.57:2958123:0.0:0,0:110.0:4167359:0.0:0,0:110.41:3015141:0.0:0,0:110.02:3984653:0.0:0,0:110.02:4049756:0.2:4,4:132.59:883174:0.03:10,14:108.13:32923343:0.03:0,14:108.09:25108052:0.03:0,U:108.24:0:U:U,U:0:0:U:U
CELG_112919P103,0:106.3,0:107.17,0:108.03,0.0,0:107.8,0:107.69,0:108.24,0:109.0:5398827:0.0:0,0:109.54:5703013:0.0:0,0:109.57:2958123:0.0:0,0:110.0:4167359:0.0:0,0:110.41:3015141:0.0:0,0:110.02:3984653:0.0:0,0:110.02:4049756:0.0:0,0:132.59:883174:0.0:0,0:108.13:32923343:0.0:0,0:108.09:25108052:0.0:0,U:108.24:0:U:U,U:0:0:U:U
CELG_112919P104,0:106.3,0:107.17,0:108.03,0.0,0:107.8,0:107.69,0:108.24,0:109.0:5398827:0.0:0,0:109.54:5703013:0.0:0,0:109.57:2958123:0.0:0,0:110.0:4167359:0.0:0,0:110.41:3015141:0.0:0,0:110.02:3984653:0.0:0,0:110.02:4049756:0.0:0,0:132.59:883174:0.0:0,0:108.13:32923343:0.0:0,0:108.09:25108052:0.35:1,U:108.24:0:U:U,U:0:0:U:U
CELG_112919P105,0:106.3,0:107.17,6:108.03,6.0,6:107.8,6:107.69,6:108.24,6:109.0:5398827:1.1:0,6:109.54:5703013:1.1:0,6:109.57:2958123:1.1:0,6:110.0:4167359:1.1:0,6:110.41:3015141:1.1:0,6:110.02:3984653:1.1:0,6:110.02:4049756:1.1:0,6:132.59:883174:1.1:0,6:108.13:32923343:1.1:0,6:108.09:25108052:1.1:0,U:108.24:0:U:U,U:0:0:U:U
CELG_112919P106,0:106.3,0:107.17,0:108.03,0.0,0:107.8,0:107.69,0:108.24,0:109.0:5398827:0.0:0,0:109.54:5703013:0.0:0,0:109.57:2958123:0.0:0,0:110.0:4167359:0.0:0,0:110.41:3015141:0.0:0,0:110.02:3984653:0.0:0,0:110.02:4049756:0.0:0,0:132.59:883174:0.0:0,0:108.13:32923343:0.0:0,0:108.09:25108052:0.54:1,U:108.24:0:U:U,U:0:0:U:U
CELG_112919P107,0:106.3,0:107.17,0:108.03,0.0,0:107.8,0:107.69,0:108.24,0:109.0:5398827:0.0:0,0:109.54:5703013:0.0:0,0:109.57:2958123:0.0:0,0:110.0:4167359:0.0:0,0:110.41:3015141:0.0:0,0:110.02:3984653:0.0:0,0:110.02:4049756:0.0:0,0:132.59:883174:0.3:13,13:108.13:32923343:0.3:0,13:108.09:25108052:0.3:0,U:108.24:0:U:U,U:0:0:U:U
CELG_112919P108,0:106.3,0:107.17,0:108.03,1.0,1:107.8,1:107.69,1:108.24,2:109.0:5398827:1.3:0,2:109.54:5703013:0.67:1,2:109.57:2958123:0.67:0,2:110.0:4167359:0.67:0,2:110.41:3015141:0.67:0,2:110.02:3984653:0.61:1,2:110.02:4049756:0.61:0,2:132.59:883174:0.61:0,2:108.13:32923343:0.61:0,2:108.09:25108052:0.97:1,U:108.24:0:U:U,U:0:0:U:U
CELG_112919P109,0:106.3,0:107.17,0:108.03,0.0,0:107.8,0:107.69,0:108.24,0:109.0:5398827:0.0:0,0:109.54:5703013:1.15:4,4:109.57:2958123:1.15:0,4:110.0:4167359:1.15:0,4:110.41:3015141:1.45:1,5:110.02:3984653:1.45:0,5:110.02:4049756:0.7:4,1:132.59:883174:0.7:0,1:108.13:32923343:0.7:0,1:108.09:25108052:1.75:1,U:108.24:0:U:U,U:0:0:U:U
CELG_112919P110,0:106.3,0:107.17,0:108.03,0.0,0:107.8,0:107.69,0:108.24,0:109.0:5398827:0.0:0,0:109.54:5703013:2.0:10,10:109.57:2958123:2.0:0,10:110.0:4167359:1.65:5,15:110.41:3015141:1.65:0,15:110.02:3984653:1.03:14,10:110.02:4049756:1.03:0,10:132.59:883174:2.42:8,16:108.13:32923343:1.99:4,13:108.09:25108052:2.19:3,U:108.24:0:U:U,U:0:0:U:U
CELG_112919P111,0:106.3,0:107.17,0:108.03,0.0,0:107.8,0:107.69,0:108.24,0:109.0:5398827:0.0:0,0:109.54:5703013:0.0:0,0:109.57:2958123:0.0:0,0:110.0:4167359:0.0:0,0:110.41:3015141:0.0:0,0:110.02:3984653:0.0:0,0:110.02:4049756:0.0:0,0:132.59:883174:1.54:1,1:108.13:32923343:1.54:0,1:108.09:25108052:1.54:0,U:108.24:0:U:U,U:0:0:U:U
CELG_112919P112,0:106.3,0:107.17,0:108.03,0.0,0:107.8,0:107.69,0:108.24,0:109.0:5398827:0.0:0,0:109.54:5703013:0.0:0,0:109.57:2958123:0.0:0,0:110.0:4167359:0.0:0,0:110.41:3015141:0.0:0,0:110.02:3984653:0.0:0,0:110.02:4049756:0.0:0,0:132.59:883174:0.0:0,0:108.13:32923343:0.0:0,0:108.09:25108052:0.0:0,U:108.24:0:U:U,U:0:0:U:U
CELG_112919P113,0:106.3,0:107.17,0:108.03,0.0,0:107.8,0:107.69,0:108.24,0:109.0:5398827:0.0:0,0:109.54:5703013:0.0:0,0:109.57:2958123:0.0:0,0:110.0:4167359:0.0:0,0:110.41:3015141:0.0:0,0:110.02:3984653:0.0:0,0:110.02:4049756:0.0:0,0:132.59:883174:0.0:0,0:108.13:32923343:0.0:0,0:108.09:25108052:0.0:0,U:108.24:0:U:U,U:0:0:U:U
CELG_112919P114,0:106.3,0:107.17,0:108.03,0.0,0:107.8,0:107.69,0:108.24,0:109.0:5398827:0.0:0,0:109.54:5703013:0.0:0,0:109.57:2958123:0.0:0,0:110.0:4167359:0.0:0,0:110.41:3015141:0.0:0,0:110.02:3984653:0.0:0,0:110.02:4049756:0.0:0,0:132.59:883174:0.0:0,0:108.13:32923343:0.0:0,0:108.09:25108052:0.0:0,U:108.24:0:U:U,U:0:0:U:U
CELG_112919P115,0:106.3,0:107.17,0:108.03,0.0,0:107.8,0:107.69,0:108.24,0:109.0:5398827:0.0:0,0:109.54:5703013:0.0:0,0:109.57:2958123:0.0:0,0:110.0:4167359:0.0:0,0:110.41:3015141:0.0:0,0:110.02:3984653:0.0:0,0:110.02:4049756:0.0:0,0:132.59:883174:0.0:0,0:108.13:32923343:0.0:0,0:108.09:25108052:0.0:0,U:108.24:0:U:U,U:0:0:U:U
CELG_112919P116,0:106.3,0:107.17,0:108.03,0.0,0:107.8,0:107.69,0:108.24,0:109.0:5398827:0.0:0,0:109.54:5703013:0.0:0,0:109.57:2958123:0.0:0,0:110.0:4167359:0.0:0,0:110.41:3015141:0.0:0,0:110.02:3984653:0.0:0,0:110.02:4049756:0.0:0,0:132.59:883174:0.0:0,0:108.13:32923343:0.0:0,0:108.09:25108052:0.0:0,U:108.24:0:U:U,U:0:0:U:U
CELG_120619P98.5,0:106.3,0:107.17,0:108.03,0.0,0:107.8,0:107.69,0:108.24,0:109.0:5398827:0.0:0,0:109.54:5703013:0.0:0,0:109.57:2958123:0.0:0,0:110.0:4167359:0.0:0,0:110.41:3015141:0.0:0,0:110.02:3984653:0.0:0,0:110.02:4049756:0.0:0,0:132.59:883174:0.0:0,0:108.13:32923343:0.0:0,0:108.09:25108052:0.0:0,U:108.24:0:U:U,U:0:0:U:U
CELG_120619P99,0:106.3,0:107.17,0:108.03,0.0,0:107.8,0:107.69,0:108.24,0:109.0:5398827:0.0:0,0:109.54:5703013:0.0:0,0:109.57:2958123:0.0:0,0:110.0:4167359:0.0:0,0:110.41:3015141:0.0:0,0:110.02:3984653:0.0:0,0:110.02:4049756:0.0:0,0:132.59:883174:0.0:0,0:108.13:32923343:0.0:0,U:108.09:25108052:U:U,U:108.24:0:U:U,U:0:0:U:U
CELG_120619P99.5,0:106.3,0:107.17,0:108.03,0.0,0:107.8,0:107.69,0:108.24,0:109.0:5398827:0.0:0,0:109.54:5703013:0.0:0,0:109.57:2958123:0.0:0,0:110.0:4167359:0.0:0,0:110.41:3015141:0.0:0,0:110.02:3984653:0.0:0,0:110.02:4049756:0.0:0,0:132.59:883174:0.0:0,0:108.13:32923343:0.0:0,0:108.09:25108052:0.0:0,U:108.24:0:U:U,U:0:0:U:U
CELG_120619P100,0:106.3,0:107.17,0:108.03,0.0,0:107.8,0:107.69,0:108.24,0:109.0:5398827:0.0:0,0:109.54:5703013:0.0:0,0:109.57:2958123:0.0:0,0:110.0:4167359:0.0:0,0:110.41:3015141:0.0:0,0:110.02:3984653:0.0:0,0:110.02:4049756:0.0:0,0:132.59:883174:0.0:0,0:108.13:32923343:0.0:0,0:108.09:25108052:0.0:0,U:108.24:0:U:U,U:0:0:U:U
CELG_120619P101,0:106.3,0:107.17,0:108.03,0.0,0:107.8,0:107.69,0:108.24,0:109.0:5398827:0.0:0,0:109.54:5703013:0.0:0,0:109.57:2958123:0.0:0,0:110.0:4167359:0.0:0,0:110.41:3015141:0.0:0,0:110.02:3984653:0.0:0,0:110.02:4049756:0.0:0,0:132.59:883174:0.0:0,0:108.13:32923343:0.0:0,0:108.09:25108052:0.0:0,U:108.24:0:U:U,U:0:0:U:U
CELG_120619P102,0:106.3,0:107.17,0:108.03,0.0,0:107.8,0:107.69,0:108.24,0:109.0:5398827:0.0:0,0:109.54:5703013:0.0:0,0:109.57:2958123:0.0:0,0:110.0:4167359:0.0:0,0:110.41:3015141:0.0:0,0:110.02:3984653:0.0:0,0:110.02:4049756:0.0:0,0:132.59:883174:0.0:0,0:108.13:32923343:0.0:0,0:108.09:25108052:0.0:0,U:108.24:0:U:U,U:0:0:U:U
CELG_120619P103,0:106.3,0:107.17,0:108.03,0.0,0:107.8,0:107.69,0:108.24,0:109.0:5398827:0.0:0,0:109.54:5703013:0.0:0,0:109.57:2958123:0.0:0,0:110.0:4167359:0.0:0,0:110.41:3015141:0.0:0,0:110.02:3984653:0.0:0,0:110.02:4049756:0.0:0,0:132.59:883174:0.0:0,0:108.13:32923343:0.0:0,0:108.09:25108052:0.0:0,U:108.24:0:U:U,U:0:0:U:U
CELG_120619P104,0:106.3,0:107.17,0:108.03,0.0,0:107.8,0:107.69,0:108.24,0:109.0:5398827:0.0:0,0:109.54:5703013:0.0:0,0:109.57:2958123:0.0:0,0:110.0:4167359:0.0:0,0:110.41:3015141:0.0:0,0:110.02:3984653:0.0:0,0:110.02:4049756:0.0:0,0:132.59:883174:0.0:0,0:108.13:32923343:0.0:0,0:108.09:25108052:0.0:0,U:108.24:0:U:U,U:0:0:U:U
CELG_120619P105,0:106.3,0:107.17,0:108.03,0.0,0:107.8,0:107.69,0:108.24,0:109.0:5398827:0.0:0,0:109.54:5703013:0.0:0,0:109.57:2958123:0.0:0,0:110.0:4167359:0.0:0,0:110.41:3015141:0.0:0,0:110.02:3984653:0.0:0,0:110.02:4049756:0.0:0,0:132.59:883174:0.0:0,0:108.13:32923343:0.67:1,1:108.09:25108052:0.67:0,U:108.24:0:U:U,U:0:0:U:U
CELG_120619P106,0:106.3,0:107.17,0:108.03,0.0,0:107.8,0:107.69,0:108.24,0:109.0:5398827:0.0:0,0:109.54:5703013:0.5:10,10:109.57:2958123:0.5:0,10:110.0:4167359:0.5:0,10:110.41:3015141:0.5:0,10:110.02:3984653:0.5:10,20:110.02:4049756:0.5:0,20:132.59:883174:0.5:0,20:108.13:32923343:0.5:0,20:108.09:25108052:0.5:0,U:108.24:0:U:U,U:0:0:U:U
CELG_120619P107,0:106.3,0:107.17,0:108.03,0.0,0:107.8,0:107.69,0:108.24,1:109.0:5398827:1.66:0,1:109.54:5703013:1.66:0,1:109.57:2958123:1.66:0,1:110.0:4167359:1.66:0,1:110.41:3015141:1.66:0,1:110.02:3984653:1.66:0,1:110.02:4049756:1.66:0,1:132.59:883174:1.66:0,1:108.13:32923343:1.66:0,1:108.09:25108052:1.66:0,U:108.24:0:U:U,U:0:0:U:U
