Symbol,20191029,20191030,20191031,20191101,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
CHKP_122019C65,0:113.11,0:112.15,0:112.41,0.0,0:111.55,0:113.39,0:113.74,0:114.59:555612:0.0:0,0:115.42:692135:0.0:0,0:115.87:501205:0.0:0,0:115.7:777149:0.0:0,0:115.82:519697:0.0:0,0:116.28:447580:0.0:0,0:116.4:564255:0.0:0,0:116.87:552899:0.0:0,0:117.31:567049:0.0:0,0:116.6809:539185:0.0:0,0:116.27:634984:0.0:0,0:0:0:0.0:0
CHKP_122019C70,0:113.11,0:112.15,0:112.41,0.0,0:111.55,0:113.39,0:113.74,0:114.59:555612:0.0:0,0:115.42:692135:0.0:0,0:115.87:501205:0.0:0,0:115.7:777149:0.0:0,0:115.82:519697:0.0:0,0:116.28:447580:0.0:0,0:116.4:564255:0.0:0,0:116.87:552899:0.0:0,0:117.31:567049:0.0:0,0:116.6809:539185:0.0:0,0:116.27:634984:0.0:0,0:0:0:0.0:0
CHKP_122019C75,0:113.11,0:112.15,0:112.41,0.0,0:111.55,0:113.39,0:113.74,0:114.59:555612:0.0:0,0:115.42:692135:0.0:0,0:115.87:501205:0.0:0,0:115.7:777149:0.0:0,0:115.82:519697:0.0:0,0:116.28:447580:0.0:0,0:116.4:564255:0.0:0,0:116.87:552899:0.0:0,0:117.31:567049:0.0:0,0:116.6809:539185:0.0:0,0:116.27:634984:0.0:0,0:0:0:0.0:0
CHKP_122019C80,0:113.11,0:112.15,0:112.41,0.0,0:111.55,0:113.39,0:113.74,0:114.59:555612:0.0:0,0:115.42:692135:0.0:0,0:115.87:501205:0.0:0,0:115.7:777149:0.0:0,0:115.82:519697:0.0:0,0:116.28:447580:0.0:0,0:116.4:564255:0.0:0,0:116.87:552899:0.0:0,0:117.31:567049:0.0:0,0:116.6809:539185:0.0:0,0:116.27:634984:0.0:0,0:0:0:0.0:0
CHKP_122019C85,0:113.11,0:112.15,0:112.41,0.0,0:111.55,0:113.39,0:113.74,0:114.59:555612:0.0:0,0:115.42:692135:0.0:0,0:115.87:501205:0.0:0,0:115.7:777149:0.0:0,0:115.82:519697:0.0:0,0:116.28:447580:0.0:0,0:116.4:564255:0.0:0,0:116.87:552899:0.0:0,0:117.31:567049:0.0:0,0:116.6809:539185:0.0:0,0:116.27:634984:0.0:0,U:0:0:U:U
CHKP_122019C90,0:113.11,0:112.15,0:112.41,0.0,0:111.55,0:113.39,0:113.74,0:114.59:555612:0.0:0,0:115.42:692135:0.0:0,0:115.87:501205:0.0:0,0:115.7:777149:0.0:0,0:115.82:519697:0.0:0,0:116.28:447580:0.0:0,0:116.4:564255:0.0:0,0:116.87:552899:0.0:0,0:117.31:567049:0.0:0,0:116.6809:539185:0.0:0,0:116.27:634984:0.0:0,0:0:0:0.0:0
CHKP_122019C95,0:113.11,0:112.15,0:112.41,0.0,0:111.55,0:113.39,0:113.74,0:114.59:555612:0.0:0,0:115.42:692135:0.0:0,0:115.87:501205:0.0:0,0:115.7:777149:0.0:0,0:115.82:519697:0.0:0,0:116.28:447580:0.0:0,0:116.4:564255:0.0:0,0:116.87:552899:0.0:0,0:117.31:567049:0.0:0,0:116.6809:539185:0.0:0,0:116.27:634984:0.0:0,0:0:0:0.0:0
CHKP_122019C100,1:113.11,1:112.15,1:112.41,2.0,2:111.55,2:113.39,2:113.74,2:114.59:555612:15.34:1,2:115.42:692135:15.34:0,2:115.87:501205:15.34:0,2:115.7:777149:15.34:0,2:115.82:519697:15.34:0,2:116.28:447580:15.34:0,2:116.4:564255:15.34:0,2:116.87:552899:15.34:0,2:117.31:567049:15.34:0,2:116.6809:539185:15.34:0,2:116.27:634984:15.34:0,2:0:0:15.34:0
CHKP_122019C105,0:113.11,0:112.15,0:112.41,0.0,0:111.55,0:113.39,0:113.74,0:114.59:555612:10.7:1,1:115.42:692135:10.7:0,1:115.87:501205:10.7:0,1:115.7:777149:10.7:0,1:115.82:519697:10.7:0,1:116.28:447580:11.0:5,6:116.4:564255:11.0:0,6:116.87:552899:12.1:1,5:117.31:567049:12.1:0,5:116.6809:539185:12.1:0,5:116.27:634984:10.8:5,U:0:0:U:U
CHKP_122019C110,271:113.11,258:112.15,258:112.41,260.0,260:111.55,260:113.39,260:113.74,259:114.59:555612:6.2:1,258:115.42:692135:6.2:0,258:115.87:501205:6.2:0,258:115.7:777149:7.1:2,260:115.82:519697:7.1:0,260:116.28:447580:7.1:0,260:116.4:564255:7.2:16,276:116.87:552899:7.4:5,280:117.31:567049:8.0:9,289:116.6809:539185:7.3:4,293:116.27:634984:7.3:0,U:0:0:U:U
