Symbol,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
CHL_122019C35,0:40.21:689057:5.41:10,10:39.7:1111339:5.41:0,10:39.2:1034190:5.41:0,10:38.9:1072360:4.1:10,20:39.13:996411:4.24:5,25:39.01:880276:4.2:16,:39.42:799457:U:U,37:39.24:837202:4.2:0,37:39.03:877131:4.0:10,[42:38.96:941458:4.0:0
CHL_122019C37.5,196:40.21:689057:3.0:6,199:39.7:1111339:2.42:52,240:39.2:1034190:2.01:150,354:38.9:1072360:2.0:1,355:39.13:996411:1.9:14,367:39.01:880276:1.85:6,:39.42:799457:U:U,265:39.24:837202:2.15:0,265:39.03:877131:2.15:0,[265:38.96:941458:2.15:0
CHL_122019C40,453:40.21:689057:1.02:111,464:39.7:1111339:0.73:37,483:39.2:1034190:0.5:17,488:38.9:1072360:0.4:226,451:39.13:996411:0.4:71,513:39.01:880276:0.35:258,:39.42:799457:U:U,809:39.24:837202:0.4:269,959:39.03:877131:0.31:224,[848:38.96:941458:0.3:131
CHL_122019C42.5,1362:40.21:689057:0.2:28,1358:39.7:1111339:0.13:43,1398:39.2:1034190:0.09:5,1403:38.9:1072360:0.08:13,1416:39.13:996411:0.08:24,1439:39.01:880276:0.05:36,:39.42:799457:U:U,1458:39.24:837202:0.08:0,1458:39.03:877131:0.08:0,[1458:38.96:941458:0.05:5
CHL_122019C45,547:40.21:689057:0.05:4,547:39.7:1111339:0.05:10,547:39.2:1034190:0.05:1,546:38.9:1072360:0.05:2,545:39.13:996411:0.05:2,545:39.01:880276:0.05:0,:39.42:799457:U:U,545:39.24:837202:0.05:1,545:39.03:877131:0.05:0,[545:38.96:941458:0.05:0
CHL_122019C47.5,222:40.21:689057:0.05:1,221:39.7:1111339:0.05:2,220:39.2:1034190:0.05:0,220:38.9:1072360:0.05:0,220:39.13:996411:0.05:0,220:39.01:880276:0.03:20,:39.42:799457:U:U,223:39.24:837202:0.03:0,223:39.03:877131:0.03:0,[223:38.96:941458:0.05:1
CHL_122019C50,516:40.21:689057:0.1:0,516:39.7:1111339:0.02:13,514:39.2:1034190:0.02:2,513:38.9:1072360:0.02:0,513:39.13:996411:0.02:0,513:39.01:880276:0.02:0,:39.42:799457:U:U,513:39.24:837202:0.02:0,513:39.03:877131:0.02:0,[513:38.96:941458:0.02:0
CHL_122019C52.5,48:40.21:689057:0.13:0,48:39.7:1111339:0.02:1,47:39.2:1034190:0.02:0,47:38.9:1072360:0.02:0,47:39.13:996411:0.02:0,47:39.01:880276:0.02:0,47:39.42:799457:0.02:0,47:39.24:837202:0.02:0,47:39.03:877131:0.02:0,[47:38.96:941458:0.02:0
CHL_122019C55,79:40.21:689057:0.02:0,79:39.7:1111339:0.02:0,79:39.2:1034190:0.02:0,79:38.9:1072360:0.02:0,79:39.13:996411:0.02:0,79:39.01:880276:0.02:0,:39.42:799457:U:U,79:39.24:837202:0.02:0,79:39.03:877131:0.02:0,[79:38.96:941458:0.02:0
CHL_122019C57.5,25:40.21:689057:0.2:0,25:39.7:1111339:0.2:0,25:39.2:1034190:0.2:0,25:38.9:1072360:0.2:0,25:39.13:996411:0.2:0,25:39.01:880276:0.2:0,U:117.31:567049:0.0:0:39.42:799457:.:U,25:39.24:837202:0.2:0,25:39.03:877131:0.2:0,[25:38.96:941458:0.2:0
CHL_122019C60,691:40.21:689057:0.05:0,691:39.7:1111339:0.05:0,691:39.2:1034190:0.05:0,691:38.9:1072360:0.05:0,691:39.13:996411:0.05:0,691:39.01:880276:0.05:0,:39.42:799457:U:U,691:39.24:837202:0.05:0,691:39.03:877131:0.05:0,[691:38.96:941458:0.05:0
CHL_011720C27.5,U,U,U,U,U,0:39.01:880276:0.0:0,:39.42:799457:U:U,0:39.24:837202:0.0:0,0:39.03:877131:0.0:0,[0:38.96:941458:0.0:0
CHL_011720C30,U,U,U,U,U,0:39.01:880276:0.0:0,:39.42:799457:U:U,0:39.24:837202:0.0:0,0:39.03:877131:0.0:0,[0:38.96:941458:0.0:0
CHL_011720C32.5,U,U,U,U,U,0:39.01:880276:0.0:0,:39.42:799457:U:U,0:39.24:837202:0.0:0,0:39.03:877131:0.0:0,[0:38.96:941458:0.0:0
CHL_011720C35,U,U,U,U,U,0:39.01:880276:0.0:0,0:39.42:799457:0.0:0,0:39.24:837202:0.0:0,0:39.03:877131:0.0:0,[0:38.96:941458:0.0:0
CHL_011720C37.5,U,U,U,U,U,0:39.01:880276:0.0:0,:39.42:799457:U:U,0:39.24:837202:0.0:0,0:39.03:877131:0.0:0,[0:38.96:941458:1.97:15
CHL_011720C40,U,U,U,U,U,0:39.01:880276:0.65:7,:39.42:799457:U:U,43:39.24:837202:0.8:0,43:39.03:877131:0.55:61,[99:38.96:941458:0.6:37
CHL_011720C42.5,U,U,U,U,U,0:39.01:880276:0.0:0,:39.42:799457:U:U,1:39.24:837202:0.17:0,1:39.03:877131:0.17:0,[1:38.96:941458:0.17:0
CHL_011720C45,U,U,U,U,U,0:39.01:880276:0.0:0,:39.42:799457:U:U,0:39.24:837202:0.0:0,0:39.03:877131:0.0:0,[0:38.96:941458:0.0:0
CHL_011720C47.5,U,U,U,U,U,0:39.01:880276:0.0:0,:39.42:799457:U:U,0:39.24:837202:0.0:0,0:39.03:877131:0.0:0,[0:38.96:941458:0.0:0
CHL_011720C50,U,U,U,U,U,0:39.01:880276:0.0:0,:39.42:799457:U:U,0:39.24:837202:0.0:0,0:39.03:877131:0.0:0,[0:38.96:941458:0.0:0
