Symbol,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
CHL_122019P35,291:40.21:689057:0.09:0,291:39.7:1111339:0.09:0,291:39.2:1034190:0.09:0,291:38.9:1072360:0.09:0,291:39.13:996411:0.09:0,291:39.01:880276:0.09:0,291:39.42:799457:0.09:0,291:39.24:837202:0.09:0,291:39.03:877131:0.09:0,[291:38.96:941458:0.09:0
CHL_122019P37.5,1150:40.21:689057:0.15:5,1150:39.7:1111339:0.15:0,1150:39.2:1034190:0.25:2,1150:38.9:1072360:0.3:54,1160:39.13:996411:0.23:40,1166:39.01:880276:0.2:3,1168:39.42:799457:0.15:40,1208:39.24:837202:0.18:10,1208:39.03:877131:0.2:9,[1208:38.96:941458:0.15:4
CHL_122019P40,1003:40.21:689057:0.6:26,1027:39.7:1111339:0.9:41,1054:39.2:1034190:1.15:56,1083:38.9:1072360:1.35:14,1072:39.13:996411:1.21:134,1166:39.01:880276:1.22:116,1119:39.42:799457:1.0:40,1159:39.24:837202:1.0:0,1159:39.03:877131:1.3:2,[1161:38.96:941458:1.25:2
CHL_122019P42.5,1427:40.21:689057:2.35:22,1424:39.7:1111339:2.35:0,1424:39.2:1034190:2.35:0,1424:38.9:1072360:2.35:0,1424:39.13:996411:3.37:2,1424:39.01:880276:3.51:5,1422:39.42:799457:3.51:0,1422:39.24:837202:3.51:0,1422:39.03:877131:3.51:0,[1418:38.96:941458:3.51:0
CHL_122019P45,380:40.21:689057:4.8:2,18:39.7:1111339:5.0:1,10:39.2:1034190:5.0:0,5:38.9:1072360:5.0:0,5:39.13:996411:5.0:0,5:39.01:880276:5.0:0,5:39.42:799457:5.5:1,5:39.24:837202:5.5:0,5:39.03:877131:5.5:0,[5:38.96:941458:5.5:0
CHL_122019P47.5,0:40.21:689057:6.05:0,0:39.7:1111339:6.05:0,0:39.2:1034190:6.05:0,0:38.9:1072360:6.05:0,0:39.13:996411:6.05:0,0:39.01:880276:6.05:0,0:39.42:799457:6.05:0,0:39.24:837202:6.05:0,0:39.03:877131:6.05:0,[0:38.96:941458:6.05:0
CHL_122019P50,0:40.21:689057:8.79:0,0:39.7:1111339:8.79:0,0:39.2:1034190:8.79:0,0:38.9:1072360:8.79:0,0:39.13:996411:8.79:0,0:39.01:880276:8.79:0,0:39.42:799457:8.79:0,0:39.24:837202:8.79:0,0:39.03:877131:8.79:0,[0:38.96:941458:8.79:0
CHL_122019P52.5,0:40.21:689057:0.0:0,0:39.7:1111339:0.0:0,0:39.2:1034190:0.0:0,0:38.9:1072360:0.0:0,0:39.13:996411:0.0:0,0:39.01:880276:0.0:0,0:39.42:799457:0.0:0,0:39.24:837202:0.0:0,0:39.03:877131:0.0:0,[0:38.96:941458:0.0:0
CHL_122019P55,0:40.21:689057:14.0:0,0:39.7:1111339:14.0:0,0:39.2:1034190:14.0:0,0:38.9:1072360:14.0:0,0:39.13:996411:14.0:0,0:39.01:880276:14.0:0,0:39.42:799457:14.0:0,0:39.24:837202:14.0:0,0:39.03:877131:14.0:0,[0:38.96:941458:14.0:0
CHL_122019P57.5,0:40.21:689057:0.0:0,0:39.7:1111339:0.0:0,0:39.2:1034190:0.0:0,0:38.9:1072360:0.0:0,0:39.13:996411:0.0:0,0:39.01:880276:0.0:0,0:39.42:799457:0.0:0,0:39.24:837202:0.0:0,0:39.03:877131:0.0:0,[0:38.96:941458:0.0:0
