Symbol,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
CHU_122019C3,0:9.39:645648:0.0:0,0:9.33:330263:0.0:0,0:9.13:331313:0.0:0,0:9.12:278016:0.0:0,0:9.08:252437:0.0:0,U:39.01:880276::,0:9.29:681472:0.0:0,0:9.2:216083:0.0:0,0:9.18:284446:0.0:0,[0:9.07:289894:0.0:0
CHU_122019C4,0:9.39:645648:0.0:0,0:9.33:330263:0.0:0,0:9.13:331313:0.0:0,0:9.12:278016:0.0:0,0:9.08:252437:0.0:0,U:39.01:880276::,0:9.29:681472:0.0:0,0:9.2:216083:0.0:0,0:9.18:284446:0.0:0,[0:9.07:289894:0.0:0
CHU_122019C5,0:9.39:645648:0.0:0,0:9.33:330263:0.0:0,0:9.13:331313:0.0:0,0:9.12:278016:0.0:0,0:9.08:252437:0.0:0,U:39.01:880276::,0:9.29:681472:0.0:0,0:9.2:216083:0.0:0,0:9.18:284446:0.0:0,[0:9.07:289894:0.0:0
CHU_122019C6,0:9.39:645648:0.0:0,0:9.33:330263:0.0:0,0:9.13:331313:0.0:0,0:9.12:278016:0.0:0,0:9.08:252437:0.0:0,U:39.01:880276::,0:9.29:681472:0.0:0,0:9.2:216083:0.0:0,0:9.18:284446:0.0:0,[0:9.07:289894:0.0:0
CHU_122019C7,0:9.39:645648:0.0:0,0:9.33:330263:0.0:0,0:9.13:331313:0.0:0,0:9.12:278016:0.0:0,0:9.08:252437:0.0:0,U:39.01:880276::,0:9.29:681472:0.0:0,0:9.2:216083:0.0:0,0:9.18:284446:0.0:0,[0:9.07:289894:0.0:0
CHU_122019C8,0:9.39:645648:0.0:0,0:9.33:330263:0.0:0,0:9.13:331313:0.0:0,0:9.12:278016:0.0:0,0:9.08:252437:0.0:0,U:39.01:880276::,0:9.29:681472:0.0:0,0:9.2:216083:0.0:0,0:9.18:284446:0.0:0,[0:9.07:289894:0.0:0
CHU_122019C9,0:9.39:645648:0.0:0,0:9.33:330263:0.0:0,0:9.13:331313:0.0:0,0:9.12:278016:0.0:0,0:9.08:252437:0.0:0,U:39.01:880276::,0:9.29:681472:0.5:2,2:9.2:216083:0.4:1,3:9.18:284446:0.4:0,[3:9.07:289894:0.4:0
CHU_122019C10,3:9.39:645648:0.27:0,3:9.33:330263:0.27:0,3:9.13:331313:0.27:0,3:9.12:278016:0.27:0,3:9.08:252437:0.27:0,U:39.01:880276::,3:9.29:681472:0.27:0,3:9.2:216083:0.27:0,3:9.18:284446:0.27:0,[3:9.07:289894:0.27:0
CHU_122019C11,0:9.39:645648:0.0:0,0:9.33:330263:0.0:0,0:9.13:331313:0.0:0,0:9.12:278016:0.0:0,0:9.08:252437:0.0:0,U:39.01:880276::,0:9.29:681472:0.0:0,0:9.2:216083:0.0:0,0:9.18:284446:0.0:0,[0:9.07:289894:0.0:0
CHU_122019C12,0:9.39:645648:0.0:0,0:9.33:330263:0.0:0,0:9.13:331313:0.0:0,0:9.12:278016:0.0:0,0:9.08:252437:0.0:0,U:39.01:880276::,0:9.29:681472:0.0:0,0:9.2:216083:0.0:0,0:9.18:284446:0.0:0,[0:9.07:289894:0.0:0
CHU_122019C13,0:9.39:645648:0.0:0,0:9.33:330263:0.0:0,0:9.13:331313:0.0:0,0:9.12:278016:0.0:0,0:9.08:252437:0.0:0,U:39.01:880276::,0:9.29:681472:0.0:0,0:9.2:216083:0.0:0,0:9.18:284446:0.0:0,[0:9.07:289894:0.0:0
CHU_122019C14,0:9.39:645648:0.0:0,0:9.33:330263:0.0:0,0:9.13:331313:0.0:0,0:9.12:278016:0.0:0,0:9.08:252437:0.0:0,U:39.01:880276::,0:9.29:681472:0.0:0,0:9.2:216083:0.0:0,0:9.18:284446:0.0:0,[0:9.07:289894:0.0:0
CHU_122019C15,0:9.39:645648:0.0:0,0:9.33:330263:0.0:0,0:9.13:331313:0.0:0,0:9.12:278016:0.0:0,0:9.08:252437:0.0:0,U:39.01:880276::,0:9.29:681472:0.0:0,0:9.2:216083:0.0:0,0:9.18:284446:0.0:0,[0:9.07:289894:0.0:0
CHU_122019C16,0:9.39:645648:0.0:0,0:9.33:330263:0.0:0,0:9.13:331313:0.0:0,0:9.12:278016:0.0:0,0:9.08:252437:0.0:0,U:39.01:880276::,0:9.29:681472:0.0:0,0:9.2:216083:0.0:0,0:9.18:284446:0.0:0,[0:9.07:289894:0.0:0
CHU_122019C17,0:9.39:645648:0.0:0,0:9.33:330263:0.0:0,0:9.13:331313:0.0:0,0:9.12:278016:0.0:0,0:9.08:252437:0.0:0,U:39.01:880276::,0:9.29:681472:0.0:0,0:9.2:216083:0.0:0,0:9.18:284446:0.0:0,[0:9.07:289894:0.0:0
CHU_122019C18,0:9.39:645648:0.0:0,0:9.33:330263:0.0:0,0:9.13:331313:0.0:0,0:9.12:278016:0.0:0,0:9.08:252437:0.0:0,U:39.01:880276::,0:9.29:681472:0.0:0,0:9.2:216083:0.0:0,0:9.18:284446:0.0:0,[0:9.07:289894:0.0:0
CHU_122019C19,0:9.39:645648:0.0:0,0:9.33:330263:0.0:0,0:9.13:331313:0.0:0,0:9.12:278016:0.0:0,0:9.08:252437:0.0:0,U:39.01:880276::,0:9.29:681472:0.0:0,0:9.2:216083:0.0:0,0:9.18:284446:0.0:0,[0:9.07:289894:0.0:0
CHU_011720C10,U,U,U,1265:9.12:278016:0.05:0,1265:9.08:252437:0.1:2,U:39.01:880276:0.0:0:39.01:880276:.:,1265:9.29:681472:0.1:50,1262:9.2:216083:0.1:0,1262:9.18:284446:0.1:0,[1262:9.07:289894:0.1:0
CHU_011720C11,U,U,U,416:9.12:278016:0.1:0,416:9.08:252437:0.1:0,U:39.01:880276::,416:9.29:681472:0.2:10,406:9.2:216083:0.2:0,406:9.18:284446:0.2:0,[406:9.07:289894:0.2:0
CHU_011720C12,U,U,U,49:9.12:278016:0.05:0,49:9.08:252437:0.05:0,U:39.01:880276::,49:9.29:681472:0.05:0,49:9.2:216083:0.05:0,49:9.18:284446:0.05:0,[49:9.07:289894:0.05:0
CHU_011720C13,U,U,U,0:9.12:278016:0.0:0,0:9.08:252437:0.0:0,U:39.01:880276::,0:9.29:681472:0.0:0,0:9.2:216083:0.0:0,0:9.18:284446:0.0:0,[0:9.07:289894:0.0:0
CHU_011720C14,U,U,U,0:9.12:278016:0.0:0,0:9.08:252437:0.0:0,U:39.01:880276::,0:9.29:681472:0.0:0,0:9.2:216083:0.0:0,0:9.18:284446:0.0:0,[0:9.07:289894:0.0:0
CHU_011720C15,U,U,U,0:9.12:278016:0.0:0,0:9.08:252437:0.0:0,U:39.01:880276::,0:9.29:681472:0.0:0,0:9.2:216083:0.0:0,0:9.18:284446:0.0:0,[0:9.07:289894:0.0:0
CHU_011720C16,U,U,U,0:9.12:278016:0.0:0,0:9.08:252437:0.0:0,U:39.01:880276::,0:9.29:681472:0.0:0,0:9.2:216083:0.0:0,0:9.18:284446:0.0:0,[0:9.07:289894:0.0:0
CHU_011720C17,U,U,U,0:9.12:278016:0.0:0,0:9.08:252437:0.0:0,U:39.01:880276::,0:9.29:681472:0.0:0,0:9.2:216083:0.0:0,0:9.18:284446:0.0:0,[0:9.07:289894:0.0:0
CHU_011720C18,U,U,U,0:9.12:278016:0.0:0,0:9.08:252437:0.0:0,U:39.01:880276::,0:9.29:681472:0.0:0,0:9.2:216083:0.0:0,0:9.18:284446:0.0:0,[0:9.07:289894:0.0:0
CHU_011720C19,U,U,U,0:9.12:278016:0.0:0,0:9.08:252437:0.0:0,U:39.01:880276::,0:9.29:681472:0.0:0,0:9.2:216083:0.0:0,0:9.18:284446:0.0:0,[0:9.07:289894:0.0:0
CHU_011720C3,U,U,U,0:9.12:278016:0.0:0,0:9.08:252437:0.0:0,U:39.01:880276::,0:9.29:681472:0.0:0,0:9.2:216083:0.0:0,0:9.18:284446:0.0:0,[0:9.07:289894:0.0:0
CHU_011720C4,U,U,U,0:9.12:278016:0.0:0,0:9.08:252437:0.0:0,U:39.01:880276::,0:9.29:681472:0.0:0,0:9.2:216083:0.0:0,0:9.18:284446:0.0:0,[0:9.07:289894:0.0:0
CHU_011720C5,U,U,U,0:9.12:278016:0.0:0,0:9.08:252437:0.0:0,U:39.01:880276::,0:9.29:681472:0.0:0,0:9.2:216083:0.0:0,0:9.18:284446:0.0:0,[0:9.07:289894:0.0:0
CHU_011720C6,U,U,U,0:9.12:278016:0.0:0,0:9.08:252437:0.0:0,U:39.01:880276::,0:9.29:681472:0.0:0,0:9.2:216083:0.0:0,0:9.18:284446:0.0:0,[0:9.07:289894:0.0:0
CHU_011720C7,U,U,U,0:9.12:278016:0.0:0,0:9.08:252437:0.0:0,U:39.01:880276::,0:9.29:681472:0.0:0,0:9.2:216083:0.0:0,0:9.18:284446:0.0:0,[0:9.07:289894:0.0:0
CHU_011720C8,U,U,U,2:9.12:278016:1.55:0,2:9.08:252437:1.55:0,U:39.01:880276::,2:9.29:681472:1.55:0,2:9.2:216083:1.55:0,2:9.18:284446:1.55:0,[2:9.07:289894:1.55:0
CHU_011720C9,U,U,U,221:9.12:278016:0.5:0,221:9.08:252437:0.5:0,U:39.01:880276::,221:9.29:681472:0.5:0,221:9.2:216083:0.5:0,221:9.18:284446:0.5:0,[221:9.07:289894:0.5:0
