Symbol,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
CHU_122019P3,0:9.39:645648:0.0:0,0:9.33:330263:0.0:0,0:9.13:331313:0.0:0,0:9.12:278016:0.0:0,0:9.08:252437:0.0:0,0:39.01:880276:0.0:0,0:9.29:681472:0.0:0,0:9.2:216083:0.0:0,0:9.18:284446:0.0:0,[0:9.07:289894:0.0:0
CHU_122019P4,0:9.39:645648:0.0:0,0:9.33:330263:0.0:0,0:9.13:331313:0.0:0,0:9.12:278016:0.0:0,0:9.08:252437:0.0:0,U:39.01:880276::,0:9.29:681472:0.0:0,0:9.2:216083:0.0:0,0:9.18:284446:0.0:0,[0:9.07:289894:0.0:0
CHU_122019P5,0:9.39:645648:0.0:0,0:9.33:330263:0.0:0,0:9.13:331313:0.0:0,0:9.12:278016:0.0:0,0:9.08:252437:0.0:0,0:39.01:880276:0.0:0,0:9.29:681472:0.0:0,0:9.2:216083:0.0:0,0:9.18:284446:0.0:0,[0:9.07:289894:0.0:0
CHU_122019P6,0:9.39:645648:0.0:0,0:9.33:330263:0.0:0,0:9.13:331313:0.0:0,0:9.12:278016:0.0:0,0:9.08:252437:0.0:0,0:39.01:880276:0.0:0,0:9.29:681472:0.0:0,0:9.2:216083:0.0:0,0:9.18:284446:0.0:0,[0:9.07:289894:0.0:0
CHU_122019P7,0:9.39:645648:0.0:0,0:9.33:330263:0.0:0,0:9.13:331313:0.0:0,0:9.12:278016:0.0:0,0:9.08:252437:0.0:0,U:39.01:880276::,0:9.29:681472:0.0:0,0:9.2:216083:0.0:0,0:9.18:284446:0.0:0,[0:9.07:289894:0.0:0
CHU_122019P8,0:9.39:645648:0.0:0,0:9.33:330263:0.0:0,0:9.13:331313:0.0:0,0:9.12:278016:0.0:0,0:9.08:252437:0.0:0,0:39.01:880276:0.0:0,0:9.29:681472:0.0:0,0:9.2:216083:0.0:0,0:9.18:284446:0.0:0,[0:9.07:289894:0.0:0
CHU_122019P9,0:9.39:645648:0.0:0,0:9.33:330263:0.15:10,10:9.13:331313:0.15:0,10:9.12:278016:0.15:0,10:9.08:252437:0.15:0,10:39.01:880276:0.15:0,10:9.29:681472:0.15:0,10:9.2:216083:0.15:0,10:9.18:284446:0.15:0,[10:9.07:289894:0.15:0
CHU_122019P10,0:9.39:645648:0.0:0,0:9.33:330263:0.0:0,0:9.13:331313:0.0:0,0:9.12:278016:0.0:0,0:9.08:252437:0.0:0,U:39.01:880276::,0:9.29:681472:0.0:0,0:9.2:216083:0.0:0,0:9.18:284446:0.0:0,[0:9.07:289894:0.0:0
CHU_122019P11,0:9.39:645648:0.0:0,0:9.33:330263:0.0:0,0:9.13:331313:0.0:0,0:9.12:278016:0.0:0,0:9.08:252437:0.0:0,0:39.01:880276:0.0:0,0:9.29:681472:0.0:0,0:9.2:216083:0.0:0,0:9.18:284446:0.0:0,[0:9.07:289894:0.0:0
CHU_122019P12,0:9.39:645648:0.0:0,0:9.33:330263:0.0:0,0:9.13:331313:0.0:0,0:9.12:278016:0.0:0,0:9.08:252437:0.0:0,0:39.01:880276:0.0:0,0:9.29:681472:0.0:0,0:9.2:216083:0.0:0,0:9.18:284446:0.0:0,[0:9.07:289894:0.0:0
CHU_122019P13,0:9.39:645648:0.0:0,0:9.33:330263:0.0:0,0:9.13:331313:0.0:0,0:9.12:278016:0.0:0,0:9.08:252437:0.0:0,0:39.01:880276:0.0:0,0:9.29:681472:0.0:0,0:9.2:216083:0.0:0,0:9.18:284446:0.0:0,[0:9.07:289894:0.0:0
