Symbol,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
CNMD_122019C65,0:110.54:121780:0.0:0,0:109.99:145940:0.0:0,0:112.12:255823:0.0:0,0:113.55:231587:0.0:0,0:112.66:227781:0.0:0,0:112.99:240748:0.0:0,0:113.0:195203:0.0:0,0:113.0:415001:0.0:0,0:112.955:237574:0.0:0,0:112.34:168772:0.0:0,[0:113.28:165967:0.0:0
CNMD_122019C70,0:110.54:121780:0.0:0,0:109.99:145940:0.0:0,0:112.12:255823:0.0:0,0:113.55:231587:0.0:0,0:112.66:227781:0.0:0,0:112.99:240748:0.0:0,0:113.0:195203:0.0:0,0:113.0:415001:0.0:0,0:112.955:237574:0.0:0,0:112.34:168772:0.0:0,[0:113.28:165967:0.0:0
CNMD_122019C75,0:110.54:121780:0.0:0,0:109.99:145940:0.0:0,0:112.12:255823:0.0:0,0:113.55:231587:0.0:0,0:112.66:227781:0.0:0,0:112.99:240748:0.0:0,0:113.0:195203:0.0:0,0:113.0:415001:0.0:0,0:112.955:237574:0.0:0,0:112.34:168772:0.0:0,[0:113.28:165967:0.0:0
CNMD_122019C80,0:110.54:121780:0.0:0,0:109.99:145940:0.0:0,0:112.12:255823:0.0:0,0:113.55:231587:0.0:0,0:112.66:227781:0.0:0,0:112.99:240748:0.0:0,0:113.0:195203:0.0:0,0:113.0:415001:0.0:0,0:112.955:237574:0.0:0,0:112.34:168772:0.0:0,[0:113.28:165967:0.0:0
CNMD_122019C85,0:110.54:121780:0.0:0,0:109.99:145940:0.0:0,0:112.12:255823:0.0:0,0:113.55:231587:0.0:0,0:112.66:227781:0.0:0,0:112.99:240748:0.0:0,0:113.0:195203:0.0:0,0:113.0:415001:0.0:0,0:112.955:237574:0.0:0,0:112.34:168772:0.0:0,[0:113.28:165967:0.0:0
CNMD_122019C90,0:110.54:121780:0.0:0,0:109.99:145940:0.0:0,0:112.12:255823:0.0:0,0:113.55:231587:0.0:0,0:112.66:227781:0.0:0,0:112.99:240748:0.0:0,0:113.0:195203:0.0:0,0:113.0:415001:0.0:0,0:112.955:237574:0.0:0,0:112.34:168772:0.0:0,[0:113.28:165967:0.0:0
CNMD_122019C95,0:110.54:121780:0.0:0,0:109.99:145940:0.0:0,0:112.12:255823:0.0:0,0:113.55:231587:0.0:0,0:112.66:227781:0.0:0,0:112.99:240748:0.0:0,0:113.0:195203:0.0:0,0:113.0:415001:0.0:0,0:112.955:237574:0.0:0,0:112.34:168772:0.0:0,[0:113.28:165967:0.0:0
CNMD_122019C100,2:110.54:121780:7.9:0,2:109.99:145940:7.9:0,2:112.12:255823:7.9:0,2:113.55:231587:7.9:0,2:112.66:227781:7.9:0,2:112.99:240748:7.9:0,2:113.0:195203:7.9:0,2:113.0:415001:7.9:0,2:112.955:237574:7.9:0,2:112.34:168772:7.9:0,[2:113.28:165967:7.9:0
CNMD_122019C105,1:110.54:121780:8.4:0,1:109.99:145940:8.4:0,1:112.12:255823:8.4:0,1:113.55:231587:8.4:0,1:112.66:227781:8.4:0,1:112.99:240748:8.4:0,1:113.0:195203:8.4:0,1:113.0:415001:9.18:1,1:112.955:237574:9.18:0,1:112.34:168772:9.18:0,[1:113.28:165967:9.18:0
CNMD_122019C110,1:110.54:121780:2.73:0,1:109.99:145940:2.73:0,1:112.12:255823:2.73:0,1:113.55:231587:2.73:0,1:112.66:227781:5.2:1,1:112.99:240748:5.2:0,1:113.0:195203:5.2:0,1:113.0:415001:5.2:0,1:112.955:237574:5.2:0,1:112.34:168772:5.2:0,[1:113.28:165967:5.2:0
