Symbol,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
CNMD_122019P65,0:110.54:121780:0.0:0,0:109.99:145940:0.0:0,0:112.12:255823:0.0:0,0:113.55:231587:0.0:0,0:112.66:227781:0.0:0,0:112.99:240748:0.0:0,0:113.0:195203:0.0:0,0:113.0:415001:0.0:0,0:112.955:237574:0.0:0,0:112.34:168772:0.0:0,[0:113.28:165967:0.0:0
CNMD_122019P70,0:110.54:121780:0.0:0,0:109.99:145940:0.0:0,0:112.12:255823:0.0:0,0:113.55:231587:0.0:0,0:112.66:227781:0.0:0,0:112.99:240748:0.0:0,0:113.0:195203:0.0:0,0:113.0:415001:0.0:0,0:112.955:237574:0.0:0,0:112.34:168772:0.0:0,[0:113.28:165967:0.0:0
CNMD_122019P75,0:110.54:121780:0.0:0,0:109.99:145940:0.0:0,0:112.12:255823:0.0:0,0:113.55:231587:0.0:0,0:112.66:227781:0.0:0,0:112.99:240748:0.0:0,0:113.0:195203:0.0:0,0:113.0:415001:0.0:0,0:112.955:237574:0.0:0,0:112.34:168772:0.0:0,[0:113.28:165967:0.0:0
CNMD_122019P80,0:110.54:121780:0.0:0,0:109.99:145940:0.0:0,0:112.12:255823:0.0:0,0:113.55:231587:0.0:0,0:112.66:227781:0.0:0,0:112.99:240748:0.0:0,0:113.0:195203:0.0:0,0:113.0:415001:0.0:0,0:112.955:237574:0.0:0,0:112.34:168772:0.0:0,[0:113.28:165967:0.0:0
CNMD_122019P85,0:110.54:121780:0.0:0,0:109.99:145940:0.0:0,0:112.12:255823:0.0:0,0:113.55:231587:0.0:0,0:112.66:227781:0.0:0,0:112.99:240748:0.0:0,0:113.0:195203:0.0:0,0:113.0:415001:0.0:0,0:112.955:237574:0.0:0,0:112.34:168772:0.0:0,[0:113.28:165967:0.0:0
CNMD_122019P90,0:110.54:121780:0.0:0,0:109.99:145940:0.0:0,0:112.12:255823:0.0:0,0:113.55:231587:0.0:0,0:112.66:227781:0.0:0,0:112.99:240748:0.0:0,0:113.0:195203:0.0:0,0:113.0:415001:0.0:0,0:112.955:237574:0.0:0,0:112.34:168772:0.0:0,[0:113.28:165967:0.0:0
CNMD_122019P95,0:110.54:121780:0.0:0,0:109.99:145940:0.0:0,0:112.12:255823:0.0:0,0:113.55:231587:0.0:0,0:112.66:227781:0.0:0,0:112.99:240748:0.0:0,0:113.0:195203:0.0:0,0:113.0:415001:0.0:0,0:112.955:237574:0.0:0,0:112.34:168772:0.0:0,[0:113.28:165967:0.0:0
CNMD_122019P100,0:110.54:121780:0.0:0,0:109.99:145940:0.0:0,0:112.12:255823:0.42:1,1:113.55:231587:0.42:0,1:112.66:227781:0.42:0,1:112.99:240748:0.28:1,0:113.0:195203:0.28:0,0:113.0:415001:0.28:0,0:112.955:237574:0.28:0,0:112.34:168772:0.28:0,[0:113.28:165967:0.28:0
CNMD_122019P105,0:110.54:121780:0.0:0,0:109.99:145940:0.0:0,0:112.12:255823:0.0:0,0:113.55:231587:0.0:0,0:112.66:227781:0.0:0,0:112.99:240748:0.67:2,2:113.0:195203:0.67:0,2:113.0:415001:0.67:0,2:112.955:237574:0.67:0,2:112.34:168772:0.67:0,[2:113.28:165967:0.67:0
CNMD_122019P110,0:110.54:121780:0.0:0,0:109.99:145940:0.0:0,0:112.12:255823:2.14:1,1:113.55:231587:2.14:0,1:112.66:227781:2.14:0,1:112.99:240748:1.5:17,16:113.0:195203:1.5:0,16:113.0:415001:1.5:0,16:112.955:237574:1.5:0,16:112.34:168772:2.0:5,[21:113.28:165967:2.0:0
CNMD_122019P115,0:110.54:121780:0.0:0,0:109.99:145940:0.0:0,0:112.12:255823:4.6:31,30:113.55:231587:4.7:31,61:112.66:227781:4.7:0,61:112.99:240748:4.7:0,61:113.0:195203:4.7:0,61:113.0:415001:4.7:0,61:112.955:237574:4.7:0,61:112.34:168772:4.7:0,[61:113.28:165967:4.7:0
CNMD_122019P120,0:110.54:121780:0.0:0,0:109.99:145940:0.0:0,0:112.12:255823:0.0:0,0:113.55:231587:0.0:0,0:112.66:227781:0.0:0,0:112.99:240748:0.0:0,0:113.0:195203:0.0:0,0:113.0:415001:0.0:0,0:112.955:237574:0.0:0,0:112.34:168772:0.0:0,[0:113.28:165967:0.0:0
CNMD_122019P125,0:110.54:121780:0.0:0,0:109.99:145940:0.0:0,0:112.12:255823:0.0:0,0:113.55:231587:0.0:0,0:112.66:227781:0.0:0,0:112.99:240748:0.0:0,0:113.0:195203:0.0:0,0:113.0:415001:0.0:0,0:112.955:237574:0.0:0,0:112.34:168772:0.0:0,[0:113.28:165967:0.0:0
CNMD_122019P130,0:110.54:121780:0.0:0,0:109.99:145940:0.0:0,0:112.12:255823:0.0:0,0:113.55:231587:0.0:0,0:112.66:227781:0.0:0,0:112.99:240748:0.0:0,0:113.0:195203:0.0:0,0:113.0:415001:0.0:0,0:112.955:237574:0.0:0,0:112.34:168772:0.0:0,[0:113.28:165967:0.0:0
CNMD_122019P135,0:110.54:121780:0.0:0,0:109.99:145940:0.0:0,0:112.12:255823:0.0:0,0:113.55:231587:0.0:0,0:112.66:227781:0.0:0,0:112.99:240748:0.0:0,0:113.0:195203:0.0:0,0:113.0:415001:0.0:0,0:112.955:237574:0.0:0,0:112.34:168772:0.0:0,[0:113.28:165967:0.0:0
CNMD_122019P60,U,0:109.99:145940:0.0:0,0:112.12:255823:0.0:0,0:113.55:231587:0.0:0,0:112.66:227781:0.0:0,0:112.99:240748:0.0:0,0:113.0:195203:0.0:0,0:113.0:415001:0.0:0,0:112.955:237574:0.0:0,0:112.34:168772:0.0:0,0:113.28:165967:0.0:0
CNMD_011720P100,U,U,U,U,U,U,0:113.0:195203:0.0:0,0:113.0:415001:0.0:0,0:112.955:237574:0.0:0,0:112.34:168772:0.0:0,[0:113.28:165967:0.0:0
CNMD_011720P105,U,U,U,U,U,U,0:113.0:195203:0.0:0,0:113.0:415001:0.0:0,0:112.955:237574:0.0:0,0:112.34:168772:0.0:0,[0:113.28:165967:0.0:0
CNMD_011720P110,U,U,U,U,U,U,0:113.0:195203:0.0:0,0:113.0:415001:0.0:0,0:112.955:237574:0.0:0,0:112.34:168772:0.0:0,[0:113.28:165967:0.0:0
CNMD_011720P115,U,U,U,U,U,U,0:113.0:195203:0.0:0,0:113.0:415001:0.0:0,0:112.955:237574:0.0:0,0:112.34:168772:0.0:0,[0:113.28:165967:0.0:0
CNMD_011720P120,U,U,U,U,U,U,0:113.0:195203:0.0:0,0:113.0:415001:0.0:0,0:112.955:237574:0.0:0,0:112.34:168772:0.0:0,[0:113.28:165967:0.0:0
CNMD_011720P125,U,U,U,U,U,U,0:113.0:195203:0.0:0,0:113.0:415001:0.0:0,0:112.955:237574:0.0:0,0:112.34:168772:0.0:0,[0:113.28:165967:0.0:0
CNMD_011720P130,U,U,U,U,U,U,0:113.0:195203:0.0:0,0:113.0:415001:0.0:0,0:112.955:237574:0.0:0,0:112.34:168772:0.0:0,[0:113.28:165967:0.0:0
CNMD_011720P135,U,U,U,U,U,U,0:113.0:195203:0.0:0,0:113.0:415001:0.0:0,0:112.955:237574:0.0:0,0:112.34:168772:0.0:0,[0:113.28:165967:0.0:0
CNMD_011720P140,U,U,U,U,U,U,0:113.0:195203:0.0:0,0:113.0:415001:0.0:0,0:112.955:237574:0.0:0,0:112.34:168772:0.0:0,[0:113.28:165967:0.0:0
CNMD_011720P145,U,U,U,U,U,U,0:113.0:195203:0.0:0,0:113.0:415001:0.0:0,0:112.955:237574:0.0:0,0:112.34:168772:0.0:0,[0:113.28:165967:0.0:0
CNMD_011720P150,U,U,U,U,U,U,0:113.0:195203:0.0:0,0:113.0:415001:0.0:0,0:112.955:237574:0.0:0,0:112.34:168772:0.0:0,[0:113.28:165967:0.0:0
CNMD_011720P155,U,U,U,U,U,U,0:113.0:195203:0.0:0,0:113.0:415001:0.0:0,0:112.955:237574:0.0:0,0:112.34:168772:0.0:0,[0:113.28:165967:0.0:0
CNMD_011720P160,U,U,U,U,U,U,0:113.0:195203:0.0:0,0:113.0:415001:0.0:0,0:112.955:237574:0.0:0,0:112.34:168772:0.0:0,[0:113.28:165967:0.0:0
CNMD_011720P70,U,U,U,U,U,U,0:113.0:195203:0.0:0,0:113.0:415001:0.0:0,0:112.955:237574:0.0:0,0:112.34:168772:0.0:0,[0:113.28:165967:0.0:0
CNMD_011720P75,U,U,U,U,U,U,0:113.0:195203:0.0:0,0:113.0:415001:0.0:0,0:112.955:237574:0.0:0,0:112.34:168772:0.0:0,[0:113.28:165967:0.0:0
CNMD_011720P80,U,U,U,U,U,U,0:113.0:195203:0.0:0,0:113.0:415001:0.0:0,0:112.955:237574:0.0:0,0:112.34:168772:0.0:0,[0:113.28:165967:0.0:0
CNMD_011720P85,U,U,U,U,U,U,0:113.0:195203:0.0:0,0:113.0:415001:0.0:0,0:112.955:237574:0.0:0,0:112.34:168772:0.0:0,[0:113.28:165967:0.0:0
CNMD_011720P90,U,U,U,U,U,U,0:113.0:195203:0.0:0,0:113.0:415001:0.0:0,0:112.955:237574:0.0:0,0:112.34:168772:0.0:0,[0:113.28:165967:0.0:0
CNMD_011720P95,U,U,U,U,U,U,0:113.0:195203:0.0:0,0:113.0:415001:0.0:0,0:112.955:237574:0.0:0,0:112.34:168772:0.0:0,[0:113.28:165967:0.0:0
