Symbol,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
COHR_122019C110,7:159.33,7:164.52,7:163.51,7:167.01:388077:46.7:0,7:160.22:368591:46.7:0,7:156.33:370325:46.7:0,7:156.11:280992:46.7:0,7:153.81:178617:46.7:0,7:153.23:143018:46.7:0,7:155.84:153434:46.7:0,7:154.19:233372:46.7:0,7:151.78:265748:46.7:0,7:153.57:140165:46.7:0,7:149.75:308135:46.7:0,[7:150.86:152258:46.7:0
COHR_122019C115,9:159.33,9:164.52,9:163.51,9:167.01:388077:39.76:0,9:160.22:368591:39.76:0,9:156.33:370325:39.76:0,9:156.11:280992:39.76:0,9:153.81:178617:37.95:3,6:153.23:143018:37.95:0,6:155.84:153434:37.95:0,6:154.19:233372:37.95:0,6:151.78:265748:37.95:0,6:153.57:140165:37.95:0,6:149.75:308135:37.95:0,[6:150.86:152258:37.95:0
COHR_122019C120,7:159.33,7:164.52,7:163.51,7:167.01:388077:28.68:0,7:160.22:368591:28.68:0,7:156.33:370325:38.5:2,7:156.11:280992:38.5:0,7:153.81:178617:38.5:0,7:153.23:143018:38.5:0,7:155.84:153434:38.5:0,7:154.19:233372:38.5:0,7:151.78:265748:38.5:0,7:153.57:140165:38.5:0,7:149.75:308135:38.5:0,[7:150.86:152258:38.5:0
COHR_122019C125,23:159.33,23:164.52,24:163.51,24:167.01:388077:37.55:0,24:160.22:368591:37.55:0,24:156.33:370325:37.55:0,24:156.11:280992:37.55:0,24:153.81:178617:37.55:0,24:153.23:143018:37.55:0,24:155.84:153434:37.55:0,24:154.19:233372:37.55:0,24:151.78:265748:37.55:0,24:153.57:140165:37.55:0,24:149.75:308135:37.55:0,[24:150.86:152258:37.55:0
COHR_122019C130,29:159.33,29:164.52,33:163.51,33:167.01:388077:35.93:0,33:160.22:368591:28.9:4,29:156.33:370325:28.9:0,29:156.11:280992:28.9:0,29:153.81:178617:28.9:0,29:153.23:143018:28.9:0,29:155.84:153434:28.9:0,29:154.19:233372:28.9:0,29:151.78:265748:28.9:0,29:153.57:140165:28.9:0,29:149.75:308135:20.9:5,[33:150.86:152258:20.9:0
COHR_122019C135,78:159.33,48:164.52,48:163.51,48:167.01:388077:28.0:0,48:160.22:368591:28.0:0,48:156.33:370325:28.0:0,48:156.11:280992:28.0:0,48:153.81:178617:28.0:0,48:153.23:143018:28.0:0,48:155.84:153434:28.0:0,48:154.19:233372:28.0:0,48:151.78:265748:28.0:0,48:153.57:140165:28.0:0,48:149.75:308135:28.0:0,[48:150.86:152258:28.0:0
COHR_122019C140,52:159.33,47:164.52,49:163.51,49:167.01:388077:27.58:0,49:160.22:368591:21.19:2,50:156.33:370325:21.19:0,50:156.11:280992:21.19:0,50:153.81:178617:21.19:0,50:153.23:143018:21.19:0,50:155.84:153434:21.19:0,50:154.19:233372:21.19:0,50:151.78:265748:21.19:0,50:153.57:140165:21.19:0,50:149.75:308135:21.19:0,[50:150.86:152258:21.19:0
COHR_122019C145,30:159.33,30:164.52,30:163.51,31:167.01:388077:19.5:0,31:160.22:368591:19.5:0,31:156.33:370325:19.5:0,31:156.11:280992:19.5:0,31:153.81:178617:19.5:0,31:153.23:143018:19.5:0,31:155.84:153434:14.5:30,61:154.19:233372:14.5:0,61:151.78:265748:14.5:0,61:153.57:140165:14.5:0,61:149.75:308135:14.5:0,[61:150.86:152258:14.5:0
COHR_122019C150,224:159.33,221:164.52,220:163.51,220:167.01:388077:21.0:2,219:160.22:368591:21.0:0,219:156.33:370325:21.0:0,219:156.11:280992:10.92:1,219:153.81:178617:10.92:0,219:153.23:143018:9.6:5,219:155.84:153434:9.6:0,219:154.19:233372:9.6:0,219:151.78:265748:7.58:2,218:153.57:140165:10.0:9,227:149.75:308135:6.86:23,[243:150.86:152258:6.86:0
COHR_122019C155,38:159.33,34:164.52,32:163.51,46:167.01:388077:17.5:1,45:160.22:368591:17.5:0,45:156.33:370325:9.43:2,47:156.11:280992:9.43:0,47:153.81:178617:6.7:2,47:153.23:143018:6.33:25,71:155.84:153434:7.25:26,86:154.19:233372:6.62:5,89:151.78:265748:5.0:12,80:153.57:140165:6.44:8,85:149.75:308135:4.41:36,[69:150.86:152258:4.6:5
COHR_122019C160,95:159.33,95:164.52,97:163.51,96:167.01:388077:14.5:4,93:160.22:368591:9.02:2,95:156.33:370325:6.87:13,99:156.11:280992:5.5:4,100:153.81:178617:4.95:1,100:153.23:143018:4.95:0,100:155.84:153434:5.3:5,102:154.19:233372:4.45:22,121:151.78:265748:3.3:5,121:153.57:140165:3.8:15,134:149.75:308135:2.7:1,[133:150.86:152258:2.65:6
