Symbol,20191104,20191105,20191106,20191107,20191108,20191111,20191112,20191113,20191114,20191115,20191118,20191119,20191120,20191121,20191122
COHR_122019P110,231:159.33,231:164.52,231:163.51,231:167.01:388077:1.3:0,231:160.22:368591:1.3:0,231:156.33:370325:1.3:0,231:156.11:280992:1.3:0,231:153.81:178617:0.25:2,231:153.23:143018:0.25:0,231:155.84:153434:0.25:0,231:154.19:233372:0.25:0,231:151.78:265748:0.25:0,231:153.57:140165:0.25:0,231:149.75:308135:0.25:0,[231:150.86:152258:0.25:0
COHR_122019P115,36:159.33,36:164.52,36:163.51,36:167.01:388077:1.85:0,36:160.22:368591:1.85:0,36:156.33:370325:1.85:0,36:156.11:280992:1.85:0,36:153.81:178617:1.85:0,36:153.23:143018:1.85:0,36:155.84:153434:1.85:0,36:154.19:233372:1.85:0,36:151.78:265748:0.15:1,37:153.57:140165:0.15:0,37:149.75:308135:0.15:0,[37:150.86:152258:0.15:0
COHR_122019P120,51:159.33,51:164.52,51:163.51,51:167.01:388077:0.05:1,50:160.22:368591:0.05:0,50:156.33:370325:0.05:0,50:156.11:280992:0.05:0,50:153.81:178617:0.05:0,50:153.23:143018:0.05:0,50:155.84:153434:0.05:0,50:154.19:233372:0.05:0,50:151.78:265748:0.05:0,50:153.57:140165:0.05:0,50:149.75:308135:0.05:0,[50:150.86:152258:0.05:0
COHR_122019P125,41:159.33,42:164.52,42:163.51,42:167.01:388077:0.58:5,40:160.22:368591:0.6:2,40:156.33:370325:0.6:0,40:156.11:280992:0.6:0,40:153.81:178617:0.88:1,39:153.23:143018:0.88:0,39:155.84:153434:0.88:0,39:154.19:233372:0.88:0,39:151.78:265748:0.88:0,39:153.57:140165:0.88:0,39:149.75:308135:0.88:0,[39:150.86:152258:0.88:0
COHR_122019P130,63:159.33,59:164.52,59:163.51,59:167.01:388077:0.8:5,55:160.22:368591:1.1:2,57:156.33:370325:1.16:31,80:156.11:280992:1.16:0,80:153.81:178617:1.4:1,81:153.23:143018:1.4:0,81:155.84:153434:0.7:1,81:154.19:233372:0.65:2,83:151.78:265748:0.65:0,83:153.57:140165:0.65:0,83:149.75:308135:1.06:2,[84:150.86:152258:1.06:0
COHR_122019P135,157:159.33,163:164.52,163:163.51,157:167.01:388077:1.0:1,157:160.22:368591:1.55:19,175:156.33:370325:1.66:6,175:156.11:280992:1.66:0,175:153.81:178617:1.66:0,175:153.23:143018:1.65:2,177:155.84:153434:1.15:35,196:154.19:233372:1.2:1,197:151.78:265748:1.2:0,197:153.57:140165:1.35:36,203:149.75:308135:1.77:3,[203:150.86:152258:1.77:0
COHR_122019P140,78:159.33,83:164.52,82:163.51,76:167.01:388077:1.86:0,76:160.22:368591:1.72:2,76:156.33:370325:1.72:0,76:156.11:280992:1.72:0,76:153.81:178617:1.72:0,76:153.23:143018:2.5:16,92:155.84:153434:2.5:0,92:154.19:233372:2.5:0,92:151.78:265748:2.5:5,92:153.57:140165:2.5:0,92:149.75:308135:3.0:4,[93:150.86:152258:2.5:1
COHR_122019P145,67:159.33,67:164.52,67:163.51,67:167.01:388077:1.95:28,62:160.22:368591:2.9:4,66:156.33:370325:3.6:1,67:156.11:280992:3.4:1,68:153.81:178617:3.4:3,67:153.23:143018:3.4:0,67:155.84:153434:3.4:0,67:154.19:233372:3.4:0,67:151.78:265748:4.08:2,68:153.57:140165:4.08:0,68:149.75:308135:4.08:0,[68:150.86:152258:4.08:0
COHR_122019P150,51:159.33,52:164.52,52:163.51,52:167.01:388077:2.85:19,53:160.22:368591:5.2:3,51:156.33:370325:5.2:1,51:156.11:280992:5.2:0,51:153.81:178617:6.35:1,51:153.23:143018:5.37:2,51:155.84:153434:4.3:7,57:154.19:233372:4.6:1,57:151.78:265748:6.3:1,57:153.57:140165:6.3:0,57:149.75:308135:6.47:5,[57:150.86:152258:5.84:2
COHR_122019P155,69:159.33,69:164.52,69:163.51,70:167.01:388077:4.15:2,68:160.22:368591:6.9:13,78:156.33:370325:7.25:12,78:156.11:280992:7.25:0,78:153.81:178617:7.4:1,78:153.23:143018:7.91:2,79:155.84:153434:7.91:0,79:154.19:233372:7.91:0,79:151.78:265748:7.91:0,79:153.57:140165:7.91:0,79:149.75:308135:7.91:0,[79:150.86:152258:7.91:0
COHR_122019P160,67:159.33,67:164.52,67:163.51,68:167.01:388077:5.32:3,71:160.22:368591:7.56:2,69:156.33:370325:9.1:10,68:156.11:280992:9.1:0,68:153.81:178617:11.94:3,65:153.23:143018:11.94:0,65:155.84:153434:9.9:10,65:154.19:233372:9.9:0,65:151.78:265748:12.13:2,67:153.57:140165:12.13:0,67:149.75:308135:12.52:6,[67:150.86:152258:12.52:0
COHR_122019P165,11:159.33,11:164.52,12:163.51,11:167.01:388077:8.6:0,11:160.22:368591:8.6:0,11:156.33:370325:8.6:0,11:156.11:280992:11.5:4,10:153.81:178617:11.5:0,10:153.23:143018:11.5:0,10:155.84:153434:11.5:0,10:154.19:233372:11.5:0,10:151.78:265748:15.93:2,12:153.57:140165:15.93:0,12:149.75:308135:15.93:0,[12:150.86:152258:15.93:0
COHR_122019P170,1:159.33,1:164.52,1:163.51,12:167.01:388077:9.48:1,13:160.22:368591:9.48:0,13:156.33:370325:9.48:0,13:156.11:280992:9.48:0,13:153.81:178617:9.48:0,13:153.23:143018:9.48:0,13:155.84:153434:9.48:0,13:154.19:233372:9.48:0,13:151.78:265748:9.48:0,13:153.57:140165:9.48:0,13:149.75:308135:21.66:1,[12:150.86:152258:21.66:0
COHR_122019P175,0:159.33,0:164.52,0:163.51,0:167.01:388077:0.0:0,0:160.22:368591:0.0:0,0:156.33:370325:0.0:0,0:156.11:280992:18.39:2,1:153.81:178617:18.39:0,1:153.23:143018:18.39:0,1:155.84:153434:18.39:0,1:154.19:233372:18.39:0,1:151.78:265748:18.39:0,1:153.57:140165:18.39:0,1:149.75:308135:18.39:0,[1:150.86:152258:18.39:0
COHR_122019P180,1:159.33,1:164.52,1:163.51,1:167.01:388077:35.9:0,1:160.22:368591:35.9:0,1:156.33:370325:35.9:0,1:156.11:280992:35.9:0,1:153.81:178617:35.9:0,1:153.23:143018:35.9:0,1:155.84:153434:35.9:0,1:154.19:233372:35.9:0,1:151.78:265748:35.9:0,1:153.57:140165:35.9:0,1:149.75:308135:35.9:0,[1:150.86:152258:35.9:0
COHR_122019P185,0:159.33,0:164.52,0:163.51,0:167.01:388077:23.9:0,0:160.22:368591:23.9:0,0:156.33:370325:23.9:0,0:156.11:280992:23.9:0,0:153.81:178617:23.9:0,0:153.23:143018:23.9:0,0:155.84:153434:23.9:0,0:154.19:233372:23.9:0,0:151.78:265748:23.9:0,0:153.57:140165:23.9:0,0:149.75:308135:23.9:0,[0:150.86:152258:23.9:0
COHR_122019P190,0:159.33,0:164.52,0:163.51,0:167.01:388077:0.0:0,0:160.22:368591:0.0:0,0:156.33:370325:0.0:0,0:156.11:280992:0.0:0,0:153.81:178617:0.0:0,0:153.23:143018:0.0:0,0:155.84:153434:0.0:0,0:154.19:233372:0.0:0,0:151.78:265748:0.0:0,0:153.57:140165:0.0:0,0:149.75:308135:0.0:0,[0:150.86:152258:0.0:0
COHR_122019P195,0:159.33,0:164.52,0:163.51,1:167.01:388077:29.7:0,1:160.22:368591:29.7:0,1:156.33:370325:29.7:0,1:156.11:280992:29.7:0,1:153.81:178617:29.7:0,0:153.23:143018:29.7:0,0:155.84:153434:29.7:0,0:154.19:233372:29.7:0,0:151.78:265748:29.7:0,0:153.57:140165:29.7:0,0:149.75:308135:29.7:0,[0:150.86:152258:29.7:0
COHR_122019P200,0:159.33,0:164.52,0:163.51,0:167.01:388077:0.0:0,0:160.22:368591:0.0:0,0:156.33:370325:0.0:0,0:156.11:280992:0.0:0,0:153.81:178617:0.0:0,0:153.23:143018:0.0:0,0:155.84:153434:0.0:0,0:154.19:233372:0.0:0,0:151.78:265748:0.0:0,0:153.57:140165:0.0:0,0:149.75:308135:0.0:0,[0:150.86:152258:0.0:0
